Species,Site,Species_code,Sample,Area(cm2),fresh_weight(g),dry_weight(g),leaf_mass_per_area(g/cm2),ldmc(g/g),"Remark(area,weight)",Height(cm),Cover(%),Remark2,Date,Treatment,root_density,root_branching_intensity,specific_root_length,RDMC,root_air_porosity
Banksia ericifolia,Royal National Park,,,,,,,,,,,,2017,mean across treatments,0.25384076,1.12939314,1716.919863,0.237399685,-3409.000424
Banksia oblongifolia,Royal National Park,,,,,,,,,,,,2017,mean across treatments,0.303948094,1.012437962,1588.130626,0.276586267,1.762766958
Banksia serrata,Royal National Park,,,,,,,,,,,,2017,mean across treatments,0.318706294,1.201567192,2941.945186,0.308309589,11.41402788
Caustis pentandra,Royal National Park,,,,,,,,,,,,2017,mean across treatments,0.43331074,1.580414605,6098.909324,0.389734026,3.813759279
Cyathochaeta diandra,Royal National Park,,,,,,,,,,,,2017,mean across treatments,0.249099369,1.020747801,2323.725504,0.265706698,-764.8120174
Empodisma minus,Royal National Park,,,,,,,,,,,,2017,mean across treatments,0.223577281,1.360829168,2842.031996,0.230610631,3.471221174
Entolasia stricta,Royal National Park,,,,,,,,,,,,2017,mean across treatments,0.199358024,1.426713854,4097.173822,0.196609124,-1345.98952
Eurychorda complanata,Royal National Park,,,,,,,,,,,,2017,mean across treatments,0.135803954,1.252999313,2034.956932,0.17787859,14.58747854
Gonocarpus micranthus,Royal National Park,,,,,,,,,,,,2017,mean across treatments,0.123252575,0.824921722,6106.907815,0.137603545,4.306466862
Gonocarpus tetragynus,Royal National Park,,,,,,,,,,,,2017,mean across treatments,0.253077979,0.974774454,3296.629339,0.273206275,-14915.75951
Haemodorum corymbosum,Royal National Park,,,,,,,,,,,,2017,mean across treatments,0.205205885,1.917693221,1388.330677,0.18184902,-4.387180348
Haemodorum planifolium,Royal National Park,,,,,,,,,,,,2017,mean across treatments,0.39620934,1.22664131,1583.25651,0.357070127,2.041024904
Hypoleana fastigata,Royal National Park,,,,,,,,,,,,2017,mean across treatments,0.256431821,2.200760019,2742.290055,0.376562776,16.93465664
Lepidosperma concavum,Royal National Park,,,,,,,,,,,,2017,mean across treatments,0.306448328,0.940243251,1558.858748,0.375899268,7.072050873
Lepidosperma neesii,Royal National Park,,,,,,,,,,,,2017,mean across treatments,0.240330091,1.295777699,2118.712487,0.308818207,12.62041513
Leptocarpus tenax,Royal National Park,,,,,,,,,,,,2017,mean across treatments,0.16070308,2.158862818,3886.653426,0.261732343,18.86067189
