site_id,site_TEXT,name_original,TRAIT Growth Form CATEGORICAL EP epiphyte (mistletoe) F fern G grass H herb S shrub T tree V vine,TRAIT SLA UNITS mm2/g,TRAIT Leaf Size UNITS mm2,TRAIT Leaf Dry Mass UNITS g,TRAIT LeafWidth UNITS mm,TRAIT Height UNITS m
1,Balranald,Atriplex angulata,H,6.9,89.3,0.013,9.3,0.15
1,Balranald,Atriplex nummularia,S,5.1,178.8,0.035,13.1,1.5
1,Balranald,Atriplex vesicaria,S,5.4,34.9,0.006,4,0.5
1,Balranald,Chenopodium desertorum,S,2,11.3,0.006,5.6,0.2
1,Balranald,Dissocarpus biflorus,H,4.9,10.9,0.002,1.2,0.2
1,Balranald,Einadia nutans,S,10.2,22.9,0.002,3.9,0.2
1,Balranald,Enchylaena tomentosa,S,3.7,9.3,0.003,1.1,0.4
1,Balranald,Maireana appressa,S,4.1,4,0.001,1.2,0.5
1,Balranald,Maireana pyramidata,S,2.7,2.9,0.001,1.2,0.8
1,Balranald,Osteocarpum acropterum,S,4.9,2.9,0.001,1,0.1
1,Balranald,Salsola kali,S,3.2,9.5,0.003,0.8,0.3
1,Balranald,Sclerolaena brachyptera,S,5.5,8,0.001,1.2,0.4
1,Balranald,Sclerolaena divaricata,S,5,7.6,0.002,0.9,0.4
1,Balranald,Sclerolaena obliquicuspis,S,7.1,8.5,0.001,1.3,0.3
10,Rosewood,Acacia decora,S,4.8,144.4,0.03,6.1,2
10,Rosewood,Acacia doratoxylon,T,3.5,456,0.131,4.8,6
10,Rosewood,Amyema miquelii,EP,3.2,495.3,0.155,8.8,3
10,Rosewood,Asteraceae sp,,7.7,13.3,0.002,2.2,0.18
10,Rosewood,Atriplex stipitata,S,7.1,22.1,0.003,2.7,0.4
10,Rosewood,Boerhavia dominii,H,6.9,45.9,0.007,4.9,
10,Rosewood,Brunonia australis,H,8.1,41,0.005,5,0.15
10,Rosewood,Callitris columellaris,T,2,24.8,0.012,1.2,6
10,Rosewood,Calotis hispidula,H,11.6,25.9,0.002,4.8,0.1
10,Rosewood,Chenopodium desertorum,S,7,20.2,0.003,4.5,0.15
10,Rosewood,Chloris virgata,G,9.1,73.1,0.008,2.1,0.2
10,Rosewood,Danthonia caespitosa,G,5.4,25.7,0.005,0.7,0.2
10,Rosewood,Dianella sp,H,4.4,522.2,0.118,4.1,0.4
10,Rosewood,Dodonaea viscosa cuneata,S,7.2,273.9,0.038,11.3,1
10,Rosewood,Einadia nutans,S,12.1,17.2,0.001,2.5,0.1
10,Rosewood,Eragrostis sp,G,5,16.3,0.003,0.9,0.3
10,Rosewood,Eremophila glabra,S,3.9,76.6,0.02,4.3,1.5
10,Rosewood,Eucalyptus dwyeri,T,3.8,1547,0.408,19.2,8
10,Rosewood,Eucalyptus intertexta,T,4.7,1257.2,0.267,25.3,8
10,Rosewood,Eucalyptus viridis,T,3.4,660.8,0.196,7.4,5
10,Rosewood,Fabaceae sp,S,11.1,10.2,0.001,2,
10,Rosewood,Geijera parviflora,T,4.8,521.1,0.11,5.9,5
10,Rosewood,Goodenia sp,H,8.9,85.1,0.01,6.7,0.05
10,Rosewood,Jasminum lineare,V,6.8,92.9,0.014,3.8,0.2
10,Rosewood,Maytenus cunninghamii,S,5.2,88.9,0.017,4.1,2
10,Rosewood,Medicago sp,H,12.8,17.1,0.001,3.6,0.05
10,Rosewood,Melinis repens,G,11.1,64.4,0.006,2.2,0.3
10,Rosewood,Myoporum montanum,S,6.4,532.8,0.084,12.5,0.8
10,Rosewood,Olearia ramulosa,S,4.6,7.2,0.002,1,0.5
10,Rosewood,Oxalis corniculata,H,22.4,12.1,0.001,2.9,0.03
10,Rosewood,Panicum sp,G,6.4,104.3,0.016,2.5,0.2
10,Rosewood,Paspalidium constrictum,G,4.6,41.8,0.009,1.3,0.15
10,Rosewood,Poaceae sp,G,4.8,28.3,0.006,0.7,0.3
10,Rosewood,Prostanthera striatiflora,S,3.3,25.1,0.008,2.9,1.2
10,Rosewood,Sclerolaena diacantha,S,3.1,6.4,0.002,1,0.33
10,Rosewood,Senna artemisioides artemisioides,S,2.6,13.4,0.005,0.8,1
10,Rosewood,Sida corrugata,H,5.6,122.5,0.022,9.8,0.1
10,Rosewood,Solanum sp,,8,1392.1,0.173,31.8,0.1
10,Rosewood,unk10_1 sp,,11.7,187.9,0.016,8.9,1
10,Rosewood,unk10_1a sp,,6.5,14.2,0.002,1,0.2
10,Rosewood,Vittadinia cuneata,H,13.2,8.7,0.001,1.8,0.15
11,Weddin Mountains,Acacia penninervis,T,5.4,837,0.156,21.2,3
11,Weddin Mountains,Acacia trineura,S,7,357.4,0.051,9.6,2
11,Weddin Mountains,Astroloma humifusum,S,8,7.3,0.001,1.2,0.1
11,Weddin Mountains,Brachyloma daphnoides,S,4.4,23,0.005,3.7,0.75
11,Weddin Mountains,Callitris columellaris,T,2.3,12,0.005,1,8
11,Weddin Mountains,Callitris endlicheri,T,2,30.1,0.015,1.2,12
11,Weddin Mountains,Cassinia laevis,S,5.9,14.1,0.002,0.8,2
11,Weddin Mountains,Chrysocephalum apiculatum,H,7.6,10.1,0.001,1,0.2
11,Weddin Mountains,Danthonia caespitosa,G,5.8,17.3,0.003,0.4,0.2
11,Weddin Mountains,Dianella revoluta,H,2.4,637.3,0.266,4.4,0.5
11,Weddin Mountains,Dillwynia sericea,S,4.3,2.2,0.001,0.6,1.5
11,Weddin Mountains,Eucalyptus sideroxylon,T,4.4,1324.1,0.303,20,15
11,Weddin Mountains,Exocarpos cupressiformis,T,2,108.6,0.055,2.5,1
11,Weddin Mountains,Goodenia hederacea,H,5.2,60.7,0.012,4.1,0.1
11,Weddin Mountains,Grevillea ramosissima,S,4.4,155.6,0.035,8.4,1
11,Weddin Mountains,Laxmannia gracilis,,5.1,8,0.002,0.5,0.05
11,Weddin Mountains,Liliaceae sp,H,4.6,25.4,0.006,0.7,
11,Weddin Mountains,Lissanthe strigosa,S,2.6,21.1,0.008,1.6,0.3
11,Weddin Mountains,Phyllota sp,S,5,10.4,0.002,1.1,0.6
11,Weddin Mountains,Poaceae sp,G,3,71.5,0.024,1.1,0.2
11,Weddin Mountains,Stipa sp,G,10.1,78.2,0.008,1.3,0.5
