name_original,seed_mass (mg),growth_form,dispersal_syndrome,shade_tolerance,metadata_id,primary_source
Piper novae-hollandiae,45,TV,,shade_tolerator,18,17
Parsonsia straminea,7.8,TV,wind,,,
Alstonia spectabilis,2.5,TT,wind,,,
Aleurites moluccana,3400,TT,animal,,,
Glochidion philippicum,5.6,ST,animal,,,
Glochidion hylandii,12,ST,animal,,,
Glochidion harveyanum,13,ST,animal,,,
Wikstroemia indica,19,S,animal,,,
Pleiogynium timoriense,18,TT,animal,,,
Schefflera actinophylla,2.7,ST E,animal,,,
Schefflera elliptica,3.1,S E,animal,,,
Cassine melanocarpa,45,ST,animal,,,
Hibbertia scandens,7.1,SV,animal,,,
Melia azedarach,14,TT,animal,,,
Acacia aulacocarpa,13,TT,animal,,,
Grevillea baileyana,24,TT,wind,,,
Timonius timon,1.6,ST,animal,,,
Commersonia bartamia,4.5,ST,animal,,,
Neisosperma poweri,190,ST,animal,,,
Alyxia ruscifolia,64,S,animal,,,
Alyxia ilicifolia,100,S,animal,,,
Fontainea picrosperma,490,ST,animal,shade_tolerator,,
Antidesma erostre,13,ST,animal,shade_tolerator,,
Sauropus macranthus,18,S,animal,,,
Phaleria octandra,130,S,animal,,,
Phaleria clerodendron,1100,ST,animal,,,
Semecarpus australiense,2000,TT,animal,,,
Delarbrea michieana,150,ST,animal,,,
Siphonodon membranaceus,56,TT,animal,,,
Tetracera nordtiana,12,SV,animal,,,
Aglaia sapindina,330,ST,animal,,,
Aglaia australiensis,770,ST,animal,,,
Dysoxylum papuanum,320,TT,animal,,,
Dysoxylum parasiticum,350,TT,animal,,,
Dysoxylum pettigrewianum,530,TT,animal,,,
Dysoxylum latifolium,2200,TT,animal,,,
Dysoxylum klanderi,2600,TT,animal,,,
Chisocheton longistipitatus,3600,TT,animal,,,
Archidendron lucyi,420,ST,animal,,,
Darlingia darlingiana,200,TT,wind,shade_tolerator,,
Cardwellia sublimis,770,TT,wind,shade_tolerator,,
Triunia erythrocarpa,910,ST,animal,shade_tolerator,,
Athertonia diversidolia,1650,TT,animal,shade_tolerator,,
Genus nov. RFK (Proteaceae),5200,TT,animal,shade_tolerator,,
Wendlandia basistaminea,0.017,S,wind,,,
Psychotria loniceroides,4.7,S,animal,,,
Psychotria nematopoda,7.3,S,animal,,,
Lasianthus strigosus,6.6,S,animal,,,
Randia tuberculosa,5.7,S,animal,,,
Randia hirta,32,S,animal,,,
Hodgkinsonia frutescens,40,S,animal,,,
Argyrodendron trifoliolatum,110,TT,wind,,,
Franciscodendron laurifolium,160,TT,wind,,,
Acronychia vestita,8.9,TT,,light_demander,,
Acronychia acidula,9,TT,,light_demander,,
Alpinia arctiflora,8.6,H,,light_demander,,
Alpinia caerulea,16,H,,light_demander,,
Ficus virens,0.23,TT HE,,light_demander,,
Ficus microcarpa,0.34,TT HE,,light_demander,,
Ficus detruens,0.4,TT HE,,light_demander,,
Ficus crassipes,0.45,TT HE,,light_demander,,
Ficus superba,0.55,TT HE,,light_demander,,
Ficus watkinsiana,1.1,TT HE,,light_demander,,
Ficus pleurocarpa,3.3,TT HE,,light_demander,,
Peperomia enervis,0.25,H E,,light_demander,,
Polyscias murrayi,2.8,TT,,light_demander,,
Acronychia acronychioides,5.5,ST,,shade_tolerator,,
Alpinia modesta,15,H,,shade_tolerator,,
Ficus septica,0.21,ST,,shade_tolerator,,
Ficus leptoclada,0.23,ST,,shade_tolerator,,
Ficus congesta,0.32,ST,,shade_tolerator,,
Ficus variegata,0.47,ST,,shade_tolerator,,
Peperomia blanda var. floribunda,0.22,H,,shade_tolerator,,
Polyscias elegans,8.7,TT,,light_demander,,
Polyscias australiana,5.7,ST,,light_demander,,
Polyscias mollis,1.5,ST,,shade_tolerator,,
Polyscias purpurea,2.4,S,,shade_tolerator,,
Alphitonia petriei,19,TT,,light_demander,,
Alphitonia philippinensis,18,TT,,light_demander,,
Alphitonia whitei,28,TT,,shade_tolerator,,
Elaeocarpus angustifolius,61,TT,,light_demander,,
Elaeocarpus ruminatus,82,TT,,light_demander,,
Elaeocarpus coorangooloo,15,TT,,shade_tolerator,,
Elaeocarpus bancroftii,260,TT,,shade_tolerator,,
Mallotus paniculatus,14,ST,,light_demander,,
Mallotus mollissimus,19,ST,,light_demander,,
Mallotus philippensis,15,ST,,shade_tolerator,,
Melicope elleryana,33,TT,,light_demander,,
