site,name_edited,leaf_type(B/N),evergreen/deciduous(E/D),photosynthetic_pathway,plant_growth_form,GrowthForm2 (woody/herbaceuous),N-fixer (Y/N),delta_13C,collector,latitude,longitude,vegetation,MAP (mm),date,name_original,rep,age,lab_or_tree_number,notes,NRA pkat/g fw wo NO3,NRA pkat/g fw w NO3,family
Coominya,Acacia concurrens,B,E,C3,T,W,Y,-28.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coominya,Alphitonia excelsa,B,E,C3,T,W,N,-27.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coominya,Breynia oblongifolia,B,E,C3,S,W,N,-28.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coominya,Corymbia citriodora,B,E,C3,T,W,N,-28.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coominya,Corymbia tessellaris,B,E,C3,T,W,N,-26.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coominya,Dodonaea viscosa,B,E,C3,S,W,N,-26.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coominya,Erythrina vespertilio,B,D,C3,T,W,Y?,-24.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coominya,Eucalyptus crebra,B,E,C3,T,W,N,-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coominya,Exocarpus latifolius,B,E,C3,"S or T (root parasite, at least early on in life)",W,N,-31.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coominya,Mallotus philippensis,B,E,C3,T,W,N,-26.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coominya,Psydrax odorata,B,E,C3,T,W,N,-27.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Acacia falcata,B,E,C3,S,W,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Acacia melanoxylon,B,E,C3,T,W,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Acmena ingens,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Acmena smithii,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Argyrodendron trifoliolatum,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambubal,Baloghia inophylla,B,E,C3,T,W,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
