genus_root,taxon_name,text,life_history_a,life_history_f,parasitic_a,parasitic_f,plant_growth_form_a,plant_growth_form_f,plant_growth_substrate_a,plant_growth_substrate_f,sex_type_a,sex_type_f,stem_growth_habit_a,stem_growth_habit_f,woodiness_a,woodiness_f,authors
Abutilon,Abutilon,perennial shrubs or annual herbs.,annual perennial,annual perennial,NA,NA,herb shrub,herbs shrubs,NA,NA,NA,NA,NA,NA,woody herbaceous,NA,"Author:Prepared by J. G. Reid; Citation: Miller, Gard. Dict. abr. edn 4 (1754)."
Abutilon,Abutilon cryptopetalum,"low shrub to 1 m, covered with a hoary pubescence;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Citation: F. Muell. ex Benth., Fl. Aust. 1:201 (1863)."
Abutilon,Abutilon fraseri,"small erect undershrub to 80 cm high,",NA,NA,NA,NA,subshrub,undershrub,NA,NA,NA,NA,erect,erect,NA,NA,"Citation: Hook. ex Walp., Ann. Bot. Syst. 2:158 (1851)."
Abutilon,Abutilon halophilum,"small undershrub to 1 m high, covered with a soft stellate tomentum;",NA,NA,NA,NA,subshrub,undershrub,NA,NA,NA,NA,NA,NA,NA,NA,"Citation: F. Muell., Linnaea 25:381 (1853)."
Abutilon,Abutilon leucopetalum,"shrub to 1 m or more high,",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Citation: F. Muell. ex Benth., Fl. Aust. 1:200 (1863)."
Abutilon,Abutilon macrum,"slender erect undershrub or shrub to 2 m high, covered with a stellate hoary pubescence;",NA,NA,NA,NA,subshrub shrub,undershrub shrub,NA,NA,NA,NA,erect,erect,woody,NA,"Citation: F. Muell., Fragm. Phyt. Aust. 9:59 (1875)."
Abutilon,Abutilon malvaefolium,small undershrub often less than 30 cm high and sometimes with the branches spreading close to the ground;,NA,NA,NA,NA,subshrub,undershrub,NA,NA,NA,NA,spreading,spreading,NA,NA,Citation: J. Black; Trans. R. Soc. S. Aust. 49:274 (1925).
Abutilon,Abutilon oxycarpum,"small slender herbs or small shrubs 60-90 cm high,",NA,NA,NA,NA,herb shrub,herbs shrubs,NA,NA,NA,NA,NA,NA,woody herbaceous,NA,"Citation: F. Muell. ex Benth., Fl. Aust. 1:204 (1863)."
Abutilon,Abutilon otocarpum,"small compact or erect shrub to 60 cm high,",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect compact,erect compact,woody,NA,"Citation: F. Muell., Trans. Phil. Soc. Vic. 1:13 (1854)."
Abutilon,Abutilon oxycarpum incanum,stout erect annual usually 30 cm-1 m high.,annual,annual,NA,NA,herb,inferred_from_life_history,NA,NA,NA,NA,erect,erect,herbaceous,NA,"Citation: Medik., Malv. 28 (1787)."
Acacia,Acacia,trees or shrubs;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,"Citation: P. Miller, Gard. Dict. Abridged ed. 4 (1754)."
Acacia,Acacia acanthoclada,"low, rigid, spreading, divaricately branched shrubs 0.75-2 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spreading,spreading,woody,NA,"Citation: F. Mueller, Fragm. Phyt. Aust. 3:127 (1863)."
