taxon,longevity ,growth form,leaf longevity,height (m) ,leaf type,leaf length (mm),leaf width (mm) ,leaf shape,seed shape,seed length (mm),seed width (mm) ,seed breadth (mm),flowering ,fruiting,dispersal mode
Allocasuarina crassa,perennial ,shrub,evergreen ,4,,8-20,1-2.5,articles,,,,,apr-oct,apr-dec,samara
Selliera radicans,perennial ,herb,evergreen ,0.3,simple,10-100,0.3-3.5,spathulate,flat,,2,,apr-may,apr-may,
Hibbertia prostrata,perennial ,shrub,evergreen ,0.9,simple,4-15,0.5-1,linear,,,,,aug-apr,aug-apr,
Hibbertia rufa,perennial ,shrub,evergreen ,0.3,simple,3-8,0.8-1.4,lanceolate,,,,,aug-dec,aug-dec,
Hibbertia hirticalyx,perennial ,shrub,evergreen ,1,simple,5-25,3-12,obovate,,,,,aug-dec,aug-dec,
Drosera macrantha,perennial ,herb,evergreen ,,simple,3-7,3-7,orbicular,,,,,aug-dec,aug-dec,
Tetratheca sp. Freycinet Pen. (A.C.Rozefelds 323),perennial ,shrub,evergreen ,1,simple,5-15,1-4.5,elliptic,,,,,aug-dec,aug-dec,
Boronia anemonifolia subsp. variabilis,perennial ,shrub,evergreen ,2.5,compound,3-13,1-4,cuneate,,,,,aug-feb,aug-feb,
Zygophyllum billardierei,perennial ,shrub,evergreen ,0.4,compound,10-30,,elliptic,,,,,aug-feb,aug-feb,
Dodonaea viscosa subsp. Spatulata,perennial ,tree,evergreen ,6,simple,15-83,3-20,oblanceolate,lenticular,2.3-3,2.3-3,,dec-feb,aug-feb,
Leptomeria drupacea,perennial ,shrub,evergreen ,2.5,simple,0.7-1.5,0.3-0.5,ovate,,,,,jun-feb,aug-feb,
Hibbertia riparia,perennial ,shrub,evergreen ,0.9,simple,3-15,1-2.5,linear,,,,,apr-may,aug-jan,
Tetratheca ciliata,perennial ,shrub,evergreen ,1,simple,5-15,3-8,elliptic,obovoid,,,,aug-jan,aug-jan,
Dampiera stricta,perennial ,subshrub,evergreen ,0.6,simple,16-50,2-20,obovate,oblong,4-5,,,aug-jan,aug-jan,
