taxon_name,trait_name,value_type,value,unit,retain,entity,measurement_remarks,original_name,observation_id,form,leaf,seed,original_text
Acanthocarpus canaliculatus,seed_length,maximum,3,mm,good,,,Acanthocarpus canaliculatus,0001,,"leaves of branches: lamina divergent to divaricate, 3-15 mm long, pungent, medium to deep green; margins scabrid; nerves 3-5, ±rounded; grooves open, glabrous to scabrid; auricles not or shortly produced; scarious sheath margins remaining entire; lamina of primary-stemleaves 15-45 mm long.","seed 3 mm diam., slightly rugose.","Primary stems to 50 cm long; branches divaricate to erect. Leaves of branches: lamina divergent to divaricate, 3-15 mm long, pungent, medium to deep green; margins scabrid; nerves 3-5, ±rounded; grooves open, glabrous to scabrid; auricles not or shortly produced; scarious sheath margins remaining entire; lamina of primary-stem leaves 15-45 mm long. Flowers terminal; pedicels 1-4 mm long. Sepals and petals 4-5.5 mm long, white with prominent purple-brown midrib. Stamens 2.5 mm long. Pistil 3 mm long; ovary abruptly narrowed to slender style. Capsule 3-4 mm long, verrucose, rarely smooth; tubercles rounded or flattened, irregular, to 0.3 mm long. Seed 3 mm diam., slightly rugose."
Acanthocarpus preissii,seed_length,minimum,4,mm,good,,,Acanthocarpus preissii,0004,,"leaves of branches: lamina spreading, 1-3 cm long, pungent, grey-green, sometimes dark green; margins smooth or finely scabrid; lamina of primary-stemleaves usually 2-7 cm long.","seed 4-5 mm diam., slightly rugose.","Stems to 70 cm long, sometimes longer; branches ascending or divaricate. Leaves of branches: lamina spreading, 1-3 cm long, pungent, grey-green, sometimes dark green; margins smooth or finely scabrid; veins 7-12, ± flattened; grooves narrow, scabrid; auricles not or shortly produced; scarious sheath margins lacerating; lamina of primary-stem leaves usually 2-7 cm long. Flowers terminal; pedicels 1 mm long. Sepals and petals 3-4 mm long, white with fine purple-brown midrib. Stamens c. 1.5 mm long. Pistil 1.5 mm long, thick. Capsule 5-8 mm long, muricate; tubercles flattened to terete, uncinate, up to 1.5 mm long. Seed 4-5 mm diam., slightly rugose."
Acanthocarpus preissii,seed_length,maximum,5,mm,good,,,Acanthocarpus preissii,0004,,"leaves of branches: lamina spreading, 1-3 cm long, pungent, grey-green, sometimes dark green; margins smooth or finely scabrid; lamina of primary-stemleaves usually 2-7 cm long.","seed 4-5 mm diam., slightly rugose.","Stems to 70 cm long, sometimes longer; branches ascending or divaricate. Leaves of branches: lamina spreading, 1-3 cm long, pungent, grey-green, sometimes dark green; margins smooth or finely scabrid; veins 7-12, ± flattened; grooves narrow, scabrid; auricles not or shortly produced; scarious sheath margins lacerating; lamina of primary-stem leaves usually 2-7 cm long. Flowers terminal; pedicels 1 mm long. Sepals and petals 3-4 mm long, white with fine purple-brown midrib. Stamens c. 1.5 mm long. Pistil 1.5 mm long, thick. Capsule 5-8 mm long, muricate; tubercles flattened to terete, uncinate, up to 1.5 mm long. Seed 4-5 mm diam., slightly rugose."
Acanthocarpus rupestris,seed_length,maximum,2.5,mm,good,,,Acanthocarpus rupestris,0006,,"leaves of branches: lamina divaricate, 7-25 mm long, slender, pungent, dark green; margins finely scabrid; nerves 5, flattened; grooves almost closed, scabrid; auricles triangular to ovate, 1 mm long, lacerating; primary-stemleaves not seen.","seed 2.5 mm diam., somewhat rugose.","Stems to 50 cm long; branches divaricate. Leaves of branches: lamina divaricate, 7-25 mm long, slender, pungent, dark green; margins finely scabrid; nerves 5, flattened; grooves almost closed, scabrid; auricles triangular to ovate, 1 mm long, lacerating; primary-stem leaves not seen. Flowers terminal; pedicels 1-1.5 mm long. Sepals and petals 3-3.5 mm long, white. Stamens 1-1.5 mm long. Pistil 1.5-2 mm long; ovary tapering to ±stout style. Capsule 4-4.5 mm long, verrucose; tubercles irregularly conical, obtuse, to 0.4 mm long. Seed 2.5 mm diam., somewhat rugose."
Adenanthos apiculatus,leaf_length,minimum,5,mm,good,,,Adenanthos apiculatus,0016,"prostrate, spreading shrub often 2 m across, rarely 50 cm tall, without lignotuber.",leaves on shoots very small;,,"Prostrate, spreading shrub often 2 m across, rarely 50 cm tall, without lignotuber. Leaves on shoots very small; those surrounding flowers much longer, deeply segmented, petiolate; laciniae usually 3, terete, 5-20 mm long, c. 0.5 mm diam., usually glabrous; floral leaves with long hairs near base. Perianth c. 13 mm long, pale cream, or with green apex and cream base, hirsute outside. Style c. 25 mm long, after anthesis reflexed at base and dorsally arched, glabrous, rarely with long hairs; ovary hirsute."
Adenanthos apiculatus,leaf_length,maximum,20,mm,good,,,Adenanthos apiculatus,0016,"prostrate, spreading shrub often 2 m across, rarely 50 cm tall, without lignotuber.",leaves on shoots very small;,,"Prostrate, spreading shrub often 2 m across, rarely 50 cm tall, without lignotuber. Leaves on shoots very small; those surrounding flowers much longer, deeply segmented, petiolate; laciniae usually 3, terete, 5-20 mm long, c. 0.5 mm diam., usually glabrous; floral leaves with long hairs near base. Perianth c. 13 mm long, pale cream, or with green apex and cream base, hirsute outside. Style c. 25 mm long, after anthesis reflexed at base and dorsally arched, glabrous, rarely with long hairs; ovary hirsute."
Adenanthos apiculatus,leaf_width,maximum,0.5,mm,good,,,Adenanthos apiculatus,0016,"prostrate, spreading shrub often 2 m across, rarely 50 cm tall, without lignotuber.",leaves on shoots very small;,,"Prostrate, spreading shrub often 2 m across, rarely 50 cm tall, without lignotuber. Leaves on shoots very small; those surrounding flowers much longer, deeply segmented, petiolate; laciniae usually 3, terete, 5-20 mm long, c. 0.5 mm diam., usually glabrous; floral leaves with long hairs near base. Perianth c. 13 mm long, pale cream, or with green apex and cream base, hirsute outside. Style c. 25 mm long, after anthesis reflexed at base and dorsally arched, glabrous, rarely with long hairs; ovary hirsute."
Adenanthos apiculatus,plant_height,maximum,0.5,m,good,,,Adenanthos apiculatus,0016,"prostrate, spreading shrub often 2 m across, rarely 50 cm tall, without lignotuber.",leaves on shoots very small;,,"Prostrate, spreading shrub often 2 m across, rarely 50 cm tall, without lignotuber. Leaves on shoots very small; those surrounding flowers much longer, deeply segmented, petiolate; laciniae usually 3, terete, 5-20 mm long, c. 0.5 mm diam., usually glabrous; floral leaves with long hairs near base. Perianth c. 13 mm long, pale cream, or with green apex and cream base, hirsute outside. Style c. 25 mm long, after anthesis reflexed at base and dorsally arched, glabrous, rarely with long hairs; ovary hirsute."
Adenanthos dobsonii,leaf_length,minimum,10,mm,good,,,Adenanthos dobsonii,0027,"erect shrub to 70 cm tall, with lignotuber.","leaves entire, rarely lobed, sessile, obovate to spathulate, usually less than 10 (-15) mm long and 4 (-10) mm wide, obtuse or rarely emarginate at apex, with short and long appressed hairs giving a silvery sheen, with single, prominent, dorsal apical gland; lobes, if present, 3, circa 4 mm long, with single gland on each apex.",,"Erect shrub to 70 cm tall, with lignotuber. Leaves entire, rarely lobed, sessile, obovate to spathulate, usually less than 10 (-15) mm long and 4 (-10) mm wide, obtuse or rarely emarginate at apex, with short and long appressed hairs giving a silvery sheen, with single, prominent, dorsal apical gland; lobes, if present, 3, c. 4 mm long, with single gland on each apex. Involucral bracts eglandular. Perianth c. 25 mm long, red with cream base, or creamy yellow, shortly hairy outside. Style c. 30 mm long, glabrous except for a few hairs near base; ovary hirsute."
Adenanthos dobsonii,leaf_width,minimum,4,mm,good,,,Adenanthos dobsonii,0027,"erect shrub to 70 cm tall, with lignotuber.","leaves entire, rarely lobed, sessile, obovate to spathulate, usually less than 10 (-15) mm long and 4 (-10) mm wide, obtuse or rarely emarginate at apex, with short and long appressed hairs giving a silvery sheen, with single, prominent, dorsal apical gland; lobes, if present, 3, circa 4 mm long, with single gland on each apex.",,"Erect shrub to 70 cm tall, with lignotuber. Leaves entire, rarely lobed, sessile, obovate to spathulate, usually less than 10 (-15) mm long and 4 (-10) mm wide, obtuse or rarely emarginate at apex, with short and long appressed hairs giving a silvery sheen, with single, prominent, dorsal apical gland; lobes, if present, 3, c. 4 mm long, with single gland on each apex. Involucral bracts eglandular. Perianth c. 25 mm long, red with cream base, or creamy yellow, shortly hairy outside. Style c. 30 mm long, glabrous except for a few hairs near base; ovary hirsute."
Adenanthos drummondii,leaf_length,minimum,5,mm,good,,,Adenanthos drummondii,0028,"diffuse shrub to 1 m tall, with lignotuber.","leaves in tufts at branch apices, deeply segmented; laciniae terete, usually 5, to 10 mm long, less than 0.5 mm diam., with short, appressed hairs.",,"Diffuse shrub to 1 m tall, with lignotuber. Leaves in tufts at branch apices, deeply segmented; laciniae terete, usually 5, to 10 mm long, less than 0.5 mm diam., with short, appressed hairs. Perianth c. 12 mm long, yellow at base, scarlet at apex, pubescent outside and with a tuft of hairs filling throat after anthesis. Style arched sharply in bud, after anthesis sharply recurved at base and almost straight above, hirsute only at base, 30 mm long; ovary shortly hirsute."
Adenanthos forrestii,leaf_length,maximum,15,mm,good,,,Adenanthos forrestii,0033,"diffuse, erect shrub to 1 m tall, with lignotuber.","leaves usually deeply segmented, with a distinct petiole, sometimes entire, to 15 mm long;",,"Diffuse, erect shrub to 1 m tall, with lignotuber. Leaves usually deeply segmented, with a distinct petiole, sometimes entire, to 15 mm long; segments usually 3, spathulate or obovate, to 5 mm long, to 3 mm wide, emarginate with prominent apical gland, with short, appressed hairs, appearing silvery. Perianth to 24 mm long, pale red and cream or cream, with short hairs outside. Style to 30 mm long, glabrous; ovary hirsute."
Adenanthos gracilipes,leaf_width,maximum,1,mm,good,,,Adenanthos gracilipes,0037,"erect shrub to 1.5 m tall, with lignotuber.","leaves densely sclerified, rigid, usually 3-segmented;",,"Erect shrub to 1.5 m tall, with lignotuber. Leaves densely sclerified, rigid, usually 3-segmented; segments simple or bifid, very rarely trifid, terete, c. 1 mm diam., obtuse, glabrous. Perianth c. 25 mm long, cream and reddish pink, hairy on outside. Style c. 30 mm long, glabrous; ovary hirsute."
Adenanthos sericeus,leaf_width,maximum,0.5,mm,good,,,Adenanthos sericeus,0049,"erect shrub or small tree to 3 m tall, sometimes to 5 m, without lignotuber.","leaves deeply segmented into fine terete laciniae, often less than 0.5 mm diam.",,"Erect shrub or small tree to 3 m tall, sometimes to 5 m, without lignotuber. Leaves deeply segmented into fine terete laciniae, often less than 0.5 mm diam. Flowers concealed by floral leaves; perianth c. 28 mm long, scarlet, slightly hirsute outside. Style to 40 mm long, glabrous; ovary glabrous."
Adenanthos sericeus subsp. sphalma,leaf_length,minimum,25,mm,good,,,Adenanthos sericeus subsp. sphalma,0051,,"leaves appressed to branches (shoots therefore not softly bushy); circa 25 mm long, rarely over 30 mm; laciniae usually 6, rarely as many as 12, very rarely to 15, circa 0.6 mm diam.",,"Leaves appressed to branches (shoots therefore not softly bushy); c. 25 mm long, rarely over 30 mm; laciniae usually 6, rarely as many as 12, very rarely to 15, c. 0.6 mm diam."
Adenanthos venosus,plant_height,maximum,1.5,m,good,,,Adenanthos venosus,0055,"diffuse shrub with ascending branches, to circa 1.5 m tall, with lignotuber.","leaves mostly clustered at tips of shoots, entire, sessile, ovate to obovate, to 15 mm long, circa 10 mm wide, acuminate or mucronate-acute, glabrous except at base.",,"Diffuse shrub with ascending branches, to c. 1.5 m tall, with lignotuber. Leaves mostly clustered at tips of shoots, entire, sessile, ovate to obovate, to 15 mm long, c. 10 mm wide, acuminate or mucronate-acute, glabrous except at base. Perianth c. 25 mm long, dull crimson with cream band in centre, with numerous glandular hairs outside, especially on limb. Style c. 40 mm long, glabrous; ovary shortly hairy."
Agapanthus praecox,seed_length,minimum,7,mm,good,,,Agapanthus praecox,0054,stemless herb to circa 1 m tall;,"leaves linear to narrowly lanceolate, obtuse, 40-80 cm long, 3-5 cm wide, sessile.","seeds flattened with a membranous wing, 7-8 mm long.","Stemless herb to c. 1 m tall; rhizome thick, branched. Leaves linear to narrowly lanceolate, obtuse, 40-80 cm long, 3-5 cm wide, sessile. Umbel dense, with numerous flowers; scape 50-100 cm long; pedicels 5-8 cm long. Perianth blue or white; midvein dark; segments 40-60 mm long, fused for 8-15 mm, 5-8 mm wide. Stamens 40-45 mm long; filaments fused to perianth for 20-30 mm, the free parts curved to abaxial side of style; anthers 3-5 mm long, yellow, becoming dark brownish blue. Ovary glabrous, 5-7 mm long; style 15-25 mm long. Capsule elongate-ovoid, trigonous, 25-33 mm long. Seeds flattened with a membranous wing, 7-8 mm long."
