species_name,leaf_width_min_GrassBase_2014,leaf_width_min_Metcalfe_2020_2,leaf_width_min_SAH_2014,leaf_width_min_Wheeler_2002,leaf_width_min_to_keep,original_name
Acrachne racemosa,3,3,NA,NA,omit,Acrachne racemosa
Agrostis avenacea,NA,1,NA,2,keep,Lachnagrostis filiformis
Aira cupaniana,NA,0.3,NA,NA,keep,Aira cupaniana
Alloteropsis cimicina,4,5,NA,NA,keep,Alloteropsis cimicina
Alloteropsis semialata,1,1,NA,NA,omit,Alloteropsis semialata
Amphipogon caricinus,2,2,NA,NA,omit,Amphipogon caricinus var. caricinus
Amphipogon sericeus,NA,2,NA,NA,keep,Amphipogon sericeus
Ancistrachne uncinulata,1,1.4,NA,NA,keep,Ancistrachne uncinulata
Andropogon gayanus,NA,4,NA,NA,keep,Andropogon gayanus
Aristida acuta,1,1,NA,NA,omit,Aristida acuta
Aristida anthoxanthoides,1.5,1.5,NA,NA,omit,Aristida anthoxanthoides
Aristida benthamii,3,3,NA,NA,omit,Aristida benthamii var. benthamii
Aristida benthamii,3,3,NA,NA,omit,Aristida benthamii var. spinulifera
Aristida biglandulosa,3,3,NA,NA,omit,Aristida biglandulosa
Aristida blakei,1,1,NA,NA,omit,Aristida blakei
Aristida burraensis,1,1,NA,NA,omit,Aristida burraensis
Aristida calycina,1,1,NA,NA,omit,Aristida calycina
Aristida calycina,1,1,NA,NA,omit,Aristida calycina var. calycina
Aristida calycina,1,1,NA,NA,omit,Aristida calycina var. praealta
Aristida caput-medusae,0.5,0.5,NA,NA,omit,Aristida caput-medusae
Aristida contorta,1,1,NA,NA,omit,Aristida contorta
Aristida dominii,0.5,0.5,NA,NA,omit,Aristida dominii
Aristida exserta,0.5,0.5,NA,NA,omit,Aristida exserta
Aristida gracilipes,1.5,0.5,NA,NA,keep,Aristida gracilipes
Aristida granitica,0.5,1.5,NA,NA,keep,Aristida granitica
Aristida helicophylla,2,2,NA,NA,omit,Aristida helicophylla
Aristida holathera,2,1.5,NA,NA,keep,Aristida holathera
Aristida holathera,2,1.5,NA,NA,keep,Aristida holathera var. holathera
Aristida hygrometrica,0.8,0.8,NA,NA,omit,Aristida hygrometrica
Aristida inaequiglumis,2.3,2.3,NA,NA,omit,Aristida inaequiglumis
Aristida ingrata,3,3,NA,NA,omit,Aristida ingrata
Aristida jerichoensis,2,2,NA,NA,omit,Aristida jerichoensis
Aristida jerichoensis,2,2,NA,NA,omit,Aristida jerichoensis var. jerichoensis
Aristida jerichoensis,2,2,NA,NA,omit,Aristida jerichoensis var. subspinulifera
Aristida latifolia,2,2,NA,NA,omit,Aristida latifolia
Aristida lazaridis,2,2,NA,NA,omit,Aristida lazaridis
Aristida leptopoda,3.5,3.5,NA,NA,omit,Aristida leptopoda
Aristida lignosa,2,2,NA,NA,omit,Aristida lignosa
Aristida longicollis,2,2,NA,NA,omit,Aristida longicollis
