gen spp,site_text,C3C4,Nfixer,growth form,deciduous/evergreen,leaf Nmass,leaf Pmass,delta 13C,15-N
Cymbopogon refractus,Monklands,C4,N,G,E,0.91,0.09,-12.80,2.37
Digitaria ammophila,Monklands,C4,N,G,E,1.12,0.08,-12.79,2.25
Eucalyptus Melanophloia,Monklands,C3,N,T,E,1.01,0.05,-28.02,3.39
Hakea sp.,Monklands,C3,N,T,E,0.66,0.03,-27.20,3.71
Panicum effusum,Monklands,C4,N,G,E,0.96,0.08,-13.70,2.15
Themeda triandra,Monklands,C4,N,G,E,0.81,0.08,-12.94,1.70
Triodia sp.,Monklands,C4,N,G,E,0.67,0.07,-14.03,2.09
Acacia coriacea,Summerdell,C3,Y,T,E,1.21,0.04,-27.51,-1.33
Acacia excelsa,Summerdell,C3,Y,T,E,1.71,0.04,-28.54,-0.61
Allocasuarina luehmannii,Summerdell,C3,N,T,E,1.88,0.07,-28.48,-0.31
Aristida holathera,Summerdell,C4,N,G,E,0.76,0.05,-13.30,2.84
Chrysopogon fallax,Summerdell,C4,N,G,E,0.83,0.08,-12.20,1.90
Cymbopogon refractus,Summerdell,C4,N,G,E,0.96,0.08,-12.21,2.66
Digitaria ammophila,Summerdell,C4,N,G,E,1.24,0.09,-12.39,1.97
Eucalyptus Melanophloia,Summerdell,C3,N,T,E,0.96,0.06,-28.43,1.66
Eucalyptus populnea,Summerdell,C3,N,T,E,1.16,0.08,-27.83,1.10
Hakea sp.,Summerdell,C3,N,T,E,0.66,0.04,-28.18,4.01
Heteropogon contortus,Summerdell,C4,N,G,E,1.20,0.12,-13.17,1.64
Panicum effusum,Summerdell,C4,N,G,E,1.22,0.11,-13.43,0.90
Themeda triandra,Summerdell,C4,N,G,E,0.93,0.08,-12.61,0.71
Triodia sp.,Summerdell,C4,N,G,E,0.79,0.06,-13.91,1.93
