dataset_id,taxon_name,closest_names,keep,reason
White_2020,Acacia fimbriata x pravissima,Acacia fimbriata x Acacia pravissima,1,"Change wording for hybrid species (Elizabeth Wenk, 2020-06-25)"
White_2020,Acacia irrorata X parvipinnula,Acacia  irrorata x Acacia parvipinnula,1,"Change wording for hybrid species (Elizabeth Wenk, 2020-06-25)"
White_2020,Caladenia sp. aff. fragrantissima (Central Victoria),Caladenia sp. aff. fragrantissima (Central Vic),1,"Alignment with known name in APNI names (Elizabeth Wenk, 2020-06-25)"
White_2020,Callistemon c.f. sieberi,Callistemon sieberi,1,"Alignment with known name in APC list (accepted) (Elizabeth Wenk, 2020-06-25)"
White_2020,Callitris glaucophylla - C. verrucosa,Callitris glaucophylla x Callitris verrucosa,1,"Change wording for graded/hybrid species (Elizabeth Wenk, 2020-06-25)"
White_2020,Calochilus sp. aff. campestris (Moondarra),Calochilus sp. 'Moondarra',1,"Alignment with known name in APNI names (Elizabeth Wenk, 2020-06-25)"
White_2020,Cardamine gunnii variant spathulate-leaved,"Cardamine gunnii, spathulate-leaved variant",1,"Alignment with known name in APNI names (Elizabeth Wenk, 2020-06-25)"
White_2020,Cardamine paucijuga s.s. (forest form),Cardamine paucijuga,1,"Alignment with known name in APC list (accepted) (Elizabeth Wenk, 2020-06-25)"
White_2020,Chrysocephalum semiamplexicaule,Chrysocephalum apiculatum subsp. semiamplexicaule,1,"Alignment with known name in APC list (accepted) (Elizabeth Wenk, 2020-06-25)"
White_2020,Clematis microphylla var. microphylla spp. agg.,Clematis microphylla var. microphylla,1,"Alignment with known name in APC list (known names) (Elizabeth Wenk, 2020-06-25)"
White_2020,Convolvulus erubescens spp. agg.,Convolvulus erubescens,1,"Alignment with known name in APC list (accepted) (Elizabeth Wenk, 2020-06-25)"
White_2020,Coronidium scorpioides 'aff. rutidolepis (Alps)' varian,Coronidium monticola,1,"Alignment with known name in APC list (accepted) (Elizabeth Wenk, 2020-06-25)"
White_2020,Coronidium scorpioides 'aff. rutidolepis (Lowland Swamp,Coronidium gunnianum,1,"Alignment with known name in APC list (accepted) (Elizabeth Wenk, 2020-06-25)"
White_2020,Coronidium scorpioides 'rutidolepis s.l.' variant,Coronidium scorpioides,1,"Alignment with known name in APC list (accepted) (Elizabeth Wenk, 2020-06-25)"
