ID,Ref,Long,Lat,leaf_area_m2,dry_mass_g,LMA_g/m2,N_per_area_g/m2,N_per_dry_mass_g/g,thickness_m,water_per_leaf_area_g/m2,liquid_content_%,taxonomy,Species,Country,Common name,Comments
1,1,150.2,-35.7,0.00274,0.332,121,1.4,0.0115,,,,D,Eucalyptus maculata,Australia,,Batemans Bay
2,1,150.2,-35.7,0.00285,0.366,128,1.5,0.0116,,,,D,Eucalyptus pilularis,Australia,,Batemans Bay
3,1,149.2,-35.3,0.00192,0.344,180,3,0.0168,,,,D,Eucalyptus blakelyi,Australia,,Canberra
4,1,149.2,-35.3,0.00092,0.164,178,3,0.017,,,,D,Eucalyptus melliodora,Australia,,Canberra
5,1,146.1,-35.2,0.00075,0.23,307,4,0.0129,,,,D,Eucalyptus gracilis,Australia,,Rankin Spring (near Griffith)
6,1,146.1,-35.2,0.00123,0.358,291,3.7,0.0127,,,,D,Eucalyptus socialis,Australia,,Rankin Spring (near Griffith)
7,2,143,-33.7,0.0007,,341,3.9,0.0116,,274,44.5,D,Eucalyptus spp. (various),Australia,,"Lake Mungo, Rich"""
8,2,142,-35.5,0.00128,,249,2,0.0082,,214,47.8,D,Eucalyptus spp. (various),Australia,,"Wyperfeld, Rich"""
9,2,147.5,-34.4,0.00298,,281,3.1,0.0109,,225,44.9,D,Eucalyptus spp. (various),Australia,,"Ingalba, Rich"""
10,2,149.1,-34.8,0.00228,,188,2,0.0104,,153,44.9,D,Eucalyptus spp. (various),Australia,,"Mundoonen, Rich"""
11,2,144.2,-37.9,0.0023,,172,2.1,0.0121,,165,48.7,D,Eucalyptus spp. (various),Australia,,"Brisbane Ranges, Rich"""
12,2,146.8,-36.5,0.00167,,108,1.4,0.0131,,133,55,D,Eucalyptus spp. (various),Australia,,"Stanley Plateau, Rich"""
13,2,146.8,-36.7,0.00086,,130,1.8,0.0138,,90,40.4,D,Eucalyptus spp. (various),Australia,,"Mt Buffalo, Rich"""
14,2,143,-33.7,0.00088,,370,3.7,0.0102,,228,38.3,D,Eucalyptus spp. (various),Australia,,"Lake Mungo, Poor"""
15,2,142,-35.5,0.00054,,348,3,0.0087,,255,42.2,D,Eucalyptus spp. (various),Australia,,"Wyperfeld, Poor"""
16,2,147.5,-34.4,0.00133,,242,3.3,0.0135,,183,43.5,D,Eucalyptus spp. (various),Australia,,"Ingalba, Poor"""
17,2,149.1,-34.8,0.00126,,242,2.4,0.0106,,170,42.1,D,Eucalyptus spp. (various),Australia,,"Mundoonen, Poor"""
18,2,144.2,-37.9,0.00177,,233,2.4,0.0105,,242,51,D,Eucalyptus spp. (various),Australia,,"Brisbane Ranges, Rich"""
19,2,146.8,-36.5,0.00272,,176,2.1,0.0122,,190,51.9,D,Eucalyptus spp. (various),Australia,,"Stanley Plateau, Poor"""
20,2,146.8,-36.7,0.00253,,151,1.8,0.0122,,100,46,D,Eucalyptus spp. (various),Australia,,"Mt Buffalo, Poor"""
21,3,138.7,-35,,,250,2.04,0.0082,0.00044,,,D,Eucalyptus baxteri,Australia,,"Mt Lofty, SA"""
22,3,138.7,-35,,,227,2.13,0.0094,0.00042,,,D,Eucalyptus obliqua,Australia,,"Mt Lofty, SA"""
23,3,138.6,-35,,,263,3.07,0.0117,0.00042,,,D,Eucalyptus leuc,Australia,,"Green Hill, SA"""
24,3,138.6,-35,,,232,2.25,0.0097,0.00032,,,D,Eucalyptus microcarpa,Australia,,"Green Hill, SA"""
25,3,138.6,-35,,,164,3.09,0.0189,0.00028,,,D,Eucalyptus viminalis,Australia,,"Green Hill, SA"""
26,3,147.2,-33.9,,,278,3.58,0.0129,0.00047,,,D,Eucalyptus behriana,Australia,,"West Wyalong, NSW"""
27,3,139.3,-34.4,,,385,4,0.0104,0.00063,,,D,Eucalyptus socialis,Australia,,"Blanchedown-Truro, SA"""
28,3,141.2,-34.3,,,357,3.71,0.0104,0.0006,,,D,Eucalyptus socialis,Australia,,"Mildura, Vic"""
29,3,139.8,-35.6,,,313,2.13,0.0068,0.00052,,,D,Eucalyptus diversifolia,Australia,,"Ki Ki, SA"""
