taxon_name,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type
Hydrocotyle,herb,prostrate stoloniferous,,annual perennial,stolon,,
Hydrocotyle sp. Watarrka,herb,prostrate,,short_lived_perennial annual perennial,,,
Hydrocotyle sp. Harts Range,herb,prostrate,,short_lived_perennial annual perennial,,,
Hydrocotyle grammatocarpa,herb,prostrate,,short_lived_perennial annual,,,
Hydrocotyle trachycarpa,herb,prostrate,,annual,,,
Platysace,,,,,,,
Platysace arnhemica,,,,,,,
Trachymene,,,,,,,
Trachymene bialata,,,,,,,
Trachymene umbratica,,,,,,,
Trachymene didiscoides,herb,,,perennial,,,
Trachymene dusenii,,,,,,,
Trachymene gilleniae,herb,erect spreading,,short_lived_perennial annual,,,
Trachymene glandulosa,,,,,,,
Trachymene glaucifolia,herb,erect,,short_lived_perennial annual,,,
Trachymene inflata,,,,,,,
Trachymene longipedunculata,,,,,,,
Trachymene microcephala,herb,,,perennial,,,
Trachymene psammophila,,,,,,,
Trachymene rotundifolia,,,,,,,
Trachymene villosa,,,,,,,
,,,,,,,
Alstonia,tree shrub,,,perennial,,,
Alstonia actinophylla,tree,,,,,,
Alstonia spectabilis,,,,,,,
Alyxia,climber_liana subshrub shrub,,,perennial,,,
Alyxia spicata,climber_liana subshrub,scandent,,,,,
Carissa,tree shrub,,,perennial,,,
Carissa lanceolata,shrub,sprawling,,,,,
Catharanthus,subshrub herb,,,annual perennial,,,
Catharanthus roseus,subshrub herb,,,,,,
Cerbera,,,,,,,
Cerbera manghas,tree,,,,,,
Ichnocarpus,climber_liana subshrub,,,perennial,,,
Ichnocarpus frutescens,climber_liana,scandent,,,,,
Melodinus,climber_liana subshrub,,,perennial,,,
Melodinus forbesii,climber_vine,twining,,,,,
Parsonsia,climber_liana climber_twiner,,,perennial,,,
Parsonsia alboflavescens,,,,,,,
Parsonsia sp. Melville Island,climber_vine,twining,,,,,
Parsonsia velutina,climber_liana,,,,,,
Tabernaemontana,tree shrub,,,perennial,,,
Tabernaemontana orientalis,tree shrub,,,,,,
Wrightia,tree shrub,,,perennial,,,
Wrightia pubescens,tree shrub,,,,,,
Wrightia saligna,tree shrub,,,,,,
,,,,,,,
Aponogeton,,,,,,,
,,,,,,,
Ilex,,,,,,,
Ilex arnhemensis,tree,,,,,,
Ilex arnhemensis,,,,,,,
,,,,,,,
Amorphophallus,,,,,,,
Amorphophallus galbra,,,,,,,
Amorphophallus paeoniifolius,,,,annual perennial,,,
Colocasia,,,,,,,
Colocasia esculenta,herb,stoloniferous decumbent,,,rhizome stolon,,
Epipremnum,,,,,,,
Epipremnum amplissimum,,,,,,,
Typhonium mirabile,herb,,,annual,,,
Pistia,,,,,,,
Pistia stratiotes,herb,stoloniferous,,,stolon,,
Remusatia,,,,,,,
Remusatia vivipara,,,,,,,
Typhonium,,,,,,,
Typhonium alismifolium,,,,,,,
Typhonium angustilobum,,,,,,,
Typhonium cochleare,,,,,,,
Typhonium flagelliforme,herb,,,,,,
Typhonium jonesii,geophyte herb,,,annual perennial,,,
Typhonium liliifolium,geophyte herb,,,perennial,,,
Typhonium russell-smithii,,,,,,,
,,,,,,,
Mackinlaya,,,,,,,
Mackinlaya macrosciadea,,,,,,,
Polyscias,,,,,,,
Polyscias australiana,,,,,,,
Schefflera,,,,,,,
Schefflera actinophylla,,,,,,,
,,,,,,,
Arenga,,,,,,,
Carpentaria,,,,,,,
Carpentaria acuminata,,,,,,,
Corypha,,,,,,,
Corypha utan,tree,,,,,,
Hydriastele ramsayi,,,,,,,
Hydriastele,,,,,,,
Hydriastele wendlandiana,palm,,,,,,
Livistona,,,,,,,
Livistona benthamii,tree,,,,,,
Livistona humilis,,,,,,,
Livistona inermis,,,,,,,
Livistona mariae,palm,,,,,,
Nypa,,,,,,,
Nypa fruticans,palm,prostrate,,,,,
Phoenix,,,,,,,
Phoenix dactylifera,,,,,,,
Ptychosperma,,,,,,,
,,,,,,,
Aristolochia,shrub herb,twining,,perennial,,,
Aristolochia holtzei,herb,,,perennial,,,
Aristolochia pubera,herb,prostrate twining,,perennial,,,
Asclepias,,,,,,,
Asclepias curassavica,,,,,,,
Brachystelma,geophyte,,,,,,
Brachystelma glabriflorum,geophyte,,,,,,
Calotropis,tree shrub,,,,,,
Calotropis gigantea,tree,,,,,,
Calotropis procera,shrub,,,,,,
Cryptostegia,climber_liana subshrub,scrambling,,,,,
Cryptostegia madagascariensis,shrub,,,,,,
Cryptostegia madagascariensis,climber_vine,,,,,,
Cryptostegia madagascariensis,,,,,,,
Cynanchum,subshrub aquatic_herb climber_vine,,,perennial,,terrestrial aquatic,
Vincetoxicum carnosum,climber,,,,,,
Cynanchum floribundum,subshrub shrub climber,,,,,,
Cynanchum leptolepis,,,,,,,
Cynanchum pedunculatum,climber_vine_woody,,,,,,
Cynanchum puberulum,climber_vine_woody,,,,,,
Finlaysonia,,,,,,,
Finlaysonia obovata,,,,,,,
Gymnanthera,climber_liana shrub,,,,,,
Gymnanthera cunninghamii,shrub,,,,,,
Gymnanthera oblonga,climber_liana,,,,,,
Heterostemma,,,,,,,
Heterostemma magnificum,,,,,,,
Hoya,lithophyte subshrub epiphyte climber_vine,,,,,epiphyte lithophyte,
Hoya australis,subshrub climber_vine,,,,,,
Hoya australis,climber_vine,scrambling,,,,,
Hoya australis,subshrub climber_vine,trailing,,perennial,,,
Marsdenia,climber_liana subshrub,,,perennial,,,
Marsdenia angustata,subshrub,,,,,,
Marsdenia australis,climber,,,perennial,,,
Marsdenia glandulifera,climber_vine_herbaceous,,,,,,
Marsdenia hemiptera,climber_vine_herbaceous,,,,,,
Marsdenia velutina,climber_vine_woody,,,,,,
Marsdenia viridiflora,climber_vine_woody,,,,,,
Vincetoxicum,,,,,,,
Vincetoxicum lineare,climber,,,perennial,,,
Sarcolobus,climber_liana,,,perennial,,,
Sarcolobus hullsii,climber_vine,,,,,,
Sarcolobus ritae,,,,,,,
Huberantha,,,,,,,
Cynanchum brevipedicellatum,,,,,,,
Oxystelma esculentum,,twining,,perennial,,,
Cynanchum viminale,,,,,,,
Cynanchum viminale,subshrub shrub climber_vine,dense,,,,,
Cynanchum viminale,subshrub climber_twiner,,,,,,
Secamone,climber_liana,,,,,,
Secamone elliptica,climber_vine_woody,,,,,,
Tylophora,subshrub climber_vine,,,perennial,,,
Vincetoxicum polyanthum,,,,,,,
Vincetoxicum cinerascens,climber_vine_woody,,,,,,
Vincetoxicum erectum,,,,,,,
Vincetoxicum flexuosum,climber_vine,,,,,,
,fern,,,,,terrestrial,
Asplenium,epiphyte,,,,,terrestrial epiphyte,
Asplenium polyodon,fern,erect,,,,,
Pleurosorus,lithophyte,,,,,terrestrial lithophyte,
Pleurosorus rutifolius,,erect,,,rhizome,,
Pleurosorus subglandulosus,,erect,,,rhizome,,
,,,,,,,
Acanthospermum,herb,,,annual perennial,,,
Acanthospermum hispidum,herb,,,annual,,,
Acmella,,,,,,,
Acmella grandiflora,,,,,,,
Acmella grandiflora,,,,,,,
Acmella grandiflora,,,,,,,
Acomis,,,,,,,
Acomis kakadu,,,,,,,
Actinobole,,,,,,,
Actinobole uliginosum,herb,,,annual,,,
Adenostemma,,,,,,,
Adenostemma lavenia,,,,,,,
Ageratum,,,,,,,
Ageratum conyzoides,,,,,,,
Allopterigeron,,,,,,,
Allopterigeron filifolius,herb,,,annual,,,
Anemocarpa,,,,,,,
Anemocarpa podolepidium,,,,,,,
Anemocarpa saxatilis,subshrub herb,,,perennial,,,
Angianthus,,,,,,,
Angianthus cyathifer,,,,,,,
Arctotheca,,,,,,,
Arctotheca calendula,herb,prostrate spreading,,annual,,,
Symphyotrichum subulatum,,,,,,,
Bidens,,,,,,,
Bidens bipinnata,herb,,,,,,
Bidens pilosa,herb,,,,,,
Bidens subalternans,,,,,,,
Blumea,,,,,,,
Blumea axillaris,herb,,,annual,,,
Blumea benthamiana,herb,erect,,annual,,,
Blumea diffusa,herb,prostrate erect decumbent,,annual,,,
Blumea integrifolia,herb,prostrate erect,,annual,,,
Blumea lacera,herb,erect,,annual,,,
Blumea pungens,shrub,,,,,,
Blumea saxatilis,herb,erect,,annual,,,
Blumea tenella,herb,,,annual,,,
Brachyscome,,,,,,,
Brachyscome blackii,herb,,,perennial,,,
Brachyscome ciliaris,,,,,,,
Brachyscome ciliaris,,,,,,,
Brachyscome ciliaris,,,,,,,
Brachyscome ciliaris,,,,,,,
Brachyscome iberidifolia,,,,,,,
Brachyscome tesquorum,,,,,,,
Calocephalus,,,,,,,
Calocephalus knappii,,,,,,,
Calocephalus platycephalus,,,,,,,
Calotis,,,,,,,
Calotis breviseta,,,,,,,
Calotis cuneifolia,,,,,,,
Calotis cymbacantha,,,,,,,
Calotis erinacea,,,,,,,
Calotis hispidula,,,,,,,
Calotis kempei,,,,,,,
Calotis latiuscula,,,,,,,
Calotis plumulifera,,,,,,,
Calotis porphyroglossa,,,,,,,
Calotis squamigera,,,,,,,
Camptacra,,,,,,,
Camptacra gracilis,,,,,,,
Carthamus,,,,,,,
Carthamus lanatus,,,,,,,
Carthamus tinctorius,,,,,,,
Centipeda,,,,,,,
Centipeda minima,herb,prostrate,,annual,,,
Centipeda racemosa,,,,,,,
Centipeda thespidioides,,,,,,,
Chrysocephalum,,,,,,,
Chrysocephalum apiculatum,,,,,,,
Chrysocephalum eremaeum,,,,,,,
Chrysocephalum pterochaetum,,,,,,,
Pentalepis,,,,,,,
Pentalepis ecliptoides,,,,,,,
Chthonocephalus,,,,,,,
Chthonocephalus pseudevax,,,,,,,
Coleocoma,,,,,,,
Coleocoma centaurea,,,,,,,
Conyza,,,,,,,
Erigeron bonariense,,,,,,,
Cotula,,,,,,,
Cotula australis,,,,,,,
Cratystylis,,,,,,,
Cremnothamnus,,,,,,,
Cremnothamnus thomsonii,,,,,,,
Cyanthillium,,,,,,,
Cyanthillium cinereum,,,,,,,
Dichromochlamys,,,,,,,
Dichromochlamys dentatifolia,,,,,,,
Diodontium,,,,,,,
Diodontium filifolium,,,,,,,
Dittrichia,,,,,,,
Dittrichia graveolens,,,,,,,
Eclipta,,,,,,,
Eclipta alatocarpa,herb,decumbent,,annual,,,
Eclipta prostrata,herb,prostrate erect,,annual,,,
Elephantopus,,,,,,,
Elephantopus scaber,,,,,,,
Eleutheranthera,,,,,,,
Eleutheranthera ruderalis,herb,,,annual,,,
Emilia,,,,,,,
Emilia sonchifolia,,,,,,,
Sphaeromorphaea australis,,,,,,,
Eriochlamys,,,,,,,
Eriochlamys eremaea,,,,,,,
Euchiton,,,,,,,
Euchiton sphaericus,,,,,,,
Flaveria,,,,,,,
Flaveria australasica,,,,,,,
Glossocardia,,,,,,,
Glossocardia bidens,herb,,,,,,
Gnaphalium,,,,,,,
Gnaphalium diamantinensis,,,,,,,
Gnephosis,,,,,,,
Gnephosis arachnoidea,,,,,,,
Gnephosis eriocarpa,,,,,,,
Gnephosis tenuissima,,,,,,,
Hedypnois,,,,,,,
Hedypnois cretica,,,,,,,
Helianthus,,,,,,,
Helianthus annuus,,,,,,,
Hypochoeris,,,,,,,
Hypochoeris glabra,,,,,,,
Hypochoeris radicata,,,,,,,
Iotasperma,,,,,,,
Iotasperma australiense,,,,,,,
Ixiochlamys,,,,,,,
Ixiochlamys cuneifolia,,,,,,,
Ixiochlamys filicifolia,,,,,,,
Ixiochlamys integerrima,,,,,,,
Ixiochlamys nana,,,,,,,
Kippistia,,,,,,,
Kippistia suaedifolia,,,,,,,
Lactuca,,,,,,,
Lactuca sativa,,,,,,,
Lactuca serriola,,,,,,,
Lawrencella,,,,,,,
Lawrencella davenportii,,,,,,,
Leucochrysum,,,,,,,
Leucochrysum fitzgibbonii,,,,,,,
Leucochrysum stipitatum,,,,,,,
Wollastonia,,,,,,,
Melanthera biflora,,,,,,,
Millotia,,,,,,,
Millotia greevesii,,,,,,,
Millotia greevesii,,,,,,,
Minuria,,,,,,,
Minuria cunninghamii,,,,,,,
Minuria denticulata,,,,,,,
Minuria integerrima,,,,,,,
Minuria leptophylla,,,,,,,
Minuria multiseta,,,,,,,
Minuria tridens,subshrub,,,,,,
Myriocephalus,,,,,,,
Myriocephalus rudallii,,,,,,,
Olearia,,,,,,,
Olearia arguta,,,,,,,
Olearia arguta,,,,,,,
Olearia ferresii,shrub,,,,,,
Olearia macdonnellensis,shrub,,,,,,
Olearia stuartii,subshrub shrub,,,,,,
Olearia subspicata,shrub,,,,,,
Olearia xerophila,,,,,,,
Osteospermum,,,,,,,
Osteospermum muricatum,,,,,,,
Ozothamnus,,,,,,,
Ozothamnus kempei,,,,,,,
Parthenium,,,,,,,
Parthenium hysterophorus,,,,,,,
Phacellothrix,,,,,,,
Phacellothrix cladochaeta,,,,,,,
Pleurocarpaea,,,,,,,
Pleurocarpaea denticulata,herb,,,annual perennial,,,
Pleurocarpaea fasciculata,herb,,,,,,
Pluchea,,,,,,,
Pluchea dentex,,,,,,,
Pluchea indica,,,,,,,
Pluchea rubelliflora,herb,,,perennial,,,
Pluchea tetranthera,,,,,,,
Podolepis,,,,,,,
Podolepis canescens,,,,,,,
Pterocaulon,,,,,,,
Pterocaulon globuliflorum,,,,,,,
Pterocaulon niveum,,,,,,,
Pterocaulon serrulatum,,,,,,,
Pterocaulon serrulatum,,,,,,,
Pterocaulon sphacelatum,,,,,,,
Pterocaulon sphaeranthoides,,,,,,,
Pterocaulon verbascifolium,,,,,,,
Pycnosorus,,,,,,,
Pycnosorus eremaeus,,,,,,,
Pycnosorus pleiocephalus,,,,,,,
Rhodanthe,,,,,,,
Rhodanthe charsleyae,,,,,,,
Rhodanthe citrina,,,,,,,
Rhodanthe floribunda,,,,,,,
Rhodanthe gossypina,,,,,,,
Rhodanthe laevis,,,,,,,
Rhodanthe microglossa,,,,,,,
Rhodanthe moschata,,,,,,,
Rhodanthe stricta,,,,,,,
Rhodanthe tietkensii,,,,,,,
Rhodanthe uniflora,,,,,,,
Rutidosis,,,,,,,
Rutidosis helichrysoides,,,,,,,
Schoenia,,,,,,,
Schoenia ayersii,,,,,,,
Schoenia cassiniana,,,,,,,
Schoenia ramosissima,,,,,,,
Senecio,,,,,,,
Senecio glossanthus,,,,,,,
Senecio laceratus,,,,,,,
Senecio lautus,,,,,,,
Senecio magnificus,,,,,,,
Sigesbeckia,,,,,,,
Sigesbeckia australiensis,,,,,,,
Sonchus,,,,,,,
Sonchus oleraceus,,,,,,,
Sphaeranthus,,,,,,,
Sphaeranthus africanus,herb,,,short_lived_perennial annual,,,
Sphaeranthus indicus,herb,erect,,annual,,,
Streptoglossa,,,,,,,
Streptoglossa adscendens,,,,,,,
Streptoglossa bubakii,,,,,,,
Streptoglossa cylindriceps,,,,,,,
Streptoglossa decurrens,,,,,,,
Streptoglossa liatroides,,,,,,,
Streptoglossa macrocephala,,,,,,,
Streptoglossa odora,,,,,,,
Synedrella,,,,,,,
Synedrella nodiflora,herb,erect,,annual,,,
Taraxacum,,,,,,,
Taraxacum officinale,,,,,,,
Thespidium,,,,,,,
Thespidium basiflorum,subshrub,prostrate erect decumbent,,perennial,,,
Tietkensia,,,,,,,
Tietkensia corrickiae,,,,,,,
Trichanthodium,,,,,,,
Trichanthodium skirrophorum,,,,,,,
Tridax,,,,,,,
Tridax procumbens,,,,,,,
Verbesina,,,,,,,
Verbesina encelioides,,,,,,,
Cyanthillium patulum,,,,,,,
Vittadinia,,,,,,,
Vittadinia sp. Keep River,,,,,,,
Vittadinia dissecta,,,,,,,
Vittadinia dissecta,,,,,,,
Vittadinia eremaea,,,,,,,
Vittadinia pterochaeta,,,,,,,
Vittadinia pustulata,,,,,,,
Vittadinia sulcata,,,,,,,
Waitzia,,,,,,,
Waitzia acuminata,,,,,,,
Waitzia acuminata,,,,,,,
Wedelia,,,,,,,
Wedelia asperrima,,,,,,,
Blainvillea cunninghamii,,,,,,,
Wedelia stirlingii,,,,,,,
Wedelia urticifolia,,,,,,,
Wedelia verbesinoides,,,,,,,
Xanthium,,,,,,,
Xanthium spinosum,,,,,,,
Xanthium strumarium,,,,,,,
Azolla,fern aquatic,,,,rhizome,,
Azolla pinnata,,,,,,,
,,,,,,,
Batis,shrub,,,,,,dioecious monoecious
Batis argillicola,shrub,,,,,,monoecious
,,,,,,,
Dolichandrone,,,,,,,
Dolichandrone alternifolia,,,,,,,
Dolichandrone filiformis,,,,,,,
Dolichandrone heterophylla,,,,,,,
Pandorea,,,,,,,
Pandorea doratoxylon,climber_woody shrub,,,,,,
Spathodea,,,,,,,
Spathodea campanulata,,,,,,,
,,,,,,,
Cochlospermum,tree shrub herb,,,,,,
Cochlospermum fraseri,tree shrub,,,,,,
Cochlospermum fraseri,,,,,,,
Cochlospermum fraseri,,,,,,,
Cochlospermum gillivraei,tree shrub,,,,,,
Cochlospermum gregorii,tree,,,,,,
,,,,,,,
Blechnum,,erect,,,rhizome,,
Telmatoblechnum indicum,,,,,rhizome,,
Blechnum orientale,,erect,,,rhizome,,
Doodia caudata,,erect,,,rhizome,,
Stenochlaena,,scrambling,,,rhizome,,
Stenochlaena palustris,,scrambling,,,rhizome,,
Adansonia,tree,,,,,,
Adansonia gregorii,tree,,,,,,
Bombax,tree,,,,,,
Bombax ceiba,tree,,,,,,
Camptostemon,,,,,,,
Camptostemon schultzii,tree shrub,,,,,,
,tree climber_liana shrub herb,,,,,,
Amsinckia,,,,,,,
Amsinckia calycina,herb,,,annual,,,
Buglossoides,,,,,,,
Buglossoides arvensis,herb,,,annual,,,
Coldenia,herb,,,annual,,,
Coldenia procumbens,herb,prostrate mat_forming,,,,,
Cordia,,,,,,,
Cordia dichotoma,,,,,,,
Cordia subcordata,,,,,,,
Cynoglossum,,,,,,,
Cynoglossum australe,herb,,,,,,
Echium,,,,,,,
Echium plantagineum,herb,,,annual,,,
Ehretia,,,,,,,
Ehretia saligna,,,,,,,
Halgania,,,,,,,
Halgania cyanea,,,,,,,
Halgania erecta,subshrub shrub,,,,,,
Halgania glabra,,,,,,,
Halgania solanacea,,,,,,,
Heliotropium,herb,,,annual perennial,,,dioecious
Heliotropium alcyonium,,,,annual,,,
Heliotropium ammophilum,,,,short_lived_perennial annual,,,
Heliotropium asperrimum,shrub herb,spreading,,perennial,,,
Heliotropium ballii,,,,,,,
Heliotropium brachythrix,herb,,,annual,,,
Heliotropium bracteatum,,,,,,,
Heliotropium conocarpum,herb,,,annual,,,
Heliotropium cunninghamii,herb,,,annual,,,
Heliotropium curassavicum,,prostrate,,annual perennial,,,
Heliotropium diversifolium,,,,,,,
Heliotropium epacrideum,,,,,,,
Heliotropium euodes,,,,,,,
Heliotropium fasciculatum,,,,,,,
Heliotropium filaginoides,,,,,,,
Heliotropium flintii,subshrub herb,spreading,,annual,,,
Heliotropium foliatum,,,,,,,
Heliotropium foveolatum,,,,,,,
Heliotropium glabellum,shrub herb,spreading,,annual perennial,,,
Heliotropium glanduliferum,,,,,,,
Heliotropium haesum,herb,,,annual,,,
Heliotropium indicum,herb,,,annual,,,
Heliotropium inexplicitum,herb,,,short_lived_perennial annual,,,
Heliotropium leptaleum,,,,,,,
Heliotropium moorei,herb,,,annual,,,
Heliotropium ovalifolium,herb,,,perennial,,,
Heliotropium pachyphyllum,herb,,,perennial,,,
Heliotropium plumosum,,,,,,,
Heliotropium prostratum,,,,,,,
Heliotropium pulvinum,,,,,,,
Heliotropium ramulipatens,,,,,,,
Heliotropium rhadinostachyum,,,,,,,
Heliotropium skeleton,herb,,,perennial,,,
Heliotropium sphaericum,,,,,,,
