site,Species,SLA,leaf thickness (mm),leaf N (mg/g),leaf P (mg/g),LMA,Leaf Area (mm2)
Coomallo Creek Mt Lesueur_70,Hakea anadenia,39.9,0.395,6.48,0.41,250.9,361.9
Coomallo Creek Mt Lesueur_70,Hakea auriculata,20.3,0.980,5.4,0.15,492.3,109.5
Coomallo Creek Mt Lesueur_70,Hakea conchifolia,43.3,0.348,5.94,0.18,231.1,1711.2
Coomallo Creek Mt Lesueur_70,Hakea costata,56.1,0.260,3.34,0.25,178.3,12.5
Coomallo Creek Mt Lesueur_70,Hakea eneabba,24.9,0.660,4.32,0.13,402.4,419.1
Coomallo Creek Mt Lesueur_70,Hakea flabellifolia,18.2,0.843,4.96,0.12,550.9,651.5
Coomallo Creek Mt Lesueur_70,Hakea incrassata,24.2,0.638,6.48,0.19,413.2,424.9
Coomallo Creek Mt Lesueur_70,Hakea longiflora,34.6,0.608,2.8,0.1,288.8,25.4
Coomallo Creek Mt Lesueur_70,Hakea marginata,44.1,0.203,5.4,0.16,226.6,110.2
Coomallo Creek Mt Lesueur_70,Hakea megalosperma,37.6,0.630,3.78,0.1,265.8,730.9
Coomallo Creek Mt Lesueur_70,Hakea neurophylla,30.1,0.663,5.4,0.15,332.4,1174.5
Coomallo Creek Mt Lesueur_70, Hakea prostrata ,28.8,0.588,7.77,0.21,347.6,401.7
Coomallo Creek Mt Lesueur_70,Hakea psilorryncha,15.6,1.683,3.45,0.1,640.1,83.6
Coomallo Creek Mt Lesueur_70,Hakea spathulata,31.3,0.510,4.96,0.19,319.5,211.6
Coomallo Creek Mt Lesueur_70,Hakea trifurcata (broad),26.7,0.503,,,374.5,152.3
Coomallo Creek Mt Lesueur_70,Hakea trifurcata (needle),19.8,0.963,,,504.1,54.1
Esperance_70,Hakea adnata,26.6,0.840,4.21,0.23,376.2,103.5
Esperance_70,Hakea bicornata,18.1,1.100,4.42,0.31,552.3,198.7
Esperance_70,Hakea pandicarpa pandicarpa,18.5,0.533,5.61,0.28,539.6,502.0
Esperance_70,Hakea scoparia trycherica,20.2,1.158,6.15,0.21,494.2,196.1
Fitzgerald River National Park_70,Hakea acuminata,24.3,0.383,4.53,0.12,410.7,1516.3
Fitzgerald River National Park_70,Hakea cinerea,18.4,0.413,6.37,0.32,542.7,892.8
Fitzgerald River National Park_70,Hakea hookeriana,18.6,0.713,4.96,0.3,537.6,1498.5
Fitzgerald River National Park_70,Hakea ilicifolia,17.4,0.603,3.02,0.28,575.6,154.4
Fitzgerald River National Park_70,Hakea lasiocarpha,21.4,0.963,4.64,0.3,468.0,182.0
Fitzgerald River National Park_70,Hakea nitida,27.0,0.490,4.86,0.21,370.3,612.4
Fitzgerald River National Park_70,Hakea obtusa,43.3,0.205,7.45,0.23,230.9,787.7
Fitzgerald River National Park_70,Hakea verrucosa,24.4,0.974,3.56,0.22,410.1,108.3
Fitzgerald River National Park_70,Hakea victoria,21.0,0.463,4.75,0.1,476.3,5690.4
John Forrest National Park_70,Hakea amplexicaulis,48.0,0.484,3.59,0.13,208.2,3265.5
John Forrest National Park_70,Hakea cristata,31.2,0.638,6.14,0.36,320.4,1753.5
John Forrest National Park_70,Hakea cyclocarpa,26.1,0.740,4.16,0.16,382.8,1808.2
John Forrest National Park_70,Hakea erinacea,52.9,0.830,4.63,0.59,189.2,104.4
John Forrest National Park_70,Hakea incrassata,25.5,0.527,6.48,0.19,392.6,196.1
John Forrest National Park_70,Hakea lissocarpha,40.2,0.848,4.36,0.25,248.7,93.8
John Forrest National Park_70,Hakea myrtoides,61.7,0.195,5.5,0.28,162.0,50.6
John Forrest National Park_70,Hakea petiolaris,35.0,0.543,7.19,0.27,286.1,1366.4
John Forrest National Park_70,Hakea ruscifolia,46.2,0.560,5.39,0.27,216.5,59.3
John Forrest National Park_70,Hakea stenocarpa,54.9,0.525,6.13,0.24,182.1,498.9
John Forrest National Park_70,Hakea trifurcata (broad),44.4,0.303,,,225.2,388.1
John Forrest National Park_70,Hakea trifurcata (needle),35.9,0.783,,,278.7,81.2
John Forrest National Park_70,Hakea undulata,50.6,0.420,7.76,0.3,197.5,1060.8
Kalbarri_70,Hakea bucculenta,22.4,0.193,8.42,0.24,447.0,270.2
Kalbarri_70,Hakea orthorryncha filiformis,21.1,0.983,3.56,0.19,474.5,158.4
Kalbarri_70,Hakea orthorryncha orthorryncha,16.0,0.903,6.37,0.24,625.9,343.9
Kalbarri_70,Hakea pycnoneura,29.4,0.320,4.1,0.23,340.2,618.1
Kalbarri_70,Hakea stenophylla,24.4,0.508,8.74,0.35,410.7,144.0
Lake King_70,Hakea commutata,20.2,1.080,5.18,0.28,494.2,35.6
Lake King_70,Hakea cygna cygna,21.8,0.473,4.32,0.21,458.4,148.7
Lake King_70,Hakea cygna needlei,24.7,0.920,9.61,0.18,404.8,74.3
Lake King_70,Hakea horrida,22.7,1.045,3.99,0.28,440.3,268.5
Lake King_70,Hakea kippistiana,20.3,1.078,6.1,0.21,491.4,77.0
Lake King_70,Hakea newbeyana,15.9,1.323,3.8,0.15,628.2,78.6
Lake King_70,Hakea obliqua parviflora,15.1,1.428,2.8,0.15,663.0,117.7
Lake King_70,Hakea strumosa,16.1,1.458,3.13,0.22,621.7,128.3
Lake King_70,Hakea subsulcata,32.3,0.675,7.34,0.36,309.8,81.1
Merridin & other wheatbelt_70,Hakea erecta,26.1,0.480,2.48,0.25,383.2,253.0
Merridin & other wheatbelt_70,Hakea francisiana coriacea,26.5,0.548,4.75,0.28,378.0,964.3
Merridin & other wheatbelt_70,Hakea francisiana francisiana,28.5,0.518,4.21,0.3,350.3,1062.8
