"genus_root","taxon_name","text","life_history_a","life_history_f","parasitic_a","parasitic_f","plant_growth_form_a","plant_growth_form_f","plant_growth_substrate_a","plant_growth_substrate_f","sex_type_a","sex_type_f","stem_growth_habit_a","stem_growth_habit_f","woodiness_a","woodiness_f"
"Acacia","Acacia longifolia subsp. sophorae"," general biology. growth form. shrub/small tree. reproduction. seed. dispersal. ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","","","woody",""
"Acacia","Acacia microbotrya"," general biology. growth form. shrub/small tree. reproduction. seed. dispersal. adult plants can resprout from base and from root suckers following fire. ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","","","woody",""
"Acacia","Acacia pycnantha"," general biology. growth form. shrub/small tree. reproduction. seed. dispersal. adult plants can resprout following fire. ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","","","woody",""
"Acacia","Acacia melanoxylon"," general biology. growth form. tree. reproduction. seed, root suckers. dispersal. adult plants will resprout and produce root suckers following fire. ","perennial","inferred_from_growth_form","","","tree","tree","","","","","","","woody",""
"Acacia","Acacia decurrens"," general biology. growth form. small tree. reproduction. seed. dispersal. adult plants can resprout from base following fire. ","perennial","inferred_from_growth_form","","","tree","tree","","","","","","","woody",""
"Acacia","Acacia longifolia subsp. longifolia"," general biology. growth form. shrub/small tree. reproduction. seed. dispersal. ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","","","woody",""
"Acacia","Acacia dealbata"," general biology. growth form. shrub/small tree. reproduction. seed, root suckers. dispersal. adult plants will resprout from base and from root suckers following fire. ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","","","woody",""
"Acacia","Acacia podalyriifolia"," general biology. growth form. shrub/small tree. reproduction. seed. dispersal. ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","","","woody",""
"Acacia","Acacia longifolia"," general biology. growth form. shrub/small tree. reproduction. seed. dispersal. ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","","","woody",""
"Acacia","Acacia iteaphylla"," general biology. growth form. shrub. reproduction. seed. dispersal. fire stimulates mass germination of seed and generally kills adult plants. ","perennial","inferred_from_growth_form","","","shrub","shrub","","","","","","","woody",""
"Acacia","Acacia baileyana"," general biology. growth form. shrub/small tree. reproduction. seed. dispersal. fire stimulates mass germination of seed and generally kills adult plants. ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","","","woody",""
"Acacia","Acacia floribunda"," general biology. growth form. shrub/small tree. reproduction. seed. dispersal. adult plants can resprout from root suckers following fire. ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","","","woody",""
"Acacia","Acacia elata"," general biology. growth form. tree. reproduction. seed. dispersal. ","perennial","inferred_from_growth_form","","","tree","tree","","","","","","","woody",""
"Acetosella","Acetosella vulgaris"," general biology. growth form. herb. life form. perennial. reproduction. primarily seed, also root fragments. dispersal. read the manufacturers' labels and material safety data sheets before using herbicides. for further information consult the australian pesticides and veterinary medicines authority to determine the status of permits for your situation or state. ","perennial","perennial","","","herb","herb","","","","","","","herbaceous",""
"Agapanthus","Agapanthus praecox subsp. orientalis"," general biology. growth form. herb. life form. perennial. reproduction. primarily seed, also rhizomes. dispersal. forms dense stands which can dominate and displace groundcover vegetation, prevent regeneration of native plant species and reduce habitat for native fauna. spreads gradually from underground rhizomes. these are dense, fleshy, crowded, strong and aggressive, and form large continually extending clumps. experience in tasmania has shown the exotic european bumblebee may be an effective pollinator of this subspecies, increasing its seed production and invasiveness. additional information. origin. south africa. history of use/introduction. ornamental. similar exotic species. agapanthus praecox. suggested method of management and control. small infestations can be dug out. all of the rhizome must be removed and destroyed off-site, as any remaining rhizomes will regrow even if up turned upside down. remove small younger plants as early as possible. moderately resistant to herbicides, surfactants may help improve penetration into the waxy-coated leaves. use cut and paint treatment. read the manufacturers' labels and material safety data sheets before using herbicides. for further information consult the australian pesticides and veterinary medicines authority to determine the status of permits for your situation or state. ","perennial","perennial","","","herb","herb","","","","","rhizomatous dense","rhizomes dense","herbaceous",""
"Agapanthus","Agapanthus praecox"," general biology. growth form. herb. life form. perennial. reproduction. primarily seed, also rhizomes. dispersal. all of the rhizome must be removed and destroyed off-site, as any remaining rhizomes will regrow even if turned upside down. moderately resistant to herbicides, surfactants may help improve penetration into the waxy-coated leaves. read the manufacturers' labels and material safety data sheets before using herbicides. for further information consult the australian pesticides and veterinary medicines authority to determine the status of permits for your situation or state. ","perennial","perennial","","","herb","herb","","","","","rhizomatous","rhizomes","herbaceous",""
"Agave","Agave americana"," general biology. growth form. herb. life form. perennial. reproduction. primarily seed, also suckers. dispersal. wind, water. toxicity. can be poisonous to mammals. sap is irritant and can cause dermatitis. notes. read the manufacturers' labels and material safety data sheets before using herbicides. for further information consult the australian pesticides and veterinary medicines authority to determine the status of permits for your situation or state. ","perennial","perennial","","","herb basal_large","herb","","","","","","","herbaceous",""
"Ailanthus","Ailanthus altissima"," general biology. growth form. tree. reproduction. will shade out smaller plants and create monospecific stands. spreads rapidly via highly viable wind dispersed seed. additional information. origin. china. history of use/introduction. for larger trees (greater than 30cm diameter) with thick bark stem inject 100% glyphosate. read the manufacturers' labels and material safety data sheets before using herbicides. for further information consult the australian pesticides and veterinary medicines authority to determine the status of permits for your situation or state. ","perennial","inferred_from_growth_form","","","tree","tree","","","","","","","woody",""
"Albuca","Albuca canadensis"," general biology. growth form. geophyte. life form. bulb. reproduction. primarily bulbils and seed, occasionally offsets. ","perennial","inferred_from_growth_form","","","geophyte","geophyte","","","","","","","woody","inferred_from_growth_form"
"Alexgeorgea","Alexgeorgea ganopoda"," rhizomes spreading, glabrous. dioecious (with separate male and female plants). ","","","","","graminoid","","","","dioecious","dioecious","rhizomatous spreading","rhizomes spreading","herbaceous","inferred_from_growth_form"
"Alexgeorgea","Alexgeorgea subterranea"," rhizomes spreading, glabrous. dioecious (with separate male and female plants). ","","","","","graminoid","","","","dioecious","dioecious","rhizomatous spreading","rhizomes spreading","herbaceous","inferred_from_growth_form"
"Alexgeorgea","Alexgeorgea nitens"," rhizomes spreading, glabrous. dioecious (with separate male and female plants). ","","","","","graminoid","","","","dioecious","dioecious","rhizomatous spreading","rhizomes spreading","herbaceous","inferred_from_growth_form"
"Allium","Allium triquetrum"," general biology. growth form. geophyte. life form. bulb. reproduction. offsets, seed. dispersal. ","perennial","inferred_from_growth_form","","","geophyte","geophyte","","","","","","","woody","inferred_from_growth_form"
"Alopecurus","Alopecurus myosuroides"," general biology. growth form. grass. life form. annual, caespitose. reproduction. seed. dispersal. herbicide resistance has been recorded. additional information. origin. mediterranean, temperate asia. history of use/introduction. unknown. similar exotic species. alopecurus pratensis. suggested method of management and control. a combination of cultural and herbicide control is recommended. hand remove small infestations of mature plants, ensuring all plant parts are removed. try careful application of 1% glyphosate on seedlings. read the manufacturers' labels and material safety data sheets before using herbicides. for further information consult the australian pesticides and veterinary medicines authority to determine the status of permits for your situation or state. ","annual","annual","","","graminoid","grass","","","","","caespitose","caespitose","herbaceous","inferred_from_growth_form"
"Alternanthera","Alternanthera pungens"," general biology. growth form. herb. life form. perennial. reproduction. has a deep, woodytaproot that allows plants to regenerate following drought. the top growth dies off in winter and the dormant plant is sustained by the fleshy taproot. declared plant in parts of south australia and victoria. additional information. origin. brazil, ecuador, peru, venezuela. history of use/introduction. seed contaminant, medicines. similar native species. read the manufacturers' labels and material safety data sheets before using herbicides. for further information consult the australian pesticides and veterinary medicines authority to determine the status of permits for your situation or state. ","perennial","perennial","","","herb","herb","","","","","","","woody_root herbaceous","woodytaproot"
"Amaryllis","Amaryllis belladonna"," general biology. growth form. geophyte. life form. perennial bulb. reproduction. offsets, seed. dispersal. read the manufacturers' labels and material safety data sheets before using herbicides. for further information consult the australian pesticides and veterinary medicines authority to determine the status of permits for your situation or state. ","perennial","perennial","","","geophyte","geophyte","","","","","","","woody","inferred_from_growth_form"
"Ammophila","Ammophila arenaria"," general biology. growth form. grass. life form. perennial, rhizomatous. reproduction. primarily by vertical and horizontal rhizomes, occasionally by seed. dispersal. water, wind, mammals. photosynthetic pathway. c3. with burial promoting leaf elongation and development of vertical rhizomes from  ","perennial","perennial","","","graminoid","grass","","","","","rhizomatous","rhizomatous rhizomes","herbaceous","inferred_from_growth_form"
"Anigozanthos","Anigozanthos bicolor subsp. minor","  ","","","","","","","","","","","","","",""
"Anigozanthos","Anigozanthos flavidus","  ","","","","","","","","","","","","","",""
"Anigozanthos","Anigozanthos gabrielae","  ","","","","","","","","","","","","","",""
"Anigozanthos","Anigozanthos kalbarriensis","  ","","","","","","","","","","","","","",""
"Anigozanthos","Anigozanthos onycis","  ","","","","","","","","","","","","","",""
"Anigozanthos","Anigozanthos preissii","  ","","","","","","","","","","","","","",""
"Anigozanthos","Anigozanthos pulcherrimus","  ","","","","","","","","","","","","","",""
"Anigozanthos","Anigozanthos rufus","  ","","","","","","","","","","","","","",""
