Site,Elevation,Latitude,Longitude,Branch,Leaf code,Species,Family,leaf d13C,leaf d15N,leaf %C,leaf %N,Leaf Calcium ppm,Leaf Magnesium ppm,Leaf Phosphorus mg/g,Leaf Potassium ppm,Leaf Sodium ppm,Leaf Sulfur ppm,Leaf Boron ppm,Leaf Copper ppm,Leaf Iron ppm,Leaf Manganese ppm,Leaf Zinc ppm,Leaf N:P,Leaf C:N,Leaf C:P,site_name
Mt Lewis,995,16.55955,145.27364,B1,CHY-01-B1,Ceratopetalum hylandii,Cunoniaceae,-33.2,-5,43.3,0.9,3600,1730,0.031,2900,630,1200,2.69,6.6,50.5,142,13.7,29.03225806,48.11111111,1396.774194,Mt Lewis_3
Mt Lewis,995,16.55955,145.27364,B2,CHY-01-B2,Ceratopetalum hylandii,Cunoniaceae,-33,-4,43.7,0.8,2680,2130,0.041,3700,530,910,0.9,5.42,40.1,67.3,12,19.51219512,54.625,1065.853659,Mt Lewis_3
Mt Lewis,996,16.55955,145.27363,B1,CRB-02-B1,Cryptocarya bellendenkerana,Lauraceae,-33,-3.1,47,1.5,3860,1680,0.033,2800,420,910,7.16,7.66,67.1,140,14.2,45.45454545,31.33333333,1424.242424,Mt Lewis_4
Mt Lewis,996,16.55955,145.27363,B2,CRB-02-B2,Cryptocarya bellendenkerana,Lauraceae,-31.6,-1.6,44,1.2,5060,1280,0.03,1960,580,780,2.46,5.41,71.2,157,11.6,40,36.66666667,1466.666667,Mt Lewis_4
Mt Lewis,994,16.55955,145.27363,B1,FLP-02-B1,Flindersia pimenteliana,Rutaceae,-30.5,-1.7,40.2,1.3,4520,1100,0.023,3600,170,320,59.23,1.51,43.8,220,7.73,56.52173913,30.92307692,1747.826087,Mt Lewis_2
Mt Lewis,994,16.55955,145.27363,B2,FLP-02-B2,Flindersia pimenteliana,Rutaceae,-30.5,-2.2,42.4,1.4,4490,1000,0.024,3670,160,350,59.45,1.64,42,223,9.68,58.33333333,30.28571429,1766.666667,Mt Lewis_2
Mount Bellenden Ker,1544,-17.26497,145.8535,B1,FOP-01-B1,Flindersia oppositifolia,Rutaceae,-29,-3.2,42,1.2,5450,1320,0.029,2430,160,410,27.17,3.73,84.7,118,294,41.37931034,35,1448.275862,Mount Bellenden Ker_2
Mt Lewis,987,-16.55276,145.28038,B1,FLP-01-B1,Flindersia pimenteliana,Rutaceae,-28.8,-0.9,45.2,1.7,4480,1390,0.033,3100,163,440,26.15,2.5,37.3,88,10.2,51.51515152,26.58823529,1369.69697,Mt Lewis_1
Mt Windsor,1286,-16.217398,145.00179,B2,FLP-04-B2,Flindersia pimenteliana,Rutaceae,-30.2,-2.8,42.5,1.5,4580,1320,0.026,3300,59,410,12.07,3.04,127,406,11.6,57.69230769,28.33333333,1634.615385,Mt Windsor_5
Mount Bellenden Ker,1552,-17.26497,145.8535,B1,FOP-03,Flindersia oppositifolia,Rutaceae,-30,-4.6,42.6,1.1,2000,640,0.049,6100,540,570,33.72,2.82,45.6,370,148,22.44897959,38.72727273,869.3877551,Mount Bellenden Ker_3
Mt Windsor,1286,-16.217398,145.00179,B1,FLP-04-B1,Flindersia pimenteliana,Rutaceae,-30.7,-2.6,42.5,1.6,4940,1330,0.025,3040,42,380,11.71,3.07,79.5,398,13,64,26.5625,1700,Mt Windsor_5
Mt Lewis,987,-16.55276,145.28038,B2,FLB-01-B2,Flindersia bourjotiana,Rutaceae,-27.9,-1.7,42.3,1.4,3500,2520,0.033,1680,1350,570,8.24,2.34,37.9,59.7,13.2,42.42424242,30.21428571,1281.818182,Mt Lewis_1
Mt Lewis,987,-16.55276,145.28038,B1,FLB-01-B1,Flindersia bourjotiana,Rutaceae,-26.8,-1.7,44.5,1.5,3100,2500,0.034,1800,1610,530,5.5,2.34,36.5,61.2,14.6,44.11764706,29.66666667,1308.823529,Mt Lewis_1
Mt Lewis,987,-16.55276,145.28038,B2,FLP-01-B2,Flindersia pimenteliana,Rutaceae,-29.4,-1,43.4,1.6,4270,1230,0.032,3500,182,460,34.91,10.8,37.3,91,11.2,50,27.125,1356.25,Mt Lewis_1
