taxon_name,fire_response_LCR,fire_response_NL,seedlings_first_observed,first_flowering_resp,first_flowering_seed,first_flowering_unknown,first_fruiting_resp,first_fruiting_seed,first_fruiting_unknown,primary_juvenile_period,secondary_juvenile_period,page,peak_flowering_resp,peak_flowering_seed,peak_flowering_unknown,peak_fruiting_resp,peak_fruiting_seed,peak_fruiting_unknown,notes,advanced_seedlings,fire intensity,large_prop_flowering
Adiantaceae,,,,,,,,,,,,,,,,,,,,,,
Adiantum aethiopicum (s.lat.),R,R,,,,,50w,,,,c.1y,,,,,,,,,,,
Adiantum hispidulum,R,,,,,,41w,,,,41w-(shd),15,,,,,,,,,,
Aspleniaceae,,,,,,,,,,,,15,,,,,,,,,,
Asplenium australasicum,K,,,,,,,,,,,15,,,,,,,,,,
Asplenium flabellifolium,R,R,,,,,26w,,,,26w,15,,,,,,,,,,
Blechnaceae,,,,,,,,,,,,15,,,,,,,,,,
Blechnum ambiguum,R,R,,,,,50w,,,,63w-(shd),15,,,,,,,,,,
Blechnum camfieldii,,R,,,,,38w,,,,38w,15,,,,,,,,,,
Blechnum cartilagineum,R,R,,,,,10w,,,,10w-(shd),15,,,,,,,,,,
Blechnum indicum,R,R,,,,,10w,,,,10w-(shd),15,,,,,,,,,,
Blechnum nudum,R,,,,,,33w,,,,33w-(shd),15,,,,,,,,,,
Doodia aspera,R,R,,,,,23w,,,,23w,15,,,,,,,,,,
Doodia caudata,R,,,,,,23w,,,,23w,15,,,,,,,,,,
Doodia linearis,R,,,,,,15w,,,,29w-(shd),15,,,,,,,,,,
Cyatheaceae,,,,,,,,,,,,15,,,,,,,,,,
Cyathea australis,R,,,,,,49w,,,,c.1y,15,,,,,,,,,,
Davalliaceae,,,,,,,,,,,,15,,,,,,,,,,
Davallia solida var. pyxidata,K/r,K/r,,,,,,,,,,15,,,,,,,,,,
*Nephrolepis cordifolia,R/k,R,,,,,,,,,,15,,,,,,,,,,
Dennstaedtiaceae,,,,,,,,,,,,15,,,,,,,,,,
Histiopteris incisa,R,R,,,,,,,,,,15,,,,,,,,,,
Hypolepis muelleri,R,,,,,,44w-grn,,,,,16,,,,,,,,,,
Pteridium esculentum,R,R,,,,,10w,,,,10w-(shd),16,,,,,,,,,,
Dicksoniaceae,,,,,,,,,,,,16,,,,,,,,,,
Calochlaena dubia,R,R,,,,,50w,,,,c.1y,16,,,,,,,,,,
Gleicheniaceae,,,,,,,,,,,,16,,,,,,,,,,
Gleichenia dicarpa,R/k,,,,,,,,,,,16,,,,,,,,,,
Gleichenia microphylla,R,,,,,,,,,,,16,,,,,,,,,,
Gleichenia rupestris,R,pR,,,,,,,,,,16,,,,,,,,,,
Sticherus flabellatus,K/r,K/R,,,,,35w-grn,,,,,16,,,,,,,,,,
Grammitaceae,,,,,,,,,,,,16,,,,,,,,,,
Grammitis ?stenophylla,,K,,,,,,,,,,16,,,,,,,,,,
Hymenophyllaceae,,,,,,,,,,,,16,,,,,,,,,,
Hymenophyllum cupressiforme,,K,,,,,,,,,,16,,,,,,,,,,
Lindsaeaceae,,,,,,,,,,,,16,,,,,,,,,,
Lindsaea linearis,R,,,,,,50w,,,,c.1y,16,,,,,,,,,,
Lindsaea microphylla,R,R,,,,,21w,,,,21-50w,16,,,,,,,,,,
Lycopodiaceae,,,,,,,,,,,,16,,,,,,,,,,
Lycopodiella lateralis,,pK,,,,,,,,,,16,,,,,,,,,,
Osmundaceae,,,,,,,,,,,,16,,,,,,,,,,
Todea barbara,R,R,,,,,10w,,,,10w,16,,,,,,,,,,
Polypodiaceae,,,,,,,,,,,,16,,,,,,,,,,
Platycerium bifurcatum,K,,,,,,,,,,,16,,,,,,,,,,
Pyrrosia rupestris,K,K,,,,,,,,,,16,,,,,,,,,,
Psilotaceae,,,,,,,,,,,,16,,,,,,,,,,
Psilotum nudum,K/r,K/r,,,,,50w-grn,,,,,16,,,,,,,,,,
Pteridaceae,,,,,,,,,,,,16,,,,,,,,,,
Pteris tremula,pR,,,,,,,,,,,16,,,,,,,,,,
*Pteris vittata,R,,,,,,23w,,,,,16,,,,,,,,,,
Schizaeaceae,,,,,,,,,,,,16,,,,,,,,,,
Schizaea bifida (s.lat.),R,R,,,,,63w,,,,,16,,,,,,,,,,
Schizaea rupestris,pR,R,,,,,38w-grn,,,,,16,,,,,,,,,,
Selaginellaceae,,,,,,,,,,,,16,,,,,,,,,,
Selaginella uliginosa,,R,,,,,,,,,,16,,,,,,,,,,
Sinopteridaceae,,,,,,,,,,,,16,,,,,,,,,,
Cheilanthes distans,,?K,,,,,,,140w,,,16,,,,,,,,,,
Cheilanthes sieberi,R,,,,,,23w,,,,23w,16,,,,,,,,,,
Pellaea falcata,R,,,,,,,,,,,16,,,,,,,,,,
Thelypteridaceae,,,,,,,,,,,,16,,,,,,,,,,
Christella dentata,R,,,,,,23w,,,,23w,16,,,,,,,,,,
Cupressaceae,,,,,,,,,,,,16,,,,,,,,,,
Callitris muelleri,,K,32w,,,,,,,,,16,,,,,,,,,,
Pinaceae,,,,,,,,,,,,16,,,,,,,,,,
*Pinus radiata,,K,,,,,,,,,,16,,,,,,,,,,
Podocarpaceae,,,,,,,,,,,,16,,,,,,,,,,
Podocarpus spinulosus,R,R,,92w,,,100w,,,,c.2y,16,,,,,,,,,,
Zamiaceae,,,,,,,,,,,,16,,,,,,,,,,
Macrozamia communis,R,R,,,,,,,,,,16,,,,,,,,,,
Acanthaceae,,,,,,,,,,,,16,,,,,,,,,,
Brunoniella pumilio,R,,,6w,,,11w,,,,26w-(shd),16,(poss.pk.pf.flower.c.1y),,,,,,,,,
Pseuderanthemum variabile,R,R,,7w,,,10w,,,,20w-(shd),16,,,,,,,,,,
*Thunbergia alata,pR,,,26w,,,,,,,,16,,,,,,,,,,
Aceraceae,,,,,,,,,,,,17,,,,,,,,,,
*Acer negundo,R,,,,,,,,,,,17,,,,,,,,,,
Aizoaceae,,,,,,,,,,,,17,,,,,,,,,,
Tetragonia tetragonioides,?K,,7w,,39w,,,39w-grn,,,,17,,,,,,,,,,
Amaranthaceae,,,,,,,,,,,,17,,,,,,,,,,
Alternanthera denticulata,R,,,10w,,,,,,,,17,,,,,,,,,,
*Amaranthus hybridus,?K,,,,12w,,,19w,,,,17,,,,,,,,,,
*Amaranthus viridus,?K,,9w,,,,,,,,,17,,,,,,,,,,
Amygdalaceae,,,,,,,,,,,,17,,,,,,,,,,
*Prunus cerasus,R,,,,,,,,,,,17,,,,,,,,,,
*Prunus persica,R,R,,,,,,,,,,17,,,,,,,,,,
Anacardiaceae,,,,,,,,,,,,17,,,,,,,,,,
*Toxicodendron succedaneum,R,,,,,,,,,,,17,,,,,,,,,,
Apiaceae,,,,,,,,,,,,17,,,,,,,,,,
Actinotus helianthi,K,K,15w,,41w,,,56w,,56w-(shd),,17,,(prob.pk.pf.flower.c.2-3y),,,,,,,,
Actinotus minor,K,K,24w,,42w,,,,,,,17,,,,,,,,,,
Centella asiatica,R,,,,,,10w,,,,,17,,,,,,,,,,
*Ciclospermum leptophyllum,,,,,,28w,,,43w-grn,,,17,,,,,,,,,,
*Eryngium pandanifolium,R,,,50w-buds,,,,,,,,17,,,,,,,,,,
*Foeniculum vulgare,R,R,9w(1),50w-buds,,,63w,,,,63w-(shd),17,,,,,,,,,,
*Hydrocotyle bonariensis,R,pR,,11w,,,20w,,,,,17,,,,,,,,,,
