SPECIES,growth form,plant longevity,extreme min height (m),min height (m),max height (m),extreme max height (m),flowering start (month),flowering finish (month),leaf type (compound/simple),leaf longevity (evergreen/deciduous)
Abelmoschus ficulneus,herb/shrub,annual,,0.2,2.5,,MAR,JUL,,
Abelmoschus moschatus,herb/shrub,perennial,,,0.6,,MAY,FEB,,
Abutilon amplum,shrub,perennial assumed,,0.5,1.5,2.5,MAR,SEP,,
Abutilon auritum,herb/shrub,perennial,,,,,MAY,JUL,,
Abutilon cryptopetalum,shrub,perennial assumed,,0.25,1.5,,MAR,SEP,,
Abutilon cunninghamii,herb/shrub,perennial,,0.5,0.9,,SEP,OCT,,
Abutilon fraseri,shrub,perennial assumed,,0.2,1.5,2,FEB,OCT,,
Abutilon geranioides,shrub,perennial assumed,0.2,0.9,2.5,,MAY,SEP,,
Abutilon hannii,herb/shrub,annual/perennial,0.1,0.5,2.5,4,JAN,SEP,,
Abutilon indicum,shrub,perennial assumed,,0.3,4,,FEB,NOV,,
Abutilon lepidum,shrub,perennial assumed,,0.5,2,,MAY,OCT,,
Abutilon leucopetalum,shrub,perennial assumed,,0.3,2,,MAR,AUG,,
Abutilon macrum,herb/shrub,,,0.5,1.2,,AUG,SEP,,
Abutilon malvifolium,herb/shrub,perennial,,0.03,0.3,,SEP,SEP,,
Abutilon otocarpum,shrub,perennial assumed,,0.15,1,,JAN,OCT,,
Abutilon oxycarpum,herb/shrub,perennial,,0.01,0.35,0.6,MAY,OCT,,
Acaena echinata,herb,,,0.07,0.45,0.7,DEC,DEC,,
Acalypha lanceolata,herb,annual,,,0.03,,MAR,MAR,,
Acalypha pubiflora,shrub,perennial assumed,,1,3,,APR,APR,,
Acanthocarpus canaliculatus,herb,perennial,,0.2,0.6,,JUN,AUG,,
Acanthocarpus humilis,herb,perennial,,,0.35,,JUN,AUG,,
Acanthocarpus parviflorus,herb,perennial,,0.15,0.4,,MAY,JUN,,
Acanthocarpus preissii,herb,perennial,,0.2,0.7,2,APR,MAY,,
Acanthocarpus robustus,herb,perennial,,0.2,0.7,1,JUN,AUG,,
Acanthocarpus rupestris,herb,perennial,,,0.5,,MAY,JUN,,
Acanthocarpus verticillatus,herb,perennial,,,0.6,,JUL,AUG,,
Acanthus ebracteatus,shrub,perennial assumed,,1,3,,"OCT, JAN","DEC, FEB",,
Achyranthes aspera,herb,perennial,,0.3,1,2,MAR,AUG,,
Acianthus huegelii (Cyrtostylis huegelii Endl. ),herb,perennial,,0.1,0.3,,JUL,SEP,,
Acianthus tenuissimus ( Cyrtostylis tenuissima (Nicholls & Goadby) D.L.Jones & M.A.Clem.),herb,perennial,,0.05,0.2,,SEP,NOV,,
Acidonia microcarpa,shrub,perennial assumed,,0.6,3,,OCT,DEC,,
Acmella grandiflora,herb,,,,0.14,,,,,
Acrotriche cordata,shrub,perennial assumed,,0.05,0.6,1,JUL,DEC,,
Acrotriche dura,shrub,perennial assumed,,,1,,AUG,SEP,,
Acrotriche lancifolia,shrub,perennial assumed,,,1.5,,,,,
Acrotriche parviflora,shrub,perennial assumed,,,1.2,,,,,
Acrotriche patula,shrub,perennial assumed,0.04,0.1,1.2,,JUN,SEP,,
Acrotriche ramiflora,shrub,perennial assumed,,0.1,1,,JUL,OCT,,
Actinobole condensatum,herb,annual,,0.02,0.05,,AUG,FEB,,
Actinobole drummondianum,herb,annual,,0.01,0.2,,AUG,OCT,,
Actinobole oldfieldianum,herb,annual,,0.02,0.15,,AUG,OCT,,
Actinobole uliginosum,herb,annual,,0.01,0.12,,JUL,OCT,,
Actinodium cunninghamii,shrub,perennial assumed,,0.15,1,,8,11,,
Actinotus glomeratus,herb,annual,,0.05,0.23,,JUL,NOV,,
Actinotus humilis,herb,annual,,,0.11,,OCT,JAN,,
Actinotus laxus,herb,perennial,,,0.4,,DEC,MAR,,
Actinotus leucocephalus,herb,annual,0.05,0.1,0.45,,SEP,FEB,,
Actinotus omnifertilis,herb,,0.03,0.1,0.5,,JAN,OCT,,
Actinotus rhomboideus,herb,perennial,,0.1,0.4,,NOV,FEB,,
Actinotus superbus,herb,annual,,0.1,0.3,,OCT,DEC,,
Actinotus whicheranus,herb,perennial,,,0.4,,DEC,MAR,,
Actites megalocarpus,herb,perennial,,0.1,0.4,0.6,SEP,JUN,,
Adansonia gregorii,tree,perennial assumed,,5,15,,DEC,MAY,,deciduous
Adenanthos acanthophyllus,shrub,perennial assumed,,2,3.5,6,APR,DEC,,
Adenanthos apiculatus,shrub,perennial assumed,,0.1,0.5,,JUL,JAN,,
Adenanthos argyreus,shrub,perennial assumed,,,1.2,,FEB,DEC,,
Adenanthos barbiger,shrub,perennial assumed,,0.2,1,,FEB,DEC,,
Adenanthos cacomorphus,shrub,perennial assumed,,,1,,NOV,MAR,,
Adenanthos cuneatus,shrub,perennial assumed,,0.3,3,5,JAN,DEC,,
Adenanthos cygnorum,shrub,perennial assumed,,,4,,JUL,JAN,,
Adenanthos detmoldii,shrub,perennial assumed,,0.9,4,,JAN,DEC,,
Adenanthos dobagii,shrub,perennial assumed,,0.3,1.5,,AUG,JAN,,
Adenanthos dobsonii,shrub,perennial assumed,,0.25,1,1.5,JUN,MAR,,
Adenanthos drummondii,shrub,perennial assumed,,0.2,1,,JUL,JAN,,
Adenanthos ellipticus,shrub,perennial assumed,,0.6,3,,JAN,NOV,,
Adenanthos eyrei,shrub,perennial assumed,,,1,,OCT,OCT,,
Adenanthos filifolius,shrub,perennial assumed,0.2,0.7,2,5,MAY,DEC,,
Adenanthos flavidiflorus,shrub,perennial assumed,,0.25,1.5,,AUG,FEB,,
Adenanthos forrestii,shrub,perennial assumed,0.3,1.3,,,APR,DEC,,
Adenanthos glabrescens,shrub,perennial assumed,,0.3,1.5,,MAR,NOV,,
Adenanthos gracilipes,shrub,perennial assumed,,0.4,1.5,,MAR,DEC,,
Adenanthos ileticos,shrub,perennial assumed,,0.7,2,3,MAR,DEC,,
Adenanthos labillardierei,shrub,perennial assumed,,0.3,1.5,2,MAR,DEC,,
Adenanthos linearis,shrub,perennial assumed,,0.15,0.6,,JAN,MAR,,
Adenanthos meisneri,shrub,perennial assumed,,0.2,1.5,2,JUL,APR,,
Adenanthos obovatus,shrub,perennial assumed,,0.3,1.5,2,MAY,DEC,,
Adenanthos oreophilus,shrub,perennial assumed,,0.5,2,,JUN,DEC,,
Adenanthos pungens,shrub,perennial assumed,,,3,,AUG,NOV,,
Adenanthos sericeus,shrub/tree,perennial assumed,,0.5,5,,JUN,APR,,
Adenanthos stictus,shrub,perennial assumed,,1.5,5,,MAY,NOV,,
Adenanthos velutinus (Adenanthos velutinus Meisn.),shrub,perennial assumed,,0.5,2.5,,JAN,AUG,,
Adenanthos venosus,shrub,perennial assumed,,0.4,2,,JAN,DEC,,
Adenia heterophylla,climber,,,1,30,,MAR,NOV,,
Adriana quadripartita,shrub,perennial assumed,,0.5,2,,SEP,NOV,,
Aegialitis annulata,shrub,perennial assumed,,0.5,2,,OCT,JAN,,
Aegiceras corniculatum,shrub/tree,perennial assumed,,,7,,APR,OCT,,
Aglaia elaeagnoidea,tree,perennial assumed,,2.5,15,,APR,SEP,,
Agonis baxteri,shrub,perennial assumed,,,2,,9,12,,
Agonis flexuosa,shrub/tree,perennial assumed,,,10,,7,12,,
Agonis theiformis,shrub,perennial assumed,0.5,1,2,0.5,10,12,,
Agonis undulata,shrub,perennial assumed,,,2,,3,9,,
Agrostocrinum hirsutum,herb,perennial,,,0.6,,SEP,DEC,,
Agrostocrinum scabrum,herb,perennial,,,1,,,,,
Aidia racemosa,shrub/tree,perennial assumed,,1.5,15,,JUN,FEB,,
Ailanthus triphysa,tree,perennial assumed,,,30,45,JUN,JUN,,
Aldrovanda vesiculosa,herb,,,,,,JUN,JUN,,
Alectryon connatus,shrub/tree,perennial assumed,,,4,12,,,,
Alectryon kimberleyanus,shrub/tree,perennial assumed,,2,7,,OCT,OCT,,
Alectryon oleifolius,shrub/tree,perennial assumed,,0.75,8,,AUG,NOV,,
Alexgeorgea ganopoda,herb,perennial,,0.1,0.5,,,,,
Alexgeorgea nitens,herb,perennial,,0.05,0.3,,APR,JUN,,
Alexgeorgea subterranea,herb,perennial,,0.06,0.3,,SEP,OCT,,
Allocasuarina acuaria,shrub,perennial assumed,0.3,1,3,4,,,,
Allocasuarina acutivalvis,shrub/tree,perennial assumed,,2.5,8,,,,,
Allocasuarina campestris,shrub,perennial assumed,,1,3,,AUG,NOV,,
Allocasuarina corniculata,shrub,perennial assumed,,1,5,,SEP,JAN,,
Allocasuarina decaisneana,tree,perennial assumed,,10,16,20,,,,
Allocasuarina decussata,shrub/tree,perennial assumed,,,15,,,,,
Allocasuarina dielsiana,tree,perennial assumed,,4,9,,,,,
Allocasuarina drummondiana,shrub,perennial assumed,,0.5,3,,JUL,SEP,,
Allocasuarina eriochlamys ( Allocasuarina eriochlamys (L.A.S.Johnson) L.A.S.Johnson ),shrub,perennial assumed,,1,3,,APR,MAY,,
