origRow,site_IJW,Rain,log_rain,SoilP,log_p,family,clade,mono_di,ps_path,genus,genus spp (ian),LfSize(mm2),DryMass(mg),SLA(mm2/mg),LaminaT(um),upPalisT(um),SpongyT(um),loPalisT(um),Sclerified%,upCuticT(um),loCuticT(um),upCutEW(um),loCutEW(um),upEpiderm(um),upCutEpi(um),loEpiderm(um),loCutEpi(um),Epiderm_com,Cutic_com,CutEpi_com,upHypo(um),loHypo(um),cwfa_upr,cwfa_lwr,curv_wid,proj_wid,cwi_pwi,ts_area,ocst_ind,var00001,dmc_var,dmc_v1,dmc_v2,ts_ar_mm,pr_wi_mm,lam_d_mm,ar_1_lf,ms_1_mg,lma,var00004,leaf_typ,tot_case,tot_pal,tot_mes3,aerenchy,var00003,inn_mes,rain_con,nutr_con,stom_dis,trichome,ijw_sla,ijw_dmfm,ijw_lamd,ijw_dmc,var00006,spon_ra2,spon4,spon_rat,tpal_rat,upcs_rat,locs_rat,uhyp_rat,lhyp_rat,inms_rat,tmes_rat,var00007,tpal_ra2,case_typ,var00009,filter_$,aer_rat,check,gen spp,spec_ord,area_2,mass_2,sla,site_dhd
24,MacquariePass,1578,3.2,607,2.78,Myrtaceae,Myrtaceae,dicot,C3,Acmena,Acmena smithii,2474.9,269.4,9.19,339,48,268,,6.1,7.3,4.6,9.4,6.9,14.4,21.7,13.1,16.4,27.5,11.9,39.5,,,,,43624,43624,1,"14,591,296.29",0.75,Acm_smit,0.32,0.3212,0.3254,14.59,43.62,0.34,"2,474.89",269.4,0.11,Acm_smit,"flat, broad",39.47,48.5,299.42,0,Acm_smit,0,1,1,hypostomatous,,,,,,Acm_smit,0.7442,250.92,0.74,0.14,0.06,0.05,0,0,0,0.8873,Acm_smit,0.1431,species mean,,Selected,0,1,Acmena smithii,Acm_smit,"4,949.78",0.5388,9.19,mqp
29,MyallLakesNP2,1374,3.14,22,1.34,Myrtaceae,Myrtaceae,dicot,C3,Angophora,Angophora costata,1764.6,212.5,8.3,240,77,143,,12.7,7.8,7,10.7,8.9,17.2,24.9,11.9,18.9,29.1,14.8,43.9,,,,,23188,23188,1,"5,533,485.45",6.46,Ang_cost,0.5,0.5023,0.5047,5.53,23.19,0.24,"1,764.63",212.54,0.12,Ang_cost,"flat, broad",43.85,77.47,195.92,0,Ang_cost,0,1,1,amphistomatous,,,,,,Ang_cost,0.494,118.45,0.49,0.32,0.1,0.08,0,0,0,0.8171,Ang_cost,0.3231,species mean,,Selected,0,1,Angophora costata (ml2),Ang_cost,"3,529.26",0.4251,8.3,mlnp2
78,KCNP_loP,1220,3.09,105,2.02,Poaceae,Poales,monocot,C3,Anisopogon,Anisopogon avenaceus,855.3,115.9,7.38,171,,,,29.4,1.8,4,2.5,6.5,9.3,11.1,22,26,24.6,5.8,30.3,,,42.1,46.1,3397,1698,2,"588,673.28",0,Ani_aven,0.79,0.7924,,0.59,,0.17,855.34,115.89,0.14,Ani_aven,graminoid,30.32,0,133.96,0,Ani_aven,0,1,1,epistomatous,,,,,,Ani_aven,0.7835,140.66,0.82,0,0.06,0.15,0,0,0,0.7835,Ani_aven,0,species mean,,Selected,0,1,Anisopogon avenaceus,Ani_aven,"1,710.68",0.2318,7.38,kcnp
65,BoxCrossing,290,2.46,214,2.33,Poaceae,Poales,monocot,C4,Aristida,Aristida latifolia,54.3,6.7,8.09,116,,,,25.2,4.6,7.2,6,8.4,9.1,13.8,7.9,15.1,17.1,11.8,28.8,,,,,1083,,,"125,544.64",,Ari_lati,1.07,1.0673,,0.13,,0.12,54.35,6.72,0.12,Ari_lati,graminoid,28.82,0,87.04,0,Ari_lati,0,1,0,amphistomatous,,,,,,Ari_lati,0.7512,87.04,0.75,0,0.12,0.13,0,0,0,0.7512,Ari_lati,0,species mean,,Selected,0,1,Aristida latifolia,Ari_lati,108.69,0.0134,8.09,box-cross.
21,GoobangNP1,650,2.81,122,2.09,Myrtaceae,Myrtaceae,dicot,C3,Baeckea,Baeckea cunninghamii,3.6,0.5,7.31,308,67,176,31,4.7,4.7,4.4,7.2,6.8,19.8,23.6,19.4,25,39.2,9.1,48.3,,,,,2100,2100,1,"644,972.42",0,Bae_cunn,0.44,0.4446,0.4456,0.64,2.1,0.31,3.64,0.5,0.14,Bae_cunn,"terete, subterete",48.33,97.86,259.42,0,Bae_cunn,0,1,1,amphistomatous,,,,,,Bae_cunn,0.5241,161.56,0.52,0.32,0.08,0.08,0,0,0,0.8421,Bae_cunn,0.318,species mean,,Selected,0,1,Baeckea cunninghamii,Bae_cunn,7.29,0.001,7.31,gnp1
22,AgnesBanksNR,778,2.89,31,1.49,Myrtaceae,Myrtaceae,dicot,C3,Baeckea,Baeckea diosmifolia,2.3,0.3,7.77,438,60,287,61,9.3,6,5.2,10.3,10.3,15.7,21.7,17.3,22.7,33,11.1,44.2,,,,,760,760,1,"333,925.40",0,Bae_dios,0.29,0.2939,0.2929,0.33,0.76,0.44,2.33,0.3,0.13,Bae_dios,trigonous,44.16,120.89,394,0,Bae_dios,0,1,1,amphistomatous,,,,,,Bae_dios,0.6229,273.11,0.62,0.28,0.05,0.05,0,0,0,0.8988,Bae_dios,0.2759,species mean,,Selected,0,1,Baeckea diosmifolia,Bae_dios,4.66,0.0006,7.75,Agnes Banks NR
55,MyallLakesNP2,1374,3.14,22,1.34,Proteaceae,Proteaceae,dicot,C3,Banksia,Banksia serrata,2251.9,510,4.42,342,114,183,,17,11.4,6.5,15.9,8.3,24.6,36,16.9,23.4,41.6,17.8,59.4,,,,,27334,27334,1,"8,979,457.67",14.07,Ban_serr,0.66,0.6622,0.6894,8.98,27.33,0.34,"2,251.90",510,0.23,Ban_serr,"flat, broad",59.41,113.52,282.61,0,Ban_serr,0,0,1,hypostomatous,,,,,,Ban_serr,0.4944,169.09,0.49,0.33,0.11,0.07,0,0,0,0.8263,Ban_serr,0.3319,species mean,,Selected,0,1,Banksia serrata (ml2),Ban_serr,"4,503.80",1.02,4.42,mlnp2
56,MortonNP,1821,3.26,87,1.94,Proteaceae,Proteaceae,dicot,C3,Banksia,Banksia spinulosa,100.1,21.1,4.74,287,85,134,,12.3,7.5,3.4,12.4,,15.9,23.4,9.7,12.3,25.6,10.9,36.5,32,,46.1,41.9,2477,1559,1.62,"709,955.77",19.53,Ban_spin,0.46,0.7336,0.463,0.71,1.56,0.29,100.08,21.1,0.21,Ban_spin,recurved,68.45,84.93,218.94,0,Ban_spin,0,1,1,hypostomatous,,,,,,Ban_spin,0.4691,134.01,0.47,0.3,0.08,0.04,0.11,0,0,0.8759,Ban_spin,0.2955,species mean,,Selected,0,1,Banksia spinulosa,Ban_spin,200.15,0.0422,4.74,mnp
23,GoobangNP2,650,2.81,157,2.2,Myrtaceae,Myrtaceae,dicot,C3,Calytrix,Calytrix tetragona,4.3,0.8,5.51,558,63,394,63,8.2,9.6,7.7,18.6,,27.3,36.9,21.9,29.5,49.2,17.2,66.4,,,,,740,740,1,"412,537.70",,Cal_tetr,0.33,0.3255,0.3257,0.41,0.74,0.56,4.25,0.77,0.18,Cal_tetr,trigonous,66.41,126.99,491.61,0,Cal_tetr,0,1,1,amphistomatous,,,,,,Cal_tetr,0.6534,364.63,0.65,0.23,0.07,0.05,0,0,0,0.881,Cal_tetr,0.2276,species mean,,Selected,0,1,Calytrix tetragona,Cal_tetr,8.51,0.0015,5.51,gnp2
84,GoobangNP3,650,2.81,271,2.43,Cyperaceae,Poales,monocot,C3,Carex,Carex appressa,1748.4,135.1,12.95,277,,,,13.2,5.6,5.9,7.3,7.3,27.2,32.9,15.9,21.8,43.1,11.5,54.6,,,,,4325,,,"1,246,663.49",0,Car_app2,0.28,0.2784,,1.25,,0.28,"1,748.40",135.06,0.08,Car_app2,graminoid,54.63,0,222.79,0,Car_app2,0,1,0,hypostomatous,,,,,,Car_app2,0.8031,222.8,0.8,0,0.12,0.08,0,0,0,0.8031,Car_app2,0,"species X site ""replicate""",,Not Selected,0,1,Carex appressa (gnp),Car_app2,"3,496.80",0.2701,12.95,gnp3
83,MacquariePass,1578,3.2,607,2.78,Cyperaceae,Poales,monocot,C3,Carex,Carex appressa,3186.2,264.4,12.05,246,,,,19.7,4.6,5.3,5.9,6.5,42.8,47.4,17.7,23,60.6,9.9,70.4,,,,,4655,,,"1,142,839.74",,Car_app1,0.34,0.3377,,1.14,,0.25,"3,186.22",264.37,0.08,Car_app1,graminoid,70.42,0,175.27,0,Car_app1,0,0,1,hypostomatous,,,,,,Car_app1,0.7134,175.26,0.71,0,0.19,0.09,0,0,0,0.7134,Car_app1,0,"species X site ""replicate""",,Not Selected,0,1,Carex appressa (mqp),Car_app1,"6,372.43",0.5287,12.05,mqp
86,MacquariePass,1578,3.2,607,2.78,Cyperaceae,Poales,monocot,C3,Carex,Carex longibrachiata,2315.2,230.1,10.06,230,,,,17.4,7,6.2,8.5,7.4,24.3,31.3,12.7,18.9,37,13.2,50.2,,,,,5070,,,"1,156,733.77",,Car_long,0.43,0.4315,,1.28,,0.23,"2,315.15",230.05,0.1,Car_long,graminoid,50.21,0,180.06,0,Car_long,0,0,1,hypostomatous,,,,,,Car_long,0.7819,180.07,0.78,0,0.14,0.08,0,0,0,0.7819,Car_long,0,species mean,,Selected,0,1,Carex ?longibrachiata,Car_long,"4,630.30",0.4601,10.06,mqp
64,MyallLakesNP2,1374,3.14,22,1.34,Proteaceae,Proteaceae,dicot,C3,Conospermum,Conospermum taxifolium,34.8,3,11.6,366,48,248,45,5,4.9,4.3,7.4,6.4,17.3,22,18.4,22.7,35.7,9.1,44.8,,,,,1961,1961,1,"717,667.66",0,Con_taxi,0.24,0.2355,0.2356,0.72,1.96,0.37,34.8,3,0.09,Con_taxi,"flat, linear",44.84,92.47,321.17,0,Con_taxi,0,0,1,amphistomatous,,,,,,Con_taxi,0.6254,228.7,0.62,0.25,0.06,0.06,0,0,0,0.878,Con_taxi,0.2526,species mean,,Selected,0,1,Conospermum taxifolium (ml2),Con_taxi,69.6,0.006,11.34,mlnp2
13,MortonNP,1821,3.26,87,1.94,Myrtaceae,Myrtaceae,dicot,C3,Corymbia,Corymbia gummifera,2193.7,485.5,4.52,463,137,189,82,17.2,11.3,9,14.3,11.1,20.3,31.5,14.9,23.9,35.2,20.2,55.4,,,,,22873,22873,1,"10,697,682.82",13.44,Cor_gumm,0.48,0.4781,0.4732,10.7,22.87,0.46,"2,193.68",485.46,0.22,Cor_gumm,"flat, broad",55.41,218.68,407.42,0,Cor_gumm,0,1,1,hypostomatous,,4.76,0.52,446.195,0.4708,Cor_gumm,0.4078,188.74,0.41,0.47,0.07,0.05,0,0,0,0.8803,Cor_gumm,0.4725,species mean,,Selected,0,1,Corymbia gummifera (mnp),Cor_gumm,"4,387.36",0.9709,4.52,mnp
92,MortonNP,1821,3.26,87,1.94,Cyperaceae,Poales,monocot,C3,Cyathochaeta,Cyathochaeta diandra,1053.5,463.1,2.27,725,,,,21.8,,2.2,,9.8,,16.5,14.3,16.5,28.6,4.3,32.9,,,,,1884,1884,1,"1,440,987.11",,Cya_dian,0.61,0.6062,,1.44,1.88,0.73,"1,053.48",463.07,0.44,Cya_dian,fused elipsoid,32.94,0,692.14,264.42,Cya_dian,0,1,1,amphistomatous,,,,,,Cya_dian,0.9546,692.14,0.95,0,0.02,0.02,0,0,0,0.5899,Cya_dian,0,species mean,,Selected,0.36,1,Cyathochaeta diandra,Cya_dian,"2,106.96",0.9261,2.27,mnp
77,BoxCrossing,290,2.46,214,2.33,Poaceae,Poales,monocot,C4,Enneapogon,Enneapogon intermedius,90.2,7.3,12.44,122,,,,24.2,2.2,5.9,3.2,7.4,14.8,17,10.1,16,24.9,8,33,,,,,2656,,,"324,380.95",,Enn_inte,0.66,0.6589,,0.32,,0.12,90.16,7.25,0.08,Enn_inte,graminoid,32.98,0,89.07,0,Enn_inte,0,1,0,amphistomatous,,,,,,Enn_inte,0.7298,89.07,0.73,0,0.14,0.13,0,0,0,0.7298,Enn_inte,0,species mean,,Selected,0,1,Enneapogon intermedius,Enn_inte,180.31,0.0145,12.44,box-cross.
72,KCNP_hiP,1231,3.09,695,2.84,Poaceae,Poales,monocot,C3,Entolasia,Entolasia stricta,80.6,2.7,29.84,147,,,,7.7,,2.1,2.8,3.8,29.6,32.1,17.5,19.8,47.1,0,40.4,,,,,2735,2735,1,"401,534.92",0,Ent_stri,0.23,0.2276,,0.4,,0.15,80.56,2.7,0.03,Ent_stri,graminoid,40.36,0,95.43,0,Ent_stri,0,0,1,amphistomatous,,,,,,Ent_stri,0.6481,106.88,0.73,0,0.22,0.13,0,0,0,0.6481,Ent_stri,0,species mean,,Selected,0,1,Entolasia stricta? (wh),Ent_stri,161.12,0.0054,29.84,kcnp (wh)
66,BoxCrossing,290,2.46,214,2.33,Poaceae,Poales,monocot,C4,Eragrostis,Eragrostis setifolia,97.2,9.5,10.26,183,,,,25.4,4.1,6,5.2,7.6,9.1,13.2,7.9,13.9,17,10.1,27.1,,,,,1589,,,"294,512.90",,Era_seti,0.53,0.5311,,0.29,,0.18,97.18,9.47,0.1,Era_seti,graminoid,27.1,0,156.4,0,Era_seti,0,1,0,amphistomatous,,,,,,Era_seti,0.8523,156.4,0.85,0,0.07,0.08,0,0,0,0.8523,Era_seti,0,species mean,,Selected,0,1,Eragrostis ?setifolia,Era_seti,194.36,0.0189,10.26,box-cross.
1,EastCobar,341,2.53,297,2.47,Myrtaceae,Myrtaceae,dicot,C3,Eucalyptus,Eucalyptus dumosa,962.6,319.9,3.01,659,278,,278,12.3,22.5,21.2,25.5,24.2,30.2,52.7,29,50.2,59.2,43.7,102.9,,,,,14030,14030,1,"8,882,354.35",5.6,Euc_dumo,0.5,0.5041,0.4964,9.15,13.67,0.66,962.61,319.94,0.33,Euc_dumo,"flat, broad",102.89,513.61,556.41,0,Euc_dumo,0,1,1,amphistomatous,,2.82,0.6,650,0.5456,Euc_dumo,-0.0108,0,0,0.84,0.09,0.08,0,0,0,0.8331,Euc_dumo,0.8439,species mean,,Selected,0,1,Eucalyptus dumosa,Euc_dumo,"1,925.22",0.6399,3.01,east cobar
2,MortonNP,1821,3.26,87,1.94,Myrtaceae,Myrtaceae,dicot,C3,Eucalyptus,Eucalyptus eugenoides,2288.8,648.1,3.53,457,191,,191,8.6,12.6,11.7,15.8,14.4,26.9,39.5,23.4,35.1,50.2,24.3,74.5,,,,,22646,22646,1,"10,367,976.98",3.13,Euc_euge,0.62,0.6201,0.6185,10.37,22.65,0.46,"2,288.83",648.11,0.28,Euc_euge,"flat, broad",74.52,382.08,382.08,0,Euc_euge,0,1,1,amphistomatous,,,,,,Euc_euge,0,0,0,0.84,0.09,0.08,0,0,0,0.8368,Euc_euge,0.8368,species mean,,Selected,0,1,Eucalyptus eugenoides,Euc_euge,"4,577.66",1.2962,3.53,mnp
