Native species,plant_height_m,leaf_area_mm2,SLA_mm2_mg,seed_mass_mg,variance_seed_dimensions,seed_source,dispersal_mode,life-form,nutrient_uptake_strategy,clonal_spread,fire_response,dispersal syndrome source,nutrient update source,fire_response source,native_status,plant_growth_form
Acacia dealbata,23.4,3297.5,4.38,10.06,0.108,collected for study,Myrm,P,NF + ECM,C (root suckers),R,,literature,Ecology of Sydney Flora database (Benson and McDougall,native,
Acacia gunnii,1,12.8,5.12,,,collected for study,Myrm,P ,unknown,N,R,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,
Acacia implexa,14.25,1376.9,6.64,28.39,0.081,Goulburn-Broken Region Seed Bank,Myrm,P,NF + ECM,C (root suckers),R,,determined by Meers,Ecology of Sydney Flora database (Benson and McDougall,native,
Acacia melanoxylon,32.5,1561.1,5.06,12.76,0.107,collected for study,End,P,NF + ECM,C (root suckers),R,,literature,Ecology of Sydney Flora database (Benson and McDougall,native,
Acacia paravissima,8,85.1,5.12,8.32,0.109,collected for study,Myrm,P,NF + ECM,N,S,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,
Acacia rubida,7.25,1557.9,4.54,21.67,0.095,collected for study,Myrm,P,NF + ECM,C (root suckers),R,myrmecochory was confirmed from literature (Berg 1975; Rice and Westoby 1981; Benson and McDougall 1996; French and Westoby,literature,Ecology of Sydney Flora database (Benson and McDougall,native,
Acacia verniciflua,4.2,336.3,7.15,11.07,0.107,collected for study,Myrm,P,NF + AM,N,S,1996; Benson and McDougall 2001),determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,
Aceana novae-zelandiae,0.2,260.1,11.87,0.06,0.158,collected for study,Epi,HE,AM,C (stolen),R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,
Aceana ovina,0.57,491.9,17.87,0.03,0.156,collected for study,Epi,HE,AM,N,R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,
Acrotriche prostrata,0.15,17.4,12.87,,,collected for study,Myrm,C,Ericoid,C (rooting on stems),R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,
Acrotriche serrulata,0.38,3.1,6.49,6.6,0.002,collected for study,Myrm,C,Ericoid,C (rooting on stems),R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,
Ajuga australis,0.44,1337,13.43,2.24,0.073,collected for study,Myrm,HP,AM,C (stolen),R,myrmecochory was confirmed from literature (Berg 1975; Rice and Westoby 1981; Benson and McDougall 1996; French and Westoby,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,
Arthropodium milliflorum,0.3,269.7,28.33,0.58,0.04,collected for study,Bar,G,AM,C (tuberous root),R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,
Arthropodium strictum,0.6,518,25.42,2.2,0.022,collected for study,Bar,G,AM,C (tuberous root),R,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,
Asperula euryphylla,0.15,14.9,49.34,0.52,,collected for study,Bar,HPr,AM,N,U,,determined by Meers,Department of Sustainability and Environment (Victoria) Vital Attribute database (DSE 2001),native,
