taxon_name,ParGenTax,ParTribeTax,ParSubfamTax,ParFamTax,ParOrdTax,ParCladeTax,reference,url,pollination,wind_water_animal_pollination,wind_pollination_explicitly_tested,pollination_text,pollination_data_source,syndrome_or_system,confidence_score,pollination_reward,nectar,scent,pollination_reward_text,pollination_reward_data_source,rank_scored_at,entered_by,entry_date
Trimenia moorei,Trimenia,NA,NA,Trimeniaceae,Austrobaileyales,Angiospermae,"BERNHARDT, P., SAGE, T., WESTON, P., AZUMA, H., LAM, M., THIEN, L. B., & BRUHL, J. (2003). The Pollination of Trimenia moorei (Trimeniaceae): Floral Volatiles, Insect/Wind Pollen Vectors and Stigmatic Self‐incompatibility in a Basal Angiosperm. Annals of Botany, 92(3), 445–458. https://doi.org/10.1093/aob/mcg157",https://doi.org/10.1093/aob/mcg157,wind and insect,wind&animal,yes,"""Observations and analyses of floral foragers on T. moorei illustrate that this species incorporates both Australian native species of Diptera and Hymenoptera without much pollen dispersal by Coleoptera. Therefore, T. moorei appears to conform to the generalist model of insect- pollination exhibited by many relictual-basal angiosperms, some belonging to the ANITA group, and posited to exist in protoangiosperms...Wind pollination is retained in T. moorei as a `failsafe mechanism' ensuring some level of cross-pollination""",explicit from the text (described as such),system,"6 - Pollination system, wind pollination explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators tested",pollen,no,yes,"""Male and bisexual flowers are strongly scented with pollen, anther sacs and receptacle scars testing positively for volatile emissions. Scent analyses detect over 20 components...Pollen was the primary reward for all insects visiting flowers of T. moorei as nectar was not produced by any parts of the flower, including the stigma""",explicit from the text (described as such),species,Ruby Stephens,29/10/2021
Cabomba caroliniana,Cabomba,NA,NA,Cabombaceae,Nymphaeales,Angiospermae,"Schneider, E. L., & Jeter, J. M. (1982). Morphological Studies of the Nymphaeaceae. XII. The Floral Biology of Cabomba caroliniana. American Journal of Botany, 69(9), 1410–1419. https://doi.org/10.2307/2443102",http://www.jstor.org/stable/2443102,insect,animal,no,"""Insects attracted to 2nd-day flowers in search of nectar become dusted with pollen (due to the position and extrorse dehiscence of the anthers) and as insects fly to 1st-day flowers, achieve cross-pollination""",explicit from the text (described as such),system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",nectar and pollen,yes,NA,""" The adaxial corolla spurs are nectariferous and attract small Diptera (e.g. Notiphila cressoni and Hydrellia bilobifera)…Large pollen loads could be seen on the body and legs, and in the corbiculae of the bees. The bees showed no interest in the nectaries""",explicit from the text (described as such),species,Ruby Stephens,7/11/2021
Nymphaea odorata,Nymphaea,NA,Nymphaeoideae,Nymphaeaceae,Nymphaeales,Angiospermae,"Schneider, E. L., & Chaney, T. (1981). The Floral Biology of Nymphaea odorata (Nymphaeaceae). The Southwestern Naturalist, 26(2), 159–165. https://doi.org/10.2307/3671112",http://www.jstor.org/stable/3671112,bee,animal,no,"""The most frequent floral visitor was Lasioglossum versatum, a small halictid bee (Figs. 10, 11, 12). We considered them to be the primary pollinator because they carry large, exclusive quantities of Nymphaea pollen from pollen-releasing flowers to the stigma of receptive (first-day) flowers...""",explicit from the text (described as such),system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",pollen,no,yes,"""The flowers emit a sweet, honeysuckle-like odor which is approximately equal in intensity on all 3 days of anthesis...Both visual and olfactory stimuli serve to attract these insects. Apis mellifera and L. versatum were both observed to approach and circle the transparent containers placed over flowers indicating that they are visually attracted by the conspicuous white petals. Continued observations revealed that both bees, but especially L. versatum, would fly to the open bottom of the cylinder where the volatile odor was escaping. This behavior indicates that olfactory stimuli also serve as an attractant. Once inside, the bees flew directly to the stamens and began gathering pollen...As pollen-covered insects are attracted to first-day (pollen-receptive) flowers (by both visual and olfactory stimuli), they mistakenly land in the stigmatic fluid or land on the flexible inner stamens which give way into the fluid which washes off the pollen, thus facilitating cross-pollination""",explicit from the text (described as such),species,Ruby Stephens,16/11/2021
Hydrangea macrophylla,Hydrangea,NA,Hydrangeoideae,Hydrangeaceae,Cornales,Asteridae,"Wong Sato, A. A., & Kato, M. (2019). Pollination-related functions of decorative sterile flowers of nine Japanese Hydrangea species (Hydrangeaceae). Botany, 97(10), 521–528. https://doi.org/10.1139/cjb-2018-0208",http://cdnsciencepub.com/doi/full/10.1139/cjb-2018-0208,insect,animal,no,"""recorded insect visits to the intact and treated inflorescences...Decorative flowers appeared to act as landing-sites for three species for which flowers represented a high proportion of the inflorescence surface area (i.e., H. scandens, H. luteovenosa, and H. macrophylla)...decorative flowers increase pollinator visitation rates, and this effect was most prominent for H. luteovenosa, H. scandens, and H. macrophylla""",interpreted from the text,system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",pollen,no,no,"""The main floral reward from visiting Hydrangea spp. was pollen. Nectar was only detected in fertile flowers of H. paniculata and H. petiolaris, with sugar concentrations of 50.0% and 31.2%, respectively. The nectar-probing be- haviour of some insects on H. scandens and H. luteovenosa flowers suggests that fertile flowers of these plant spe- cies also secrete nectar (Supplementary data, Fig. S11). Inflorescences of H. hirta, H. paniculata, and H. petiolaris had sweet odours.""",interpreted from the text,species,Ruby Stephens,31/3/2022
Actinidia chinensis,Actinidia,NA,NA,Actinidiaceae,Ericales,Asteridae,"Goodwin, R., McBrydie, H., & Taylor, M. (2013). Wind and honey bee pollination of kiwifruit (Actinidia chinensis ‘HORT16A’). New Zealand Journal of Botany, 51(3), 229–240. https://doi.org/10.1080/0028825X.2013.806934",https://doi.org/10.1080/0028825X.2013.806934,wind and insect,wind&animal,yes,"""Excluding honey bees (Apis mellifera L.) significantly (p<0.05) reduced fruit set and seed number. Flowers exposed to wind pollination for 5 days produced fruit with an average of 110 seeds...In ‘Hayward’, pollen is transferred through wind (Intoppa & Piazza 1990; Costa et al. 1993; Vaissiere et al. 1993) and insect foraging (Palmer- Jones & Clinch 1974; Clinch 1984; Goodwin 1987)...",explicit from the text (described as such),system,"6 - Pollination system, wind pollination explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators tested",pollen,no,NA,"""There was no indication of nectar production...Both staminate and pistillate flowers produce pollen, but neither produce nectar and so are less attractive to insect visitors than flowers that produce pollen and nectar (Clinch 1990).""",explicit from the text (described as such),species,Ruby Stephens,31/3/2022
Arbutus unedo,Arbutus,NA,Arbutoideae,Ericaceae,Ericales,Asteridae,"Sealy, J. R., & Webb, D. A. (1950). Arbutus unedo L. Journal of Ecology, 38(1), 223–236. https://doi.org/10.2307/2256540",http://www.jstor.org/stable/2256540,insect,animal,no,"""The nectar, which is not abundant, is secreted at the base of the ovary. Any insect in probing for it is almost certain to brush against the stigma and, by disturbing the appendages of the anthers, to rain down pollen on its head. Cross-pollination probably takes place by this means, but self-pollination is probably frequent as well, the pollen which drops from the anthers being caught on the hairs at the constricted mouth of the corolla, and thence transferred to the sides of the stigma when the flower is displaced from the vertical by wind. Robbing of the nectar by perforation of the corolla has not been observed.""",interpreted from the text,syndrome,"3 - Pollination syndrome but adaptations for animal pollination (nectar, scent, staminodes, sticky pollen) or else wind pollination (very reduced perianth, feathery stigma, exposed anthers with dry powdery pollen) or abiotic pollination clearly described",nectar,yes,NA,"""The nectar, which is not abundant, is secreted at the base of the ovary. Any insect in probing for it is almost certain to brush against the stigma and, by disturbing the appendages of the anthers, to rain down pollen on its head. Cross-pollination probably takes place by this means""",interpreted from the text,species,Ruby Stephens,27/1/2022
Prionotes cerinthoides,Prionotes,NA,NA,Ericaceae,Ericales,Asteridae,"Johnson, K. A., McQuillan, P. B., & Kirkpatrick, J. B. (2010). Bird Pollination of the Climbing Heath Prionotes cerinthoides (Ericaceae). International Journal of Plant Sciences, 171(2), 147–157. https://doi.org/10.1086/648990",https://www.journals.uchicago.edu/doi/full/10.1086/648990,bird and bee,animal,no,"""Prionotes cerinthoides produced little viable seed in the absence of a pollinator but selfed readily when pollination was facilitated. It appears that P. cerinthoides depends largely on the pollination services of a single native bird species, the eastern spinebill (Acanthorhynchus tenuirostris). The only other flower visitor observed to contact anthers and stigma was the introduced bumblebee (Bombus terrestris). """,explicit from the text (described as such),system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",nectar and pollen,yes,NA,"""The introduced bumblebee was observed, on one occasion, to contact anthers and stigma as it gathered pollen, but it was more frequently a nectar robber.""",interpreted from the text,species,Ruby Stephens,1/4/2022
Barringtonia asiatica,Barringtonia,NA,Barringtonioideae,Lecythidaceae,Ericales,Asteridae,"Kato, M., & Kawakita, A. (2004). Plant-pollinator interactions in New Caledonia influenced by introduced honey bees. American Journal of Botany, 91(11), 1814–1827. https://doi.org/10.3732/ajb.91.11.1814",http://onlinelibrary.wiley.com/doi/abs/10.3732/ajb.91.11.1814,bat,animal,no,"""Although we did not directly observe bats visiting flowers, bats were observed flying towards three species of trees: Barringtonia asiatica...The flowers of these species produced strong fragrance at night, and the following morning, many damaged flowers were found at the base of the trees. Based on this circumstantial evidence, these plants were inferred to be bat-pollinated.""",explicit from the text (described as such),syndrome,"3 - Pollination syndrome but adaptations for animal pollination (nectar, scent, staminodes, sticky pollen) or else wind pollination (very reduced perianth, feathery stigma, exposed anthers with dry powdery pollen) or abiotic pollination clearly described",NA,NA,yes,"""The flowers of these species produced strong fragrance at night""",explicit from the text (described as such),species,Ruby Stephens,1/4/2022
Cobaea scandens,Cobaea,NA,Cobaeoideae,Polemoniaceae,Ericales,Asteridae,"Ippolito, A., & Suarez, A. V. (1998). Flowering Phenology and Pollination of Cobaea aschersoniana (Polemoniaceae). Biotropica, 30(1), 145–148.",https://www.jstor.org/stable/2389224,bat,animal,no,"""At the onset of anthesis, flowers of C scandens (section Cobaea; Fig. 2) are greenish-yellow with a cabbage-like odor but turn muddy purple and lose their odor as the anthers dehisce throughout the first day (Grant & Grant 1965). After 3 or 4 days, the filaments retract into the corolla while the style elongates and stigma lobes open and become receptive; thus, the flowers are protandrous. The floral cup is 3 cm deep and the entrance is 2-3 cm wide. Grant and Grant (1965) simulated visits to C scandens using preserved specimens of the nectivorous glossophagine bat Leptonycteris nivalis. Pollen adhered to fur on the breast and chin, and the breast and chin contacted receptive stigmas (Grant & Grant 1965).""",explicit from the text (described as such),system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",nectar,yes,yes,"""C scandens...with a cabbage-like odor but turn muddy purple and lose their odor as the anthers dehisce throughout the first day...simulated visits to C scandens using preserved specimens of the nectivorous glossophagine bat Leptonycteris nivalis""",interpreted from the text,species,Ruby Stephens,1/4/2022
Camellia sinensis,Camellia,NA,NA,Theaceae,Ericales,Asteridae,"Wickramaratne, M. R. T., & Vitarana, S. I. (1985). Insect pollination of tea (Camellia sinensis L.) in Sri Lanka. Tropical Agriculture, 62(3), Article 3. https://journals.sta.uwi.edu/ojs/index.php/ta/article/view/2241",https://journals.sta.uwi.edu/ojs/index.php/ta/article/view/2241,insect,animal,no,"""Many different types of insect frequented the seed garden throughout the year. Diptera were the most numerous and were found to be efficient pollinators of tea flowers. Bees were also effective pollinators but were only present seasonally and in smaller numbers""",explicit from the text (described as such),system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",NA,NA,NA,NA,NA,species,Ruby Stephens,6/4/2022
