"","family","taxa","spauth","infraspecauth","species3author","thousandseedweight","materialweigheddesc","seedweightnotes","weightprecision","refdesc","refshort"
"1","ACANTHACEAE","Avicennia marina","(Forssk.) Vierh.",NA,NA,3400,"Seed","air-dry seeds",0,"Moles, A.T, and Westoby, M. 2003. Do large seeds suffer higher levels of pre- or post-dispersal seed predation than small seeds? Ecology, 84:3148-3161.","(Moles & Westoby, 2003)"
"2","ACANTHACEAE","Brunoniella pumilio","(R.Br.) Bremek.",NA,NA,1.2392,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"3","ACANTHACEAE","Dicliptera armata","F.Muell.",NA,NA,1.7024,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"4","ACANTHACEAE","Isoglossa eranthemoides","(F.Muell.) R.M.Barker",NA,NA,0.9845588,"Seed","*Seed weights reported may include minor covering structures",7,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"5","ACHARIACEAE","Baileyoxylon lanceolatum","C.T.White",NA,NA,1700,"Seed","oven dry",0,"Grubb, P.J., Metcalfe, D.J., Grubb, E.A.A. and Jones, G.D. 1998. Nitrogen-Richness and Protection of Seeds in Australian Tropical Rainforest: A Test of Plant Defence Theory. Oikos, 82:467-482.","(Grubb et al., 1998)"
"6","ACTINIDIACEAE","Saurauia andreana","F.Muell.",NA,NA,0.057,"Seed","oven dry",3,"Grubb, P.J., Metcalfe, D.J., Grubb, E.A.A. and Jones, G.D. 1998. Nitrogen-Richness and Protection of Seeds in Australian Tropical Rainforest: A Test of Plant Defence Theory. Oikos, 82:467-482.","(Grubb et al., 1998)"
"7","ADOXACEAE","Sambucus australasica","(Lindl.) Fritsch",NA,NA,1.7,"Seed","oven dry",1,"Grubb, P.J., Metcalfe, D.J., Grubb, E.A.A. and Jones, G.D. 1998. Nitrogen-Richness and Protection of Seeds in Australian Tropical Rainforest: A Test of Plant Defence Theory. Oikos, 82:467-482.","(Grubb et al., 1998)"
"8","ADOXACEAE","Sambucus australasica","(Lindl.) Fritsch",NA,NA,2.0912,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"9","ADOXACEAE","Sambucus gaudichaudiana","DC.",NA,NA,1.9116,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"10","ADOXACEAE","Sambucus gaudichaudiana","DC.",NA,NA,2.0028,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"11","AIZOACEAE","Carpobrotus glaucescens","(Haw.) Schwantes",NA,NA,0.2328,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"12","AIZOACEAE","Carpobrotus modestus","S.T.Blake",NA,NA,0.1688,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"13","AIZOACEAE","Carpobrotus modestus","S.T.Blake",NA,NA,0.1104,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"14","AIZOACEAE","Carpobrotus rossii","(Haw.) Schwantes",NA,NA,0.218,"Seed","*Seed weights reported may include minor covering structures",3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"15","AIZOACEAE","Disphyma crassifolium","(L.) L.Bolus",NA,NA,0.1376,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"16","AIZOACEAE","Disphyma crassifolium","(L.) L.Bolus",NA,NA,0.1056,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"17","AIZOACEAE","Gunniopsis calcarea","Chinnock",NA,NA,0.2976,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"18","AIZOACEAE","Gunniopsis calva","Chinnock",NA,NA,0.0648,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"19","AIZOACEAE","Gunniopsis calva","Chinnock",NA,NA,0.1036,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"20","AIZOACEAE","Gunniopsis glabra","(Ewart) C.A.Gardner",NA,NA,0.12,"Seed","Seed mc not stated, but weight is likely to refer to air-dry seed.",2,"Touchell, D.H. and Dixon, K.W. 1993. Cryopreservation of seed of Western Australian native species. Biodiversity and Conservation, 2(6):594-602.","(Touchell & Dixon, 1993)"
"21","AIZOACEAE","Gunniopsis papillata","Chinnock",NA,NA,0.10772,"Seed","*Seed weights reported may include minor covering structures",5,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"22","AIZOACEAE","Gunniopsis quadrifida","(F.Muell.) Pax",NA,NA,0.8124,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"23","AIZOACEAE","Gunniopsis septifraga","(F.Muell.) Chinnock",NA,NA,0.16116,"Seed","*Seed weights reported may include minor covering structures",5,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"24","AIZOACEAE","Gunniopsis tenuifolia","Chinnock",NA,NA,0.7,"Seed","*Seed weights reported may include minor covering structures",1,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"25","AIZOACEAE","Gunniopsis zygophylloides","(F.Muell.) Diels",NA,NA,0.4156,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"26","AIZOACEAE","Gunniopsis zygophylloides","(F.Muell.) Diels",NA,NA,0.3024,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"27","AIZOACEAE","Sarcozona bicarinata","S.T.Blake",NA,NA,0.0976,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"28","AIZOACEAE","Sarcozona praecox","(F.Muell.) S.T.Blake",NA,NA,0.138,"Seed","*Seed weights reported may include minor covering structures",3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"29","AIZOACEAE","Sesuvium portulacastrum","(L.) L.",NA,NA,0.391,"Seed",NA,2,"Clifford, H.T. 2000. Dicotyledon seedling morphology as a correlate of seed size. Proceedings of the Royal Society of Queensland, 109:39-48.","(Clifford, 2000)"
"30","AIZOACEAE","Sesuvium portulacastrum","(L.) L.",NA,NA,0.67,"Seed",NA,2,"Clifford, H.T. 2000. Dicotyledon seedling morphology as a correlate of seed size. Proceedings of the Royal Society of Queensland, 109:39-48.","(Clifford, 2000)"
"31","AIZOACEAE","Sesuvium portulacastrum","(L.) L.",NA,NA,0.3728,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"32","AIZOACEAE","Sesuvium portulacastrum","(L.) L.",NA,NA,0.4144,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"33","AIZOACEAE","Sesuvium portulacastrum","(L.) L.",NA,NA,0.4882,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"34","AIZOACEAE","Sesuvium portulacastrum","(L.) L.",NA,NA,0.5868,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"35","AIZOACEAE","Tetragonia tetragonoides","(Pall.) Kuntze",NA,NA,1.16,"Seed","oven dry",2,"Moles, A.T, and Westoby, M. 2003. Do large seeds suffer higher levels of pre- or post-dispersal seed predation than small seeds? Ecology, 84:3148-3161.","(Moles & Westoby, 2003)"
"36","AIZOACEAE","Tetragonia tetragonoides","(Pall.) Kuntze",NA,NA,1.703,"Seed","Seed mc not stated, but weight is likely to refer to air-dry seed.",3,"Baker Seed Herbarium, California.","(Baker Seed Herbarium, California)"
"37","AIZOACEAE","Tetragonia tetragonoides","(Pall.) Kuntze",NA,NA,2.1217,"Seed",NA,4,"Clifford, H.T. 2000. Dicotyledon seedling morphology as a correlate of seed size. Proceedings of the Royal Society of Queensland, 109:39-48.","(Clifford, 2000)"
"38","AIZOACEAE","Tetragonia tetragonoides","(Pall.) Kuntze",NA,NA,76.9,"Seed","Seed mc not stated, but weight is likely to refer to air-dry seed.",2,"Felfoldi, E. 1980. Seed Counts (Numbers of Seeds Per Unit Weight). Technical Report Series, 32. Government of Victoria, Department of Agriculture.","(Felfoldi, 1980)"
"39","AIZOACEAE","Tetragonia tetragonoides","(Pall.) Kuntze",NA,NA,77,"Seed","Seed mc not stated, but weight is likely to refer to air-dry seed.",1,"Cromarty, A.S., Ellis, R.H. and Roberts, E.H. 1982. The Design of Seed Storage Facilities for Genetic Conservation. Rome: International Board for Plant Genetic Resources.","(Cromarty et al., 1982)"
"40","AIZOACEAE","Zaleya galericulata subsp. galericulata","(Melville) H.Eichler",NA,NA,0.6648,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"41","AIZOACEAE","Zaleya galericulata subsp. galericulata","(Melville) H.Eichler",NA,NA,5.36264,"Seed","*Seed weights reported may include minor covering structures",5,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"42","ALISMATACEAE","Alisma lanceolatum","With.",NA,NA,0.4976,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"43","ALISMATACEAE","Alisma lanceolatum","With.",NA,NA,0.4776,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"44","ALISMATACEAE","Alisma lanceolatum","With.",NA,NA,0.442,"Seed","*Seed weights reported may include minor covering structures",3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"45","ALISMATACEAE","Alisma plantago-aquatica","L.",NA,NA,0.27,"Germinule","Seed mc not stated, but weight is likely to refer to air-dry seed.",2,"Grime, J.P., Mason, G., Curtis, A.A., Rodman, J., Band, S.R., Mowforth, M.A.G., Neal, A.M. and Shaw, S. 1981. A comparative study of germination characteristics in a local flora. Journal of Ecology, 69:1017-1059.","(Grime et al., 1981)"
"46","ALISMATACEAE","Alisma plantago-aquatica","L.",NA,NA,0.33,"Seed","Dry weight",2,"Shipley, B. and Parent, M. 1991. Germination responses of 64 wetland species in relation to seed size, minimum time to reproduction and seedling relative growth rate. Functional Ecology, 5:111-118.","(Shipley & Parent, 1991)"
"47","ALISMATACEAE","Alisma plantago-aquatica","L.",NA,NA,0.4,"Seed+pericarp","Seed mc not stated, but weight is likely to refer to air-dry seed.",1,"Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236.","(Barclay & Earle, 1974)"
"48","ALISMATACEAE","Alisma plantago-aquatica","L.",NA,NA,0.55,"Seed","Seed mc not stated, but weight is likely to refer to air-dry seed.",3,"Baker Seed Herbarium, California.","(Baker Seed Herbarium, California)"
"49","ALISMATACEAE","Alisma plantago-aquatica","L.",NA,NA,0.55,"Seed","Weight refers to air-dry seed.",3,"Stevens, O.A. 1932. The number and weight of seeds produced by weeds. American Journal of Botany, 19:784-794.","(Stevens, 1932)"
"50","ALISMATACEAE","Alisma plantago-aquatica","L.",NA,NA,0.573,"Seed","Seed mc not stated, but weight is likely to refer to air-dry seed.",3,"Baker Seed Herbarium, California.","(Baker Seed Herbarium, California)"
"51","ALISMATACEAE","Alisma plantago-aquatica","L.",NA,NA,0.644,"Seed","Seed mc not stated, but weight is likely to refer to air-dry seed.",3,"Baker Seed Herbarium, California.","(Baker Seed Herbarium, California)"
"52","ALISMATACEAE","Alisma plantago-aquatica","L.",NA,NA,0.468,"Seed","*Seed weights reported may include minor covering structures",3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
