Species,spp,age,leaf C(%),leafN(%),leafP(%),leafAl(ppm),leafB(ppm),leafCa(ppm),leafCu(ppm),leafFe(ppm),leafK(ppm),leafMg(ppm),leafMn(ppm),leafNa(ppm),leafS(ppm),leafZn(ppm),SLA(cm2/g),n(Amax),gasSLA(mm2/mg)(photosynth leaves only),Amass(nmol/g/s),Aarea(umol/m2/s),Gs(mmol/m2/s),Ci(ppm),Ci/Ca,Trans(mmol/m2/s),VpdL,Ctleaf(oC),avDBH(cm),minDBH(cm),maxDBH(cm),leaf_d15N,leaf_ d13C,"Bark thickness (mm), of 1cm diam stem",bark_%mass,Bark_%area,sapwd_%mass,Sapwood_%area,pith_%mass,Pith_%area,sapwoodWD (cm3/g),wood_Cmass(%),wood_Nmass(%),wood_CN ratio,wood_d13C,wood_d15N,bark_Cmass(%),bark_Nmass(%),bark_CN ratio,bark_d13C,bark_d15N
Acacia difficilis,AcaDif,adult,46.58,2.04,0.09,8.07,33.83,4392.61,14.37,40.29,4833.26,2138.3,134.64,3431.91,1706.48,32.97,105.5,7,9.91,256.16,25.61,1087.12,303.82,0.84,7.09,0.91,28.38,1.582,1.2,2.2,-0.62,-29.56,0.81,22.46,30.6,77.54,69.4,0,0,0.61,44.31,0.34,138.97,-29.58,-1.63,45.45,1.44,33.26,-31.34,-1.56
Acacia difficilis,AcaDif,sapling,45.65,2.45,0.09,6.14,32.89,4803.74,12.54,39.71,5293.44,1998.82,178.78,4481.22,1620.92,27.12,110.2,6,10.44,233.78,22.34,882.1,304.21,0.83,6.73,1.08,28.17,0.727,0.6,1,-0.56,-29.85,0.72,24.43,32.27,75.57,67.73,0,0,0.55,45.05,0.32,144.91,-29.49,-2.22,44.2,1.51,29.66,-30.59,-2.08
Acacia latescens,AcaLat,adult,49.54,1.88,0.06,10.22,48.46,3905.03,11.42,106.95,2151.5,4335.6,53.85,2461.77,1191.2,13.03,68.2,6,6.81,109.42,16.13,529.69,306.66,0.82,5.28,1.21,29.27,7.613,4.3,11.8,-0.93,-30.09,1.3,39.64,45.1,60.36,54.9,0,0,0.7,44.14,0.44,102.89,-28.58,-1.28,46.91,0.79,61.99,-31.14,-0.97
Acacia latescens,AcaLat,sapling,50.67,1.66,0.04,14.22,41.71,2363.32,9.23,83.18,1654.23,2749.41,23.07,2718.64,1149.41,14.24,62.9,7,6.37,116.79,18.5,656.31,308.72,0.83,5.81,1.1,29.11,1.378,0.6,2.4,-1.77,-29.84,1.54,44.82,49.16,55.18,50.84,0,0,0.65,43.44,0.54,81.73,-28.83,-1.6,48.48,0.73,66.44,-30.51,-0.63
Acacia mimula,AcaMim,adult,50.23,1.92,0.07,22.56,16.02,2066.44,10.04,56.53,2920.52,3937.69,91.25,2437.64,1263.7,9.78,70.7,5,7.02,123.32,17.29,644.73,318.06,0.85,6.21,1.16,28.46,2.699,2.2,3.5,-1.31,-28.26,1.66,52.64,59.74,47.36,40.26,0,0,0.69,44.86,0.38,118.57,-27.49,-2.51,46.96,0.9,52.03,-28.79,-2.48
Acacia mimula,AcaMim,sapling,50.84,1.9,0.05,5.03,13.02,1428.18,10.11,31.77,2914.84,3219.42,28.06,2128.38,1135.32,8.49,63,5,7.95,139.43,17.42,682.08,281.14,0.75,5.19,0.94,28.54,1.248,1,1.4,-1.32,-28.65,1.75,46.99,55.6,53.01,44.4,0,0,0.73,44.45,0.36,124.03,-27.32,-1.87,47.48,0.91,59.43,-28.63,-1.64
Buchanania obovata,BucObo,adult,43.78,0.49,0.08,18.82,20.52,13750.4,0.91,25.49,2684.71,5009.43,29.49,2385.73,1146.48,11.72,51.5,6,7.45,97.16,13.08,353.56,305.85,0.8,4.46,1.42,29.49,6.897,5.6,8.3,-0.91,-27.07,2.08,62.48,65.58,34.28,34.42,3.24,3.91,0.51,44.2,0.42,114.74,-26.61,-0.02,44.38,0.35,128.27,-28.29,-0.67
Buchanania obovata,BucObo,sapling,43.9,0.28,0.07,21.46,18.4,10648.2,2.92,26.53,2259.51,5343.17,47.47,1601.58,1242.06,10.66,57.1,5,7.03,82.05,11.61,301.26,305.27,0.8,3.91,1.43,29.07,1.878,1,3,-0.835,-28.05,2.97,60.11,68.44,36.21,31.56,3.68,3.71,0.39,44.51,0.39,116.9,-27.23,-0.32,42.46,0.37,119.53,-28.41,-1.02
Cochlospermum fraseri,CocFra,adult,41.27,1.08,0.09,28.86,28.84,12268.62,4.85,56.61,6079.68,7184.53,53.1,137.79,1391.88,15.7,173.1,5,19.07,253.73,13.39,349.74,304.7,0.8,4.11,1.31,29.01,5.475,2.9,9.5,-3.03,-27.94,1.82,48.51,50.51,47.68,49.49,3.81,3.37,0.43,43.35,0.27,186.57,-28.37,-1.95,43.12,0.25,178.66,-29.38,-1.94
Cochlospermum fraseri,CocFra,sapling,43.19,1.9,0.1,27.33,36.31,10445.88,5.66,83.51,7966.88,6666.37,82.57,118.25,1839.01,13.09,168.6,5,19.53,366.48,18.85,641.58,308.64,0.83,5.65,1.08,28.58,0.999,0.5,1.6,-2.285,-28.275,2.03,55.9,58.24,44.1,41.76,0,0,0.36,43.52,0.36,157.08,-28.84,-0.87,42.22,0.25,173.02,-29.87,-1.37
