spp,Rep2,age,Rep,duplicate,Wood/bark,Sample ID,d13C_bark,C%_bark,d15N_bark,N%_bark,C:N ratio_bark,date
AcaDif,A1,adult,1,1,bark,MQ167,-31.09,45.936,-1.27,1.907,24,wet season (May 2011)
AcaDif,A1,adult,1,2,bark,MQ267,-30.74,45.192,-1.21,1.554,29,wet season (May 2011)
AcaDif,A2,adult,2,1,bark,MQ250,-31.32,46.434,-1.97,1.017,46,wet season (May 2011)
AcaDif,A3,adult,3,1,bark,MQ264,-32.19,44.25,-1.8,1.293,34,wet season (May 2011)
AcaDif,S1,sapling,1,1,bark,MQ224,-29.48,42.125,-1.85,1.684,25,wet season (May 2011)
AcaDif,S1,sapling,1,2,bark,MQ265,-29.52,43.408,-2.07,1.755,25,wet season (May 2011)
AcaDif,S2,sapling,2,1,bark,MQ226,-30,42.044,-1.98,1.262,33,wet season (May 2011)
AcaDif,S3,sapling,3,1,bark,MQ289,-31.97,44.115,-2.32,1.438,31,wet season (May 2011)
AcaDif,S4,sapling,4,1,bark,MQ187,-31.75,43.653,-2.03,1.514,29,wet season (May 2011)
AcaDif,S5,sapling,5,1,bark,MQ243,-30.82,49.838,-2.25,1.408,35,wet season (May 2011)
AcaLat,A1,adult,1,1,bark,MQ150,-31.83,48.794,0.06,0.697,70,wet season (May 2011)
AcaLat,A2,adult,2,1,bark,MQ104,-30.15,46.203,-0.79,0.728,63,wet season (May 2011)
AcaLat,A3,adult,3,1,bark,MQ144,-30.6,47.174,-0.27,0.621,76,wet season (May 2011)
AcaLat,A4,adult,4,1,bark,MQ129,-31.66,46.457,-1.41,0.77,60,wet season (May 2011)
AcaLat,A5,adult,5,1,bark,MQ142,-32.69,48.596,-1.84,1.181,41,wet season (May 2011)
AcaLat,A5,adult,5,2,bark,MQ227,-29.89,44.247,-1.54,0.725,61,wet season (May 2011)
AcaLat,S1,sapling,1,1,bark,MQ145,-31.08,50.871,-0.45,0.728,70,wet season (May 2011)
AcaLat,S2,sapling,2,1,bark,MQ147,-29.79,48.451,-0.94,0.74,65,wet season (May 2011)
AcaLat,S3,sapling,3,1,bark,MQ005,-30.79,48.171,-0.31,0.734,66,wet season (May 2011)
AcaLat,S4,sapling,4,1,bark,MQ262,-30.37,46.441,-0.82,0.717,65,wet season (May 2011)
AcaMim,A1,adult,1,1,bark,MQ270,-28.35,48.545,-2.36,0.884,55,wet season (May 2011)
AcaMim,A2,adult,2,1,bark,MQ190,-28.83,47.238,-2.75,0.879,54,wet season (May 2011)
AcaMim,A3,adult,3,1,bark,MQ201,-29.01,47.317,-2.17,0.953,50,wet season (May 2011)
AcaMim,A4,adult,4,1,bark,MQ290,-28.82,46.861,-2.71,0.922,51,wet season (May 2011)
AcaMim,A5,adult,5,1,bark,MQ207,-28.96,44.83,-2.39,0.879,51,wet season (May 2011)
AcaMim,S1,sapling,1,1,bark,MQ164,-28.35,48.579,-2.78,0.887,55,wet season (May 2011)
AcaMim,S2,sapling,2,1,bark,MQ210,-28.9,45.202,-2.17,0.968,47,wet season (May 2011)
AcaMim,S3,sapling,3,1,bark,MQ245,-28.53,50.369,-1.76,1.108,45,wet season (May 2011)
AcaMim,S4,sapling,4,1,bark,MQ206,-27.86,45.247,-1.64,1.166,39,wet season (May 2011)
AcaMim,S5,sapling,5,1,bark,MQ166,-29.52,48.02,0.15,0.431,111,wet season (May 2011)
BucObo,A1,adult,1,1,bark,MQ202,-28.96,45.651,-2.7,0.342,133,wet season (May 2011)
BucObo,A2,adult,2,1,bark,MQ149,-28.92,48.187,-2.51,0.325,148,wet season (May 2011)
BucObo,A20,adult,20,1,bark,MQ326,-29.5,43.092,-0.16,0.367,117,wet season (May 2011)
BucObo,A3,adult,3,1,bark,MQ283,-27.66,43.706,0.39,0.402,109,wet season (May 2011)
BucObo,A4,adult,4,1,bark,MQ285,-26.79,40.142,1.15,0.398,101,wet season (May 2011)
BucObo,A5,adult,5,1,bark,MQ185,-27.93,45.526,-0.21,0.283,161,wet season (May 2011)
BucObo,S1,sapling,1,1,bark,MQ209,-28.92,40.622,-0.53,0.411,99,wet season (May 2011)
BucObo,S1-,sapling,1,2,bark,MQ308,-27.2,41.976,-0.24,0.378,111,wet season (May 2011)
BucObo,S2,sapling,2,1,bark,MQ208,-27.96,42.202,-0.75,0.389,108,wet season (May 2011)
BucObo,S4,sapling,4,1,bark,MQ130,-29.56,45.054,-2.57,0.282,160,wet season (May 2011)
CocFra,A1,adult,1,1,bark,MQ244,-28.94,44.552,-1.13,0.195,228,wet season (May 2011)
CocFra,A2,adult,2,1,bark,MQ225,-30.04,41.258,-3.18,0.314,131,wet season (May 2011)
CocFra,A3,adult,3,1,bark,MQ223,-28.49,39.802,-1.57,0.245,162,wet season (May 2011)
CocFra,A4,adult,4,1,bark,MQ184,-29.01,44.029,-1.84,0.28,157,wet season (May 2011)
CocFra,A5,adult,5,1,bark,MQ163,-30.43,45.947,-2,0.215,214,wet season (May 2011)
CocFra,S1,sapling,1,1,bark,MQ284,-30.77,42.051,-1.4,0.216,195,wet season (May 2011)
CocFra,S2,sapling,2,1,bark,MQ205,-29.54,40.885,-1.55,0.342,120,wet season (May 2011)
CocFra,S3,sapling,3,1,bark,MQ162,-29.86,44.548,-1.46,0.263,169,wet season (May 2011)
CocFra,S4,sapling,4,1,bark,MQ228,-29.23,41.157,-1.85,0.232,177,wet season (May 2011)
CocFra,S4,sapling,4,2,bark,MQ230,-30.59,40.158,-0.48,0.251,160,wet season (May 2011)
CocFra,S5,sapling,5,1,bark,MQ143,-29.25,44.506,-1.48,0.205,217,wet season (May 2011)
CorBle,A1,adult,1,1,bark,MQ049,-28.81,46.531,-1.09,0.252,185,wet season (May 2011)
CorBle,A2,adult,2,1,bark,MQ022,-28.29,46.072,-2.11,0.289,159,wet season (May 2011)
CorBle,A3,adult,3,1,bark,MQ089,-27.34,44.411,-1.88,0.447,99,wet season (May 2011)
CorBle,A4,adult,4,1,bark,MQ048,-27.77,46.905,-1.9,0.238,197,wet season (May 2011)
CorBle,A5,adult,5,1,bark,MQ204,-29.62,43.451,-1.11,0.212,205,wet season (May 2011)
CorBle,S25,sapling,25,1,bark,MQ041,-28.3,47.831,-2.05,0.261,183,wet season (May 2011)
CorBle,S3,sapling,3,1,bark,MQ083,-28.12,46.73,-1.68,0.272,172,wet season (May 2011)
CorBle,S3,sapling,3,2,bark,MQ084,-28.18,46.771,-1.74,0.307,152,wet season (May 2011)
CorBle,S4,sapling,4,1,bark,MQ067,-28.67,48.197,-1.06,0.227,212,wet season (May 2011)
