spp,age,Rep,spp_age,newID,LfMass_cum80,StMass_cum80,Lf&StMass_cum80,LM/SM80,LMF80,date
AcaDif,adult,10,Acadif_ad,Acadif_ad10,4.5052,6.0933,10.5985,0.7394,0.4251,dry season (Sep 2010)
AcaDif,adult,11,Acadif_ad,Acadif_ad11,19.2119,11.2698,30.4817,1.7047,0.6303,dry season (Sep 2010)
AcaDif,adult,12,Acadif_ad,Acadif_ad12,8.0208,7.1551,15.1759,1.121,0.5285,dry season (Sep 2010)
AcaDif,adult,20,Acadif_ad,Acadif_ad20,6.4699,2.974,9.4439,2.1755,0.6851,dry season (Sep 2010)
AcaDif,adult,5,Acadif_ad,Acadif_ad5,27.0027,27.0959,54.0986,0.9966,0.4991,dry season (Sep 2010)
AcaDif,adult,60,Acadif_ad,Acadif_ad60,41.8711,16.3869,58.258,2.5552,0.7187,dry season (Sep 2010)
AcaLat,adult,1,AcaLat_ad,AcaLat_ad1,18.997,7.1546,26.1516,2.6552,0.7264,dry season (Sep 2010)
AcaLat,adult,2,AcaLat_ad,AcaLat_ad2,33.7687,11.648,45.4167,2.8991,0.7435,dry season (Sep 2010)
AcaLat,adult,3,AcaLat_ad,AcaLat_ad3,13.6005,7.0341,20.6346,1.9335,0.6591,dry season (Sep 2010)
AcaLat,adult,4,AcaLat_ad,AcaLat_ad4,22.9643,14.7719,37.7362,1.5546,0.6085,dry season (Sep 2010)
AcaLat,adult,5,AcaLat_ad,AcaLat_ad5,35.0088,24.1577,59.1665,1.4492,0.5917,dry season (Sep 2010)
AcaLat,adult,6,AcaLat_ad,AcaLat_ad6,18.5791,12.4395,31.0186,1.4936,0.599,dry season (Sep 2010)
AcaLat,sapling,1,AcaLat_sap,AcaLat_sap1,14.7742,7.4424,22.2166,1.9851,0.665,dry season (Sep 2010)
AcaLat,sapling,2,AcaLat_sap,AcaLat_sap2,27.2439,15.2855,42.5294,1.7823,0.6406,dry season (Sep 2010)
AcaLat,sapling,4,AcaLat_sap,AcaLat_sap4,44.1155,17.33,61.4455,2.5456,0.718,dry season (Sep 2010)
AcaLat,sapling,5,AcaLat_sap,AcaLat_sap5,32.8113,12.7942,45.6055,2.5645,0.7195,dry season (Sep 2010)
AcaMim,adult,10,AcaMim_ad,AcaMim_ad10,36.4163,28.8587,65.275,1.2619,0.5579,dry season (Sep 2010)
AcaMim,adult,40,AcaMim_ad,AcaMim_ad40,38.9002,34.9772,73.8774,1.1122,0.5266,dry season (Sep 2010)
AcaMim,adult,41,AcaMim_ad,AcaMim_ad41,40.3333,29.9382,70.2715,1.3472,0.574,dry season (Sep 2010)
AcaMim,adult,42,AcaMim_ad,AcaMim_ad42,35.2303,27.8122,63.0425,1.2667,0.5588,dry season (Sep 2010)
AcaMim,adult,43,AcaMim_ad,AcaMim_ad43,38.2589,30.4612,68.7201,1.256,0.5567,dry season (Sep 2010)
AcaMim,sapling,1,AcaMim_sap,AcaMim_sap1,19.9835,9.1166,29.1001,2.192,0.6867,dry season (Sep 2010)
AcaMim,sapling,10,AcaMim_sap,AcaMim_sap10,30.2731,17.4013,47.6744,1.7397,0.635,dry season (Sep 2010)
AcaMim,sapling,11,AcaMim_sap,AcaMim_sap11,26.0033,18.1581,44.1614,1.432,0.5888,dry season (Sep 2010)
AcaMim,sapling,20,AcaMim_sap,AcaMim_sap20,33.3354,16.2819,49.6173,2.0474,0.6719,dry season (Sep 2010)
AcaMim,sapling,40,AcaMim_sap,AcaMim_sap40,36.6956,26.4076,63.1032,1.3896,0.5815,dry season (Sep 2010)
BucObo,adult,50,BucObo_ad,BucObo_ad50,,,,,,
BucObo,adult,51,BucObo_ad,BucObo_ad51,98.2666,76.954,175.2206,1.277,0.5608,dry season (Sep 2010)
BucObo,sapling,1,BucObo_sap,BucObo_sap1,73.3431,177.0103,250.3534,0.4143,0.293,dry season (Sep 2010)
BucObo,sapling,43,BucObo_sap,BucObo_sap43,134.327,196.6268,330.9538,0.6832,0.4059,dry season (Sep 2010)
BucObo,sapling,50,BucObo_sap,BucObo_sap50,36.283,66.6187,102.9017,0.5446,0.3526,dry season (Sep 2010)
BucObo,sapling,51,BucObo_sap,BucObo_sap51,51.7443,100.6877,152.432,0.5139,0.3395,dry season (Sep 2010)
BucObo,sapling,60,BucObo_sap,BucObo_sap60,52.7,87.7528,140.4528,0.6006,0.3752,dry season (Sep 2010)
CorBle,adult,1,CorBle_ad,CorBle_ad1,101.816,60.3034,162.1194,1.6884,0.628,dry season (Sep 2010)
CorBle,adult,60,CorBle_ad,CorBle_ad60,53.9174,49.5781,103.4955,1.0875,0.521,dry season (Sep 2010)
CorBle,adult,61,CorBle_ad,CorBle_ad61,80.7409,53.5735,134.3144,1.5071,0.6011,dry season (Sep 2010)
CorBle,sapling,1,CorBle_sap,CorBle_sap1,73.7624,56.4773,130.2397,1.3061,0.5664,dry season (Sep 2010)
CorBle,sapling,10,CorBle_sap,CorBle_sap10,76.1695,54.2838,130.4533,1.4032,0.5839,dry season (Sep 2010)
CorBle,sapling,11,CorBle_sap,CorBle_sap11,63.4804,49.2717,112.7521,1.2884,0.563,dry season (Sep 2010)
CorBle,sapling,2,CorBle_sap,CorBle_sap2,42.8483,44.8753,87.7236,0.9548,0.4884,dry season (Sep 2010)
CorBle,sapling,20,CorBle_sap,CorBle_sap20,78.483,45.8486,124.3316,1.7118,0.6312,dry season (Sep 2010)
CorBle,sapling,3,CorBle_sap,CorBle_sap3,45.3705,47.8561,93.2266,0.9481,0.4867,dry season (Sep 2010)
CorBle,sapling,4,CorBle_sap,CorBle_sap4,76.9619,50.0473,127.0092,1.5378,0.606,dry season (Sep 2010)
CorBle,sapling,5,CorBle_sap,CorBle_sap5,27.0335,31.5495,58.583,0.8569,0.4615,dry season (Sep 2010)
CorPor,adult,1,CorPor_ad,CorPor_ad1,58.326,32.5026,90.8286,1.7945,0.6422,dry season (Sep 2010)
CorPor,adult,10,CorPor_ad,CorPor_ad10,32.1927,23.9091,56.1018,1.3465,0.5738,dry season (Sep 2010)
CorPor,adult,2,CorPor_ad,CorPor_ad2,131.6542,62.2918,193.946,2.1135,0.6788,dry season (Sep 2010)
CorPor,adult,40,CorPor_ad,CorPor_ad40,62.989,105.9524,168.9414,0.5945,0.3728,dry season (Sep 2010)
CorPor,adult,41,CorPor_ad,CorPor_ad41,98.4933,48.2401,146.7334,2.0417,0.6712,dry season (Sep 2010)
CorPor,adult,60,CorPor_ad,CorPor_ad60,80.2723,76.0356,156.3079,1.0557,0.5136,dry season (Sep 2010)
CorPor,adult,61,CorPor_ad,CorPor_ad61,175.835,97.7276,273.5626,1.7992,0.6428,dry season (Sep 2010)
CorPor,sapling,1,CorPor_sap,CorPor_sap1,55.0965,22.4393,77.5358,2.4554,0.7106,dry season (Sep 2010)
CorPor,sapling,2,CorPor_sap,CorPor_sap2,90.266,70.4345,160.7005,1.2816,0.5617,dry season (Sep 2010)
CorPor,sapling,60,CorPor_sap,CorPor_sap60,59.1239,63.3938,122.5177,0.9326,0.4826,dry season (Sep 2010)
CorPor,sapling,61,CorPor_sap,CorPor_sap61,46.1989,23.2255,69.4244,1.9891,0.6655,dry season (Sep 2010)
CorPor,sapling,62,CorPor_sap,CorPor_sap62,57.9843,47.7497,105.734,1.2143,0.5484,dry season (Sep 2010)
EryChl,adult,50,EryChl_ad,EryChl_ad50,27.4924,65.3416,92.834,0.4207,0.2961,dry season (Sep 2010)
EryChl,adult,51,EryChl_ad,EryChl_ad51,76.8943,78.5815,155.4758,0.9785,0.4946,dry season (Sep 2010)
EryChl,adult,52,EryChl_ad,EryChl_ad52,85.9774,115.0229,201.0003,0.7475,0.4277,dry season (Sep 2010)
EryChl,adult,53,EryChl_ad,EryChl_ad53,40.4583,89.8286,130.2869,0.4504,0.3105,dry season (Sep 2010)
EryChl,adult,60,EryChl_ad,EryChl_ad60,59.5278,135.1408,194.6686,0.4405,0.3058,dry season (Sep 2010)
EryChl,sapling,1,EryChl_sap,EryChl_sap1,43.6619,80.3083,123.9702,0.5437,0.3522,dry season (Sep 2010)
EryChl,sapling,10,EryChl_sap,EryChl_sap10,74.7549,36.7233,111.4782,2.0356,0.6706,dry season (Sep 2010)
EryChl,sapling,40,EryChl_sap,EryChl_sap40,,,,,,
EryChl,sapling,41,EryChl_sap,EryChl_sap41,57.048,51.9037,108.9517,1.0991,0.5236,dry season (Sep 2010)
EucMin,adult,1,EucMin_ad,EucMin_ad1,38.4831,35.5365,74.0196,1.0829,0.5199,dry season (Sep 2010)
EucMin,adult,11,EucMin_ad,EucMin_ad11,122.8918,68.6415,191.5333,1.7903,0.6416,dry season (Sep 2010)
EucMin,adult,2,EucMin_ad,EucMin_ad2,68.1751,74.3322,142.5073,0.9172,0.4784,dry season (Sep 2010)
