sample,tree,taxon,date_time,locality,locality_edited,longitude (deg),latitude (deg),collector,longitude_gda94,latitude_gda94,elevation (m),height_m,stem_density_g_per_ml,stem_mass_g,stem_volume_ml,bark_mass_g,sla_mm2_per_mg,leaf_area_cm2,leaf_mass_g,fruit_mass_mg,fruit_wall_width_mm,fruit_diameter_mm,fruit_height_mm,seed_mass_mg,seed_mass_total_mg,number_of_seeds,leaf_notes,seed_notes,max_height_m,notes
ALA_TBGN2_1_stem,NA,Eucalyptus alaticaulis,NA,TBGN2,TBGN2,142.4965,-37.3559,L.J. Pollock,NA,NA,NA,NA,0.83075,3.323,4,1.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ARE_BLK1_1_stem,NA,Eucalyptus arenacea,NA,BLK1,BLK1,142.4895,-37.1851,L.J. Pollock,NA,NA,NA,NA,0.714909091,3.932,5.5,1.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ARE_BLK1_2_stem,NA,Eucalyptus arenacea,NA,BLK1,BLK1,142.4895,-37.1851,L.J. Pollock,NA,NA,NA,NA,0.558,1.674,3,0.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_MGN2_1_stem,NA,Eucalyptus baxteri,NA,MGN2,MGN2,142.4587,-37.4224,L.J. Pollock,NA,NA,NA,NA,0.574347826,5.284,9.2,2.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_MGN2_2_stem,NA,Eucalyptus baxteri,NA,MGN2,MGN2,142.4587,-37.4224,L.J. Pollock,NA,NA,NA,NA,0.633,2.532,4,0.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VER_CGS1_1_stem,NA,Eucalyptus verrucata,NA,CGS1,CGS1,142.3645,-37.572,L.J. Pollock,NA,NA,NA,NA,0.866140351,4.937,5.7,2.547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_MGS5_1_stem,NA,Eucalyptus baxteri,NA,MGS5,MGS5,142.4574,-37.4269,L.J. Pollock,NA,NA,NA,NA,0.743714286,7.809,10.5,2.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_CGS7_1_stem,NA,Eucalyptus baxteri,NA,CGS7,CGS7,142.3673,-37.5679,L.J. Pollock,NA,NA,NA,NA,0.757714286,2.652,3.5,1.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_MGS3_1_stem,NA,Eucalyptus baxteri,NA,MGS3,MGS3,142.4574,-37.4621,L.J. Pollock,NA,NA,NA,NA,0.708857143,4.962,7,1.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_MGS4_1_stem,NA,Eucalyptus baxteri,NA,MGS4,MGS4,142.4577,-37.4263,L.J. Pollock,NA,NA,NA,NA,0.667,6.67,10,3.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_MGN5_1_stem,NA,Eucalyptus baxteri,NA,MGN5,MGN5,142.4577,-37.4244,L.J. Pollock,NA,NA,NA,NA,0.623428571,2.182,3.5,3.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
