Species,leafy_exposed,solitairy_clustered,mimcry,pollinator,follicle_mass_mg,Cauliflory,exposed AND_OR bird-poll,seed_mass_mg,winged_seed_area_mm2,wing load ug mm-2,regeneration_mode,serotiny_level,fruits_per_plant,%_germinated,peak_value,serotiny,fruit_length_mm,fruit_width_mm,fruit_thickness_mm,fruit_mass_mg,fruit_volume_mm3,fruit_density_ug_mm3,follicle_seed_ratio_g_per_g,upper_seed_wall_thickness_mm,lower_seed_wall_thickness_mm,lateral_seed_wall_thickness_mm
Hakea aculeata,l,s,n,I,508.9,,,39.7,141.1,289,RS,2,5,86.7,0.057,ss,18.8,10.2,12.1,508.9,1214,419.2,6.4,3.99,2.55,2.66
Hakea acuminata,l,s,n,b,2949.1,,*,18.7,148.9,141.4,NS,2,5,54.8,0.021,ss,24,16,16.6,2949.1,3338.5,883.4,78.9,4.03,8.69,5.5
Hakea adnata,e,s,n,I,7637.5,,*,27.1,143.1,184.6,NS,3,6,96.8,0.045,ms,34.6,26.6,25.2,7637.5,12151.7,628.5,140.9,7.01,13.48,10.69
Hakea ambigua,l,s,n,I,1956,,,11.2,47,257.9,NS,2,4,96.7,0.034,ss,26.4,17.3,12.4,1956,2961.3,660.5,87.3,2.75,6.11,6.13
Hakea amplexicaulis,l,s,n,I,1116,,,40.6,196.9,215.5,RS,1,1,35,0.023,ws,32.6,14.3,13,1116,3175.3,351.5,13.7,1.92,3.75,4.67
Hakea anadenia,l,s,n,I,2673.6,,,11.1,41.7,274.1,NS,2,4,93.3,0.054,ss,20.6,13.2,9.7,921.8,1380.9,667.6,41.5,2.25,3.63,4.13
Hakea auriculata,l,s,m,I,957.3,,,39.6,140.7,295.5,RS,2,3,100,0.023,ss,21,12,14.3,957.3,1878.1,509.7,12.1,3.79,3.83,3.51
Hakea baxteri,l,s,n,I,9139.5,,,39.9,188.7,219.6,NS,2,3,89.6,0.036,ss,40,24.5,25.6,9139.5,13161,694.4,114.5,8.48,13.21,9.67
Hakea bicornata,e,s,n,,1334.2,,*,8.1,63.9,134.2,RS?,3,6,82.8,0.026,ms,18.9,12.7,13.5,1334.2,1689.3,789.8,82.4,3.12,7.86,3.87
Hakea brachyptera,l,s,n,I,2498.4,,,35.2,271,139.8,NS,2,4,79.3,6.7,ms,35.6,24.2,23.7,7239.3,10662,679,102.8,4.48,4.32,9.49
Hakea brownii,e,s,n,I,17001.7,,*,81.9,400.6,217.7,RS,2,1,100,0.038,ss,40.3,34.3,31.7,17001.7,22916.3,741.9,103.8,6.41,14.37,14.45
Hakea bucculenta,l,c,n,b,1864.6,,*,12.4,123.4,115.6,NS,2,5,96.4,0.059,ss,20.2,13.6,12.8,1864.6,1848,1009,75.2,2.97,5.47,4.33
Hakea candolleana,l,s,n,I,3313.1,,,31.4,180.5,188,RS,2,1,80,0.042,ss,29.6,14.6,16.2,3108.6,3676.8,845.5,49.5,3.5,5.29,4.82
Hakea ceratophylla,l,s,n,I,1345.4,,,23.1,92.3,80.3,RS,2,2,70,0.055,ss,31.9,13.4,13.6,1345.4,3040.8,442.4,29.1,3.42,3.96,4.23
