locality_consistent,site corrected,longitude corrected,latitude corrected,time corrected,,longitude (deg),latitude (deg),elevation (m),notes,date_time,collector,
A1,,,,,,142.3598,-37.5901,126,,2008-12-08T23:32:19Z,L.J. Pollock,
A2,,,,,,142.3599,-37.5903,451,,2008-12-08T23:48:08Z,L.J. Pollock,
A2 Mt Abrupt,A2,142.3599,-37.5903,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
A3,,,,,,142.3595,-37.5897,NA,,2008-12-09T00:01:47Z,L.J. Pollock,
A4,,,,,,142.3592,-37.5888,NA,,2008-12-09T00:20:13Z,L.J. Pollock,
A5,,,,,,142.3592,-37.5888,NA,,2008-12-09T00:26:29Z,L.J. Pollock,
B1,,,,,,142.3592,-37.5888,NA,,NA,L.J. Pollock,
B2,,,,,,142.3651,-37.5668,403,,2008-12-09T01:21:55Z,L.J. Pollock,
B3,,,,,,142.3643,-37.5666,398,,2008-12-09T01:25:51Z,L.J. Pollock,
B4,,,,,,142.3624,-37.566,376,,2008-12-09T01:32:21Z,L.J. Pollock,
B5,,,,,,142.3604,-37.5656,345,,2008-12-09T01:37:19Z,L.J. Pollock,
BARK1,,,,,,142.5051,-37.1524,485,,2008-12-10T21:41:28Z,L.J. Pollock,
BARK2,,,,,,142.5064,-37.1531,498,,2008-12-10T21:55:40Z,L.J. Pollock,
BARK3,,,,,,142.5064,-37.1531,NA,,NA,L.J. Pollock,
BARK4,,,,,,142.5045,-37.1517,486,,2008-12-10T22:17:56Z,L.J. Pollock,
Black Range,,142.736294,-37.14129,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
BLK1,,,,,,142.4895,-37.1851,NA,,NA,L.J. Pollock,
BLK11,,,,,,142.4895,-37.1851,NA,,NA,L.J. Pollock,
BLK6,,,,,,142.4895,-37.1851,NA,,2009-03-17T03:15:00Z,L.J. Pollock,
Book,,,,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
BOR3,GBOR3,142.502,-37.0816,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-03-31T13:00:00Z,L.J. Pollock,
C1,,,,,,142.415,-37.5009,273,,2008-12-09T02:08:56Z,L.J. Pollock,
C2,,,,,,142.4134,-37.5009,278,,2008-12-09T02:17:47Z,L.J. Pollock,
C3,,,,,,142.4121,-37.5009,274,,2008-12-09T02:21:50Z,L.J. Pollock,
C4,,,,,,142.4109,-37.5005,277,,2008-12-09T02:27:51Z,L.J. Pollock,
C5,,,,,,142.4092,-37.4999,283,,2008-12-09T02:34:19Z,L.J. Pollock,
campground,,142.522362,-37.130881,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
CGS1,,,,,,142.3645,-37.572,501,,2007-12-07T00:05:37Z,L.J. Pollock,
CGS2,,,,,,142.365,-37.5718,465,,2007-12-07T01:19:04Z,L.J. Pollock,
CGS3,,,,,,142.3652,-37.5716,454,,2007-12-07T01:22:02Z,L.J. Pollock,
CGS4,,,,,,142.3656,-37.5714,433,,2007-12-07T01:48:16Z,L.J. Pollock,
CGS5,,,,,,142.3666,-37.5709,410,,2007-12-07T02:18:23Z,L.J. Pollock,
CGS6,,,,,,142.3671,-37.5696,399,,2007-12-07T02:55:54Z,L.J. Pollock,
CGS7,,,,,,142.3673,-37.5679,391,,2007-12-07T03:18:47Z,L.J. Pollock,
CGS8,,,,,,142.3673,-37.5676,389,,2007-12-07T03:56:23Z,L.J. Pollock,
COPR,,142.4123,-36.9254,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
COPR1,,,,,,142.4123,-36.9254,361,,2008-12-12T06:21:52Z,L.J. Pollock,
COPR2,,,,,,142.4115,-36.9259,346,,2008-12-12T06:55:16Z,L.J. Pollock,
COPR3,,,,,,142.4112,-36.9264,350,,2008-12-12T07:05:04Z,L.J. Pollock,
COPR4,,,,,,142.4109,-36.9261,348,,2008-12-12T07:25:14Z,L.J. Pollock,
COPR5,,,,,,142.41,-36.9262,349,,2008-12-12T07:45:26Z,L.J. Pollock,
D1,,,,,,142.46,-37.4277,412,,2008-12-09T03:01:52Z,L.J. Pollock,
D2,,,,,,142.4605,-37.4321,413,,2008-12-09T03:10:29Z,L.J. Pollock,
D3,,,,,,142.4592,-37.4331,336,,2008-12-09T03:18:24Z,L.J. Pollock,
D3-5,,,,,,142.4593,-37.4361,311,,2008-12-09T03:36:18Z,L.J. Pollock,
D4,,,,,,142.4593,-37.4361,NA,,NA,L.J. Pollock,
D5,,,,,,142.4593,-37.4361,NA,,NA,L.J. Pollock,
DC1,,,,,,142.4113,-37.1779,251,,2008-12-11T00:13:40Z,L.J. Pollock,
