taxon_name,ParGenTax,ParTribeTax,ParSubfamTax,ParFamTax,ParOrdTax,ParCladeTax,reference,url,pollination,wind_water_animal_pollination,wind_pollination_explicitly_tested,pollination_text,pollination_data_source,syndrome_or_system,confidence_score,pollination_reward,nectar,scent,pollination_reward_text,pollination_reward_data_source,rank_scored_at,entered_by,entry_date
Amborella trichopoda,Amborella,NA,NA,Amborellaceae,Amborellales,Angiospermae,"Thien, L. B., Sage, T. L., Jaffré, T., Bernhardt, P., Pontieri, V., Weston, P. H., Malloch, D., Azuma, H., Graham, S. W., McPherson, M. A., Rai, H. S., Sage, R. F., & Dupre, J.-L. (2003). The Population Structure and Floral Biology of Amborella Trichopoda (Amborellaceae). Annals of the Missouri Botanical Garden, 90(3), 466–490. https://doi.org/10.2307/3298537",http://www.jstor.org/stable/3298537,wind and insect,wind&animal,yes,"""Amborella trichopoda exhibits a wind and insect pollination breeding system""",explicit from the text (described as such),system,"6 - Pollination system, wind pollination explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators tested",pollen,no,no,"""Pollen is the reward for insects as there is an absence of detectable floral volatiles and nectars""",explicit from the text (described as such),species,Ruby Stephens,28/10/2021
Austrobaileya scandens,Austrobaileya,NA,NA,Austrobaileyaceae,Austrobaileyales,Angiospermae,"Endress, P. K. (2001). The Flowers in Extant Basal Angiosperms and Inferences on Ancestral Flowers. International Journal of Plant Sciences, 162(5), 1111–1140. https://doi.org/10.1086/321919",http://www.journals.uchicago.edu/doi/full/10.1086/321919,fly,animal,no,"""The flowers smell like decaying fish and are pollinated by flies (Endress 1980c)""",explicit from the text (described as such),system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",reproduction,no,yes,"""it seems that the flowers mimic rotting organic matter and bring visiting flies to oviposit on them""",interpreted from the text,species,Ruby Stephens,28/10/2021
Illicium floridanum,Illicium,NA,NA,Schisandraceae,Austrobaileyales,Angiospermae,"Thien, L. B., White, D. A., & Yatsu, L. Y. (1983). The Reproductive Biology of a Relict-Illicium floridanum Ellis. American Journal of Botany, 70(5), 719–727. https://doi.org/10.2307/2443126",http://www.jstor.org/stable/2443126,insect,animal,no,"""The flowers of Illicium floridanum are pollinated by a wide variety of insects, particularly Diptera""",explicit from the text (described as such),system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",nectar and pollen,yes,yes,"""The bisexual red flowers of Illicium floridanum have been described as smelling like wine (Smith, 1947), whereas several student volunteers described the floral odor as that of freshly caught fish…The insects feed on nectar (and perhaps pollen) produced in very small quantities at the base of the stamen""",explicit from the text (described as such),species,Ruby Stephens,28/10/2021
Schisandra chinensis,Schisandra,NA,NA,Schisandraceae,Austrobaileyales,Angiospermae,"Saunders, R. (2000). Monograph of Schisandra (Schisandraceae). Systematic Botany Monographs, 58, 1–146. https://doi.org/10.2307/25027879; Zhao, X.-N., Huang, S.-J., Zhao, J.-M., & Zhang, Y.-W. (2013). Gender Variation in a Monoecious Woody Vine Schisandra chinensis (Schisandraceae) in Northeast China. Annales Botanici Fennici, 50(4), 209–219. https://doi.org/10.5735/086.050.0402",https://www.researchgate.net/profile/Richard-Saunders-10/publication/230859535_Monograph_of_Schisandra_Schisandraceae/links/55077ed70cf26ff55f7e5d61/Monograph-of-Schisandra-Schisandraceae.pdf; http://bioone.org/journals/annales-botanici-fennici/volume-50/issue-4/086.050.0402/Gender-Variation-in-a-Monoecious-Woody-Vine-Schisandra-chinensis-Schisandraceae/10.5735/086.050.0402.full,wind and insect,wind&animal,no,"Source 1: ""Schisandra chinensis is the only species for which pollinators have been identified: Kozo-Poljanski (1946) recorded a wide variety of different insects visiting the flowers, including beetles, bees, and small moths. The most frequent and persistent visitors were Halictus bees, although Kozo-Poljanski noted that the frequency of visits was nevertheless low. Significantly, however, the plants under study were grown in cultivation in Alma Ata, Kazakhstan, outside the natural distribution of the species."" Source 2: ""Although the floral morphology of the species suggests animal pollination, only a few small insects were observed visiting the flowers. Since there were no effective pollinators in the flowering season, it was inferred that the species is mainly pollinated by wind.""",interpreted from the text,system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",,no,,"Source 2: ""None of the staminate or pistillate flowers have nectaries""",interpreted from the text,species,Ruby Stephens,29/10/2021
Trimenia moorei,Trimenia,NA,NA,Trimeniaceae,Austrobaileyales,Angiospermae,"BERNHARDT, P., SAGE, T., WESTON, P., AZUMA, H., LAM, M., THIEN, L. B., & BRUHL, J. (2003). The Pollination of Trimenia moorei (Trimeniaceae): Floral Volatiles, Insect/Wind Pollen Vectors and Stigmatic Self‐incompatibility in a Basal Angiosperm. Annals of Botany, 92(3), 445–458. https://doi.org/10.1093/aob/mcg157",https://doi.org/10.1093/aob/mcg157,wind and insect,wind&animal,yes,"""Observations and analyses of floral foragers on T. moorei illustrate that this species incorporates both Australian native species of Diptera and Hymenoptera without much pollen dispersal by Coleoptera. Therefore, T. moorei appears to conform to the generalist model of insect- pollination exhibited by many relictual-basal angiosperms, some belonging to the ANITA group, and posited to exist in protoangiosperms...Wind pollination is retained in T. moorei as a `failsafe mechanism' ensuring some level of cross-pollination""",explicit from the text (described as such),system,"6 - Pollination system, wind pollination explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators tested",pollen,no,yes,"""Male and bisexual flowers are strongly scented with pollen, anther sacs and receptacle scars testing positively for volatile emissions. Scent analyses detect over 20 components...Pollen was the primary reward for all insects visiting flowers of T. moorei as nectar was not produced by any parts of the flower, including the stigma""",explicit from the text (described as such),species,Ruby Stephens,29/10/2021
Brasenia schreberi,Brasenia,NA,NA,Cabombaceae,Nymphaeales,Angiospermae,"Osborn, J. M., & Schneider, E. L. (1988). Morphological Studies of the Nymphaeaceae Sensu Lato. XVI. The Floral Biology of Brasenia Schreberi. Annals of the Missouri Botanical Garden, 75(3), 778–794. https://doi.org/10.2307/2399366",http://www.jstor.org/stable/2399366,wind and insect,wind&animal,yes,"""In the populations studied, Brasenia is predominantly anemophilous...Occasional visits to pistillate flowers may facilitate transfer of minimal pollen; therefore, Notiphila should only be considered an incidental pollinator. The occurrence of flies and their role as incidental pollinators, together with floral variations such as shortened stigmas, suggest a possible evolutionary shift from anemophily to partial myophily""",interpreted from the text,system,"6 - Pollination system, wind pollination explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators tested",pollen,no,,"""FLORAL SECRETIONS Neutral red staining revealed the absence of nectaries. The numerous perianth trichomes stained indicated a secretory role…The most frequent and abundant visitor was Notiphila cf. cressoni. Notiphila primarily visited staminate flowers and there foraged for pollen either directly from the dehisced anther sacs or from the adaxial surface of the reflexed perianth where pollen accumulates""",interpreted from the text,species,Ruby Stephens,7/11/2021
Cabomba caroliniana,Cabomba,NA,NA,Cabombaceae,Nymphaeales,Angiospermae,"Schneider, E. L., & Jeter, J. M. (1982). Morphological Studies of the Nymphaeaceae. XII. The Floral Biology of Cabomba caroliniana. American Journal of Botany, 69(9), 1410–1419. https://doi.org/10.2307/2443102",http://www.jstor.org/stable/2443102,insect,animal,no,"""Insects attracted to 2nd-day flowers in search of nectar become dusted with pollen (due to the position and extrorse dehiscence of the anthers) and as insects fly to 1st-day flowers, achieve cross-pollination""",explicit from the text (described as such),system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",nectar and pollen,yes,,""" The adaxial corolla spurs are nectariferous and attract small Diptera (e.g. Notiphila cressoni and Hydrellia bilobifera)…Large pollen loads could be seen on the body and legs, and in the corbiculae of the bees. The bees showed no interest in the nectaries""",explicit from the text (described as such),species,Ruby Stephens,7/11/2021
Trithuria cowieana,Trithuria,NA,NA,Hydatellaceae,Nymphaeales,Angiospermae,"Rudall, P. J., Sokoloff, D. D., Remizowa, M. V., Conran, J. G., Davis, J. I., Macfarlane, T. D., & Stevenson, D. W. (2007). Morphology of Hydatellaceae, an anomalous aquatic family recently recognized as an early-divergent angiosperm lineage. American Journal of Botany, 94(7), 1073–1092. https://doi.org/10.3732/ajb.94.7.1073",http://onlinelibrary.wiley.com/doi/abs/10.3732/ajb.94.7.1073,abiotic,wind&water,no,"""Hydatellaceae are inconspicuous, aquatic, predominantly annual herbs (Fig. 1). Currently little is known about their pollination biology, but because reproductive units may develop either within or just above the water, pollination is normally assumed to be abiotic, either by wind or by water""",explicit from the text (described as such),syndrome,"3 - Pollination syndrome but adaptations for animal pollination (nectar, scent, staminodes, sticky pollen) or else wind pollination (very reduced perianth, feathery stigma, exposed anthers with dry powdery pollen) or abiotic pollination clearly described",,,,,,family,Ruby Stephens,9/11/2021
Trithuria submersa,Trithuria,NA,NA,Hydatellaceae,Nymphaeales,Angiospermae,"Taylor, M. L., Macfarlane, T. D., & Williams, J. H. (2010). Reproductive ecology of the basal angiosperm Trithuria submersa (Hydatellaceae). Annals of Botany, 106(6), 909–920. https://doi.org/10.1093/aob/mcq198",https://doi.org/10.1093/aob/mcq198,wind,wind,yes,"""Natural outcross or geitonogamous pollination was by wind, not by water or insects, but pollen reception was extremely low...Natural pollen loads are composed primarily of self pollen""",explicit from the text (described as such),system,"6 - Pollination system, wind pollination explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators tested",,,,,,species,Ruby Stephens,9/11/2021
Nuphar advena,Nuphar,NA,Nupharoideae,Nymphaeaceae,Nymphaeales,Angiospermae,"Lippok, B., Gardine, A. A., Williamson, P. S., & Renner, S. S. (2000). Pollination by flies, bees, and beetles of Nuphar ozarkana and N. advena (Nymphaeaceae). American Journal of Botany, 87(6), 898–902. https://doi.org/10.2307/2656897",http://onlinelibrary.wiley.com/doi/abs/10.2307/2656897,insect,animal,yes,"""POLLINATION BY FLIES, BEES, AND BEETLES OF NUPHAR OZARKANA AND N. ADVENA...Flowers shielded from pollinators set no seeds""",explicit from the text (described as such),system,"6 - Pollination system, wind pollination explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators tested",nectar and pollen,yes,yes,"""N. advena smelled like immature apricots. Fresh petal nectaries of N. ozarkana did not produce visible nectar drops. However, when the same glucose test strip was touched to all ten nectaries of a flower it stained weakly. In N. advena, by contrast, single nectaries produced visible drops that strongly stained the glucose test strip...several dissected beetles had abundant N. advena pollen in their guts""",interpreted from the text,species,Ruby Stephens,9/11/2021
Barclaya longifolia,Barclaya,NA,Nymphaeoideae,Nymphaeaceae,Nymphaeales,Angiospermae,"La-ongsri, W., Trisonthi, C., & Balslev, H. (2009). A synopsis of Thai Nymphaeaceae. Nordic Journal of Botany, 27(2), 97–114. https://doi.org/10.1111/j.1756-1051.2009.00295.x; Lok, A. F. S. L., Ang, W. F., Lee, S. M. L., Tan, H. H., & Tan, H. T. W. (2009). THE STATUS AND DISTRIBUTION OF BARCLAYA (NYMPHAEACEAE) IN SINGAPORE. NATURE IN SINGAPORE, 2, 237–245.",http://onlinelibrary.wiley.com/doi/abs/10.1111/j.1756-1051.2009.00295.x; https://lkcnhm.nus.edu.sg/wp-content/uploads/sites/10/app/uploads/2017/04/2009nis237-245.pdf,water and insect,water&animal,no,"""The flower of Barclaya longifolia appears to be cleistogamous and self-pollinating within the unopened flower (Williamson and Schneider 1994)...Flowers 1.5-2.5cm long, purplish, hardly expanding, emerging above water"" Source 2: ""Williamson & Schneider (1994) reported differences in pollination among the species. Barclaya longifolia flowers are observed to be submerged, cleistogamous, and self-pollinating, which does not seem accurate, when most flowers observed in aquaria and in the wild are emergent and open fully, suggesting insect pollination (Fig. 3)""",interpreted from the text,syndrome,"2 - Pollination syndrome based on interpretations of images or illustrations and text, and similar species, still relatively confident",,,,Not reported,,species,Ruby Stephens,16/11/2021
Nymphaea odorata,Nymphaea,NA,Nymphaeoideae,Nymphaeaceae,Nymphaeales,Angiospermae,"Schneider, E. L., & Chaney, T. (1981). The Floral Biology of Nymphaea odorata (Nymphaeaceae). The Southwestern Naturalist, 26(2), 159–165. https://doi.org/10.2307/3671112",http://www.jstor.org/stable/3671112,bee,animal,no,"""The most frequent floral visitor was Lasioglossum versatum, a small halictid bee (Figs. 10, 11, 12). We considered them to be the primary pollinator because they carry large, exclusive quantities of Nymphaea pollen from pollen-releasing flowers to the stigma of receptive (first-day) flowers...""",explicit from the text (described as such),system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",pollen,no,yes,"""The flowers emit a sweet, honeysuckle-like odor which is approximately equal in intensity on all 3 days of anthesis...Both visual and olfactory stimuli serve to attract these insects. Apis mellifera and L. versatum were both observed to approach and circle the transparent containers placed over flowers indicating that they are visually attracted by the conspicuous white petals. Continued observations revealed that both bees, but especially L. versatum, would fly to the open bottom of the cylinder where the volatile odor was escaping. This behavior indicates that olfactory stimuli also serve as an attractant. Once inside, the bees flew directly to the stamens and began gathering pollen...As pollen-covered insects are attracted to first-day (pollen-receptive) flowers (by both visual and olfactory stimuli), they mistakenly land in the stigmatic fluid or land on the flexible inner stamens which give way into the fluid which washes off the pollen, thus facilitating cross-pollination""",explicit from the text (described as such),species,Ruby Stephens,16/11/2021
Alangium chinense,Alangium,NA,Cornoideae,Cornaceae,Cornales,Asteridae,iNaturalist. (2022). Alangium chinense. iNaturalist. https://www.inaturalist.org/taxa/133644-Alangium-chinense/browse_photos?quality_grade=any&term_id=12&term_value_id=13,https://www.inaturalist.org/taxa/133644-Alangium-chinense/browse_photos?quality_grade=any&term_id=12&term_value_id=13,animal,animal,no,,guessed from the illustration,syndrome,"2 - Pollination syndrome based on interpretations of images or illustrations and text, and similar species, still relatively confident",,,,,,species,Ruby Stephens,24/3/2022
Cornus mas,Cornus,NA,Cornoideae,Cornaceae,Cornales,Asteridae,"Kühn, I., Durka, W., & Klotz, S. (2004). BiolFlor: A New Plant-Trait Database as a Tool for Plant Invasion Ecology. Diversity and Distributions, 10(5/6), 363–365.",http://www.jstor.org/stable/3246738,insect,animal,no,"""beetles, flies, syrphids, wasps, medium tongued bees…geitonogamy possible…insects the rule…entomogamous""",explicit from the text (described as such),syndrome,"2 - Pollination syndrome based on interpretations of images or illustrations and text, and similar species, still relatively confident",,,,,,species,Ruby Stephens,10/1/2022
Curtisia dentata,Curtisia,NA,NA,Curtisiaceae,Cornales,Asteridae,"Phillips, J. F. V. (1928). Curtisia faginea AIT. (“Assegai”): An ecological note. Transactions of the Royal Society of South Africa, 17(1), 29–41. https://doi.org/10.1080/00359192809518767",http://www.tandfonline.com/doi/abs/10.1080/00359192809518767,wind,wind,no,"""Pollination experiments and observations at Deepwalls over several seasons have shown that the species is almost entirely self-pollinated. The honey-bee does not visit the flowers for pollen, nor do other insects pay any serious attention to them. Cross-pollination by agency of wind may take place.""",explicit from the text (described as such),system,4 - Pollination system based on general observations of pollinator visitation and informed by syndrome,,,,,,species,Ruby Stephens,10/1/2022
