error,dataset_id,species_name,site_name,context_name,observation_id,trait_name,value,unit,date,value_type,replicates,original_name
Duplicate of Morgan_2011_2_040,Williams_2020_1,Daucus glochidiatus,NA,NA,Williams_2020_1_014,seed_mass,0.78,mg,NA,site_mean,unknown,Daucus glochidiatus
Duplicate of Kew_2019_1_00510,Williams_2020_1,Eryngium ovinum,NA,NA,Williams_2020_1_015,seed_mass,1.95,mg,NA,site_mean,unknown,Eryngium ovinum
Duplicate of Morgan_2011_2_024,Williams_2020_1,Calocephalus citreus,NA,NA,Williams_2020_1_030,seed_mass,0.2,mg,NA,site_mean,unknown,Calocephalus citreus
Duplicate of Morgan_2011_2_031,Williams_2020_1,Chrysocephalum apiculatum,NA,NA,Williams_2020_1_034,seed_mass,0.12,mg,NA,site_mean,unknown,Chrysocephalum apiculatum
Duplicate of Morgan_2011_2_032,Williams_2020_1,Chrysocephalum semipapposum,NA,NA,Williams_2020_1_035,seed_mass,0.04,mg,NA,site_mean,unknown,Chrysocephalum semipapposum
Duplicate of Leishman_1992_013,Williams_2020_1,Isoetopsis graminifolia,NA,NA,Williams_2020_1_043,seed_mass,0.9,mg,NA,site_mean,unknown,Isoetopsis graminifolia
Duplicate of Kew_2019_1_01896,Williams_2020_1,Leptorhynchos squamatus,NA,NA,Williams_2020_1_048,seed_mass,0.1,mg,NA,site_mean,unknown,Leptorhynchos squamatus ssp squamatus
Duplicate of Morgan_2011_2_081,Williams_2020_1,Minuria leptophylla,NA,NA,Williams_2020_1_050,seed_mass,0.86,mg,NA,site_mean,unknown,Minuria leptophylla
Duplicate of Morgan_2011_2_123,Williams_2020_1,Laphangium luteoalbum,NA,NA,Williams_2020_1_053,seed_mass,0.003,mg,NA,site_mean,unknown,Pseudognaphalium luteoalbum
Duplicate of Morgan_2011_2_100,Williams_2020_1,Senecio hispidulus,NA,NA,Williams_2020_1_054,seed_mass,0.05,mg,NA,site_mean,unknown,Senecio hispidulus
Duplicate of Morgan_2011_2_102,Williams_2020_1,Senecio quadridentatus,NA,NA,Williams_2020_1_057,seed_mass,0.18,mg,NA,site_mean,unknown,Senecio quadridentatus
Duplicate of Morgan_2011_2_103,Williams_2020_1,Senecio squarrosus,NA,NA,Williams_2020_1_058,seed_mass,0.296,mg,NA,site_mean,unknown,Senecio squarrosus
Duplicate of Morgan_2011_2_104,Williams_2020_1,Senecio tenuiflorus,NA,NA,Williams_2020_1_059,seed_mass,0.28,mg,NA,site_mean,unknown,Senecio tenuiflorus
Duplicate of Morgan_2011_2_105,Williams_2020_1,Solenogyne dominii,NA,NA,Williams_2020_1_060,seed_mass,0.25,mg,NA,site_mean,unknown,Solenogyne dominii
Duplicate of Kew_2019_1_02327,Williams_2020_1,Vittadinia cuneata,NA,NA,Williams_2020_1_064,seed_mass,1.54,mg,NA,site_mean,unknown,Vittadinia cuneata
Duplicate of Morgan_2011_2_117,Williams_2020_1,Vittadinia gracilis,NA,NA,Williams_2020_1_066,seed_mass,0.987,mg,NA,site_mean,unknown,Vittadinia gracilis
Duplicate of Morgan_2011_2_039,Williams_2020_1,Cynoglossum suaveolens,NA,NA,Williams_2020_1_072,seed_mass,4.44,mg,NA,site_mean,unknown,Cynoglossum suaveolens
Duplicate of Morgan_2011_2_019,Williams_2020_1,Brunonia australis,NA,NA,Williams_2020_1_076,seed_mass,0.74,mg,NA,site_mean,unknown,Brunonia australis
Duplicate of Leishman_1992_097,Williams_2020_1,Wahlenbergia capillaris,NA,NA,Williams_2020_1_079,seed_mass,0.01,mg,NA,site_mean,unknown,Wahlenbergia communis
Duplicate of Morgan_2011_2_120,Williams_2020_1,Wahlenbergia gracilenta,NA,NA,Williams_2020_1_080,seed_mass,0.003,mg,NA,site_mean,unknown,Wahlenbergia gracilenta
Duplicate of Kew_2019_1_01034,Williams_2020_1,Wahlenbergia gracilis,NA,NA,Williams_2020_1_081,seed_mass,0.03,mg,NA,site_mean,unknown,Wahlenbergia gracilis
Duplicate of Kew_2019_1_01041,Williams_2020_1,Wahlenbergia luteola,NA,NA,Williams_2020_1_082,seed_mass,0.0104,mg,NA,site_mean,unknown,Wahlenbergia luteola
Duplicate of Morgan_2011_2_122,Williams_2020_1,Wahlenbergia stricta,NA,NA,Williams_2020_1_084,seed_mass,0.005,mg,NA,site_mean,unknown,Wahlenbergia stricta ssp stricta
Duplicate of Morgan_2011_2_056,Williams_2020_1,Einadia nutans,NA,NA,Williams_2020_1_096,seed_mass,0.78,mg,NA,site_mean,unknown,Einadia nutans ssp nutans
Duplicate of Morgan_2011_2_069,Williams_2020_1,Hypericum gramineum,NA,NA,Williams_2020_1_108,seed_mass,0.015,mg,NA,site_mean,unknown,Hypericum gramineum
Duplicate of Leishman_1992_092,Williams_2020_1,Convolvulus erubescens,NA,NA,Williams_2020_1_110,seed_mass,4.322,mg,NA,site_mean,unknown,Convolvulus erubescens
Duplicate of Morgan_2011_2_035,Williams_2020_1,Convolvulus remotus,NA,NA,Williams_2020_1_111,seed_mass,5.38,mg,NA,site_mean,unknown,Convolvulus remotus
Duplicate of Morgan_2011_2_047,Williams_2020_1,Dichondra repens,NA,NA,Williams_2020_1_112,seed_mass,3.19,mg,NA,site_mean,unknown,Dichondra repens
Duplicate of Leishman_1993_069,Williams_2020_1,Carex appressa,NA,NA,Williams_2020_1_129,seed_mass,1.0009,mg,NA,site_mean,unknown,Carex appressa
Duplicate of Morgan_2011_2_027,Williams_2020_1,Carex breviculmis,NA,NA,Williams_2020_1_131,seed_mass,0.642,mg,NA,site_mean,unknown,Carex breviculmis
Duplicate of Morgan_2011_2_028,Williams_2020_1,Carex inversa,NA,NA,Williams_2020_1_134,seed_mass,1.33,mg,NA,site_mean,unknown,Carex inversa
Duplicate of Angevin_2010_63,Williams_2020_1,Schoenus apogon,NA,NA,Williams_2020_1_155,seed_mass,0.54,mg,NA,site_mean,unknown,Schoenus apogon
Duplicate of Leishman_1993_085,Williams_2020_1,Hibbertia riparia,NA,NA,Williams_2020_1_164,seed_mass,1.445,mg,NA,site_mean,unknown,Hibbertia riparia
Duplicate of Morgan_2011_2_055,Williams_2020_1,Drosera aberrans,NA,NA,Williams_2020_1_170,seed_mass,0.34,mg,NA,site_mean,unknown,Drosera whittakeri ssp aberrans
Duplicate of Morgan_2011_2_015,Williams_2020_1,Bossiaea prostrata,NA,NA,Williams_2020_1_178,seed_mass,2.94,mg,NA,site_mean,unknown,Bossiaea prostrata
Duplicate of Morgan_2011_2_063,Williams_2020_1,Eutaxia microphylla,NA,NA,Williams_2020_1_182,seed_mass,3.818,mg,NA,site_mean,unknown,Eutaxia microphylla
Duplicate of Morgan_2011_2_065,Williams_2020_1,Glycine latrobeana,NA,NA,Williams_2020_1_184,seed_mass,6.67,mg,NA,site_mean,unknown,Glycine latrobeana
Duplicate of Morgan_2011_2_066,Williams_2020_1,Glycine tabacina,NA,NA,Williams_2020_1_185,seed_mass,8.08,mg,NA,site_mean,unknown,Glycine tabacina
Duplicate of Kew_2019_1_06258,Williams_2020_1,Kennedia prostrata,NA,NA,Williams_2020_1_189,seed_mass,15.69,mg,NA,site_mean,unknown,Kennedia prostrata
Duplicate of Kew_2019_1_06832,Williams_2020_1,Viminaria juncea,NA,NA,Williams_2020_1_195,seed_mass,6.4,mg,NA,site_mean,unknown,Viminaria juncea
Duplicate of Morgan_2011_2_059,Williams_2020_1,Erodium crinitum,NA,NA,Williams_2020_1_198,seed_mass,4.26,mg,NA,site_mean,unknown,Erodium crinitum
Duplicate of Morgan_2011_2_064,Williams_2020_1,Geranium retrorsum,NA,NA,Williams_2020_1_200,seed_mass,2.5,mg,NA,site_mean,unknown,Geranium retrorsum
Duplicate of Cross_2011_21,Williams_2020_1,Geranium solanderi,NA,NA,Williams_2020_1_201,seed_mass,1.14,mg,NA,site_mean,unknown,Geranium solanderi
Duplicate of Leishman_1993_056,Williams_2020_1,Goodenia ovata,NA,NA,Williams_2020_1_206,seed_mass,0.6978,mg,NA,site_mean,unknown,Goodenia ovata
Duplicate of Kew_2019_1_03857,Williams_2020_1,Goodenia pinnatifida,NA,NA,Williams_2020_1_207,seed_mass,3.27,mg,NA,site_mean,unknown,Goodenia pinnatifida
Duplicate of Kew_2019_1_03918,Williams_2020_1,Velleia paradoxa,NA,NA,Williams_2020_1_209,seed_mass,5.19,mg,NA,site_mean,unknown,Velleia paradoxa
Duplicate of Morgan_2011_2_067,Williams_2020_1,Gonocarpus tetragynus,NA,NA,Williams_2020_1_211,seed_mass,0.47,mg,NA,site_mean,unknown,Gonocarpus tetragynus
Duplicate of Morgan_2011_2_071,Williams_2020_1,Juncus bufonius,NA,NA,Williams_2020_1_222,seed_mass,0.012,mg,NA,site_mean,unknown,Juncus bufonius
