vegetation_type,Identification Source,Scientific_name,Life_form,Fire_response,Seed_storage,Management_intervention_expert_panel
Lowland rainforest of subtropical Australia,TEC species list,Alphitonia petrei,T,OS,UN,
Lowland rainforest of subtropical Australia,TEC species list,Archontophoenix cunninghamiana,T,OS,T,
Lowland rainforest of subtropical Australia,TEC species list,Asplenium australasicum,H,OS,T,
Lowland rainforest of subtropical Australia,TEC species list,Caldcluvia paniculosa,T,OS,UN,
Lowland rainforest of subtropical Australia,TEC species list,Cinnamomum oliveri,T,OS,UN,
Lowland rainforest of subtropical Australia,TEC species list,Citronella moorei,T,OS,UN,
Lowland rainforest of subtropical Australia,TEC species list,Dendrocnide excelsa,T,OS,S,
Lowland rainforest of subtropical Australia,TEC species list,Ehretia acuminata,T,OS,T,
Lowland rainforest of subtropical Australia,TEC species list,Elaeodendron australe,S/T,OS,UN,
Lowland rainforest of subtropical Australia,TEC species list,Litsea reticulata,T,OS,UN,
Lowland rainforest of subtropical Australia,TEC species list,Platycerium spp.,H,OS,UN,
Lowland rainforest of subtropical Australia,TEC species list,Plectranthus spp.,H,OS,UN,
Lowland rainforest of subtropical Australia,TEC species list,Polyscias elegans,T,OS,S,
Lowland rainforest of subtropical Australia,TEC species list,Pyrrosia spp.,H,OS,UN,
Lowland rainforest of subtropical Australia,TEC species list,Sarcomelicope simplicifolia,S/T,OS,T,
Lowland rainforest of subtropical Australia,TEC species list,Sloanea australis,T,OS,UN,
Lowland rainforest of subtropical Australia,TEC species list,Sloanea woollsii,T,OS,S,
Lowland rainforest of subtropical Australia,TEC species list,Streblus brunonianus,S/T,OS,T,
Lowland rainforest of subtropical Australia,TEC species list,Trema aspera,S/T,OS,S,
Lowland rainforest of subtropical Australia,Fire affected species,Acacia cangaiensis,S,OS,UN,Yes
Lowland rainforest of subtropical Australia,Fire affected species,Acacia tessellata,S,OS,UN,Yes
Lowland rainforest of subtropical Australia,Fire affected species,"Bertya sp. Clouds Creek
(M.Fatemi 4)",S,OS,S,Yes
Lowland rainforest of subtropical Australia,Fire affected species,Cestichis reflexa,H,OS,UN,
Lowland rainforest of subtropical Australia,Fire affected species,Grevillea acanthifolia subsp. paludosa,S,OS,S,Yes
Lowland rainforest of subtropical Australia,Fire affected species,Hibbertia villosa,S,OS,UN,Yes
Lowland rainforest of subtropical Australia,Fire affected species,Kardomia prominens,S,OS,UN,Yes
Lowland rainforest of subtropical Australia,Fire affected species,Persoonia rufa,S,OS,S,Yes
Lowland rainforest of subtropical Australia,Fire affected species,Philotheca obovatifolia,S,OS,UN,Yes
Lowland rainforest of subtropical Australia,Fire affected species,Pomaderris ligustrina subsp. latifolia,S,OS,T,Yes
Lowland rainforest of subtropical Australia,Fire affected species,Prostanthera saxicola var. major,S,OS,S,Yes
Lowland rainforest of subtropical Australia,Fire affected species,Zieria floydii,S,OS,UN,Yes
Lowland rainforest of subtropical Australia,Fire affected species,Zieria lasiocaulis,S/T,OS,S,Yes
Upland basalt,TEC species list,Acacia elata,S,OS,S,
Upland basalt,TEC species list,Ajuga australis,H,OS,UN,
Upland basalt,TEC species list,Austrocynoglossum latifolium,H,OS,S,
Upland basalt,TEC species list,Centella asiatica,H,OS,S,
Upland basalt,TEC species list,Clematis aristata,C,OS,S,
Upland basalt,TEC species list,Marsdenia flavescens,C,OS,UN,
Upland basalt,TEC species list,Plantago debilis,H,OS,S,
Upland basalt,TEC species list,Poranthera microphylla,H,OS,S,
Upland basalt,TEC species list,Pyrrosia rupestris,H,OS,UN,
Upland basalt,TEC species list,Senecio linearifolius,H,OS,S,
Upland basalt,TEC species list,Sigesbeckia orientalis subsp. orientalis,H,OS,S,
Upland basalt,TEC species list,Stellaria flaccida,H,OS,S,
Upland basalt,TEC species list,Urtica incisa,H,OS,S,
Upland basalt,Fire affected species,Acacia clunies-rossiae,S,OS,UN,Yes
Upland basalt,Fire affected species,Acacia hamiltoniana,S,OS,UN,Yes
Upland basalt,Fire affected species,Banksia penicillata,S,OS,C,Yes
Upland basalt,Fire affected species,Boronia subulifolia,S,OS,UN,Yes
Upland basalt,Fire affected species,Cyphanthera scabrella,S,OS,UN,Yes
Upland basalt,Fire affected species,Darwinia taxifolia subsp. macrolaena,S,OS,S,Yes
Upland basalt,Fire affected species,Epacris gnidioides,S,OS,UN,Yes
Upland basalt,Fire affected species,Eucalyptus fraxinoides,T,OS,C,Yes
Upland basalt,Fire affected species,Grevillea aspleniifolia,S,OS,S,Yes
Upland basalt,Fire affected species,Grevillea baueri subsp. asperula,S,OS,S,Yes
Upland basalt,Fire affected species,Grevillea evansiana,S,OS,S,Yes
Upland basalt,Fire affected species,Hakea constablei,S,OS,C,Yes
Upland basalt,Fire affected species,Hakea dohertyi,S,OS,C,Yes
Upland basalt,Fire affected species,Persoonia mollis subsp. budawangensis,S,OS,S,Yes
Upland basalt,Fire affected species,Prostanthera saxicola var. montana,S,OS,S,Yes
Upland basalt,Fire affected species,Zieria caducibracteata,S/T,OS,UN,Yes
Upland basalt,Fire affected species,Zieria murphyi,S,OS,S,Yes
