dataset_id,taxon_name,trait_name,value_type,value,unit,original_name,value_new
NHNSW_2016,Alyxia buxifolia,dispersal_syndrome,mode,endozoochory,NA,Alyxia buxifolia,NA
NHNSW_2016,Alyxia buxifolia,leaf_area,mean,2625,mm2,Alyxia buxifolia,NA
NHNSW_2016,Alyxia spicata,dispersal_syndrome,mode,endozoochory,NA,Alyxia spicata,NA
NHNSW_2016,Alyxia spicata,leaf_area,mean,1269,mm2,Alyxia spicata,NA
NHNSW_2016,Alyxia spicata,leaf_compoundness,mode,simple,NA,Alyxia spicata,NA
NHNSW_2016,Alyxia stellata,dispersal_syndrome,mode,endozoochory,NA,Alyxia stellata,NA
NHNSW_2016,Alyxia stellata,leaf_area,mean,6370,mm2,Alyxia stellata,NA
NHNSW_2016,Alyxia stellata,leaf_compoundness,mode,simple,NA,Alyxia stellata,NA
NHNSW_2016,Aphanopetalum resinosum,dispersal_syndrome,mode,barochory,NA,Aphanopetalum resinosum,NA
NHNSW_2016,Austrosteenisia blackii var. astipella,dispersal_syndrome,mode,barochory,NA,Austrosteenisia blackii var. astipella,NA
NHNSW_2016,Austrosteenisia blackii var. astipella,leaf_compoundness,mode,compound,NA,Austrosteenisia blackii var. astipella,NA
NHNSW_2016,Calamus australis,leaf_area,mean,2520,mm2,Calamus australis,NA
NHNSW_2016,Calamus australis,leaf_compoundness,mode,compound,NA,Calamus australis,NA
NHNSW_2016,Calamus caryotoides,leaf_area,mean,2597,mm2,Calamus caryotoides,NA
NHNSW_2016,Calamus caryotoides,leaf_compoundness,mode,compound,NA,Calamus caryotoides,NA
NHNSW_2016,Cansjera leptostachya,leaf_area,mean,1203,mm2,Cansjera leptostachya,NA
NHNSW_2016,Cansjera leptostachya,leaf_compoundness,mode,simple,NA,Cansjera leptostachya,NA
NHNSW_2016,Capparis lucida,dispersal_syndrome,mode,endozoochory,NA,Capparis lucida,NA
NHNSW_2016,Capparis lucida,leaf_area,mean,15925,mm2,Capparis lucida,NA
