spp_abbrev,Family,Genus,Species,Growth_form,Raunkiaer_life_form,Height,Clonality,Physical_defence,Photosynthetic pathway,Specific_leaf_area,Laminar_unit_area,Leaf_phenology,Wood_density,Nutrient_uptake_strategy,Dispersal_mode,Seed_mass,Resprouting_capacity,Pollination_syndrome,Fruit_type,Lifespan,Maximum_propagule_longevity,1.1,1.2,2.1,2.2,3.1,3.2,4.2,5.2,unique families,unique. genera
Acac_cels,Mimosaceae,Acacia,celsa  ,Tall tree,Phanerophyte,30,None,None,C3,,3255,,653,Nitrogen fixer,Endozoochory,13,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,1,0,0,0,0,,Centotheca
Acac_cinc,Mimosaceae,Acacia,cincinnata  ,Tall tree,Phanerophyte,30,None,None,C3,,2880,,764,Nitrogen fixer,Endozoochory,2,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,1,1,0,1,0,0,,Cyrtococcum
Acac_mang,Mimosaceae,Acacia,mangium  ,Tall tree,Phanerophyte,30,None,None,C3,,15390,,565,Nitrogen fixer,Endozoochory,7.5,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,1,0,,Megathyrsus
Achy_aspe,Amaranthaceae,Achyranthes,aspera  ,Erect leafy,Phanerophyte,1.5,None,None,C3,,9180,,NA,Mycorrhizal ,Endozoochory,1.0,No,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,NA,0,0,1,0,0,0,0,0,Amaranthaceae,Achyranthes
Acme_clav,Myrtaceae,Acmenosperma,claviflorum  ,Tall tree,Phanerophyte,25,None,None,C3,,5220,,653,Mycorrhizal ,Endozoochory,110,No,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,1,1,0,0,0,,Psychotria
Acme_hemi,Myrtaceae,Acmena,hemilampra ssp. hemilampra,Tall tree,Phanerophyte,30,None,None,C3,,6120,,601,Mycorrhizal ,Endozoochory,3700,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,0,0,,Nauclea
Acro_vest,Rutaceae,Acronychia,vestita  ,Tall tree,Phanerophyte,20,None,None,C3,,23400,,577,Mycorrhizal ,Endozoochory,660,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,1,0,1,0,0,,
Aden_pavo,Mimosaceae,Adenanthera,pavonina  ,Tall tree,Phanerophyte,30,None,None,C3,,990,,600,Nitrogen fixer,Endozoochory,230,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short persistent soil (1 to 5 years),0,1,0,1,1,1,1,0,,Persicaria
Ager_cony,Asteraceae,Ageratum,conyzoides ssp. conyzoides,Erect leafy,Therophyte,1,None,None,C3,,3300,,NA,Mycorrhizal ,Wind,0.86,No,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Annual,Long persistent in soil (more than 5 years),0,0,0,1,0,0,0,0,Eupomatiaceae,Synedrella
Agla_sapi,Meliaceae,Aglaia,sapindina  ,Short tree,Phanerophyte,15,None,None,C3,,21060,,437,Mycorrhizal ,Endozoochory,330,Yes,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,0,0,0,0,0,0,1,,Rhodamnia
Aila_inte,Simaroubaceae,Ailanthus,integrifolia ssp. integrifolia,Tall tree,Phanerophyte,60,None,None,C3,,10710,,426,Mycorrhizal ,Wind,90,Yes,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short-lived (weeks),0,1,1,1,0,1,0,0,,
Aleu_rock,Euphorbiaceae,Aleurites,rockinghamensis  ,Tall tree,Phanerophyte,40,None,None,C3,,72000,,389,Mycorrhizal ,Endozoochory,2300,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Long persistent in soil (more than 5 years),0,1,0,0,0,0,0,0,Smilacaceae,Calopogonium
Alph_inca,Rhamnaceae,Alphitonia,incana  ,Tall tree,Phanerophyte,25,None,None,C3,,7560,,574,Mycorrhizal ,Endozoochory,38,Yes,Flies,"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,1,0,0,1,0,0,,Lepidozamia
Alpi_caer,Zingiberaceae,Alpinia,caerulea  ,Long basal,Phanerophyte,4,Clonal belowground,None,C3,,33000,,NA,Mycorrhizal ,Endozoochory,16,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,1,0,0,0,0,,
Alst_muel,Apocynaceae,Alstonia,muelleriana  ,Tall tree,Phanerophyte,25,None,None,C3,,7980,,669,Mycorrhizal ,Wind,2.5,Yes,Flies,"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,0,0,Asclepiadaceae,Ichnocarpus
Alst_scho,Apocynaceae,Alstonia,scholaris  ,Tall tree,Phanerophyte,40,None,None,C3,,10350,,333,Mycorrhizal ,Wind,2.5,Yes,Flies,"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,1,1,0,0,0,Aspleniaceae,Melodinus
Alte_fico,Amaranthaceae,Alternanthera,ficoidea  ,Erect leafy,Phanerophyte,1,None,None,C3,,720,,NA,Mycorrhizal ,Passive,NA,No,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,NA,0,0,0,1,0,1,0,1,Anacardiaceae,Alternanthera
Amye_cons,Loranthaceae,Amyema,conspicuum ssp. conspicuum,Hemiparasite or holoparasite,Other ,NA,None,None,C3,,2295,,NA,Other,Endozoochory,1.4,No,Bird,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,0,0,0,0,0,,Gossia
Amyl_dict,Loranthaceae,Amylotheca,dictyophleba  ,Hemiparasite or holoparasite,Other ,NA,None,None,C3,,5040,,NA,Other,Endozoochory,36,No,Bird,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,0,1,0,0,0,,Lophostemon
Anti_tenu,Rubiaceae,Antirhea,tenuiflora  ,Tall tree,Phanerophyte,20,None,None,C3,,6825,,536,Mycorrhizal ,Endozoochory,75,Yes,Moths,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,1,0,0,0,0,1,,
Arch_alex,Arecaceae,Archontophoenix,alexandrae  ,Tall tree,Phanerophyte,30,None,None,C3,,22500,,589,Mycorrhizal ,Endozoochory,250,No,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,1,0,0,0,Cucurbitaceae,Ptychosperma
Ardi_brev,Myrsinaceae,Ardisia,brevipedata  ,Shrub,Phanerophyte,3,Clonal aboveground,None,C3,,6000,,672,Mycorrhizal ,Endozoochory,73,Yes,Butterflies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,0,0,0,1,,Lasianthus
Arth_pali,Nephrolepidaceae,Arthropteris,palisotii  ,Short basal,Chamaephyte,0.4,Clonal belowground,None,C3,,180,,NA,Mycorrhizal ,Wind,0.001,Yes,None,Spore,Perennial,Short-lived (weeks),0,1,0,0,0,0,0,0,,Synima
Aryt_diva,Sapindaceae,Arytera,divaricata  ,Tall tree,Phanerophyte,30,None,None,C3,,8190,,605,Mycorrhizal ,Endozoochory,390,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,0,0,,
Aspl_nidu,Aspleniaceae,Asplenium,nidus  ,Epiphyte,Other ,1.5,None,None,C3,,600,,NA,No obvious special uptake strategy,Wind,0.001,No,None,Spore,Perennial,Short-lived (weeks),0,0,1,1,1,0,0,0,Euphorbiaceae,Eleutheranthera
Atra_fitz,Rubiaceae,Atractocarpus,fitzalanii ssp. fitzalanii,Tall tree,Phanerophyte,20,None,None,C3,,17160,,681,Mycorrhizal ,Endozoochory,54,Yes,Moths,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,0,0,0,0,0,,
Aust_blac,Fabaceae,Austrosteenisia,blackii  ,Liana,Phanerophyte,NA,None,None,C3,,4248,,479,Nitrogen fixer,Wind,20,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short-lived (weeks),0,1,1,0,1,1,1,0,,Hyptis
Barr_race,Lecythidaceae,Barringtonia,racemosa  ,Tall tree,Phanerophyte,27,None,None,C3,,53580,,449,Mycorrhizal ,Water,9200,Yes,Bat,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),1,0,0,0,0,0,0,0,,Acmenosperma
Beil_obtu,Lauraceae,Beilschmiedia,obtusifolia  ,Tall tree,Phanerophyte,35,None,None,C3,,6120,,597,Mycorrhizal ,Endozoochory,10000,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),1,0,1,1,1,0,0,1,,Adenanthera
Brac_acer,Sterculiaceae,Brachychiton,acerifolius  ,Tall tree,Phanerophyte,45,None,None,C3,,32400,,333,Mycorrhizal ,Wind,170,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,NA,0,0,0,1,1,0,0,0,,
Brey_cern,Euphorbiaceae,Breynia,cernua  ,Shrub,Phanerophyte,5,None,None,C3,,3360,,510,Mycorrhizal ,Endozoochory,7.7,Yes,Wind,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,1,0,Solanaceae,Castanospermum
Brid_insu,Euphorbiaceae,Bridelia,insulana  ,Tall tree,Phanerophyte,16,None,None,C3,,12420,,591,Mycorrhizal ,Endozoochory,54,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,1,0,1,Sterculiaceae,Centrosema
Cala_aust,Arecaceae,Calamus,australis  ,Liana,Phanerophyte,NA,None,Spines or thorns,C3,,7800,,630,Mycorrhizal ,Endozoochory,410,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,1,0,0,0,0,0,Cyperaceae,Hoya
Cala_cary,Arecaceae,Calamus,caryotoides  ,Liana,Phanerophyte,NA,None,Spines or thorns,C3,,8640,,456,Mycorrhizal ,Endozoochory,140,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),1,1,1,0,1,1,1,1,Davidsoniaceae,Asplenium
Cala_moti,Arecaceae,Calamus,moti  ,Liana,Phanerophyte,NA,None,Spines or thorns,C3,,11250,,595,Mycorrhizal ,Endozoochory,160,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,0,0,0,0,1,Dilleniaceae,Ageratum
Call_long,Lamiaceae,Callicarpa,longifolia  ,Shrub,Phanerophyte,5,None,None,C3,,7020,,380,Mycorrhizal ,Endozoochory,0.41,Yes,Butterflies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,1,0,1,,Carronia
Calo_aust,Clusiaceae,Calophyllum,australianum  ,Tall tree,Phanerophyte,30,None,None,C3,,3600,,601,Mycorrhizal ,Endozoochory,5400,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Long persistent in soil (more than 5 years),0,0,0,0,0,0,1,1,Nyctaginaceae,Ipomoea
Calo_mucu,Fabaceae,Calopogonium,mucunoides  ,Vine,Phanerophyte,NA,None,None,C3,,6480,,NA,Nitrogen fixer,Passive,8.1,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short-lived (weeks),0,1,0,0,0,0,0,0,,Premna
Cana_acut,Burseraceae,Canarium,acutifolium var. acutifolium,Tall tree,Phanerophyte,20,None,None,C3,,27000,,506,Mycorrhizal ,Endozoochory,650,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Long persistent in soil (more than 5 years),0,0,0,0,1,0,0,0,Mimosaceae,Calophyllum
Cana_odor,Annonaceae,Cananga,odorata  ,Tall tree,Phanerophyte,30,None,None,C3,,11880,,389,Mycorrhizal ,Endozoochory,16,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,1,1,0,1,0,1,Apiaceae,Cananga
