sort,Species Code,Spp_Name,L.A (CM^2) ,Sheath (cm^2),Leaf Mass (g),Sheath mass (g),LMA (g/m^2),SLA(cm2/g)
258,Acanov1,Acaena novae-zealandiae,4.79,,0.0234,,48.9,205
259,Acanov2,Acaena novae-zealandiae,3.98,,0.0164,,41.2,243
260,Acanov3,Acaena novae-zealandiae,2.71,,0.0113,,41.7,240
261,Acanov4,Acaena novae-zealandiae,4.44,,0.019,,42.8,234
262,Acanov5,Acaena novae-zealandiae,5.02,,0.0241,,48,208
246,Acevul1,Acetosella vulgaris,5.76,,0.0342,,59.4,168
247,Acevul2,Acetosella vulgaris,5.99,,0.0343,,57.3,175
248,Acevul3,Acetosella vulgaris,5.64,,0.0287,,50.9,197
249,Acevul4,Acetosella vulgaris,5.19,,0.0235,,45.3,221
250,Acevul5,Acetosella vulgaris,4.77,,0.0232,,48.6,206
41,Acigla1,Aciphylla glacialis,34.92,,0.6432,,184.2,54
42,Acigla2,Aciphylla glacialis,29.88,,0.47,,157.3,64
43,Acigla3,Aciphylla glacialis,35.53,,0.7169,,201.8,50
44,Acigla4,Aciphylla glacialis,13.76,,0.2272,,165.1,61
45,Acigla5,Aciphylla glacialis,25.2,,0.4451,,176.6,57
46,Acigla6,Aciphylla glacialis,14.75,,0.288,,195.3,51
240,Aspgun1,Asperula gunnii,0.23,,0.0013,,56.5,177
241,Aspgun2,Asperula gunnii,0.36,,0.0017,,47.2,212
242,Aspgun3,Asperula gunnii,0.41,,0.0014,,34.1,293
243,Aspgun4,Asperula gunnii,0.48,,0.0024,,50,200
244,Aspgun5,Asperula gunnii,0.52,,0.0027,,51.9,193
338,Asttry2.1,Asterolasia trymaliodes ,1.77,,0.0321,,181.4,55
339,Asttry2.2,Asterolasia trymaliodes ,2.95,,0.0469,,159,63
340,Asttry2.3,Asterolasia trymaliodes ,2.38,,0.0417,,175.2,57
341,Asttry2.4,Asterolasia trymaliodes ,2.67,,0.0422,,158.1,63
342,Asttry2.5,Asterolasia trymaliodes ,2.86,,0.0493,,172.4,58
198,Asttry1,Asterolasia trymalioides,1.12,,0.0302,,269.6,37
199,Asttry2,Asterolasia trymalioides,0.93,,0.0188,,202.2,49
200,Asttry3,Asterolasia trymalioides,1.52,,0.0283,,186.2,54
201,Asttry4,Asterolasia trymalioides,0.97,,0.0152,,156.7,64
202,Asttry5,Asterolasia trymalioides,1.29,,0.0333,,258.1,39
12,Ausvel1,Australopyrum Velutinum,13.74,,0.1704,,124,81
13,Ausvel2,Australopyrum Velutinum,10.97,,0.0929,,84.7,118
14,Ausvel3,Australopyrum Velutinum,4.61,,0.056,,121.5,82
15,Ausvel4,Australopyrum Velutinum,5.15,,0.06,,116.5,86
16,Ausvel5,Australopyrum Velutinum,5.42,,0.0596,,110,91
17,Ausvel6,Australopyrum Velutinum,2.72,,0.028,,102.9,97
416,Baegun1,Baeckea gunniana,0.37,,0.0052,,140.5,71
417,Baegun2,Baeckea gunniana,0.6,,0.0103,,171.7,58
418,Baegun3,Baeckea gunniana,0.53,,0.0074,,139.6,72
419,Baegun4,Baeckea gunniana,0.48,,0.0078,,162.5,62
420,Baegun5,Baeckea gunniana,0.45,,0.0072,,160,63
332,Balaus1,Baloskion australe,8.33,,0.4574,,549.1,18
333,Balaus2,Baloskion australe,9.11,,0.6442,,707.1,14
334,Balaus3,Baloskion australe,8.18,,0.514,,628.4,16
335,Balaus4,Baloskion australe,8.06,,0.4506,,559.1,18
336,Balaus5,Baloskion australe,8.1,,0.5484,,677,15
386,Bosfol1,Bossiaea foliosa,0.73,,0.0087,,119.2,84
387,Bosfol2,Bossiaea foliosa,0.64,,0.0067,,104.7,96
388,Bosfol3,Bossiaea foliosa,1.23,,0.0151,,122.8,81
389,Bosfol4,Bossiaea foliosa,0.94,,0.0116,,123.4,81
390,Bosfol5,Bossiaea foliosa,0.79,,0.0099,,125.3,80
30,Bradec1,Brachyscome decipiens,6.89,,0.0608,,88.2,113
31,bradec2,Brachyscome decipiens,12.27,,0.0945,,77,130
32,Bradec3,Brachyscome decipiens,6.26,,0.0338,,54,185
33,Bradec4,Brachyscome decipiens,7.54,,0.0574,,76.1,131
34,Bradec5,Brachyscome decipiens,8.61,,0.0482,,56,179
35,Bradec6,Brachyscome decipiens,6.09,,0.0373,,61.2,163
36,Bradec7,Brachyscome decipiens,7.77,,0.0539,,69.4,144
37,Bradec8,Brachyscome decipiens,4.32,,0.024,,55.6,180
38,Bradec9,Brachyscome decipiens,5.93,,0.0308,,51.9,193
39,Bradec10,Brachyscome decipiens,4.63,,0.0311,,67.2,149
82,Braspa1,Brachyscome spathulata (mt Nelse),3.54,,0.0473,,133.6,75
83,Braspa2,Brachyscome spathulata (mt Nelse),2.79,,0.0236,,84.6,118
84,Braspa3,Brachyscome spathulata (mt Nelse),3.09,,0.037,,119.7,84
85,Braspa4,Brachyscome spathulata (mt Nelse),3.34,,0.0386,,115.6,87
86,Braspa5,Brachyscome spathulata (mt Nelse),3.68,,0.0411,,111.7,90
87,Braspa6,Brachyscome spathulata (mt Nelse),6.66,,0.0725,,108.9,92
89,Braniv1,Brachysome nivalis (mt Nelse),1.82,,0.0376,,206.6,48
90,Braniv2,Brachysome nivalis (mt Nelse),2.26,,0.0615,,272.1,37
91,Braniv3,Brachysome nivalis (mt Nelse),1.85,,0.0418,,225.9,44
92,Braniv4,Brachysome nivalis (mt Nelse),2.24,,0.0518,,231.3,43
93,Braniv5,Brachysome nivalis (mt Nelse),1.79,,0.035,,195.5,51
356,Calint1,Caltha intraloba,2.46,,0.0353,,143.5,70
357,Calint2,Caltha intraloba,3.44,,0.0343,,99.7,100
358,Calint3,Caltha intraloba,2.03,,0.0444,,218.7,46
359,Calint4,Caltha intraloba,3.12,,0.0477,,152.9,65
360,Calint5,Caltha intraloba,1.83,,0.0301,,164.5,61
441,Cargau1,Carex gaudichaudiana,20.52,5.62,0.2084,0.0651,101.6,98
442,Cargau2,Carex gaudichaudiana,16.85,3.1,0.1399,0.0239,83,120
443,Cargau3,Carex gaudichaudiana,14.46,3.81,0.1133,0.0182,78.4,128
444,Cargau4,Carex gaudichaudiana,14.87,1.95,0.1221,0.0131,82.1,122
445,Cargau5,Carex gaudichaudiana,9,3.48,0.0964,0.0171,107.1,93
410,Carniv1,Carpha nivicola ,3.01,1.05,0.0402,0.0078,133.6,75
411,Carniv2,Carpha nivicola ,2.3,0.95,0.0332,0.0089,144.3,69
412,Carniv3,Carpha nivicola ,4.62,na,0.0577,na,124.9,80
413,Carniv4,Carpha nivicola ,3.79,0.64,0.0516,0.0018,136.1,73
414,Carniv5,Carpha nivicola ,4.12,2.62,0.0592,0.0226,143.7,70
350,Celpug1,Celmisia pugioniformis,4.57,,0.0851,,186.2,54
351,Celpug2,Celmisia pugioniformis,5.24,,0.1106,,211.1,47
352,Celpug3,Celmisia pugioniformis,4.45,,0.0705,,158.4,63
353,Celpug4,Celmisia pugioniformis,4.96,,0.0816,,164.5,61
354,Celpug5,Celmisia pugioniformis,5.5,,0.1165,,211.8,47
162,Celpug1,Celmisia pugioniformis b.h.,2.95,,0.0824,,279.3,36
163,Celpug2,Celmisia pugioniformis b.h.,6.24,,0.1521,,243.8,41
164,Celpug3,Celmisia pugioniformis b.h.,6.37,,0.1485,,233.1,43
165,Celpug4,Celmisia pugioniformis b.h.,5.97,,0.1435,,240.4,42
166,Celpug5,Celmisia pugioniformis b.h.,5.81,,0.1563,,269,37
109,Celsno2,Celmisia snowpatch (mt Nelse),14.32,,0.1833,,128,78
110,Celsno3,Celmisia snowpatch (mt Nelse),22.9,,0.2994,,130.7,76
111,Celsno4,Celmisia snowpatch (mt Nelse),15.84,,0.197,,124.4,80
112,Celsno5,Celmisia snowpatch (mt Nelse),15.22,,0.2239,,147.1,68
108,Celsno1,Celmisia snowpatch (mt Nelse)?,10.09,,0.1187,,117.6,85
67,Cracoo1,Craspedia coolaminica,14.25,,0.1203,,84.4,118
68,Cracoo2,Craspedia coolaminica,13.81,,0.1298,,94,106
69,Cracoo3,Craspedia coolaminica,15.94,,0.1544,,96.9,103
70,Cracoo4,Craspedia coolaminica,10.63,,0.1066,,100.3,100
71,Cracoo5,Craspedia coolaminica,7.07,,0.0549,,77.7,129
72,Cracoo6,Craspedia coolaminica,7.89,,0.0728,,92.3,108
210,Danalp1?,Danthonia  alpicola (nelse. rock lover) Not flattened,0.43,0.27,0.0071,0.0039,165.1,61
211,Danalp1?,Danthonia  alpicola (nelse. rock lover) Not flattened,0.93,0.87,0.0219,0.0084,235.5,42
212,Danalp1?,Danthonia  alpicola (nelse. rock lover) Not flattened,0.35,0.26,0.006,0.0039,171.4,58
213,Danalp1?,Danthonia  alpicola (nelse. rock lover) Not flattened,1.69,na,0.0451,na,266.9,37
214,Danalp1?,Danthonia  alpicola (nelse. rock lover) Not flattened,1.97,na,0.0466,na,236.5,42
471,Derder1,Derwentia derwentiana,18.1,,0.4058,,224.2,45
472,Derder2,Derwentia derwentiana,20.54,,0.4947,,240.8,42
473,Derder3,Derwentia derwentiana,8.85,,0.1494,,168.8,59
474,Derder4,Derwentia derwentiana,19.78,,0.4349,,219.9,45
475,Derder5,Derwentia derwentiana,22.77,,0.4657,,204.5,49
435,Derniv1,Derwentia nivea,1.97,,0.0284,,144.2,69
436,Derniv2,Derwentia nivea,2.82,,0.0373,,132.3,76
437,Derniv3,Derwentia nivea,1.97,,0.0272,,138.1,72
438,Derniv4,Derwentia nivea,2.55,,0.0429,,168.2,59
439,Derniv5,Derwentia nivea,2.42,,0.0328,,135.5,74
374,Deycar1,Deyeuxia carinata,7.12,2.39,0.088,0.0315,123.6,81
375,Deycar2,Deyeuxia carinata,6.72,1.71,0.0871,0.0237,129.6,77
376,Deycar3,Deyeuxia carinata,7.59,2.91,0.102,0.059,134.4,74
377,Deycar4,Deyeuxia carinata,13.53,4.1,0.186,0.0527,137.5,73
378,Deycar5,Deyeuxia carinata,13.29,2.13,0.1569,0.0336,118.1,85
