"site_name","longitude","latitude"
"Cunningham_Agnes Banks_15m",150.715,-33.617
"Cunningham_Braidwood_600m",149.933,-35.533
"Cunningham_Castlereagh_15m",150.745,-33.683
"Cunningham_Copper Range_300m",142.585,-30.852
"Cunningham_Hillston_125m",145.571,-33.525
"Cunningham_Knights Hill_665m",150.7,-34.633
"Cunningham_KNP-Barrenjoey_33m",151.325,-33.588
"Cunningham_KNP-Bobbin Head_115m",151.182,-33.685
"Cunningham_KNP-Waratah_165m",151.25,-33.641
"Cunningham_KNP-West Head_152m",151.299,-33.585
"Cunningham_Londonderry_15m",150.733,-33.663
"Cunningham_Mitchell Park_45m",150.929,-33.571
"Cunningham_Narooma_25m",150.119,-36.239
"Cunningham_Nombinnie_160m",146.009,-33.044
"Cunningham_Nuntherungie_190m",142.477,-30.801
"Cunningham_Patonga_5m",151.269,-33.546
"Cunningham_Rankins-Springs_170m",146.115,-33.936
"Cunningham_RNP-Audley_5m",151.057,-34.072
"Cunningham_RNP-Bola Creek_50m",151.03,-34.149
"Cunningham_RNP-Fosters Flat_50m",151.021,-34.152
"Cunningham_White Cliffs_80m",143.091,-31.085
"",,
