Column heading,Extant/Extinct,Native/Exotic,Species,Family,FOREST,WOODLAND,SCRUBLAND,DWARF SCRUB,GRASSLAND,COASTAL DUNES,H2O FRESH,H2O SALINE,DESERT,RIPARIAN,ANTHROPOGNEIC,Growth form,Life form,Plant height,Clonality,Clonality_b,Dispersal mode,Nutrient uptake strategy,Spinescence,Seed Mass,Pollination System,Photosynthetic Pathway,SLA,Melbourne,Adelaide,context,SLA_duplicate,seed_mass_duplicate,plant_height_duplicate,SLA_filtered,Plant height_filtered,Seed Mass_filtered
2,1,0,Adiantum aethiopicum,ADIANTACEAE,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,3,0.45,3,a,2,2,0,0.001,0,1,39.31,Melbourne,Adelaide,grows in Melbourne and Adelaide,specific_leaf_area,NA,NA,NA,0.45,0.001
2,1,0,Cheilanthes austrotenuifolia,ADIANTACEAE,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0.5,3,a,2,2,0,0.001,0,1,16.44,Melbourne,Adelaide,grows in Melbourne and Adelaide,specific_leaf_area,NA,NA,NA,0.5,0.001
2,1,0,Cheilanthes distans,ADIANTACEAE,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,3,0.3,3,a,2,2,0,0.001,0,1,NA,Melbourne,Adelaide,grows in Melbourne and Adelaide,NA,NA,NA,NA,0.3,0.001
2,1,0,Cheilanthes sieberi ssp sieberi,ADIANTACEAE,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,3,0.4,3,a,2,2,0,0.001,0,1,NA,Melbourne,Adelaide,grows in Melbourne and Adelaide,NA,NA,NA,NA,0.4,0.001
4,1,0,Carpobrotus rossii,AIZOACEAE,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,11,2,0.1,1,NA,3,12,0,NA,1,NA,NA,Melbourne,Adelaide,grows in Melbourne and Adelaide,NA,NA,NA,NA,0.1,NA
4,1,0,Disphyma crassifolium ssp clavellatum,AIZOACEAE,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0.05,1,NA,1,NA,0,NA,1,NA,NA,Melbourne,Adelaide,grows in Melbourne and Adelaide,NA,NA,NA,NA,0.05,NA
4,1,0,Tetragonia implexicoma,AIZOACEAE,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,15,1,3,1,NA,1,2,0,NA,0,NA,NA,Melbourne,Adelaide,grows in Melbourne and Adelaide,NA,NA,NA,NA,3,NA
4,1,0,Tetragonia tetragonioides,AIZOACEAE,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,0.08,1,NA,1,2,0,NA,0,NA,NA,Melbourne,Adelaide,grows in Melbourne and Adelaide,NA,NA,NA,NA,0.08,NA
4,1,0,Alternanthera denticulata,AMARANTHACEAE,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0.3,1,NA,2,12,0,NA,0,NA,NA,Melbourne,Adelaide,grows in Melbourne and Adelaide,NA,NA,plant_height,NA,NA,NA
4,1,0,Hemichroa pentandra,AMARANTHACEAE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0.05,3,a,NA,NA,0,NA,NA,2,NA,Melbourne,Adelaide,grows in Melbourne and Adelaide,NA,NA,plant_height,NA,NA,NA
