genus_root,taxon_name,text,life_history_a,life_history_f,parasitic_a,parasitic_f,plant_growth_form_a,plant_growth_form_f,plant_growth_substrate_a,plant_growth_substrate_f,sex_type_a,sex_type_f,stem_growth_habit_a,stem_growth_habit_f,woodiness_a,woodiness_f
Abelmoschus,Abelmoschus moschatus subsp. tuberosus," scrambling or procumbent perennial, herb or shrub, to 0.6 m high. ",perennial,perennial,,,herb shrub,herb shrub,,,,,prostrate,procumbent,woody herbaceous,
Abelmoschus,Abelmoschus ficulneus," erect annual, herb or shrub, 0.2-2.5 m high. ",annual,annual,,,herb shrub,herb shrub,,,,,erect,erect,woody herbaceous,
Abelmoschus,Abelmoschus moschatus," perennial, herb or shrub, to 0.6 m high. ",perennial,perennial,,,herb shrub,herb shrub,,,,,,,woody herbaceous,
Abelmoschus,Abelmoschus moschatus subsp. biakensis, straggly or creeping shrub. ,perennial,inferred_from_species,,,shrub,shrub,,,,,creeping,creeping,woody,
Abildgaardia,Abildgaardia schoenoides," tufted, erect annual or perennial, g or herb (sedge), 0.4-1.3 m high. ",annual perennial,annual perennial,,,herb graminoid,herb sedge,,,,,erect,erect,herbaceous,
Abrus,Abrus precatorius," climber, seeds are extremely toxic. ",,,,,climber,climber,,,,,,,,
Abrus,Abrus precatorius subsp. precatorius," climber, seeds are extremely toxic. ",,,,,climber,climber,,,,,,,,
Abutilon,Abutilon amplum," erect shrub, 0.5-1.5(-2.5) m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect,erect,woody,
Abutilon,Abutilon auritum," erect perennial, herb or shrub. ",perennial,perennial,,,herb shrub,herb shrub,,,,,erect,erect,woody herbaceous,
Abutilon,Abutilon cryptopetalum," erect, spindly shrub, 0.25-1.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect spindly,erect spindly,woody,
Abutilon,Abutilon fraseri," shrub, 0.2-1.5(-2) m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
