genus_root,taxon_name,text,life_history_a,life_history_f,parasitic_a,parasitic_f,plant_growth_form_a,plant_growth_form_f,plant_growth_substrate_a,plant_growth_substrate_f,sex_type_a,sex_type_f,stem_growth_habit_a,stem_growth_habit_f,woodiness_a,woodiness_f,created_by
Abrodictyum,Abrodictyum,small epiphytic or terrestrial ferns.,NA,NA,NA,NA,fern,ferns,epiphyte terrestrial,epiphytic terrestrial,NA,NA,NA,NA,herbaceous,inferred_from_growth_form,NA
Abrodictyum,Abrodictyum caudatum,NA,NA,NA,NA,NA,fern,inferred_from_genus,NA,NA,NA,NA,NA,NA,herbaceous,inferred_from_growth_form,NA
Abrotanella,Abrotanella,"densely tufted or mat-forming perennial herbs, more or less glabrous.",perennial,perennial,NA,NA,herb,herbs,NA,NA,NA,NA,mat-forming,matforming,herbaceous,NA,NA
Abrotanella,Abrotanella nivigena,"prostrate, rhizomatous herb.",perennial,inferred_from_genus,NA,NA,herb,herb,NA,NA,NA,NA,prostrate rhizomatous,prostrate rhizomatous,herbaceous,NA,NA
Abutilon,Abutilon,"pubescent annual or perennial shrubs,",annual perennial,annual perennial,NA,NA,shrub,shrubs,NA,NA,NA,NA,NA,NA,woody,NA,NA
Abutilon,Abutilon grandifolium,shrub to 3 m tall;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Abutilon,Abutilon otocarpum,sprawling or upright perennial (can die back severely in dry times) shrub to 70 cm tall;,perennial,perennial,NA,NA,shrub,shrub,NA,NA,NA,NA,sprawling,sprawling,woody,NA,NA
Abutilon,Abutilon oxycarpum var. subsagittatum,spindly erect perennial shrub to 1 m high;,perennial,perennial,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spindly,erect spindly,woody,NA,NA
Abutilon,Abutilon pictum,shrub or small tree to 5 m tall;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Abutilon,Abutilon fraseri subsp. fraseri,NA,perennial,inferred_from_species,NA,NA,shrub,inferred_from_genus,NA,NA,NA,NA,NA,NA,woody,NA,NA
Abutilon,Abutilon fraseri subsp. diplotrichum,NA,perennial,inferred_from_species,NA,NA,shrub,inferred_from_genus,NA,NA,NA,NA,NA,NA,woody,NA,NA
Abutilon,Abutilon malvifolium,"prostrate annual, 10-70 cm wide;",annual,annual,NA,NA,shrub,inferred_from_genus,NA,NA,NA,NA,prostrate,prostrate,woody,NA,NA
Abutilon,Abutilon theophrasti,upright annual to 100 cm tall;,annual,annual,NA,NA,shrub,inferred_from_genus,NA,NA,NA,NA,NA,NA,woody,NA,NA
Abutilon,Abutilon fraseri,"upright or spreading perennial, 40-100 cm tall;",perennial,perennial,NA,NA,shrub,inferred_from_genus,NA,NA,NA,NA,spreading,spreading,woody,NA,NA
Acacia,Acacia,trees or shrubs.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia acanthoclada subsp. acanthoclada,"stiff, intricate, spreading shrub, 0.3-2 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,NA
Acacia,Acacia acinacea,"bushy or straggly shrub, commonly to circa 2.5 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,bushy,bushy,woody,NA,NA
Acacia,Acacia aculeatissima,"diffuse shrub, prostrate to 0.5 m high, rarely more;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,prostrate,prostrate,woody,NA,NA
Acacia,Acacia acuminata,shrub or small tree 3-10 m high; brachlets ascending to erect.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect decumbent,erect ascending,woody,NA,NA
Acacia,Acacia alpina,"erect or widely spreading shrub, 1-2 m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,NA
Acacia,Acacia amoena,"neat, glabrous shrub 1-4m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia ancistrophylla var. lissophylla,"dense shrubs, 0.6-2.5 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,dense,dense,woody,NA,NA
Acacia,Acacia argyrophylla,"dense shrub, 2-3 m high and often the same across.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,dense,dense,woody,NA,NA
Acacia,Acacia aspera,"spreading, viscid shrub, 0.5-2 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,NA
Acacia,Acacia ausfeldii,"somewhat viscid shrub or tree, 2-4 m high;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
