sort,species,growth_form,growth_habit,height_max_low,height_max_cm,extreme_height,canopy_width_min_cm,canopy_width_max_cm,fire_status,leaf_type,leaf_shape,leaf_margins,leaf_length_min_mm,leaf_length_max_mm,leaf_width_min_mm,leaf_width_max_mm,fruit_length_min_mm,fruit_length_max_mm,fruit_width_min_mm,fruit_width_max_mm,seed_shape,seed_length_min_mm,seed_length_max_mm,seed_width_min_mm,seed_width_max_mm,seed_breadth_min_mm,seed_breadth_max_mm,dispersal_appendage,flowering month begin,flowering month end,fruiting month begin,fruiting month end,notes
1,Daviesia anceps,shrub,,,50,,,,,scale,scale,,,,,,7,9,4,5,,,,,,,,,11,1,1,1,
2,Daviesia pachyloma,shrub,,,50,,,,,phyllode,narrowly_elliptical linear,,8,65,1,2,,8,,3.5,irregularly ellipsoid,2.8,3.1,,2,1.2,1.4,aril,3,1,1,3,
3,Daviesia microcarpa,shrub,,,40,,,100,,phyllode,needle-like terete,,8,20,1,1,4,5,3,3.5,broadly_obovoid,,2,,1.5,,0.8,aril,8,9,10,10,
4,Daviesia arthropoda,shrub,,50,100,,,,,phyllode,narrowly_obovate,,20,40,3,5,8,8,5,6,,,,,,,,,4,8,4,8,
5,Daviesia acicularis,shrub,,20,100,,,,,phyllode,linear,revolute toothed,9,42,1,4,7,8,4.5,6,globose,3.5,4.3,2.1,2.7,1.4,2,aril,8,11,10,12,
6,Daviesia stricta,shrub,,,150,,,,,phyllode,narrowly_elliptical linearly_elliptical,,10,100,2,15,9,13,5,7,reniform,,4.5,,2.5,,1.5,,8,9,8,10,
7,Daviesia wyattiana,shrub,,100,250,,,,,phyllode,linear,,40,370,2,8,7,11,4,6,ellipsoid,4.1,5.2,2,2.5,1.4,1.7,aril,8,11,9,12,
8,Daviesia arenaria,shrub,,,150,,,,,phyllode,broadly_ovate cordate,,3,10,2,8,6,7,,4,ellipsoid,2.7,3,1.8,2,0.9,1.2,aril,8,11,10,1,
9,Daviesia sejugata,shrub,,,200,,,,,phyllode,narrowly_elliptical obovate,,15,33,3,6,8,11,4,6,ellipsoid,2.5,3,1.2,1.5,,1.3,aril,9,10,,,
10,Daviesia ulicifolia,shrub,,,250,,,,,phyllode,narrowly_ovate narrowly_elliptical,,3,22,1,6,,8,,5.5,round_oblong,3.5,4,1.8,2,,1.5,aril,8,12,9,1,
11,Daviesia reclinata,shrub,,,100,,,,,scale phyllode,linear_elliptical,,10,150,1,6,10,13,5,7,ellipsoid,,4,,2.5,,2,aril,1,12,1,12,
12,Daviesia bursarioides,shrub,,,200,,,,,phyllode,narrowly_obovate,,3,20,1,3,10,14,6,9,broadly_ellipsoid,4.5,5.2,3,3.8,2,2.5,aril,6,9,8,12,
13,Daviesia pleurophylla,shrub,,,300,,,,,phyllode,needle-like,,5,25,,1,13,14,,8,ellipsoid,,4.7,,3,,0.8,aril,9,9,9,9,
14,Daviesia divaricata,shrub,,30,300,,,,,scale,triangular_scale,,1,1,,,11,16,5,8,oblong,4.2,4.6,2.5,3,1.4,2,aril,5,11,8,11,
15,Daviesia localis,shrub,,150,300,,,,fire_killed,phyllode,terete,,2,8,1,1,15,18,6,8,,6,7,3.2,3.5,,,aril,10,11,11,11,
16,Daviesia longifolia,shrub,,30,70,,100,300,,phyllode,linear terete,,,250,1,10,7,12,4,7,obovoid ovoid,,3.5,,2,,1,aril,8,12,10,11,
17,Daviesia pauciflora,shrub,,30,80,,,,,phyllode,linear,,,400,1,2,11,14,5.5,6,ellipsoid,,4.25,,2.5,,1.5,aril,10,1,1,1,
18,Daviesia costata,shrub,,,70,,,130,,phyllode,linear,recurved,1,300,1,10,10,15,5,7,,,,,,,,,9,10,9,11,
19,Daviesia implexa,shrub,,,100,,,200,,phyllode,linear_twisted,,5,100,2,5,15,17,7,8,ellipsoid,,4,,2.5,,1.5,aril,9,1,12,1,
20,Daviesia elongata,shrub,,50,100,,,100,,phyllode,narrowly_obovate elliptical linear,,40,170,4,15,15,17,7,8,ellipsoid,,4,,2.5,,1.5,aril,9,1,10,1,
21,Daviesia alternifolia,shrub,,,35,,,,,phyllode,obovate narrowly_obovate,,25,50,4,13,,10,,6,,,,,,,,,9,1,11,1,
22,Daviesia oppositifolia,shrub,,,200,,,,,phyllode,obovate narrowly_obovate,,37,122,11,37,9,11,6,10,ellipsoid,,4,,3,,2.5,aril,3,11,10,1,
23,Daviesia cordata,shrub,,,150,,,,,phyllode,ovate broadly_ovate,,35,150,22,85,12,16,8,11,ellipsoid,5,5.5,3,3.5,,2,aril,7,12,12,2,
24,Daviesia crenulata,shrub,,,80,,,,,phyllode,ovate broadly_ovate,,15,31,14,35,10,11,7,9,ellipsoid,,4,,3,,2.5,aril,9,10,10,11,
25,Daviesia ovata,shrub,,,180,,,,,phyllode,ovate elliptical,,28,77,14,37,,14,,7,,,,,,,,,9,9,11,12,
26,Daviesia croniniana,shrub,,50,200,,,,,scale phyllode,linear,,28,50,1,2,12,14,8,9,,,,,,,,,8,1,11,11,fruiting time poorly defined
27,Daviesia lineata,shrub,,,250,,,,,phyllode,terete,,30,110,1,1,17,20,8,11,,,,,,,,,9,10,9,9,"fruiting time ""from September"""
28,Daviesia rhombifolia,shrub,,,60,,,,,phyllode,rhombic,,8,30,5,25,12,15,9,11,,,,,,,,,7,9,9,10,
29,Daviesia pedunculata,shrub,,30,60,,,,,phyllode,ovate elliptical,,10,28,2,11,15,18,7,9.5,compressed longitudinally,,5,,3,,1.6,aril,7,12,10,10,"fruiting time ""from October"""
30,Daviesia audax,shrub,,,200,,,,,phyllode,narrowly_elliptical narrowly_obovate,,25,65,5,10,18,25,10,12,obloid,7.5,8,,4.5,,3,aril,8,10,11,11,
31,Daviesia lancifolia,shrub,,,50,,,100,,phyllode,elliptical obovate,,7,17,2,11,8,9,5,6,,,,,,,,,10,3,1,1,only 1 individual seen fruiting
32,Daviesia mollis,shrub,,30,100,,,,,phyllode,elliptical,,9,27,7,15,10,11,7,8,ellipsoid globose,3.9,4.3,2.5,2.7,1.8,2,aril,9,10,1,1,
33,Daviesia spiralis,shrub,,,150,,,,,phyllode,linear_twisted,,,100,,3,10,13,4.5,5,ovoid-elliptical,3,4,2,2.5,1.7,2,aril,9,1,12,2,
34,Daviesia uniflora,shrub,,,70,,,400,,phyllode,obovate,,7,13,3,8,10,15,9,13,globoid,3,4,2,3,,2,aril,7,11,10,11,
