Chronosequence stage,Plot,Latitude,Longitude,Easting,Northing,Cation exchange capacity (cmolc/kg),pH-CaCl2,Soil total N (g/kg),Soil carbonates content (%),Soil total P (mg/kg),Species (with common names),Species,Family,Leaf ash (% DW),Leaf total phenols (GAE g/kg DW),Leaf Si (g/kg DW),Leaf Ca (g/kg DW),Leaf Fe (mg/kg DW),Leaf K (g/kg DW),Leaf Mg (g/kg DW),Leaf Mn (mg/kg DW),Leaf P (g/kg DW),latitude (deg),longitude (deg)
Stage 1,Q.Y.1,"30deg 24' 21.0"" S","115deg 5' 41.2"" E",316981,6634703,25.48,8.01,0.4,63.3,318.66,Acanthocarpus preissii,Acanthocarpus preissii,Asparagaceae,4.62,42.72,0.07,12.1,44.23,12.98,1.85,5.77,1.64,-30.40583333,115.0947778
Stage 1,Q.Y.1,"30deg 24' 21.0"" S","115deg 5' 41.2"" E",316981,6634703,25.48,8.01,0.4,63.3,318.66,"Senecio pinnatifolius var, latilobus",Senecio pinnatifolius var. latilobus,Asteraceae,15.14,40.39,0.34,32.5,52.34,15.64,3.66,22.43,1.58,-30.40583333,115.0947778
Stage 1,Q.Y.1,"30deg 24' 21.0"" S","115deg 5' 41.2"" E",316981,6634703,25.48,8.01,0.4,63.3,318.66,Hibbertia racemosa (Stalked Guinea Flower),Hibbertia racemosa,Dilleniaceae,8.98,47.58,0.17,23.6,41.02,9.67,6.89,7.81,1.32,-30.40583333,115.0947778
Stage 1,Q.Y.1,"30deg 24' 21.0"" S","115deg 5' 41.2"" E",316981,6634703,25.48,8.01,0.4,63.3,318.66,Leucopogon parviflorus,Leucopogon parviflorus,Ericaceae,5.81,53.43,0.19,10.8,46.82,16.89,4.29,11.24,1.2,-30.40583333,115.0947778
Stage 1,Q.Y.1,"30deg 24' 21.0"" S","115deg 5' 41.2"" E",316981,6634703,25.48,8.01,0.4,63.3,318.66,Acacia rostellifera (Summer-scented Wattle),Acacia rostellifera,Fabaceae,16.09,42.2,0.3,50.8,45.98,9.48,4.46,3.83,0.53,-30.40583333,115.0947778
Stage 1,Q.Y.1,"30deg 24' 21.0"" S","115deg 5' 41.2"" E",316981,6634703,25.48,8.01,0.4,63.3,318.66,"Conostylis candicans subsp, calcicola",Conostylis candicans subsp. calcicola,Haemodoraceae,5.81,47.46,2.1,9.5,58.05,23.6,1.95,112.36,0.66,-30.40583333,115.0947778
Stage 1,Q.Y.1,"30deg 24' 21.0"" S","115deg 5' 41.2"" E",316981,6634703,25.48,8.01,0.4,63.3,318.66,Hemiandra pungens (Snakebush),Hemiandra pungens,Lamiaceae,7.5,42.89,0.34,18.8,90.06,9.12,7.19,9.38,2.14,-30.40583333,115.0947778
Stage 1,Q.Y.1,"30deg 24' 21.0"" S","115deg 5' 41.2"" E",316981,6634703,25.48,8.01,0.4,63.3,318.66,Spyridium globulosum,Spyridium globulosum,Rhamnaceae,7.53,51.75,0.35,23,81.08,9.54,2.8,5.79,0.36,-30.40583333,115.0947778
Stage 1,Q.Y.15,"30deg 24' 24.8"" S","115deg 4' 55.2"" E",315756,6634565,43.15,8.14,0.4,78.6,350.07,"Senecio pinnatifolius var, latilobus",Senecio pinnatifolius var. latilobus,Asteraceae,19.57,56.7,0.96,28.7,79.46,18.91,4.57,32.95,4.61,-30.40666667,115.082
Stage 1,Q.Y.15,"30deg 24' 24.8"" S","115deg 4' 55.2"" E",315756,6634565,43.15,8.14,0.4,78.6,350.07,Ficinia nodosa,Ficinia nodosa,Cyperaceae,4.53,54.74,0.33,2.7,49.21,23.43,0.82,7.87,0.34,-30.40666667,115.082
Stage 1,Q.Y.15,"30deg 24' 24.8"" S","115deg 4' 55.2"" E",315756,6634565,43.15,8.14,0.4,78.6,350.07,Hibbertia racemosa (Stalked Guinea Flower),Hibbertia racemosa,Dilleniaceae,12.38,56.61,0.16,29.8,48.78,7.71,9.7,5.63,1.52,-30.40666667,115.082
Stage 1,Q.Y.15,"30deg 24' 24.8"" S","115deg 4' 55.2"" E",315756,6634565,43.15,8.14,0.4,78.6,350.07,Acacia rostellifera (Summer-scented Wattle),Acacia rostellifera,Fabaceae,11.64,62.61,0.2,30.3,74.43,9.6,3.72,3.82,0.95,-30.40666667,115.082
Stage 1,Q.Y.15,"30deg 24' 24.8"" S","115deg 4' 55.2"" E",315756,6634565,43.15,8.14,0.4,78.6,350.07,Spyridium globulosum,Spyridium globulosum,Rhamnaceae,7.1,61.97,0.15,17.5,53.25,11.99,3,5.92,0.58,-30.40666667,115.082
Stage 1,Q.Y.16,"30deg 6' 54.4"" S","115deg 0' 23.3"" E",307932,6666782,21.63,8.18,0.5,76.8,355.18,Olearia axillaris,Olearia axillaris,Asteraceae,7.41,46.95,0.15,11.9,68.52,10.46,3.43,16.67,4.19,-30.115,115.0064722
Stage 1,Q.Y.16,"30deg 6' 54.4"" S","115deg 0' 23.3"" E",307932,6666782,21.63,8.18,0.5,76.8,355.18,"Senecio pinnatifolius var, latilobus",Senecio pinnatifolius var. latilobus,Asteraceae,17.31,44.53,0.22,26.3,50,24.81,4.71,19.23,2.69,-30.115,115.0064722
Stage 1,Q.Y.16,"30deg 6' 54.4"" S","115deg 0' 23.3"" E",307932,6666782,21.63,8.18,0.5,76.8,355.18,Rhagodia baccata,Rhagodia baccata,Chenopodiaceae,12.7,43.68,0.19,10.7,39.68,31.55,8.43,9.92,0.94,-30.115,115.0064722
Stage 1,Q.Y.16,"30deg 6' 54.4"" S","115deg 0' 23.3"" E",307932,6666782,21.63,8.18,0.5,76.8,355.18,Acacia truncata,Acacia truncata,Fabaceae,9,56.25,0.53,25.2,56.75,6.65,4.52,3.91,0.55,-30.115,115.0064722
Stage 1,Q.Y.16,"30deg 6' 54.4"" S","115deg 0' 23.3"" E",307932,6666782,21.63,8.18,0.5,76.8,355.18,Scaevola crassifolia,Scaevola crassifolia,Goodeniaceae,17.96,48.55,0.24,36.9,39.92,6.45,5.43,7.98,3.93,-30.115,115.0064722
Stage 1,Q.Y.16,"30deg 6' 54.4"" S","115deg 0' 23.3"" E",307932,6666782,21.63,8.18,0.5,76.8,355.18,"Conostylis candicans subsp, calcicola",Conostylis candicans subsp. calcicola,Haemodoraceae,3.79,44.17,0.44,4.8,39.77,13.77,1.61,70.08,0.43,-30.115,115.0064722
