species_name,original_name,seed_length_max_Cooper_2013,seed_length_max_Kooyman_2011,seed_length_max_Sams_2017,seed_length_max_to_keep
Acacia maidenii,Acacia maidenii,5,6,5,omit
Acacia melanoxylon,Acacia melanoxylon,5,5,5,omit
Aceratium sericoleopsis,Aceriatum sericoleopsis,NA,NA,12,keep
Acronychia oblongifolia,Acronychia oblongifolia,5,5,5,omit
Acronychia parviflora,Acronychia parviflora,8,8,8,omit
Acronychia vestita,Acronychia vestita,NA,5,5,omit
Aglaia australiensis,Aglaia australiensis,42,42,42,omit
Aglaia meridionalis,Aglaia meridionalis,30,30,30,omit
Aglaia sapindina,Aglaia sapindina,15,15,15,omit
Aglaia tomentosa,Aglaia tomentosa,18,18,18,omit
Akania bidwillii,Akania bidwillii,NA,12,12,omit
Alangium villosum subsp. polyosmoides,Alangium villosum.polyosmoides,NA,NA,17,keep
Alectryon connatum,Alectryon connatus,5,5,5,omit
Alphitonia excelsa,Alphitonia excelsa,7,7,7,omit
Alphitonia petriei,Alphitonia petriei,5,5,5,omit
Alphitonia whitei,Alphitonia whitei,6,6,6,omit
Alstonia scholaris,Alstonia scholaris,5,5,5,omit
Alyxia ruscifolia,Alyxia ruscifolia,13,13,13,omit
Anthocarapa nitidula,Anthocarapa nitidula,20,20,20,omit
Aphananthe philippinensis,Aphananthe philippinensis,7,7,7,omit
Apodytes brachystylis,Apodytes brachystylis,13,13,13,omit
Araucaria bidwillii,Araucaria bidwilli,NA,NA,50,keep
Archidendron grandiflorum,Archidendron grandiflorum,14,14,14,omit
Archidendron lucyi,Archidendron lucyi,17,17,17,omit
Archidendron vaillantii,Archidendron vallantii,NA,NA,10,keep
Archidendron whitei,Archidendron whitii,NA,NA,10,keep
Archontophoenix cunninghamiana,Archontophoenix cunninghamiana,10,NA,10,omit
Ardisia brevipedata,Ardisia brevipedata,6,6,6,omit
Arytera distylis,Arytera distylis,9,9,9,omit
Arytera divaricata,Arytera divaricata,15,15,15,omit
Atractocarpus benthamianus,Atractocarpus benthamianus,NA,5,5,omit
Atractocarpus merikin,Attractocarpus merikin,NA,NA,7,keep
Austromuellera trinervia,Austromeullera trinervia,NA,NA,190,keep
Baloghia inophylla,Baloghia inophylla,10,10,10,omit
Beccariella brownlessiana,Pouteria brownlessiana,18,18,18,omit
Beilschmiedia elliptica,Beilschmiedia elliptica,10,8,10,omit
Beilschmiedia tooram,Beilschmiedia tooram,50,50,50,omit
Brachychiton acerifolius,Brachychiton acerifolius,12,12,120,keep
Brachychiton discolor,Brachychiton discolor,10,10,10,omit
Bridelia leichhardtii,Bridiella leichhardtii,NA,NA,5,keep
Capparis arborea,Capparis arborea,10,10,10,omit
Cardwellia sublimis,Cardwellia sublimis,70,60,70,omit
Castanospermum australe,Castanospermum australe,50,50,50,omit
Castanospora alphandi,Castanospora alphandii,30,25,30,omit
Cinnamomum oliveri,Cinnamomum oliveri,14,14,14,omit
Cinnamomum virens,Cinnamomum virens,8,8,8,omit
Citronella moorei,Citronella moorei,21,21,21,omit
Citronella smythii,Citronella smythii,14,14,14,omit
Codiaeum variegatum,Codiaeum variegatum var moluccanum,NA,NA,5,keep
Corynocarpus cribbianus,Corynocarpus cribbianus,35,35,35,omit
Croton triacros,Croton triacros,5,5,5,omit
Cryptocarya erythroxylon,Cryptocarya erythroxylon,15,12,8,keep
Cryptocarya glaucescens,Cryptocarya glaucescens,14,12,10,keep
Cryptocarya grandis,Cryptocarya grandis,13,13,13,omit
Cryptocarya mackinnoniana,Cryptocarya mackinnoniana,20,20,20,omit
Cryptocarya obovata,Cryptocarya obovata,NA,8,8,omit
Cryptocarya pleurosperma,Cryptocarya pleurosperma,35,35,35,omit
Cryptocarya putida,Cryptocarya putida,13,13,13,omit
Cryptocarya triplinervis var. pubens,Cryptocarya triplonervis.var.pubens,NA,NA,8,keep
Daphnandra apatela,Daphnandra apetala,NA,NA,25,keep
Daphnandra melasmena,Daphnandra melasmena,NA,2,10,keep
Daphnandra repandula,Daphnandra rapandula,NA,NA,8,keep
Darlingia ferruginea,Darlingia ferrugenia,NA,NA,80,keep
Diospyros pentamera,Diospyros pentamera,10,10,10,omit
Diploglottis bracteata,Diploglottis bracteata,30,30,30,omit
Diploglottis diphyllostegia,Diploglottis diphyllostegia,10,10,10,omit
Doryphora aromatica,Doryphora aromatica,NA,3,23,keep
Doryphora sassafras,Doryphora sassafras,NA,2,20,keep
Drypetes deplanchei,Drypetes deplanchei,20,20,20,omit
Duboisia myoporoides,Duboisia myoporoides,3,3,20,keep
Dysoxylum fraserianum,Dysoxylum fraserianum,7,7,7,omit
Dysoxylum parasiticum,Dysoxylum parasiticum,18,18,18,omit
Dysoxylum pettigrewianum,Dysoxylum pettigrewianum,24,24,24,omit
Dysoxylum rufum,Dysoxylum rufum,8,8,8,omit
Elattostachys xylocarpa,Elattostachys xylocarpa,NA,8,8,omit
Emmenosperma alphitonoides,Emmenosperma alphitoniodes,NA,NA,6,keep
Endiandra bessaphila,Endiandra bessaphila,28,28,23,keep
Endiandra compressa,Endiandra compressa,52,52,52,omit
Endiandra cowleyana,Endiandra cowleyana,28,28,28,omit
Endiandra insignis,Endiandra insignis,55,55,55,omit
Endiandra monothyra,Endiandra monothyra,NA,NA,34,keep
Endiandra palmerstonii,Endiandra palmerstonii,40,40,40,omit
Endiandra sankeyana,Endiandra sankeyana,45,45,45,omit
Endiandra virens,Endiandra virens,40,40,40,omit
Endiandra wolfei,Endiandra wolfei,21,21,21,omit
Eupomatia laurina,Eupomatia laurina,6,6,6,omit
Firmiana papuana,Firmiana papuana,8,8,8,omit
Flindersia brayleyana,Flindersia brayleyana,NA,30,65,keep
Flindersia schottiana,Flindersia schottiana,NA,18,50,keep
Fontainea picrosperma,Fontainea picrosperma,26,26,26,omit
Franciscodendron laurifolium,Franciscodendron laurifolium,15,15,15,omit
Garcinia gibbsiae,Garcinia gibbsiae,18,18,18,omit
Geijera salicifolia,Geijera salicifolia,6,NA,5,keep
Geissois benthamiana,Geissios benthami,NA,NA,4,keep
Glochidion ferdinandii,Glochidion ferdinandi,5,5,5,omit
Gmelina fasciculiflora,Gmelina fasciculiflora,15,15,15,omit
Guilfoylia monostylis,Guilfolya monostylis,NA,NA,15,keep
Guioa lasioneura,Guioa lasioneura,8,8,8,omit
Guioa semiglauca,Guioa semiglauca,6,6,6,omit
Haplostichanthus johnsonii,Haplostichanthus johnsonii,9,9,9,omit
Haplostichanthus submontanus,Haplosticanthus submontanus,NA,NA,9,keep
Harpullia rhyticarpa,Harpulia rhytocarpa,NA,NA,14,keep
Hedraianthera porphyropetala,Hedraianthera porphyropetala,12,12,12,omit
Hedycarya loxocarya,Hedycarya loxocarya?,NA,NA,7,keep
Helicia glabrifolia,Helicia glabrifolia,NA,NA,9,keep
Hylandia dockrillii,Hylandea dockrillii,NA,NA,18,keep
Irvingbaileya australis,Irvingbaileya australis,24,24,24,omit
Jagera pseudorhus,Jagera pseudorhus,NA,NA,8,keep
Kibara macrophylla,Wilkiea macrophylla,20,10,20,omit
Ligustrum lucidum,Ligustrum lucidum,7,NA,7,omit
Ligustrum sinense,Ligustrum sinense,4,NA,4,omit
Litsea leefeana,Litsea leefeana,19,19,19,omit
Litsea reticulata,Litsea reticulata,11,11,11,omit
Lophostemon confertus,Lophostemon confertus,3,3,3,omit
Macaranga inamoena,Macaranga inoemena,NA,NA,4,keep
Mallotus philippensis,Mallotus phillipensis,NA,NA,5,keep
Mallotus polyadenos,Mallotsus polyadenos,NA,NA,4,keep
Maytenus disperma,Maytenus disperma,6,6,6,omit
Medicosma fareana,Medicosma fareana,5,5,5,omit
Melia azedarach,Melia azedarch,NA,NA,7,keep
Melicope elleryana,Melicope elleryana,7,7,7,omit
Melicope vitiflora,Melicope vitaflora,NA,NA,5,keep
Mischocarpus lachnocarpus,Mischocarpus lachnocarpus,8,8,8,omit
Myristica globosa,Myristica globosa,22,22,22,omit
Myristica insipida,Myristica insipida,25,25,25,omit
Neolitsea australiensis,Neolitsia australiensis,NA,NA,6,keep
Neolitsea dealbata,Neolitsea dealbata,7,7,10,keep
Niemeyera chartacea,Niemeyera chartacea,NA,15,15,omit
Niemeyera prunifera,Niemeyera prunifera,38,38,38,omit
Notelaea longifolia,Notolea longifolia,NA,NA,12,keep
Olea paniculata,Olea paniculata,NA,14,14,omit
Opisthiolepis heterophylla,Opisthiolepus heterophylla,NA,NA,90,keep
Oraniopsis appendiculata,Oraniopsis appendiculata,NA,NA,22,keep
Orites excelsus,Orites excelsus,25,9,25,omit
Pilidiostigma glabrum,Pilidiostigma glabrum,NA,5,8,keep
Pilidiostigma tropicum,Pilidiostigma tropicum,8,8,8,omit
Pittosporum multiflorum,Pittosporum mulitflorum,NA,NA,4,keep
Pittosporum rubiginosum,Pittosporum rubiginosum,7,7,7,omit
Planchonella australis,Pouteria australis,20,20,20,omit
Planchonella myrsinodendron,Planchonella myrsinoidendron,NA,NA,25,keep
Planchonella xylocarpa,Pouteria xylocarpa,25,NA,25,omit
Polyalthia nitidissima,Polyalthia nitidissima,7,7,7,omit
Polyscias elegans,Polycias elegens,NA,NA,2,keep
Polyscias murrayi,Polyscias murrayi,4,4,4,omit
Prunus turneriana,Prunus turneriana,30,30,30,omit
Pseudomorus brunoniana,Streblus brunonianus,4,4,4,omit
Pseuduvaria hylandii,Pseudavarius hylandia,NA,NA,11,keep
Psydrax odorata,Psydrax odorata,NA,NA,5,keep
Rapanea variablis,Myrsine variabilis,NA,4,4,omit
Rhodomyrtus trineura subsp. capensis,Rhodomyrtus trineura.ssp.capensis,NA,NA,9,keep
Rockinghamia angustifolia,Rockinghamia angustifolia,8,8,8,omit
Sarcopteryx stipitata,Sarcopteryx stipata,5,5,5,omit
Schistocarpaea johnsonii,Schistocarpaea johnsonii,NA,7,7,omit
Scolopia braunii,Scolopia braunii,5,5,5,omit
Siphonodon australis,Siphonodon australia,NA,NA,15,keep
Siphonodon membranaceus,Siphonodon membranaceous,NA,NA,9,keep
Sloanea australis,Sloenea australis,NA,NA,10,keep
Sloanea langii,Sloenea langii,NA,NA,10,keep
Sloanea macbrydei,Sloenea macbriddii,NA,NA,13,keep
Sloanea woollsii,Sloenea woollsii,NA,NA,6,keep
Solanum corifolium,Solanum corifolum,NA,NA,3,keep
Solanum mauritianum,Solanum mauritianum,2,NA,2,omit
Steganthera laxiflora,Steganthera laxiflora,NA,NA,13,keep
Symplocos hayesii,Symplocus hayesii,NA,NA,15,keep
Symplocos paucistaminea,Symplocus pauscistamenia,NA,NA,5,keep
Synoum glandulosum,Synoum glandulosum,17,NA,17,omit
Syzygium australe,Syzygium australe,12,12,12,omit
Syzygium crebrinerve,Syzygium crebrinerve,5,6,5,omit
Syzygium gustavioides,Syzygium gustavoides,NA,NA,80,keep
Syzygium hemilamprum,Syzygium hemilamprum,NA,NA,17,keep
Syzygium smithii,Syzygium smithii,NA,12,12,omit
Tabernaemontana pandacaqui,Tabernaemontana pandacaqui,7,7,7,omit
Tarenna dallachiana,Tarrenia dallachania,NA,NA,3,keep
Ternstroemia cherryi,Ternstroemia cherryi,20,20,20,omit
Toechima erythrocarpum,Toechima erythrocarpa,NA,NA,15,keep
Toona ciliata,Toona ciliata,18,5,18,omit
Van-royena castanosperma,Vanroyena castanosperma,NA,40,40,omit
Wilkiea hugeliana,Wilkea huegeliana,NA,NA,20,keep
Wilkiea longipes,Wilkea longipes,NA,NA,15,keep
Xanthophyllum octandrum,Xanthophyllum octandrum,12,12,12,omit
Zanthoxylum ovalifolium,Zanthoxylum ovatiflorum,NA,NA,5,keep
Zanthoxylum venificum,Zanthoxylum venicum,NA,NA,6,keep
