species_name,original_name,seed_length_min_Cooper_2013,seed_length_min_Kooyman_2011,seed_length_min_Sams_2017,seed_length_min_to_keep
Acacia maidenii,Acacia maidenii,5,4,5,omit
Acacia melanoxylon,Acacia melanoxylon,3,3,3,omit
Aceratium sericoleopsis,Aceriatum sericoleopsis,NA,NA,12,keep
Acronychia oblongifolia,Acronychia oblongifolia,3,3,3,omit
Acronychia parviflora,Acronychia parviflora,3,3,3,omit
Acronychia vestita,Acronychia vestita,NA,4,5,keep
Aglaia australiensis,Aglaia australiensis,20,20,20,omit
Aglaia meridionalis,Aglaia meridionalis,15,15,15,omit
Aglaia sapindina,Aglaia sapindina,15,12,15,omit
Aglaia tomentosa,Aglaia tomentosa,15,15,15,omit
Akania bidwillii,Akania bidwillii,NA,10,10,omit
Alangium villosum subsp. polyosmoides,Alangium villosum.polyosmoides,NA,NA,10,keep
Alectryon connatum,Alectryon connatus,4,4,4,omit
Alphitonia excelsa,Alphitonia excelsa,7,4,7,omit
Alphitonia petriei,Alphitonia petriei,2,2,2,omit
Alphitonia whitei,Alphitonia whitei,6,5,6,omit
Alstonia scholaris,Alstonia scholaris,4,4,4,omit
Alyxia ruscifolia,Alyxia ruscifolia,8,8,8,omit
Anthocarapa nitidula,Anthocarapa nitidula,18,18,18,omit
Aphananthe philippinensis,Aphananthe philippinensis,5,5,5,omit
Apodytes brachystylis,Apodytes brachystylis,10,10,10,omit
Archidendron grandiflorum,Archidendron grandiflorum,12,12,12,omit
Archidendron lucyi,Archidendron lucyi,10,10,10,omit
Archidendron whitei,Archidendron whitii,NA,NA,9,keep
Archontophoenix cunninghamiana,Archontophoenix cunninghamiana,8,NA,8,omit
Ardisia brevipedata,Ardisia brevipedata,5,5,5,omit
Arytera distylis,Arytera distylis,9,7,9,omit
Arytera divaricata,Arytera divaricata,10,10,10,omit
Atractocarpus benthamianus,Atractocarpus benthamianus,NA,3,3,omit
Atractocarpus merikin,Attractocarpus merikin,NA,NA,7,keep
Austromuellera trinervia,Austromeullera trinervia,NA,NA,125,keep
Baloghia inophylla,Baloghia inophylla,7,7,7,omit
Beccariella brownlessiana,Pouteria brownlessiana,18,15,18,omit
Beilschmiedia elliptica,Beilschmiedia elliptica,8,6,8,omit
Beilschmiedia tooram,Beilschmiedia tooram,25,25,25,omit
Brachychiton acerifolius,Brachychiton acerifolius,10,10,80,keep
Brachychiton discolor,Brachychiton discolor,9,9,9,omit
Bridelia leichhardtii,Bridiella leichhardtii,NA,NA,5,keep
Capparis arborea,Capparis arborea,7,7,7,omit
Cardwellia sublimis,Cardwellia sublimis,60,40,60,omit
Castanospermum australe,Castanospermum australe,30,30,30,omit
Castanospora alphandi,Castanospora alphandii,20,17,20,omit
Cinnamomum oliveri,Cinnamomum oliveri,12,12,12,omit
Cinnamomum virens,Cinnamomum virens,8,6,8,omit
Citronella moorei,Citronella moorei,15,15,15,omit
Citronella smythii,Citronella smythii,10,10,10,omit
Codiaeum variegatum,Codiaeum variegatum var moluccanum,NA,NA,5,keep
Corynocarpus cribbianus,Corynocarpus cribbianus,23,23,23,omit
Croton triacros,Croton triacros,3,3,3,omit
Cryptocarya erythroxylon,Cryptocarya erythroxylon,9,9,7,keep
Cryptocarya glaucescens,Cryptocarya glaucescens,9,10,10,omit
Cryptocarya grandis,Cryptocarya grandis,9,9,9,omit
Cryptocarya mackinnoniana,Cryptocarya mackinnoniana,15,15,15,omit
Cryptocarya obovata,Cryptocarya obovata,NA,6,8,keep
Cryptocarya pleurosperma,Cryptocarya pleurosperma,25,25,25,omit
Cryptocarya putida,Cryptocarya putida,10,10,10,omit
Cryptocarya triplinervis var. pubens,Cryptocarya triplonervis.var.pubens,NA,NA,8,keep
Daphnandra apatela,Daphnandra apetala,NA,NA,12,keep
Daphnandra melasmena,Daphnandra melasmena,NA,1,7,keep
Daphnandra repandula,Daphnandra rapandula,NA,NA,8,keep
Darlingia ferruginea,Darlingia ferrugenia,NA,NA,70,keep
Diospyros pentamera,Diospyros pentamera,7,7,7,omit
Diploglottis bracteata,Diploglottis bracteata,25,25,25,omit
Diploglottis diphyllostegia,Diploglottis diphyllostegia,10,7,10,omit
Doryphora aromatica,Doryphora aromatica,NA,3,15,keep
Doryphora sassafras,Doryphora sassafras,NA,2,6,keep
Drypetes deplanchei,Drypetes deplanchei,8,8,8,omit
Duboisia myoporoides,Duboisia myoporoides,3,3,20,keep
Dysoxylum fraserianum,Dysoxylum fraserianum,7,NA,7,omit
Dysoxylum parasiticum,Dysoxylum parasiticum,18,15,18,omit
Dysoxylum pettigrewianum,Dysoxylum pettigrewianum,20,20,20,omit
Dysoxylum rufum,Dysoxylum rufum,8,8,8,omit
Elattostachys xylocarpa,Elattostachys xylocarpa,NA,6,6,omit
Emmenosperma alphitonoides,Emmenosperma alphitoniodes,NA,NA,3,keep
Endiandra bessaphila,Endiandra bessaphila,22,22,21,keep
Endiandra compressa,Endiandra compressa,33,33,33,omit
Endiandra cowleyana,Endiandra cowleyana,20,20,20,omit
Endiandra insignis,Endiandra insignis,25,25,25,omit
Endiandra monothyra,Endiandra monothyra,NA,NA,27,keep
Endiandra palmerstonii,Endiandra palmerstonii,30,30,30,omit
