species,sla.mean,sla.sd,individual.n,leaf.n,Location Name,Location.n,QuadratName,Latitude,Longitude,Additional Notes
Acacia.maidenii,6.018246633,0.532316996,3,9,BunyaMtNP,3,B,-26.886047,151.605447,
Acacia.melanoxylon,5.557414676,NA,1,3,DoigoNP,1,D,-30.359054,152.735787,
Aceriatum.sericoleopsis,26.57589582,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Ackama.paniculosa,10.25030836,1.130101872,7,21,DoigoNP,1,D,-30.359054,152.735787,
Acronychia.oblongifolia,14.54691571,5.761711968,4,12,DoigoNP,1,D,-30.359054,152.735787,
Acronychia.parviflora,21.96664746,NA,1,3,LamingtonNP,2,R,-28.196897,153.183639,"These samples were taken from nearby in Lamington National Park, rather than the border Border Ranges close to the Binna Bua area rather than R Kooymans plots. The Lats and Longs are approximate. We used these to fill missing SLA from the Border Randes plots"
Acronychia.vestita,16.00388733,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Aglaia.australiensis,7.992086087,4.139310537,40,42,WooroonoranNP,6,W,-17.369926,145.739885,
Aglaia.tomentosa,14.88964825,1.897806557,11,25,WooroonoranNP,6,W,-17.369926,145.739885,
Akania.bidwillii,8.913022503,2.221636537,2,2,DoigoNP,1,D,-30.359054,152.735787,"These samples were taken from nearby in Lamington National Park, rather than the border Border Ranges close to the Binna Bua area rather than R Kooymans plots. The Lats and Longs are approximate. We used these to fill missing SLA from the Border Randes plots"
Alangium.villosum.polyosmoides,20.21478292,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Alectryon.connatus,9.815183371,0.060911452,2,4,BunyaMtNP,3,B,-26.886047,151.605447,
Alectryon.subdentatus,12.76047609,NA,1,2,BunyaMtNP,3,B,-26.886047,151.605447,
Alphitonia.excelsa,19.9491074,NA,1,3,MairyCairncross,4,M,-26.778623,152.882047,
Alyxia.ruscifolia,6.852294363,1.784495916,3,9,BunyaMtNP,3,B,-26.886047,151.605447,
Anthocarapa.nitidula,11.92879674,0.703927025,2,4,MairyCairncross,4,M,-26.778623,152.882047,
Antidesma.erostre,11.6491842,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Aphananthe.philippinensis,10.33038361,NA,1,3,MairyCairncross,4,M,-26.778623,152.882047,
Apodytes.achystylis,14.39884137,1.93357045,18,54,WooroonoranNP,6,W,-17.369926,145.739885,
Araucaria.bidwilli,6.954309346,1.857892309,5,15,BunyaMtNP,3,B,-26.886047,151.605447,
Archidenon.grandiflorum,12.85896911,NA,1,2,LamingtonNP,2,R,-28.196897,153.183639,"These samples were taken from nearby in Lamington National Park, rather than the border Border Ranges close to the Binna Bua area rather than R Kooymans plots. The Lats and Longs are approximate. We used these to fill missing SLA from the Border Randes plots"
Ardisia.evipedata,10.35874358,2.304990052,2,6,WooroonoranNP,6,W,-17.369926,145.739885,
