species_name,original_name,plant_height_Cooper_2013,plant_height_Kooyman_2011,plant_height_Metcalfe_2020_2,plant_height_Sams_2017,plant_height_to_keep
Acacia maidenii,Acacia maidenii,20,20,NA,20,omit
Acacia melanoxylon,Acacia melanoxylon,20,20,NA,30,keep
Aceratium sericoleopsis,Aceriatum sericoleopsis,NA,NA,NA,15,keep
Acronychia oblongifolia,Acronychia oblongifolia,21,20,NA,20,omit
Acronychia octandra,Acronychia octandra,NA,45,NA,45,omit
Acronychia parviflora,Acronychia parviflora,4,4,NA,4,omit
Acronychia vestita,Acronychia vestita,NA,20,NA,20,omit
Aglaia australiensis,Aglaia australiensis,10,10,NA,10,omit
Aglaia meridionalis,Aglaia meridionalis,10,10,NA,10,omit
Aglaia sapindina,Aglaia sapindina,15,15,NA,15,omit
Aglaia tomentosa,Aglaia tomentosa,8,8,NA,8,omit
Akania bidwillii,Akania bidwillii,NA,25,NA,25,omit
Alangium villosum subsp. polyosmoides,Alangium villosum.polyosmoides,NA,NA,NA,20,keep
Alectryon connatum,Alectryon connatus,20,20,NA,20,omit
Alectryon subdentatum,Alectryon subdentatus,11,12,NA,12,omit
Alphitonia excelsa,Alphitonia excelsa,20,20,NA,20,omit
Alphitonia petriei,Alphitonia petriei,40,40,NA,40,omit
Alphitonia whitei,Alphitonia whitei,30,30,NA,30,omit
Alstonia scholaris,Alstonia scholaris,40,40,NA,40,omit
Alyxia ruscifolia,Alyxia ruscifolia,5,5,NA,5,omit
Anthocarapa nitidula,Anthocarapa nitidula,30,30,NA,30,omit
Antidesma erostre,Antidesma erostre,20,20,NA,20,omit
Aphananthe philippinensis,Aphananthe philippinensis,35,35,NA,35,omit
Apodytes brachystylis,Apodytes brachystylis,20,20,NA,20,omit
Araucaria bidwillii,Araucaria bidwilli,NA,NA,NA,50,keep
Archidendron grandiflorum,Archidendron grandiflorum,20,20,NA,30,keep
Archidendron lucyi,Archidendron lucyi,20,20,NA,20,omit
Archidendron vaillantii,Archidendron vallantii,NA,NA,NA,25,keep
Archidendron whitei,Archidendron whitii,NA,NA,NA,15,keep
Archontophoenix cunninghamiana,Archontophoenix cunninghamiana,25,NA,NA,30,keep
Ardisia brevipedata,Ardisia brevipedata,3,3,NA,3,omit
Argyrodendron Boonjee,Argyrodendron sp.Boonji,NA,NA,NA,20,keep
Argyrodendron peralatum,Argyrodendron peratelum,NA,NA,NA,35,keep
Argyrodendron trifoliolatum,Argyrodendron trifoliatum,NA,NA,NA,45,keep
Arytera distylis,Arytera distylis,24,20,NA,20,omit
Arytera divaricata,Arytera divaricata,30,30,NA,30,omit
Athertonia diversifolia,Athertonia diversifolia,30,30,NA,30,omit
