context,measurement PAR (uml m-2 s-1),measurement PAR description,growing temperature (C),growing temperature description,growing CO2 (ppm),growing CO2 description,growth period,growth period description,type,context columns
Elv_Temp_and_400_ppm_CO2_and_measured_at_700_PAR,700,Gas exchange measurements made at 700 umolm-2 s-1 radiation,Elv,"Grown at elevated temperature, 30/22 (day/night)",400,"Grown at 400 ppm CO2, ambient CO2 levels",NA,NA,treatment,"growing CO2, growing temperature, PAR"
Elv_Temp_and_640_ppm_CO2_and_measured_at_700_PAR,700,Gas exchange measurements made at 700 umolm-2 s-1 radiation,Elv,"Grown at elevated temperature, 30/22 (day/night)",640,"Grown at 640 ppm CO2, elevated CO2 levels",NA,NA,treatment,"growing CO2, growing temperature, PAR"
Amb_Temp_and_640_ppm_CO2_and_measured_at_700_PAR,700,Gas exchange measurements made at 700 umolm-2 s-1 radiation,Amb,"Grown at ambient temperature, 26/18 (day/night)",640,"Grown at 640 ppm CO2, elevated CO2 levels",NA,NA,treatment,"growing CO2, growing temperature, PAR"
Elv_Temp_and_280_ppm_CO2_and_measured_at_700_PAR,700,Gas exchange measurements made at 700 umolm-2 s-1 radiation,Elv,"Grown at elevated temperature, 30/22 (day/night)",280,"Grown at 280 ppm CO2, sub-ambient CO2 levels",NA,NA,treatment,"growing CO2, growing temperature, PAR"
Amb_Temp_and_280_ppm_CO2_and_measured_at_700_PAR,700,Gas exchange measurements made at 700 umolm-2 s-1 radiation,Amb,"Grown at ambient temperature, 26/18 (day/night)",280,"Grown at 280 ppm CO2, sub-ambient CO2 levels",NA,NA,treatment,"growing CO2, growing temperature, PAR"
Amb_Temp_and_400_ppm_CO2_and_measured_at_700_PAR,700,Gas exchange measurements made at 700 umolm-2 s-1 radiation,Amb,"Grown at ambient temperature, 26/18 (day/night)",400,"Grown at 400 ppm CO2, ambient CO2 levels",NA,NA,treatment,"growing CO2, growing temperature, PAR"
Elv_Temp_and_400_ppm_CO2_and_measured_at_1000_PAR,1000,Gas exchange measurements made at 1000 umolm-2 s-1 radiation,Elv,"Grown at elevated temperature, 30/22 (day/night)",400,"Grown at 400 ppm CO2, ambient CO2 levels",NA,NA,treatment,"growing CO2, growing temperature, PAR"
Amb_Temp_and_280_ppm_CO2_and_measured_at_1000_PAR,1000,Gas exchange measurements made at 1000 umolm-2 s-1 radiation,Amb,"Grown at ambient temperature, 26/18 (day/night)",280,"Grown at 280 ppm CO2, sub-ambient CO2 levels",NA,NA,treatment,"growing CO2, growing temperature, PAR"
Elv_Temp_and_640_ppm_CO2_and_measured_at_1000_PAR,1000,Gas exchange measurements made at 1000 umolm-2 s-1 radiation,Elv,"Grown at elevated temperature, 30/22 (day/night)",640,"Grown at 640 ppm CO2, elevated CO2 levels",NA,NA,treatment,"growing CO2, growing temperature, PAR"
Elv_Temp_and_280_ppm_CO2_and_measured_at_1000_PAR,1000,Gas exchange measurements made at 1000 umolm-2 s-1 radiation,Elv,"Grown at elevated temperature, 30/22 (day/night)",280,"Grown at 280 ppm CO2, sub-ambient CO2 levels",NA,NA,treatment,"growing CO2, growing temperature, PAR"
