Sample,Source,Depth,Date,Week,d18Oav,dDav,Notes
GB1,CW,,1/04/2014,A,-5.36,NA,17cm
GB2,RW,,2/04/2014,A,-2.18,NA,322mL/24hrs
GB3,CW,,2/04/2014,A,-4.84,NA,21cm
GB4,SSM,50,2/04/2014,A,-5.07,NA,B
GB5,DSM,150,2/04/2014,A,-5.1,NA,B
GB6,RW,,7/04/2014,B,-3.02,NA,5 days
GB7,CW,,7/04/2014,B,-5.01,NA,18cm
GB8,RW,,8/04/2014,B,-1.09,-4.4,24hrs
GB9,CW,,8/04/2014,B,-4.59,-23.8,19cm
GB10,SSM,50,8/04/2014,B,-3.77,NA,B
GB11,SSM,50,8/04/2014,B,NA,NA,A
GB12,DSM,150,8/04/2014,B,-3.8,-28.2,A
GB13,DSM,150,8/04/2014,B,-4.77,NA,C
GB14,DSM,150,8/04/2014,B,-4.93,-23.37,D
GB15,GW,,9/04/2014,B,-4.9,-25.1,
GB16,CW,,9/04/2014,B,-5.46,NA,15CM
GB17,SSM,50,9/04/2014,B,-2.84,NA,A
GB18,SSM,50,9/04/2014,B,-3.07,NA,B
GB19,DSM,150,9/04/2014,B,-4.58,NA,A
GB20,DSM,150,9/04/2014,B,-5.43,NA,C
GB21,RW,,6/05/2014,D,-3.01,-6.73,
GB22,CW,,6/05/2014,D,-4.98,-21.72,11cm
GB23,GW,,6/05/2014,D,-5.08,-22.72,2
GB24,DSM,150,6/05/2014,D,-4.95,-23.97,A
GB25,SSM,50,6/05/2014,D,-4.91,-23.14,B
GB26,CW,,7/05/2014,D,-4.86,-21.78,10cm
GB27,GW,,7/05/2014,D,-4.86,-22.38,2
GB28,DSM,150,7/05/2014,D,-5.4,-28.09,A
GB29,DSM,150,8/05/2014,D,-5.44,-29.06,A
GB30,CW,,17/04/2014,C,-5.8,NA,Cyclone water
GB31,DSM,150,17/04/2014,C,-5.21,-26.38,D
GB32,SSM,50,17/04/2014,C,-7.4,-45.09,D
GB33,DSM,150,17/04/2014,C,-4.87,NA,C
GB34,SSM,50,17/04/2014,C,NA,NA,B
GB35,DSM,150,17/04/2014,C,-5.24,NA,A
GB36,RW,,20/05/2014,E,-2.27,-0.78,
GB37,GW,,20/05/2014,E,-4.94,-22.64,Bore 2
GB38,GW,,20/05/2014,E,-5.08,-24.57,Bore 1
GB39,CW,,20/05/2014,E,-4.24,-15.54,36
GB40,RW,,21/05/2014,E,-1.35,8.65,
GB41,GW,,21/05/2014,E,-4.99,-24.74,Bore 1
GB42,GW,,21/05/2014,E,-4.85,-23.08,Bore 2
GB43,SSM,50,21/05/2014,E,-2.21,1.24,A
GB44,SSM,50,21/05/2014,E,-2.01,1.67,B
GB45,SSM,50,21/05/2014,E,-2.02,0.63,D
GB46,DSM,150,21/05/2014,E,-3.29,-11.59,A
GB47,DSM,150,21/05/2014,E,-3.4,-12.78,D
GB48,CW,,21/05/2014,E,-4.43,-19.27,33
GB53,SSM,50,23/05/2014,E,NA,NA,NW
GB55,SSM,50,23/05/2014,E,NA,NA,SE
GB57,DSM,150,23/05/2014,E,-3.89,-16.19,A
GB58,SSM,50,23/05/2014,E,-2.05,2.2,B
GB59,DSM,150,23/05/2014,E,-3.25,-10.92,D
GB59b,RW,,23/05/2014,E,-1.09,8.91,
GB60,RW,,11/06/2014,F,-2.95,-8.16,
GB61,GW,,11/06/2014,F,-4.99,-23.91,2
GB62,CW,,11/06/2014,F,-4.68,-20.64,28cm
GB63,SSM,50,12/06/2014,F,-4.73,-22.68,A
GB64,SSM,50,12/06/2014,F,-5.29,-28.07,B
GB65,SSM,50,12/06/2014,F,-3.85,-14.68,D
GB66,DSM,150,12/06/2014,F,-2.28,-1.1,A
GB67,DSM,150,12/06/2014,F,-2.38,-1.74,D
GB68,RW,,12/06/2014,F,-2.21,-1.55,
GB69,GW,,17/06/2014,G,-5.04,-23.19,2
GB70,CW,,17/06/2014,G,-4.51,-19.04,25cm
GB71,RW,,17/06/2014,G,-2.4,-5.34,
GB72,SSM,50,18/06/2014,G,-1.66,-2.35,A
GB73,DSM,150,18/06/2014,G,-3.02,-7.02,A
GB74,DSM,150,18/06/2014,G,-2.28,-1.5,B
GB75,DSM,150,18/06/2014,G,-3.26,-9.41,D
GB76,SSM,50,18/06/2014,G,NA,NA,SE
GB78,DSM,150,18/06/2014,G,NA,NA,SE
GB79,DSM,150,18/06/2014,G,NA,NA,NE
GB80,CW,,18/06/2014,G,-4.53,-19.89,22cm
GB81,GW,,18/06/2014,G,-4.97,-23.62,2
GB82,RW,,24/06/2014,H,NA,NA,
GB83,GW,,24/06/2014,H,-5.73,NA,2
GB84,CW,,24/06/2014,H,-5.16,NA,11cm
GB85,DSM,150,25/06/2014,H,-2.94,-6.62,A
GB86,DSM,150,25/06/2014,H,-2.17,-1.02,B
GB87,RW,,17/04/2014,C,-8.57,-58.92,
GB88,GW,,17/04/2014,C,-4.57,-24.53,
