Vegetation type,Species,MAT,MAP,AI,Seed source site name,Seed source information,P12 (-MPa),P50 (-MPa),P88 (-MPa),Pgs50 (-MPa),Pgs90 (-MPa),Cbranch (RWC MPa-1),TLP (-MPa),Ks (kg m-1 s-1 MPa-1),Amax (umol m-2 s-1),gsmax (mol m-2 s-1),WD (g cm-3),SLA (m2 kg),VIGR (cm3 day-1)
Rainforest,Acmena smithii,14.9,837.4,0.9,Brogers Creek,"AUSTRALIA, NSW, Brogers Creek, Kangaroo Valley (34.73S, 150.42E)","3.61 [3.35, 4.15]","4.33 [4.15, 4.57]","4.88 [4.61, 5.21]","1.85 [1.65, 2.02]","3.12 [2.23, ]",0.08 ± 0.01e,1.84 ± 0.04b,0.73 ± 0.08g,8.4 ± 0.71e,0.12 ± 0.01c,0.54 ± 0.02c,9.27 ± 0.48c,0.08 ± 0.01f
Wet sclerophyll forest,Eucalyptus grandis,18.6,1124.5,0.9,Edge of Myall River,"AUSTRALIA, NSW, North Coast, Edge of Myall River, Bulahdelah (south side of river, west side of Pacific Highway (32.24S, 152.12E)","1.57 [1, 2.81]","2.85 [2.36, 3.34]","4.24 [3.02, 5.22]","1.66 [1.44, 2.12]","2.27 [1.95, ]",0.34 ± 0.03a,1.54 ± 0.03bc,2.31 ± 0.11a,16.68 ± 1.27d,0.22 ± 0.02bc,0.35 ± 0.01f,18.34 ± 1.44b,0.55 ± 0.03a
Wet sclerophyll forest,Eucalyptus viminalis,10,751.5,1.1,Belgenny Reserve,"AUSTRALIA, NSW, Central Coast, Belgenny Reserve, Belgenny Reserve, Camden. Near bicycle track (34.41S, 150.42E)","1.89 [0.67, 2.46]","3.15 [2.7, 4.32]","4.43 [3.77, ]","1.79 [1.49, 3.79]","2.37 [1.87, ]",0.23 ± 0.02b,1.51 ± 0.09bc,2.17 ± 0.13ab,15.86 ± 0.82de,0.26 ± 0.04bc,0.36 ± 0.01f,25.87 ± 3.16a,0.51 ± 0.03a
Dry sclerophyll forest,Angophora costata,17.2,877.8,0.8,"16 Park Road, Woodford","AUSTRALIA, NSW, Central Coast, Rear of property number 16 Park Road, Woodford (33.45S, 150.29E)","1.69 [0.97, 2.83]","3.59 [2.91, 4.28]","5.9 [4.86, 7.98]","1.28 [1.1, 1.47]","2.09 [1.65, ]",0.19 ± 0.03bcde,1.46 ± 0.04c,1.19 ± 0.16efg,16.26 ± 1.16de,0.21 ± 0.02bc,0.42 ± 0.01ef,7.56 ± 0.43c,0.31 ± 0.03bc
Dry sclerophyll forest,Corymbia gummifera,16.8,880.3,0.8,Fortis Creek National Park,"AUSTRALIA, NSW, North Coast, Fortis Creek National Park, 1.2 km north of Chapman's Creek crossing on Grafton to Coaldale road (29.28S, 152.52E)","1.47 [0.8, 2.67]","2.81 [2.15, 3.34]","4.29 [3.32, 5.35]","1.56 [1.4, 1.72]","2.66 [2.17, ]",0.12 ± 0.01cde,1.87 ± 0.07b,1.75 ± 0.11abcde,14.57 ± 0.75de,0.21 ± 0.03bc,0.45 ± 0.02de,10.98 ± 0.79c,0.19 ± 0.02de
Dry sclerophyll forest,Eucalyptus sideroxylon,16.4,478.1,0.4,Rylstone,"AUSTRALIA, NSW, Central Tablelands, 23.3 km from Rylstone towards Glen Davis at entrance to property no. 2334 (32.57S, 150.55E)","2.81 [1.8, 4.16]","4.12 [3.5, 4.66]","5.3 [4.6, 6.63]","1.34 [0.97, 1.69]","2.72 [1.76, ]",0.17 ± 0.02bcde,1.52 ± 0.09bc,1.62 ± 0.11bcde,23.89 ± 1.95bc,0.31 ± 0.06bc,0.51 ± 0.01cd,11.14 ± 1.35c,0.25 ± 0.03cd
Grass woodland,Eucalyptus blakelyi,15.1,550.2,0.5,Glen Davis Road,"AUSTRALIA, NSW, Central Tablelands, 13.5 km E along Glen Davis road from Capertee (33.81S, 150.45E)","2.84 [2.17, 3.92]","4.51 [4.11, 5.01]","6.12 [5.49, 8.1]","2.14 [1.83, 2.7]","3.11 [2.39, ]",0.21 ± 0.02bc,1.67 ± 0.05bc,1.86 ± 0.15abcd,19.41 ± 1.19cd,0.58 ± 0.07bc,0.45 ± 0.02de,18.14 ± 1.89b,0.37 ± 0.03b
Grass woodland,Eucalyptus macrorhyncha,13.8,546.5,0.7,Talmalmo,"AUSTRALIA, NSW, South Western Slopes, 3.8 km E of Talmalmo on road towards Jingellic (35.37S, 147.32E)","2.2 [1.31, 3.29]","4.01 [3.32, 4.59]","5.95 [4.84, 7.37]","2.02 [1.78, 2.78]","2.79 [2.36, ]",0.24 ± 0.03b,1.5 ± 0.06bc,1.95 ± 0.2abc,16.15 ± 0.57de,0.36 ± 0.06abc,0.42 ± 0.02ef,12.83 ± 1.69bc,0.27 ± 0.03bcd
Grass woodland,Eucalyptus melliodora,14.7,526.1,0.5,Capertee,"AUSTRALIA, NSW, Central Coast, 800 m towards Glen Alice from intersection of Capertee to Glen Davis road (33.54S, 150.13E) ","3.28 [2.22, 4.69]","5.02 [4.23, 5.52]","6.65 [5.49, 7.58]","2.05 [1.16, 3.02]","3.26 [2.31, ]",0.19 ± 0.01bcd,1.52 ± 0.03bc,1.85 ± 0.08abcd,13.39 ± 0.94de,0.3 ± 0.03bc,0.54 ± 0.02c,12.59 ± 1.04bc,0.25 ± 0.02cd
Semi-arid woodland,Acacia aneura,20.5,188.2,0.1,Gundabooka National Park,"AUSTRALIA, NSW, North Western Plains, Gundabooka National Park, Near Belah Homestead (30.34S, 145.35E)","4.89 [3.74, 7.55]","8.24 [7.25, 9.29]","11.63 [8.15, 13.27]","2.25 [1.91, 2.67]","4.78 [3.16, ]",0.1 ± 0de,1.68 ± 0.14bc,0.93 ± 0.1fg,32.22 ± 1.24a,0.64 ± 0.06a,0.56 ± 0.01bc,8.1 ± 0.69c,0.11 ± 0.01ef
Semi-arid woodland,Eucalyptus largiflorens,17.4,250.2,0.2,Walgett,"AUSTRALIA, NSW, North Western Plains, 10.9 km W of Walgett on Kamilaroi Highway (30.01S, 148.12E)","4.73 [3.85, 5.87]","7.4 [6.89, 8.3]","9.95 [7.95, 12.95]","2.59 [2.15, 4.7]","4.26 [3.12, ]",0.08 ± 0e,2.26 ± 0.03a,1.33 ± 0.14cdef,27.2 ± 3.09ab,0.58 ± 0.07a,0.65 ± 0.01a,9.88 ± 0.42c,0.1 ± 0.01ef
Semi-arid woodland,Eucalyptus populnea,18.8,370.6,0.3,Terry Hie Hie,"AUSTRALIA, NSW, North Western Slopes, ca. 1 km N of ""centre"" of Terry Hie Hie (29.46S, 150.86E)","3.53 [2.5, 4.72]","5.64 [4.99, 6.06]","7.7 [6.99, 9.07]","2.13 [1.8, 2.84]","3.87 [2.53, ]",0.09 ± 0e,2.34 ± 0.13a,1.26 ± 0.16defg,20.21 ± 1.61bcd,0.4 ± 0.08ab,0.63 ± 0.02ab,11.57 ± 0.86c,0.1 ± 0.02ef
