Genus_Species,family,Photosynthetic.pathway (confirmed using data from literature or TERN stable isotope analysis),Photosyntehtic.pathway (inferred from lineage),Photosynthetic pathway (combined),Source,Justification for inference based on lineage,Notes 
Abutilon_fraseri,Malvaceae,C3,,C3,TRY,,
Abutilon_halophilum,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Abutilon_hannii,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Abutilon_leucopetalum,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Abutilon_otocarpum,Malvaceae,C3,,C3,TRY,,
Abutilon_oxycarpum,Malvaceae,C3,,C3,TRY,,Also found in Pate et al 1998
Acacia_acuminata,Fabaceae,C3,,C3,TRY,,Also found in Pate et al 1998
Acacia_adoxa,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_alleniana,Fabaceae,C3,,C3,TRY,,
Acacia_ampliceps,Fabaceae,C3,,C3,TRY,,
Acacia_anceps,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_ancistrocarpa,Fabaceae,C3,,C3,TRY,,
Acacia_aneura,Fabaceae,C3,,C3,TRY,,Also found in Pate et al 1998
Acacia_aptaneura,Fabaceae,C3,,C3,TERN SIA,,
Acacia_araneosa,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_asperulacea,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_assimilis,Fabaceae,C3,,C3,TRY,,
Acacia_atkinsiana,Fabaceae,C3,,C3,TRY,,
Acacia_ayersiana,Fabaceae,C3,,C3,TERN SIA,,
Acacia_beauverdiana,Fabaceae,C3,,C3,TRY,,
Acacia_bivenosa,Fabaceae,C3,,C3,TRY,,
Acacia_brachystachya,Fabaceae,C3,,C3,TRY,,
Acacia_browniana,Fabaceae,C3,,C3,TRY,,
Acacia_brownii,Fabaceae,C3,,C3,TRY,,
Acacia_burkittii,Fabaceae,C3,,C3,TRY,,
Acacia_buxifolia,Fabaceae,C3,,C3,TRY,,
Acacia_caesaneura,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_calamifolia,Fabaceae,C3,,C3,TRY,,
Acacia_calligera,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_cambagei,Fabaceae,C3,,C3,TRY,,
Acacia_catenulata,Fabaceae,C3,,C3,TRY,,
Acacia_chrysocephala,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_citrinoviridis,Fabaceae,C3,,C3,TRY,,
Acacia_cochlearis,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_colei,Fabaceae,C3,,C3,TRY,,
Acacia_colletioides,Fabaceae,C3,,C3,TRY,,
Acacia_consanguinea,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_continua,Fabaceae,C3,,C3,TRY,,
Acacia_coolgardiensis,Fabaceae,C3,,C3,TRY,,
Acacia_cowleana,Fabaceae,C3,,C3,TRY,,
Acacia_cupularis,Fabaceae,C3,,C3,TERN SIA,,
Acacia_cyclops,Fabaceae,C3,,C3,TRY,,
Acacia_cylindrica,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_dawsonii,Fabaceae,C3,,C3,TRY,,
Acacia_decora,Fabaceae,C3,,C3,TRY,,
Acacia_dentifera,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_desertorum,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_dictyophleba,Fabaceae,C3,,C3,TRY,,
Acacia_difficilis,Fabaceae,C3,,C3,TRY,,
Acacia_dimidiata,Fabaceae,C3,,C3,TRY,,
Acacia_duriuscula,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_effusifolia,Fabaceae,C3,,C3,TERN SIA,,
Acacia_enervia,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_erinacea,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_estrophiolata,Fabaceae,C3,,C3,TRY,,
Acacia_euthycarpa,Fabaceae,C3,,C3,TRY,,
Acacia_excelsa,Fabaceae,C3,,C3,TRY,,
Acacia_fragilis,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_galioides,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_georginae,Fabaceae,C3,,C3,TRY,,
Acacia_gibbosa,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_gonocarpa,Fabaceae,C3,,C3,TRY,,
Acacia_gonoclada,Fabaceae,C3,,C3,TERN SIA,,
Acacia_hakeoides,Fabaceae,C3,,C3,TRY,,
Acacia_hamersleyensis,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_hammondii,Fabaceae,C3,,C3,TERN SIA,,
Acacia_harpophylla,Fabaceae,C3,,C3,TRY,,
Acacia_havilandiorum,Fabaceae,C3,,C3,TRY,,
Acacia_hemignosta,Fabaceae,C3,,C3,TRY,,
Acacia_hemiteles,Fabaceae,C3,,C3,TRY,,
Acacia_hemsleyi,Fabaceae,C3,,C3,TRY,,
Acacia_heteroneura,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_hilliana,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,,
Acacia_holosericea,Fabaceae,C3,,C3,TRY,,
Acacia_hopperiana,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_inaequilatera,Fabaceae,C3,,C3,TRY,,
Acacia_inaequiloba,Fabaceae,C3,,C3,TERN SIA,,
Acacia_incurvaneura,Fabaceae,C3,,C3,TERN SIA,,
Acacia_iteaphylla,Fabaceae,C3,,C3,TRY,,
Acacia_jamesiana,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_jennerae,Fabaceae,C3,,C3,TRY,,
Acacia_julifera,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_kempeana,Fabaceae,C3,,C3,TRY,,
Acacia_lamprocarpa,Fabaceae,C3,,C3,TRY,,
Acacia_lasiocalyx,Fabaceae,C3,,C3,TRY,,
Acacia_lasiocarpa,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_leucolobia,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_ligulata,Fabaceae,C3,,C3,TRY,,
Acacia_limbata,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_lineata,Fabaceae,C3,,C3,TRY,,
Acacia_linifolia,Fabaceae,C3,,C3,TRY,,
Acacia_loderi,Fabaceae,C3,,C3,TRY,,
Acacia_longispinea,Fabaceae,C3,,C3,TRY,,
Acacia_lycopodiifolia,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_lysiphloia,Fabaceae,C3,,C3,TRY,,
Acacia_macraneura,Fabaceae,C3,,C3,TERN SIA,,
Acacia_maitlandii,Fabaceae,C3,,C3,TRY,,
Acacia_marramamba,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_melleodora,Fabaceae,C3,,C3,TRY,,
Acacia_merrallii,Fabaceae,C3,,C3,TRY,,
Acacia_mimica,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_mimula,Fabaceae,C3,,C3,TRY,,
Acacia_monticola,Fabaceae,C3,,C3,TRY,,
Acacia_murrayana,Fabaceae,C3,,C3,TRY,,
Acacia_myrtifolia,Fabaceae,C3,,C3,TRY,,
Acacia_neurocarpa,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_neurophylla,Fabaceae,C3,,C3,TRY,,
Acacia_nyssophylla,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_obtusifolia,Fabaceae,C3,,C3,TRY,,
Acacia_oldfieldii,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_oncinocarpa,Fabaceae,C3,,C3,TRY,,
Acacia_orthotricha,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_oswaldii,Fabaceae,C3,,C3,TRY,,
Acacia_pachyacra,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_papyrocarpa,Fabaceae,C3,,C3,TRY,,
Acacia_paradoxa,Fabaceae,C3,,C3,TRY,,
Acacia_paraneura,Fabaceae,C3,,C3,TERN SIA,,
Acacia_phlebocarpa,Fabaceae,C3,,C3,TERN SIA,,
Acacia_platycarpa,Fabaceae,C3,,C3,TRY,,
Acacia_plautella,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_plectocarpa,Fabaceae,C3,,C3,TRY,,
Acacia_prainii,Fabaceae,C3,,C3,TRY,,
Acacia_pruinocarpa,Fabaceae,C3,,C3,TRY,,
Acacia_pteraneura,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,,
Acacia_pulchella,Fabaceae,C3,,C3,TRY,,
Acacia_pycnantha,Fabaceae,C3,,C3,TRY,,
Acacia_pyrifolia,Fabaceae,C3,,C3,TRY,,
Acacia_ramulosa,Fabaceae,C3,,C3,TRY,,
Acacia_resinimarginea,Fabaceae,C3,,C3,TRY,,
Acacia_rhodophloia,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_rivalis,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_rothii,Fabaceae,C3,,C3,TRY,,
Acacia_sclerosperma,Fabaceae,C3,,C3,TRY,,
Acacia_sericophylla,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_sessilis,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_shirleyi,Fabaceae,C3,,C3,TRY,,
Acacia_sibina,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_sibirica,Fabaceae,C3,,C3,TERN SIA,,
Acacia_stellaticeps,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_stenophylla,Fabaceae,C3,,C3,TRY,,
Acacia_stenoptera,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_stereophylla,Fabaceae,C3,,C3,TRY,,
Acacia_stipuligera,Fabaceae,C3,,C3,TRY,,
Acacia_stowardii,Fabaceae,C3,,C3,TRY,,
Acacia_suaveolens,Fabaceae,C3,,C3,TRY,,
Acacia_subcontorta,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_subternata,Fabaceae,C3,,C3,TERN SIA,,
Acacia_synchronicia,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_tenuissima,Fabaceae,C3,,C3,TRY,,
Acacia_tephrina,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_terminalis,Fabaceae,C3,,C3,TRY,,
Acacia_tetragonophylla,Fabaceae,C3,,C3,TRY;Pate et al 1998,,
Acacia_thomsonii,Fabaceae,C3,,C3,TERN SIA,,
Acacia_torulosa,Fabaceae,C3,,C3,TRY,,
Acacia_trachycarpa,Fabaceae,C3,,C3,TRY,,
Acacia_translucens,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_tumida,Fabaceae,C3,,C3,TRY,,
Acacia_ulicifolia,Fabaceae,C3,,C3,TRY,,
Acacia_uncinella,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acacia_victoriae,Fabaceae,C3,,C3,TRY,,
Acacia_wanyu,Fabaceae,C3,,C3,TERN SIA,,
Acacia_wattsiana,Fabaceae,C3,,C3,TRY,,
Acacia_xiphophylla,Fabaceae,C3,,C3,TRY,,
Acacia_yorkrakinensis,Fabaceae,C3,,C3,TRY,,
Acaena_echinata,Rosaceae,C3,,C3,TRY,,
Acaena_novae-zelandiae,Rosaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Acetosa_vesicaria,Polygonaceae,C3,,C3,TERN SIA,,
Acetosella_vulgaris,Polygonaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Non C4 anatomy recorded in Rumex sp,"Name not current, more recently known as Rumex acetosella"
Achyranthes_aspera,Amaranthaceae,C3,,C3,TRY,,
Acrothamnus_hookeri,Eriaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Acrotriche_affinis,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are  C3,
Acrotriche_depressa,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acrotriche_fasciculiflora,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Acrotriche_serrulata,Ericaceae,C3,,C3,TRY,,
