taxon_name,entity_type,entity_context,location_name,trait,trait_value_raw,trait_value,trait_value_clean,value_type,unit,error_type,error_value,n,context,source_section,notes
Richea acerosa,species,,,pollen_aggregation_type,T,,tetrad,mode,,,,,,"Table 1, p.60","Candidate trait, not in config/traits.yml (checked 2026-09). T = tetrad, M = monad, as coded in the source."
Richea milliganii,species,,,pollen_aggregation_type,M,,monad,mode,,,,,,"Table 1, p.60","Candidate trait, not in config/traits.yml (checked 2026-09). T = tetrad, M = monad, as coded in the source."
Richea sprengelioides,species,,,pollen_aggregation_type,M,,monad,mode,,,,,,"Table 1, p.60","Candidate trait, not in config/traits.yml (checked 2026-09). T = tetrad, M = monad, as coded in the source."
Richea procera,species,,,pollen_aggregation_type,M,,monad,mode,,,,,,"Table 1, p.60","Candidate trait, not in config/traits.yml (checked 2026-09). T = tetrad, M = monad, as coded in the source."
Richea scoparia,species,,,pollen_aggregation_type,T,,tetrad,mode,,,,,,"Table 1, p.60","Candidate trait, not in config/traits.yml (checked 2026-09). T = tetrad, M = monad, as coded in the source."
Richea pandanifolia,species,,,pollen_aggregation_type,T,,tetrad,mode,,,,,,"Table 1, p.60","Candidate trait, not in config/traits.yml (checked 2026-09). T = tetrad, M = monad, as coded in the source."
Richea continentis,species,,,pollen_aggregation_type,T,,tetrad,mode,,,,,,"Table 1, p.60","Candidate trait, not in config/traits.yml (checked 2026-09). T = tetrad, M = monad, as coded in the source."
Richea victoriana,species,,,pollen_aggregation_type,T,,tetrad,mode,,,,,,"Table 1, p.60","Candidate trait, not in config/traits.yml (checked 2026-09). T = tetrad, M = monad, as coded in the source."
Erica coarctata,species,,,pollen_aggregation_type,T,,tetrad,mode,,,,,,"Table 1, p.60","Candidate trait, not in config/traits.yml (checked 2026-09). T = tetrad, M = monad, as coded in the source."
Erica labialis,species,,,pollen_aggregation_type,M,,monad,mode,,,,,,"Table 1, p.60","Candidate trait, not in config/traits.yml (checked 2026-09). T = tetrad, M = monad, as coded in the source."
Richea acerosa,species,,,pollen_tackiness,sticky,,sticky,mode,,,,,,"Table 1, p.60","Candidate trait, not in config/traits.yml (checked 2026-09)."
Richea milliganii,species,,,pollen_tackiness,dry,,dry,mode,,,,,,"Table 1, p.60","Candidate trait, not in config/traits.yml (checked 2026-09)."
Richea sprengelioides,species,,,pollen_tackiness,dry,,dry,mode,,,,,,"Table 1, p.60","Candidate trait, not in config/traits.yml (checked 2026-09)."
Richea procera,species,,,pollen_tackiness,dry,,dry,mode,,,,,,"Table 1, p.60","Candidate trait, not in config/traits.yml (checked 2026-09)."
Richea scoparia,species,,,pollen_tackiness,sticky,,sticky,mode,,,,,,"Table 1, p.60","Candidate trait, not in config/traits.yml (checked 2026-09)."
Richea pandanifolia,species,,,pollen_tackiness,sticky,,sticky,mode,,,,,,"Table 1, p.60","Candidate trait, not in config/traits.yml (checked 2026-09)."
Richea continentis,species,,,pollen_tackiness,sticky,,sticky,mode,,,,,,"Table 1, p.60","Candidate trait, not in config/traits.yml (checked 2026-09)."
Richea victoriana,species,,,pollen_tackiness,dry,,dry,mode,,,,,,"Table 1, p.60","Candidate trait, not in config/traits.yml (checked 2026-09)."
