trait_name,find,replace
flower_colour,"pink, purple",pink blue_purple
flower_colour,purple,blue_purple
flower_colour,"purple, blue",blue_purple
flower_colour,red,red_brown
flower_colour,white,white_cream
flower_colour,"white, green",white_cream green
flower_colour,"white, grey, brown",white_cream red_brown
flower_colour,"white, pink",white_cream pink
flower_colour,"white, yellow",yellow_orange white_cream
flower_colour,yellow,yellow_orange
flower_colour,"yellow, red",yellow_orange red_brown
flower_diameter,n/a,NA
flower_length,n/a,NA
flower_perianth_symmetry,actinomorphic,actinomorphic_general
inflorescence_length,3 cm,3
inflorescence_length,n/a single flowered inflorescences,0
plant_growth_form,"herb, shrub (woody plant branching from the base)",herb shrub
plant_growth_form,shrub (woody plant branching from the base),shrub
plant_growth_form,"tree or tree-like (with a clear, main trunk)",tree
plant_height,2.2 metres,2.2
plant_height_reproductive,0.09-0.46,0.46
plant_height_reproductive,0.65 metres,0.65
