Current Scientific Name,Species Code,Legal Status,Exotic,2010 Update,Notes on Name / Synonym as used in source reference,Family,Group,Life form,Fireresponse,Comments on regeneration,Resprout location,Seed storage,Seed dispersal mechanism,Seed dispersal distance,Seed weight / size,Seed viability,Dormancy,Germination cue,Fecundity,Seed predation,Post-fire recruitment,Establishment,Post-fire flowering,Flowering time,flowering_time_edited,fruiting_time_edited,Primary juvenile period,Secondary juvenile period,Seed set,Seed-bank developed,Fire tolerance,Life span,Seed-bank longevity,"""Maturity"" (from source)","""Extinction"" (from source)","""Rec. min fire interval"" (from source)","""Rec. max fire interval"" (from source)",NC,CC,SC,NT,CT,ST,NWS,CWS,SWS,NWP,SWP,NFWP,SFWP,Distribution: extra NSW,Vegetation,Rainforest,Wet Sclerophyll Forest (Shrubby),Wet Sclerophyll Forest (Grassy),Grassy Woodland,Grassland,Dry Sclerophyll Forest (Shrub/Grass),Dry Sclerophyll Forest (Shrubby),Heathland,Alpine Complex,Freshwater Wetland,Forested Wetlands,Saline Wetland,Semi-arid Woodland,Arid & Semi-arid Shrubland,NFRR data,Additional fire response data,Other data,VA group,Sensitivity: frequent,Sensitivity: infrequent,Minimum maturity,Maximum maturity,Lifespan > than,Lifespan < than,Lifespan + seed-bank,VA Data,Establishment Data,Maturity Data,Lifespan Data,Lifespan 2 Data,Seedbank Data,time_to_flowering_min,time_to_flowering_max,time_to_flowering_mean,peak_flowering_min,peak_flowering_max,peak_flowering_mean,time_to_fruiting_min,time_to_fruiting_max,time_to_fruiting_mean
Abutilon otocarpum,7184,NA,NA,NA,NA,Malvaceae,D,S,S,NA,NA,NA,NA,NA,202 sd/g,NA,hard seed coat,a-heat,NA,NA,NA,NA,NA,most of year,all year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,1,1,1,1,Q V SA WA NT,various,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8CN,NA,93b,SI,2,1,NA,NA,NA,NA,NA,2,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon oxycarpum,3632,NA,NA,NA,NA,Malvaceae,D,S,S,NA,NA,persistent soil,NA,NA,NA,NA,hard seed coat,a-heat,NA,NA,yes,I,NA,summer-autumn,Dec-May,NA,NA,NA,NA,NA,NA,10-Apr,NA,NA,NA,NA,NA,1,1,1,1,-,-,1,1,-,1,1,-,-,Q SA WA NT,RF (dry) F,1,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,1,NA,8BD,II-95b,1; 95b,SI,2,1,NA,NA,4,10,40,1,1,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia acanthoclada,3698,E1,NA,NA,NA,Fabaceae: Mimosoideae,D,S,S,NA,NA,a-persistent soil,NA,NA,NA,NA,hard seed coat,a-heat,NA,NA,NA,NA,NA,Aug-Oct,Aug-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,1,V SA WA,Mallee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8C,NA,NA,SI,2,1,NA,NA,NA,NA,NA,2,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia acinacea,3699,NA,NA,NA,NA,Fabaceae: Mimosoideae,D,S,S,NA,NA,persistent soil,NA,NA,NA,average-very good,hard seed coat,heat,NA,NA,NA,I,NA,Aug-Oct,Aug-Oct,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,1,1,-,1,1,-,1,-,-,V SA,OW,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,8W 8WA,II-38d,38; 48; 93a,SI,2,1,3,NA,NA,NA,NA,1,1,1,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia aculeatissima,3700,NA,NA,NA,NA,Fabaceae: Mimosoideae,D,S,S,NA,NA,a-persistent soil,NA,NA,NA,good,hard seed coat,heat,NA,NA,NA,NA,NA,Aug-Nov,Aug-Nov,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,1,-,-,-,-,-,-,-,-,-,-,V,W,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,IId-38d; III-67,38; 93a,SI,2,1,4,NA,NA,NA,NA,2,2,1,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia adunca,3701,NA,NA,n,NA,Fabaceae: Mimosoideae,D,S,S,NA,NA,soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June-October,Jun-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-,-,1,-,-,1,-,-,-,-,-,-,NA,DSF W SH,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,II,NA,SI,2,1,NA,NA,NA,NA,NA,1,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia alpina,3702,NA,NA,n,NA,Fabaceae: Mimosoideae,D,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oct-Nov,Oct-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,1,-,-,-,-,-,-,-,V,H W,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,SI,2,1,NA,NA,NA,NA,NA,1,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia aneura,3705,NA,NA,NA,NA,Fabaceae: Mimosoideae,D,T or S,Sr,"Mortality 46-100%, mean 81%, some basal recovery (HG), Mainly killed, resprouting in about half population at some sites (FO1)",NA,a-persistent soil,NA,NA,NA,62-100 %,hard seed coat,heat,NA,NA,prolific (FO1) / moderate (HG),I,NA,Mar-May,Mar-May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,1,-,1,1,1,1,Q SA WA NT,Mulga-OW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8HG 8FO 8FO(1) 9FO(1) 8PL,NA,"93a,b; HG; FO(1)",SI,2,1,NA,NA,NA,NA,NA,2,1,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia aulacocarpa,7581,NA,NA,NA,NA,Fabaceae: Mimosoideae,D,T or S,R,NA,NA,a-persistent soil,NA,NA,NA,NA,hard seed coat,heat,NA,NA,yes,I,NA,Jan-Apr,Jan-Apr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-,-,-,-,-,-,-,-,-,-,-,-,Q NT WA,WSF RF,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9B 9HO 9RS,NA,92; 93b,VSI,2,1,NA,NA,NA,NA,NA,1,1,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia ausfeldii,3708,V,NA,NA,NA,Fabaceae: Mimosoideae,D,S,S,NA,NA,a-persistent soil,NA,NA,NA,NA,hard seed coat,a-heat,NA,NA,NA,NA,NA,Aug-Oct,Aug-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,1,-,-,-,-,-,V,W,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,8CE,NA,NA,SI,2,1,NA,NA,NA,NA,NA,2,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
