taxon_name,trait,trait_value_raw,trait_value,trait_value_clean,value_type,unit,source_section,notes,basis_of_record
Richea acerosa,flower_nectar_production,+,nectar_produced,nectar_produced,mode,,"Table 1, p.60","'+'/'-' as coded in source Table 1 (Nectary column).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea milliganii,flower_nectar_production,+,nectar_produced,nectar_produced,mode,,"Table 1, p.60","'+'/'-' as coded in source Table 1 (Nectary column).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea sprengelioides,flower_nectar_production,-,nectar_absent,nectar_absent,mode,,"Table 1, p.60","'+'/'-' as coded in source Table 1 (Nectary column).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_release_mechanism, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea procera,flower_nectar_production,-,nectar_absent,nectar_absent,mode,,"Table 1, p.60","'+'/'-' as coded in source Table 1 (Nectary column).; additional trait data not mapped in, corolla_dehiscence_type, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea scoparia,flower_nectar_production,+,nectar_produced,nectar_produced,mode,,"Table 1, p.60","'+'/'-' as coded in source Table 1 (Nectary column).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea pandanifolia,flower_nectar_production,+,nectar_produced,nectar_produced,mode,,"Table 1, p.60","'+'/'-' as coded in source Table 1 (Nectary column).; additional trait data not mapped in, corolla_dehiscence_type, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea continentis,flower_nectar_production,+,nectar_produced,nectar_produced,mode,,"Table 1, p.60","'+'/'-' as coded in source Table 1 (Nectary column).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea victoriana,flower_nectar_production,-,nectar_absent,nectar_absent,mode,,"Table 1, p.60","'+'/'-' as coded in source Table 1 (Nectary column).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Erica coarctata,flower_nectar_production,-,nectar_absent,nectar_absent,mode,,"Table 1, p.60","'+'/'-' as coded in source Table 1 (Nectary column).; additional trait data not mapped in, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Erica labialis,flower_nectar_production,+,nectar_produced,nectar_produced,mode,,"Table 1, p.60","'+'/'-' as coded in source Table 1 (Nectary column).; additional trait data not mapped in, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea acerosa,flower_nectar_sugar_concentration,13,,13,raw,%,"Table 1, p.60","additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea scoparia,flower_nectar_sugar_concentration,~23,,23,raw,%,"Table 1, p.60","Approximate value ('~') as given in source.; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea continentis,flower_nectar_sugar_concentration,10,,10,raw,%,"Table 1, p.60","additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea acerosa,flower_filament_length,4-6,,4,minimum,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Richea acerosa,flower_filament_length,4-6,,6,maximum,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Richea milliganii,flower_filament_length,20-25,,20,minimum,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Richea milliganii,flower_filament_length,20-25,,25,maximum,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Richea sprengelioides,flower_filament_length,8-10,,8,minimum,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_release_mechanism, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Richea sprengelioides,flower_filament_length,8-10,,10,maximum,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_release_mechanism, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Richea procera,flower_filament_length,5-6,,5,minimum,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Richea procera,flower_filament_length,5-6,,6,maximum,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Richea scoparia,flower_filament_length,3.5-5,,3.5,minimum,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Richea scoparia,flower_filament_length,3.5-5,,5,maximum,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Richea pandanifolia,flower_filament_length,~2.5,,2.5,raw,mm,"Table 1, p.60","Approximate value ('~') as given in source. Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Richea continentis,flower_filament_length,2-3,,2,minimum,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Richea continentis,flower_filament_length,2-3,,3,maximum,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Richea victoriana,flower_filament_length,2-3.5,,2,minimum,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
