taxon_name,vegetation stratum,fire_regeneration_mode,post_fire_recruitment,population_response_to_fire,therophytes,reproductive_maturity,reproductive_maturity_secondary_after_fire,time_from_fire_to_flowering,dispersers,notes
Acacia genistifolia,tall shrub stratum,obligate seed regenerator,post_fire_recruitment,fire-sensitive decreaser,,,,3,,
Dillwynia retorta,tall shrub stratum,obligate seed regenerator,post_fire_recruitment,fire-sensitive decreaser,,,,3,,
Cassytha pubescens,small shrub and herb stratum,obligate seed regenerator,post_fire_recruitment,fire-sensitive decreaser,,,,,birds,
Pimelea linifolia,small shrub and herb stratum,obligate seed regenerator,post_fire_recruitment,fire-sensitive decreaser,,,,2,,
Cerastium semidecandrum,small shrub and herb stratum,obligate seed regenerator,post_fire_recruitment,,therophyte,,,1,,
Cirsium vulgare,small shrub and herb stratum,obligate seed regenerator,post_fire_recruitment,,therophyte,,,1,wind,
Conyza floribunda,small shrub and herb stratum,obligate seed regenerator,post_fire_recruitment,,therophyte,,,1,wind,
Crassula sieberana,small shrub and herb stratum,obligate seed regenerator,post_fire_recruitment,,therophyte,,,1,,
Daucus glochidiatus,small shrub and herb stratum,obligate seed regenerator,post_fire_recruitment,,therophyte,,,1,,
Gnaphalium involucratum,small shrub and herb stratum,obligate seed regenerator,post_fire_recruitment,,therophyte,,,1,wind,
Hypochoeris glabra,small shrub and herb stratum,obligate seed regenerator,post_fire_recruitment,,therophyte,,,1,wind,
Lactuca serriola,small shrub and herb stratum,obligate seed regenerator,post_fire_recruitment,,therophyte,,,1,wind,
Linaria pelisserana,small shrub and herb stratum,obligate seed regenerator,post_fire_recruitment,,therophyte,,,1,,
Parentucellia latifolia,small shrub and herb stratum,obligate seed regenerator,post_fire_recruitment,,therophyte,,,1,,
Poranthera microphylla,small shrub and herb stratum,obligate seed regenerator,post_fire_recruitment,,therophyte,,,1,,
Senecio quadridentatus,small shrub and herb stratum,obligate seed regenerator,post_fire_recruitment,,therophyte,,,1,wind,
Solanum nigrum,small shrub and herb stratum,obligate seed regenerator,post_fire_recruitment,,therophyte,,,1,birds,
