taxon_name,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type,partially_woody
Caesia alpina,herb,tufted,NA,perennial,NA,NA,NA,NA
Caesia calliantha,herb,tufted,NA,perennial,NA,NA,NA,NA
Caesia parviflora,herb,tufted,NA,perennial,NA,NA,NA,NA
Caesia parviflora var. minor,NA,NA,NA,NA,NA,NA,NA,NA
Caesia parviflora var. parviflora,NA,NA,NA,NA,NA,NA,NA,NA
Caesia parviflora var. vittata,NA,NA,NA,NA,NA,NA,NA,NA
Corynotheca,herb,tufted,NA,perennial,rhizome,NA,NA,NA
Corynotheca licrota,herb,tufted,NA,perennial,rhizome,NA,NA,NA
Dianella,herb,NA,NA,perennial,rhizome,NA,NA,NA
Dianella admixta,NA,NA,NA,NA,NA,NA,NA,NA
Dianella brevicaulis,herb,tufted,NA,perennial,NA,NA,NA,NA
Dianella brevipedunculata,NA,tufted,NA,NA,NA,NA,NA,NA
Dianella caerulea,herb,tufted mat_forming,NA,perennial,NA,NA,NA,NA
Dianella caerulea var. assera,NA,tufted,NA,NA,NA,NA,NA,NA
Dianella caerulea var. caerulea,NA,tufted,NA,NA,NA,NA,NA,NA
Dianella caerulea var. cinerascens,NA,NA,NA,NA,NA,NA,NA,NA
Dianella caerulea var. petasmatodes,NA,NA,NA,NA,NA,NA,NA,NA
Dianella caerulea var. producta,NA,NA,NA,NA,NA,NA,NA,NA
Dianella caerulea var. protensa,NA,NA,NA,NA,NA,NA,NA,NA
Dianella caerulea var. vannata,NA,NA,NA,NA,NA,NA,NA,NA
Dianella congesta,herb,mat_forming,NA,perennial,NA,NA,NA,NA
Dianella crinoides,herb,tufted,NA,perennial,NA,NA,NA,NA
Dianella intermedia,herb,tufted,NA,perennial,rhizome,NA,NA,NA
Dianella longifolia,herb,tufted,NA,perennial,NA,NA,NA,NA
Dianella longifolia var. longifolia,NA,NA,NA,NA,NA,NA,NA,NA
Dianella longifolia var. stenophylla,NA,NA,NA,NA,NA,NA,NA,NA
Dianella nervosa,herb,tufted,NA,perennial,NA,NA,NA,NA
Dianella porracea,herb,NA,NA,perennial,NA,NA,NA,NA
Dianella prunina,herb,tufted,NA,perennial,NA,NA,NA,NA
Dianella rara,NA,NA,NA,NA,NA,NA,NA,NA
Dianella revoluta,herb,tufted mat_forming,NA,perennial,NA,NA,NA,NA
Dianella revoluta var. revoluta,NA,NA,NA,NA,NA,NA,NA,NA
Dianella revoluta var. vinosa,NA,NA,NA,NA,NA,NA,NA,NA
Dianella sp. Barrington Tops (J.R.Hosking 2859),NA,NA,NA,NA,NA,NA,NA,NA
Dianella sp. Euston (W.E.Mulham 831),NA,NA,NA,NA,NA,NA,NA,NA
Dianella sp. Mt Kosciuszko (J.H.Maiden s.n. NSW149268),NA,NA,NA,NA,NA,NA,NA,NA
Dianella sp. Reservoir Hill (G.M.Cunningham 325),NA,NA,NA,NA,NA,NA,NA,NA
Dianella tarda,herb,tufted,NA,perennial,NA,NA,NA,NA
Dianella tasmanica,herb,tufted,NA,perennial,NA,NA,NA,NA
Dianella tenuissima,herb,tufted,NA,NA,NA,NA,NA,NA
Geitonoplesium,climber_vine,NA,NA,NA,NA,NA,NA,NA
Geitonoplesium cymosum,climber_vine,NA,NA,NA,NA,NA,NA,NA
Hemerocallis,herb,NA,NA,perennial,rhizome,NA,NA,NA
Hemerocallis fulva,NA,NA,NA,NA,NA,NA,NA,NA
Hemerocallis fulva var. fulva,NA,NA,NA,NA,NA,NA,NA,NA
Herpolirion,herb,mat_forming,NA,perennial,NA,NA,NA,NA
Herpolirion novae-zelandiae,herb,mat_forming,NA,NA,NA,NA,NA,NA
Kniphofia,herb,NA,NA,perennial,rhizome,NA,NA,NA
Kniphofia uvaria,herb,erect,NA,NA,NA,NA,NA,NA
Phormium,herb,tufted,NA,perennial,rhizome,NA,NA,NA
Phormium tenax,NA,rosette,NA,perennial,NA,NA,NA,NA
Stypandra,NA,tufted,NA,perennial,rhizome,NA,NA,NA
Stypandra glauca,herb,tufted,NA,perennial,NA,NA,NA,NA
Thelionema,herb,tufted,NA,perennial,NA,NA,NA,NA
Thelionema caespitosum,herb,NA,NA,perennial,NA,NA,NA,NA
Thelionema grande,herb,NA,NA,perennial,NA,NA,NA,NA
Thelionema umbellatum,herb,NA,NA,perennial,NA,NA,NA,NA
Trachyandra,herb,NA,NA,perennial,NA,NA,NA,NA
Trachyandra divaricata,herb,tufted erect,NA,NA,NA,NA,NA,NA
Tricoryne,herb,NA,NA,perennial,rhizome,NA,NA,NA
Tricoryne anceps,herb,NA,NA,NA,NA,NA,NA,NA
Tricoryne anceps subsp. pterocaulon,herb,NA,NA,NA,NA,NA,NA,NA
Tricoryne elatior,herb,NA,NA,NA,NA,NA,NA,NA
Tricoryne simplex,herb,NA,NA,NA,NA,NA,NA,NA
Xanthorrhoea,NA,NA,NA,perennial,NA,NA,NA,NA
Xanthorrhoea acaulis,NA,NA,NA,NA,NA,NA,NA,NA
Xanthorrhoea arborea,NA,NA,NA,NA,NA,NA,NA,NA
Xanthorrhoea australis,NA,NA,NA,NA,NA,NA,NA,NA
Xanthorrhoea concava,NA,NA,NA,NA,NA,NA,NA,NA
Xanthorrhoea fulva,NA,NA,NA,NA,NA,NA,NA,NA
Xanthorrhoea glauca,NA,NA,NA,NA,NA,NA,NA,NA
Xanthorrhoea glauca subsp. angustifolia,NA,NA,NA,NA,NA,NA,NA,NA
Xanthorrhoea glauca subsp. glauca,NA,NA,NA,NA,NA,NA,NA,NA
Xanthorrhoea johnsonii,NA,NA,NA,NA,NA,NA,NA,NA
Xanthorrhoea latifolia,NA,NA,NA,NA,NA,NA,NA,NA
Xanthorrhoea latifolia subsp. latifolia,NA,NA,NA,NA,NA,NA,NA,NA
Xanthorrhoea latifolia subsp. maxima,NA,NA,NA,NA,NA,NA,NA,NA
Xanthorrhoea macronema,NA,NA,NA,NA,NA,NA,NA,NA
Xanthorrhoea malacophylla,NA,NA,NA,NA,NA,NA,NA,NA
Xanthorrhoea media,NA,NA,NA,NA,NA,NA,NA,NA
Xanthorrhoea minor,NA,NA,NA,NA,NA,NA,NA,NA
Xanthorrhoea minor subsp. minor,NA,NA,NA,NA,NA,NA,NA,NA
Xanthorrhoea resinosa,NA,NA,NA,NA,NA,NA,NA,NA
