description,latitude,longitude,Site
Longlands Gap (basalt),-17.46028,145.47473,Kanowski JK1
Mt Fisher: Kjellberg Rd,-17.54112,145.56136,Kanowski JK2
Tully Falls Rd: Smiths,-17.68174,145.52989,Kanowski JK3
Malaan SF,-17.58672,145.582,Kanowski JK4
Longlands Gap (rhyolite),-17.45501,145.47862,Kanowski JK5
Mt Haig,-17.10111,145.57346,Kanowski JK6
Arthur Baillie Rd,-17.68914,145.50649,Kanowski JK7
Massey Creek,-17.60993,145.56264,Kanowski JK8
Lamins Hill (Cairns track),-17.36528,145.71537,Kanowski JK9
Wallace Rd (Glen Allyn),-17.42063,145.67164,Kanowski JK10
"Tully Falls Rd, near TF",-17.75847,145.54569,Kanowski JK11
Palmerston: Malaan Rd turnoff,-17.59143,145.70355,Kanowski JK12
Cairns Track,-17.35164,145.72726,Kanowski JK13
Robson Ck,-17.11917,145.62952,Kanowski JK14
TF Rd rhyolite,-17.78676,145.55958,Kanowski JK15
Sutties Gap Rd,-17.64678,145.63772,Kanowski JK16
Thomas Rd (recent basalt),-17.26548,145.56578,Kanowski JK17
