site_name,trait_name,unit,value,notes
Below Clarke 4,longitude,deg,148.301,
Below Clarke 4,latitude,deg,-36.434,
Below Clarke 4,elevation,m,1875,
Betts Creek,longitude,deg,148.372,
Betts Creek,latitude,deg,-36.427,
Betts Creek,elevation,m,NA,
Between Clarke 3 and 2,longitude,deg,148.293,
Between Clarke 3 and 2,latitude,deg,-36.433,
Between Clarke 3 and 2,elevation,m,2034,
Charlotte Pass below Mt Stilwell,longitude,deg,148.323,
Charlotte Pass below Mt Stilwell,latitude,deg,-36.443,
Charlotte Pass below Mt Stilwell,elevation,m,NA,
Charlotte Pass Café,longitude,deg,148.332,
Charlotte Pass Café,latitude,deg,-36.435,
Charlotte Pass Café,elevation,m,1681,
Charlotte Pass Carpark,longitude,deg,148.331,
Charlotte Pass Carpark,latitude,deg,-36.432,
Charlotte Pass Carpark,elevation,m,1804,
Charlotte Pass Chairlift,longitude,deg,148.324,
Charlotte Pass Chairlift,latitude,deg,-36.439,
Charlotte Pass Chairlift,elevation,m,1953,
Charlotte Pass Lodge,longitude,deg,148.335,
Charlotte Pass Lodge,latitude,deg,-36.437,
Charlotte Pass Lodge,elevation,m,1785,
Charlotte Pass Phenology Site,longitude,deg,148.331,
Charlotte Pass Phenology Site,longitude,deg,148.331,
Charlotte Pass Phenology Site,latitude,deg,-36.43,
Charlotte Pass Phenology Site,latitude,deg,-36.43,
Charlotte Pass Phenology Site,elevation,m,1870,
Charlotte Pass Phenology Site,elevation,m,1870,
Club Lake Creek,longitude,deg,148.304,
Club Lake Creek,latitude,deg,-36.43,
Club Lake Creek,elevation,m,1786,
Club Lake Creek Pool,longitude,deg,148.301,
Club Lake Creek Pool,latitude,deg,-36.428,
Club Lake Creek Pool,elevation,m,NA,
Club Lake FF,longitude,deg,148.286,
Club Lake FF,latitude,deg,-36.417,
Club Lake FF,elevation,m,NA,
Dainers Gap,longitude,deg,148.472,
Dainers Gap,latitude,deg,-36.376,
Dainers Gap,elevation,m,1671,
Dainers Gap carpark,longitude,deg,148.471,
Dainers Gap carpark,latitude,deg,-36.372,
Dainers Gap carpark,elevation,m,1688,
Dainers Gap SAG3 Site,longitude,deg,148.472,
Dainers Gap SAG3 Site,latitude,deg,-36.376,
Dainers Gap SAG3 Site,elevation,m,1668,
East of main range 500m from junction,longitude,deg,148.267,
East of main range 500m from junction,latitude,deg,-36.448,
East of main range 500m from junction,elevation,m,2121,
Edge of track Mt Kosciuszko,longitude,deg,148.264,
Edge of track Mt Kosciuszko,latitude,deg,-36.457,
Edge of track Mt Kosciuszko,elevation,m,2234,
Feldmark,longitude,deg,148.297,
Feldmark,latitude,deg,-36.406,
Feldmark,elevation,m,2073,
FMUB1,longitude,deg,148.286,
FMUB1,latitude,deg,-36.416,
FMUB1,elevation,m,2080,
FMUB2,longitude,deg,148.287,
FMUB2,latitude,deg,-36.412,
FMUB2,elevation,m,2109,
Near Snowy river,longitude,deg,148.319,
Near Snowy river,latitude,deg,-36.431,
Near Snowy river,elevation,m,1742,
On way to Club Lake,longitude,deg,148.302,
On way to Club Lake,latitude,deg,-36.42,
On way to Club Lake,elevation,m,1901,
Rennix Walk Car Park,longitude,deg,148.507,
Rennix Walk Car Park,latitude,deg,-36.361,
Rennix Walk Car Park,elevation,m,1601,
Saw Pitt Creek Waterfall Walk,longitude,deg,148.559,
Saw Pitt Creek Waterfall Walk,latitude,deg,-36.345,
Saw Pitt Creek Waterfall Walk,elevation,m,1225,
Snow bank1,longitude,deg,148.326,
Snow bank1,latitude,deg,-36.447,
Snow bank1,elevation,m,2045,
Snowbank below Stillwell,longitude,deg,148.326,
Snowbank below Stillwell,latitude,deg,-36.443,
Snowbank below Stillwell,elevation,m,1987,
Snowy River Phebalium heath,longitude,deg,148.322,
Snowy River Phebalium heath,latitude,deg,-36.431,
Snowy River Phebalium heath,elevation,m,1745,
Spencers Creek,longitude,deg,148.358,
Spencers Creek,latitude,deg,-36.429,
Spencers Creek,elevation,m,1720,
Start of Club Lake Creek,longitude,deg,148.292,
Start of Club Lake Creek,latitude,deg,-36.415,
Start of Club Lake Creek,elevation,m,1944,
Stillwell Basin,longitude,deg,148.325,
Stillwell Basin,latitude,deg,-36.442,
Stillwell Basin,elevation,m,1989,
Stillwell Path between chairlift and Charlotte Pass1,longitude,deg,148.325,
Stillwell Path between chairlift and Charlotte Pass1,latitude,deg,-36.436,
Stillwell Path between chairlift and Charlotte Pass1,elevation,m,1924,
Stillwell Path chairlift,longitude,deg,148.324,
Stillwell Path chairlift,latitude,deg,-36.438,
Stillwell Path chairlift,elevation,m,NA,
Tall alpine herbfield near Club Lake,longitude,deg,148.294,
Tall alpine herbfield near Club Lake,latitude,deg,-36.419,
Tall alpine herbfield near Club Lake,elevation,m,1870,
Tall alpine herbfield next to snowbank,longitude,deg,148.324,
Tall alpine herbfield next to snowbank,latitude,deg,-36.448,
Tall alpine herbfield next to snowbank,elevation,m,2029,
Tall alpine herbfield next to Snowy River1,longitude,deg,148.297,
Tall alpine herbfield next to Snowy River1,latitude,deg,-36.459,
Tall alpine herbfield next to Snowy River1,elevation,m,1954,
Tall alpine herbfield next to Snowy River2,longitude,deg,148.296,
Tall alpine herbfield next to Snowy River2,latitude,deg,-36.42,
Tall alpine herbfield next to Snowy River2,elevation,m,1842,
Tall alpine herbfield raised bog,longitude,deg,158.331,
Tall alpine herbfield raised bog,latitude,deg,36.444,
Tall alpine herbfield raised bog,elevation,m,2022,
Tall alpine herbfield1,longitude,deg,148.294,
Tall alpine herbfield1,latitude,deg,-36.453,
Tall alpine herbfield1,elevation,m,1943,
Tall alpine herbfield10,longitude,deg,148.301,
Tall alpine herbfield10,latitude,deg,-36.404,
Tall alpine herbfield10,elevation,m,2117,
Tall alpine herbfield11,longitude,deg,148.305,
Tall alpine herbfield11,latitude,deg,-36.401,
Tall alpine herbfield11,elevation,m,2108,
Tall alpine herbfield2,longitude,deg,148.301,
Tall alpine herbfield2,latitude,deg,-36.452,
Tall alpine herbfield2,elevation,m,1928,
Tall alpine herbfield3,longitude,deg,148.305,
Tall alpine herbfield3,latitude,deg,-36.452,
Tall alpine herbfield3,elevation,m,1903,
Tall alpine herbfield4,longitude,deg,148.298,
Tall alpine herbfield4,latitude,deg,-36.452,
Tall alpine herbfield4,elevation,m,1953,
Tall alpine herbfield5,longitude,deg,148.327,
Tall alpine herbfield5,latitude,deg,-36.447,
Tall alpine herbfield5,elevation,m,2047,
Tall alpine herbfield6,longitude,deg,148.326,
Tall alpine herbfield6,latitude,deg,-36.447,
Tall alpine herbfield6,elevation,m,2045,
Tall alpine herbfield7,longitude,deg,148.301,
Tall alpine herbfield7,latitude,deg,-36.419,
Tall alpine herbfield7,elevation,m,1918,
Tall alpine herbfield8,longitude,deg,148.293,
Tall alpine herbfield8,latitude,deg,-36.418,
Tall alpine herbfield8,elevation,m,1884,
Tall alpine herbfield9,longitude,deg,148.304,
Tall alpine herbfield9,latitude,deg,-36.404,
Tall alpine herbfield9,elevation,m,2110,
Up Heartbreak Hill,longitude,deg,148.323,
Up Heartbreak Hill,latitude,deg,-36.431,
Up Heartbreak Hill,elevation,m,1758,
Up Lodge,longitude,deg,148.404,
Up Lodge,latitude,deg,-36.396,
Up Lodge,elevation,m,1783,
