ID,Plot,Reg,Species,soil_N,soil_P,soil_Ptot,dbh,Height,WD,Bark_thickn.br,Bark_thickn.st,SLA,HV,Diam.br,d_max.br,dh_mean.br,VD.br,Alum.br,Ks.br,Frac_fib.br,Frac_con.br,Frac_ray.br,Frac_axi.br,d_max.st,dh_mean.st,VD.st,Alum.st,Ks.st,Frac_fib.st,Frac_con.st,Frac_ray.st,Frac_axi.st,BAI,relBAI,N.st,N.leaf,N.lit,N.br,N.bark,N.br.bark,N.hr,N.recy.st,N.recy.br,P.st,P.leaf,P.lit,P.br,P.bark,P.br.bark,P.hr,P.recy.st,P.recy.br,lifespan,lifespan_birth,species,lat_individual_tree,lon_individual_tree,ele_individual_tree,time_GPS_measurement
AC_1,LowP_3,Low,Angophora_costata,0.69,1.67,45.11,49.16,15.8,0.71,1.24,1.13,56.82,1.65,5.52,52.81,35.64,121.39,6.88,2.22,63.2,8.1,16.2,12.5,137.59,124.58,10.8,8.1,31.09,48.1,8.8,21.5,21.5,9.24570718,0.490495892,1.27689,6.27999,5.760735,3.069565,1.79609,3.049395,1.17238,0.818473009,0.826840489,0.06674953,0.328277607,0.172032351,0.264007884,0.01,0.231459388,0.019899596,0.701876612,0.475954657,NA,NA,Angophora costata,-33.37186502,151.321147,146.920563,2017-03-17T01:42:13Z
AC_2,LowP_4,Low,Angophora_costata,0.81,3.48,51.71,30.74,14,0.79,0.85,1.19,75.33,1.14,6.28,55.67,45.74,122.08,8.88,4.51,62,14.9,14.6,7.7,200.49,151.66,8.44,9.12,54.07,53.5,12.8,20,13.8,2.876442234,0.393958909,1.38243,8.94546,5.147255,3.352955,1.57588,5.128355,0.95432,3.096793328,4.245958285,0.081033941,0.432647999,0.101963329,0.305952161,0.008313809,0.618307161,0.008307091,0.897486277,0.764327284,NA,NA,Angophora costata,-33.37166101,151.321439,151.229584,2017-03-17T01:55:11Z
AC_3,LowP_4,Low,Angophora_costata,0.81,3.48,51.71,35.25,15,0.83,0.99,1.87,73.31,2.32,5.75,47.4,42.99,53.43,5.25,2.52,60.6,9.5,14.8,13.4,178.91,178.56,8.65,9.25,70.81,49.6,9.8,20,20.6,3.8742906,0.39812274,2.62041,9.470705,5.222925,1.81623,1.40529,3.824395,0.70221,7.320228514,4.485178242,0.105990501,0.343303371,0.062348051,0.128743104,0.008333647,0.170884386,0.00830032,0.921688077,0.818387886,NA,NA,Angophora costata,-33.37156101,151.321801,146.025238,2017-03-17T02:02:49Z
AC_4,LowP_5,Low,Angophora_costata,0.71,0.65,15.91,58.91,16,0.73,1.21,2.18,46.32,2.49,5.2,48.04,40.27,115.47,9.8,4.07,55.7,14.5,15,14,194.42,203.73,8.45,16.04,171.57,43.4,18.2,18.9,19.5,9.231570013,0.340889475,2.22085,10.596825,4.917805,2.9685,2.38177,4.398225,0.93191,5.803813855,5.359171261,0.093973352,0.607932012,0.09229985,0.225135957,0.008320474,0.230849742,0.00830032,0.911673684,0.848174059,NA,NA,Angophora costata,-33.37123303,151.320644,154.060089,2017-03-17T02:14:42Z
AC_5,LowP_5,Low,Angophora_costata,0.71,0.65,15.91,17.47,10,NA,0.82,0.98,81.44,0.98,4.64,46.73,44.54,49.46,4.97,2.57,65.7,6.3,17.5,10.4,118.29,146.19,8.9,8.33,45.02,47.2,10.3,21.9,20.6,2.719048442,1.162105297,1.83736,8.04071,4.248815,1.92358,1.46931,2.77873,0.95468,4.804066704,4.715870862,0.091225015,0.421071412,0.103203073,0.080725907,0.008333647,0.130692531,0.018704108,0.794967334,0.754903635,NA,NA,Angophora costata,-33.37147099,151.320788,152.163605,2017-03-17T02:28:12Z
BE_1,LowP_6,Low,Banksia_ericifolia,0.78,2.57,44.22,11.8,7.8,0.45,1.07,0.49,82.99,1.87,4.63,43.57,28.87,210.85,11.47,2.62,44.7,16.7,25.5,13.1,91.72,69.05,36.26,10.05,12.5,52.5,12.2,24.2,11,11.23708422,10.22337439,1.01956,8.72117,3.597035,1.297095,0.9485,3.313785,1.07043,-0.49894072,5.875513263,0.009201283,0.121185113,0.03875724,0.056028038,0.008313809,0.053413491,0.008303712,0.097548461,0.680181507,NA,NA,Banksia ericifolia,-33.37075702,151.317931,146.987076,2017-04-06T05:58:14Z
BE_2,LowP_3,Low,Banksia_ericifolia,0.69,1.67,45.11,12.26,6.4,0.51,0.77,0.61,71.43,2.49,3.86,35.58,27.52,152.06,7.69,1.6,51.9,12,20,16.1,113.35,67.71,41.03,10.51,11.96,47,16.6,24.5,11.8,0.579388225,0.489196172,1.44571,6.93801,3.38136,1.210725,1.36186,3.16135,1.04981,2.738446853,5.126325848,0.00830032,0.223285969,0.031583604,0.238198369,0.008313809,0.175370298,0.012281029,-0.479585004,0.858550879,NA,NA,Banksia ericifolia,-33.37174701,151.321075,146.508652,2017-03-17T01:36:45Z
BE_3,LowP_6,Low,Banksia_ericifolia,0.78,2.57,44.22,8.77,4.8,0.5,0.88,0.4,80.03,1.45,3.38,39.29,25.83,157.49,7.26,1.35,50.8,13.5,18,17.7,102.37,69.77,23.32,6.37,8.05,61.8,8,20.4,9.4,6.234176462,10.25,0.99853,7.890735,3.90272,2.8564600000000002,2.00821,3.620765,0.54884,4.503520175,5.054047563,0.008310457,0.141534493,0.03542614,0.06473047,0.078804218,0.064918683,0.008313809,-4.03e-4,0.749699601,NA,NA,Banksia ericifolia,-33.37081896,151.317982,146.252609,2017-04-06T06:02:34Z
BE_4,LowP_6,Low,Banksia_ericifolia,0.78,2.57,44.22,9.05,5,0.43,0.82,0.48,75.46,3.36,3.49,36.53,24.18,229.13,8.9,1.43,49.7,16,20.2,14.1,93.48,77.51,35.65,10.27,14.69,53.3,16.4,20.3,9.6,4.046371338,6.276527833,0.86441,7.772045,3.015175,3.18848,2.20794,4.592435,0.56166,3.502388913,6.12048695,0.006805112,0.16666295,0.037648223,0.101640183,0.099151453,0.129524899,0.008307091,-0.22071334,0.774105625,NA,NA,Banksia ericifolia,-33.37081896,151.317982,146.252609,2017-04-06T06:02:34Z
BE_5,LowP_6,Low,Banksia_ericifolia,0.78,2.57,44.22,10.49,5.6,0.48,0.82,0.6,76.53,1.84,4.96,49.89,30.55,226.26,11.9,2.87,49.5,16.3,18.8,15.3,103.32,78.8,39.87,12,17.85,48.6,13.6,23.1,14.3,7.078950726,8.144183088,0.74531,8.67305,3.69684,1.47736,1.98254,3.01103,0.69052,0.735130348,5.737554839,0.008307091,0.142252419,0.04850969,0.041821034,0.08223784,0.041573295,0.008032778,0.033021547,0.658988645,NA,NA,Banksia ericifolia,-33.37058896,151.31809,149.851639,2017-04-06T06:13:45Z
