taxon_name,unit,original_name,observation_id,leaf_length_minimum,leaf_length_maximum,leaf_width_minimum,leaf_width_maximum,leaf_entity,leaf remove,plant_height_maximum,height_entity,height notes,seed_height_minimum,seed_height_maximum,seed_length_minimum,seed_length_maximum,seed_width_minimum,seed_width_maximum,leaf,seed_entity,seed notes,seed,form,,
Boerhavia albiflora,mm,Boerhavia albiflora,079,,,,,leaf,removed duplicate min/max,,,,,,,,,,"leaves with petioles to 25 mm long; lamina lanceolate to widely ovate or narrowly elliptic to elliptic, to 62 mm long, 42 mm wide, succulent, often asymmetric, discolorous.",,,,"perennial herb, prostrate, decumbent, occasionally more or less erect.",,
Boerhavia burbidgeana,mm,Boerhavia burbidgeana,080,,,,,leaf,removed duplicate min/max,,,,,,,,,,"leaves with petioles to 44 mm long; lamina lanceolate to ovate, occasionally linear, to 40 mm long, to 19 mm wide, often asymmetric, discolorous, sometimes resin-dotted.",,,,"perennial herb, prostrate. indumentum of sparse predominantly type 1 glandular hairs throughout, occasionally with type 2 hairs scattered on leaves and at nodes.",,
Boerhavia coccinea,mm,Boerhavia coccinea,081,,,,,leaf,removed duplicate min/max,,,,,,,,,,"leaves with petioles to 37 mm long; lamina lanceolate to widely ovate, oblong, elliptic, trullate or triangular to 55 mm long, 28 mm wide, often asymmetric, discolorous, resin-dotted.",,,,"perennial herb, prostrate or decumbent. indumentum of medium to dense type 1, 2 and occasionally type 3 hairs.",,
Boerhavia gardneri,mm,Boerhavia gardneri,082,,,,,leaf,removed duplicate min/max,,,,,,,,,,"leaves sessile or with petioles to 15 mm long; lamina ovate to widely, elliptic, to 35 mm long, 20 mm wide, discolorous.",,,,"perennial herb, prostrate or decumbent. indumentum of predominantly medium to dense type 2 hairs and occasionally type 1 hairs.",,
Callitris intratropica,mm,Callitris intratropica,098,,,,,leaf,removed duplicate min/max,,,,,,4,4,,,"leaves circa 2 mm long on ultimate branchlets, dark green.",wings,remove - wings,seeds numerous with wings to 4 mm wide. cypress pine.,tree to 24 m.,,
Camptostemon schultzii,mm,Camptostemon schultzii,106,62,92,20,41,leaf,changed,,,,,,,,,,"leaves alternate, petiole to 10 mm, lepidote; lamina elliptic lanceolate, 6 2-9.2 x 2.0-4.1 cm, lepidote below, sparse scales and glands above; apex rounded, base attenuate.",,remove duplicate min/max,"seeds 2, deltoid-obovoid, 9 mm long, densely woolly.","generally a shrub to 5 m, occasionally a tree to 22 m;",,
Diospyros compacta,mm,Diospyros compacta,207,49,100,27,49,leaf,changed,,,,,,5,,4,5,"leaf lamina broadly elliptic, 4.9-10 x 2.7-4.9 cm, coriaceous, upper surface shining, margin recurved, venation reticulate, distinct, apex blunt, base obtuse; petiole curved, 4-6 mm long.",,good,"seeds 2â€“5, semi-circular, 5 mm long, dark brown, surface slightly rugose.",tree to 11 m;,,
Diospyros littorea,mm,Diospyros littorea,209,59,94,25,44,leaf,changed,,,,,,,,,,"leaf lamina narrowly elliptic to obovate, 5.9-9.4 x 2.5-4.4 cm, upper surface somewhat dull; petiole curved, 4-5 mm long.",,remove duplicate min/max,"seeds 5â€“6, semicircular wedge-shaped, 10 x 4 mm, surface dark brown, rugose.","tree to 15 m, occasionally multi-stemmed;",,
Drosera banksii,mm,Drosera banksii,214,1,3,1,3,leaf,changed,,,,,,,,,,"leaves cauline; petioles linear, 4-12 mm long and excentrically attached to the lamina; lamina circular, 1-3 mm diam., marginal glandular hairs yellowish;",,remove duplicate min/max,"seeds ellipsoidal, circa 0.8 mm long, with slight ridges.",herb lacking tuber;,,
Ficus carpentariensis,mm,Ficus carpentariensis,286,42,188,16,65,leaf,good; missed due to wording,,,,,,,,,,"petiole 6-22.5 mm long, 0.8-1.6 mm in diameter, with ascending puberulous-pilose hyaline hairs, occasionally scabrid, channelled on the upper surface, periderm persistent. leaves opposite or alternate, narrowly elliptic, elliptic, margin recurved, aculeate or smooth; apex acute;",,,,"tree to 12 m tall, dioecious.",,
