IDmerg1,ID_all,species_name,species_abb,site_name,site_details,siteold,site_data_old,spp_old,SLA_cm2_g_new,leaf_area_mm2_new,PSIpd,PSImd,Kh,Ks,Kl,LL,Gs,Amass,Aarea,RD_MASS,leaf_N_mass_new,leaf_P_mass_new,Cmass,leaf_N_area_g_m2_new,leaf_P_area_g_m2_new,max_ht,ci,ca_ci,wue,Aarea_gs,trans,trans_es,d15N,d13C,max_height_m,SPo,TLP,H2OTLP,symH2O,elast_mod,shootH20,ci_ca,SWCsap,SWCstem,SWCbark,BarkThick,n(bark),Wshear(Jm01),Toughness(Jm-2),leaf thickness
2,2,Acacia floribunda,acaflo,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,Acaflo,7.97,158.17,-0.39,-0.98,6.16E-06,0.365,1.67E-04,1.11,190,106.3,11,10.6,2.31,0.057,51.7,2.89,0.072,3.5,256,115,3.28,0.058,3.36,190.3,-1.8673,-31.4111,3.5,-2.4,-2.72,90.29,83.73,28.34,59.07,0.008695652,78.05,92.94,125.744,1.1075,10,0.37,1341,0.27
6,6,Allocasuarina sp,allsp,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,"Allsp,alltor",5.44,NA,NA,NA,NA,NA,NA,NA,157,63.7,9.4,7.7,NA,NA,49.25,2.27,NA,10,255,114,3.7,0.06,2.55,157,-2.4421,-30.2704,10,NA,NA,NA,NA,NA,NA,0.00877193,,,,,,,,
7,7,Astrotricha floccosa,astflo,Kuring-gai NP hiP,hiRhiP,"ghp,sydHiP",syd_hiP,Astflo_ghp,12.15,2233.8,-0.32,-1.07,1.24E-05,0.777,2.52E-04,0.52,184,150.2,11.9,8.9,1.59,0.071,47.6,1.31,0.058,3,223,117,6.62,0.065,1.79,183.8,-2.1324,-28.1658,3,-1.69,-2.44,77.02,75.41,6.97,62.65,0.008547009,110.54,144.43,286.879,0.71111,10,0.24,873,0.27
13,14,Correa reflexa,corref,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,CorRef,14.08,555.4,NA,NA,NA,NA,NA,0.97,105,70.3,4.5,4.6,1.26,0.047,43.23,0.89,0.033,0.5,281,83,3.11,0.043,1.44,104.6,-4.3053,-31.2691,0.5,NA,NA,NA,NA,NA,NA,0.012048193,,,,,,0.24,821,0.29
15,16,Dodonaea triquetra,dodtri,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,Dodtri,10.56,1353.48,-0.81,-0.78,NA,NA,NA,0.67,244,209.1,20.7,10,1.9,0.079,48.11,1.8,0.075,3.5,179,164,10.06,0.085,2.06,244,-3.0339,-28.5698,3.5,-1.97,-2.52,81.56,85.52,10.09,66.36,0.006097561,,,,,,0.09,370,0.25
18,19,Eucalyptus paniculata,eucpan,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,Eucpan,8.35,2296.55,-1.02,-1.87,NA,NA,NA,1.09,131,75.3,9.2,6.1,1.08,0.048,49.35,1.3,0.057,13,232,146,5.4,0.07,1.71,131.3,-2.4808,-31.6701,13,-2.71,-3.3,83.88,90.79,17.31,51.61,0.006849315,85.79,108.64,152.017,1.1825,10,0.44,1872,0.24
19,20,Eucalyptus umbra,eucumb,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,Eucumb,4.86,3938.73,-0.73,-1.57,NA,NA,NA,2.06,117,40.7,8.6,6.3,0.91,0.039,18.38,1.88,0.08,20,225,151,5.97,0.074,1.44,116.7,-2.7085,-29.3756,20,-2.74,-3.14,91.08,70,30.82,50.72,0.006622517,92.1,112.31,166.822,0.95,10,1.17,2837,0.41
22,23,Gompholobium latifolium,gomlat,Kuring-gai NP hiP,hiRhiP,"sydhiP,ghp",syd_hiP,Gomlat,10.52,389.46,-0.22,-0.53,NA,NA,NA,2.2,NA,NA,NA,NA,1.71,0.031,49.83,1.63,0.029,2.6,NA,NA,NA,NA,NA,NA,-0.3958,-32.4603,2.6,-1.72,-1.99,87.72,92.3,14.28,59.87,NA,68.06,77.24,167.369,0.59,10,0.36,1169,0.31
23,25,Lasiopetalum ferrugineum,lasfer,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,Lasfer,8.25,781.8,-0.28,-0.51,3.47E-06,0.437,3.07E-04,1.99,142,76.7,8.1,4.2,1.16,0.03,47.38,1.4,0.036,1.7,230,114,4.93,0.057,1.65,142,-2.3598,-30.4286,1.7,-1.68,-2.27,77.31,86.77,7.16,56.67,0.00877193,63.6,80.87,142.464,0.885,10,0.41,1626,0.25
24,26,Leptospermum polygalifolium,leppol,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,LepPol,10.9,33.25,NA,NA,NA,NA,NA,0.61,205,112.1,8.6,14.2,1.31,0.045,52.05,1.2,0.041,4,294,81,2.68,0.042,3.2,205.1,-1.5601,-29.746,4,NA,NA,NA,NA,NA,NA,0.012345679,,,,,,0.14,604,0.23
27,29,Lomatia silaifolia,lomsil,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,Lomsil,7.15,6417.88,-0.57,-0.4,1.88E-06,0.436,1.56E-04,2.27,109,47.1,5.9,8.1,0.62,0.032,49.21,0.87,0.045,1.8,259,101,2.77,0.054,2.12,108.6,3.3529,-29.4896,1.8,-2.05,-2.29,93.23,65.81,30.02,54.71,0.00990099,97.26,103.74,139.575,0.8225,10,0.85,2446,0.35
28,30,Macrozamia communis,maccom,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,Maccom,3.7,1807.64,-0.41,-1.17,NA,NA,NA,NA,83,25.9,7.2,4,1.35,0.053,52.63,NA,0.143,2.1,216,155,5.49,0.087,1.31,82.6,-2.1604,-28.244,2.1,-2.25,-3.12,78.3,78.99,14.38,51.26,0.006451613,,,,,,,,
35,37,Persoonia linearis,perlin,Kuring-gai NP hiP,hiRhiP,"sydhiP,ghp",syd_hiP,Perlin,7,88.6,-0.57,-0.82,5.06E-06,0.401,1.98E-04,3.38,218,46.9,7.4,3.8,0.77,0.05,48.21,1.09,0.071,4.2,308,67,2.01,0.034,3.69,218.1,1.726,-30.4835,4.2,-1.86,-2.73,75.91,75.92,7.91,59.24,0.014925373,108.48,112.99,147.971,0.48056,9,0.25,578,0.43
36,39,Pomaderris ferruginea,pomfer,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,Pomfer,10.13,912.33,-0.67,-1.41,NA,NA,NA,0.96,136,93.4,7.6,5.7,1.28,0.041,48.04,1.27,0.04,2.2,252,105,3.1,0.055,2.44,136.2,-2.8149,-30.619,2.2,-1.38,-2.07,76.33,71.41,6.26,57.1,0.00952381,,,,,,0.39,1282,0.31
38,41,Pultenea daphnoides,puldap,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,Puldap,10.62,139.45,-0.45,-0.73,NA,NA,NA,0.78,134,95.1,9.6,7.7,1.95,0.036,49.41,1.84,0.034,2.6,220,131,4.25,0.072,2.26,133.9,-2.1238,-29.8129,2.6,-1.49,-1.92,83.57,71.89,11.07,62.12,0.007633588,59.99,68.14,97.914,0.76944,9,0.32,1236,0.26
39,42,Pultenea flexilis,pulfle,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,Pulfle,11.06,51.4,-0.32,-1.21,7.48E-06,0.325,2.57E-04,1.38,187,117.7,10.1,14.2,2.04,0.045,47.38,1.84,0.041,5,247,106,3.51,0.054,2.87,187.2,-2.0006,-29.4476,5,-1.55,-1.95,83.76,79.09,9.43,70.36,0.009433962,71.47,84.45,156.418,0.65,9,0.38,1434,0.26
45,48,Synoum glandulosum,syngla,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,Syngla,10.85,1479.8,-0.45,-0.82,9.32E-06,0.429,4.12E-04,0.98,76,73.5,6.5,9.2,1.59,0.084,46.22,1.46,0.077,3.8,222,148,5.51,0.085,1.17,76.3,-3.1307,-29.0384,3.8,-1.86,-2.38,87.07,60.08,14.17,51.78,0.006756757,193.43,217.7,267.927,1.115,10,0.21,733,0.28
46,49,Syncarpia glomulifera,synglo,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,Synglo,6.73,2471.64,-0.41,-0.8,3.69E-05,0.639,6.90E-04,1.91,106,57.4,9.2,6.2,0.98,0.04,52.04,1.46,0.059,10,219,147,6.48,0.086,1.41,106.4,-1.6379,-29.155,10,-1.7,-2.43,77,75.67,10.2,69.27,0.006802721,79.56,90.35,117.878,1.1675,10,0.85,2801,0.3
49,52,Xylomelum pyriforme,xylpyr,Kuring-gai NP hiP,hiRhiP,sydhiP,syd_hiP,Xylpyr,6.56,3401.4,-0.63,-1.21,NA,NA,NA,3.43,146,63,10.5,3.9,0.87,0.037,50.32,1.32,0.056,7.5,229,125,6.61,0.072,1.59,145.9,3.362,-29.2166,7.5,-1.94,-2.46,86.62,63.73,14.4,52.79,0.008,88.31,101.06,122.75,1.065,10,0.66,2332,0.28
53,59,Acacia suaveolens,acasua,Kuring-gai NP lowP,hiRloP,"sydloP,glp,myall",syd_loP,Acasua_syd,4.54,345.55,-0.73,-1.07,3.85E-06,0.544,3.11E-04,2.45,187,46.6,9.6,7,1.91,0.022,51.06,4.21,0.049,2.4,263,97,3.56,0.051,2.71,187.1,-2.4265,-29.5728,2.4,-1.46,-1.77,90.05,61.34,13.61,65.29,0.010309278,78.4,86.76,110.241,0.845,10,1.15,2036,0.57
62,69,Banksia marginata,banmar,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,Banmar,5.88,273.58,-0.49,-1.07,NA,NA,NA,3.03,308,101.9,19.5,4.8,0.85,0.023,49.8,1.45,0.039,2.7,244,125,4.73,0.063,4.14,308.4,-3.5691,-28.7766,2.7,-1.87,-2.64,83.76,54.79,15.01,48.62,0.008,111.35,109.69,112.3,1.0875,4,0.92,2459,0.38
66,75,Boronia ledifolia,borled,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,Borled,6.27,56.06,-0.83,-1.03,3.51E-06,0.383,4.63E-04,1.61,212,54.7,8.7,6.2,1.19,0.022,50.23,1.9,0.035,2,286,87,2.79,0.041,3.12,212.4,-6.9413,-30.7512,2,-1.79,-2.33,84.02,71.56,8.49,62.56,0.011494253,60.96,72.49,111.017,0.725,10,0.18,366,0.5
69,78,Corymbia gummifera,corgum,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,Corgum,5.35,2589.2,-0.64,-1.13,NA,NA,NA,1.22,233,58.7,13,5.7,0.81,0.03,51.26,1.52,0.056,15,241,105,7.15,0.056,1.82,232.9,-4.5245,-27.2178,15,-0.94,-1.57,88.84,30.63,12.54,53.72,0.00952381,78.94,98.04,127.581,1.485,10,1.55,4213,0.37
73,85,Eriostemon australasius,eriaus,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,Eriaus,6.81,154.2,-0.72,-1.3,5.35E-06,0.714,5.47E-04,1.01,233,57,10.1,6.9,1.2,0.036,48.61,1.76,0.053,3,293,81,2.74,0.043,3.68,232.8,-6.9526,-29.7425,3,-1.14,-1.57,89.45,40.46,9.99,71.57,0.012345679,75.17,96.95,190.498,0.78,5,0.27,526,0.51
75,87,Eucalyptus haemostoma,euchae,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,Euchae,5.01,1729.15,-0.71,-2,NA,NA,NA,1.55,326,53.3,12,6,1.04,0.034,52.97,2.09,0.068,15,283,74,5.53,0.037,2.17,325.8,-6.6556,-29.3982,15,-2.04,-2.43,88.33,72.73,11.81,52.26,0.013513514,79.48,92.24,118.635,1.0475,10,1.13,2498,0.45
76,88,Gompholobium glabratum,gomgra,Kuring-gai NP lowP,hiRloP,"sydloP,glp",syd_loP,Gomgra,7.71,119.63,-0.9,-1.37,NA,NA,NA,2.33,208,42.9,6.9,9,1.23,0.018,50.3,1.59,0.023,1.8,304,67,2.1,0.033,3.29,208,-2.532,-28.6178,1.8,-1.68,-1.89,91.26,77.97,19.5,56.44,0.014925373,57.76,64.87,100.002,0.67222,9,0.34,848,0.39
78,92,Grevillea buxifolia,grebux,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,Grebux,9.1,51.06,-0.53,-1.09,NA,NA,NA,1.25,206,59.3,8.6,10.8,0.71,0.023,51.02,0.78,0.025,2,293,79,2.87,0.042,3.01,206.1,-2.5675,-29.0991,2,-1.48,-2.25,73.65,76.93,18.18,58.77,0.012658228,69.29,72.87,86.337,0.82,10,0.29,978,0.29
80,94,Grevillea speciosa,grespe,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,Grespe,6.51,156.99,-0.49,-0.99,NA,NA,NA,1.56,301,50.3,8.8,7.4,0.86,0.024,50.37,1.32,0.037,2.2,298,67,2.15,0.029,4.1,300.8,-1.3587,-28.8476,2.2,-1.98,-2.46,86.4,70.75,10.35,50.25,0.014925373,69.12,73.15,101.819,0.57,10,0.69,2075,0.33
81,95,Hakea dactyloides,hakdac,Kuring-gai NP lowP,hiRloP,"sydloP,glp",syd_loP,Hakdac,3.91,1243.49,-0.44,-1.41,6.14E-06,0.464,2.30E-04,3.45,197,45,12.6,3.9,0.53,0.018,52.74,1.37,0.046,3.8,235,119,4.73,0.064,2.66,196.7,0.9787,-28.9436,3.8,-2.43,-3.22,89.47,45.94,11.37,41.29,0.008403361,75.62,73.54,74.089,0.59375,8,3.24,6529,0.49
