mulga_sites,vegetation_type,Tree_ID,Species,Hard_Soft,Family,delta13C,delta15N,plant_growth_form,life_history,plant_succulence,photosynthetic_pathway,nitrogen_fixing
Eastern mulga,Ephemerals (non-succulent),E_ephem_Angianthus burkittii,Angianthus burkittii,Hard,Asteraceae,-29.56,13.15,herb,ephemeral,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,Ephemerals (non-succulent),E_ephem_Arabidella eremigena,Arabidella eremigena,Soft,Brassicaceae,-27.09,9.76,herb,ephemeral,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,Ephemerals (non-succulent),E_ephem_Brachycome sp. 1,Brachycome sp. 1,Soft,Asteraceae,-30.01,6.73,herb,ephemeral,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,Ephemerals (non-succulent),E_ephem_Brachycome sp. 2,Brachycome sp. 2,Soft,Asteraceae,-27.48,10.16,herb,ephemeral,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,Ephemerals (non-succulent),E_ephem_Calotis hispidula,Calotis hispidula,Soft/Hard,Asteraceae,-27.67,10.35,herb,ephemeral,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,Ephemerals (non-succulent),E_ephem_Chthonocephalus pseudevax,Chthonocephalus pseudevax,Soft/Hard,Asteraceae,-26.12,9.65,herb,ephemeral,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,Ephemerals (non-succulent),E_ephem_Daucus glochidiatus,Daucus glochidiatus,Soft/Hard,Apiaceae,-26.44,9.43,herb,ephemeral,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,Ephemerals (non-succulent),E_ephem_Erodium crinitum,Erodium crinitum,Soft,Geraniaceae,-26.05,8.45,herb,ephemeral,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,Ephemerals (non-succulent),E_ephem_Helipterum floribundum,Helipterum floribundum,Soft/Hard,Asteraceae,-27.49,12.77,herb,ephemeral,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,Ephemerals (non-succulent),E_ephem_Isoetopsis graminifolia,Isoetopsis graminifolia,Soft,Asteraceae,-29.82,8.37,herb,ephemeral,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,Ephemerals (non-succulent),E_ephem_Plantago cunninghamii,Plantago cunninghamii,Soft,Plantaginaceae,-27.68,7.77,herb,ephemeral,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,Ephemerals (non-succulent),E_ephem_Stenopetalum velutinum,Stenopetalum velutinum,Hard,Brassicaceae,,12.95,herb,ephemeral,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,Ephemerals (non-succulent),E_ephem_Velleia paradoxa,Velleia paradoxa,Hard,Goodeniaceae,,15.43,herb,ephemeral,not_succulent,c3,non_nitrogen_fixer
