species_name,genus,species,intr rank,longevity,GF,leaf longevity,max height (m),glacous,leaf type,leaf shape,leaf length (mm),leaf width (mm),seed shape,seed length (mm),seed diameter (mm),seed depth (mm),flowering time,fruiting,dispersal appendage,aquatic,succulent
Achyranthes aspera,ACHYRANTHES,aspera,,perennial,herb,,0.8,,s,elliptic,25-115,18-55,,,,,all year,all year,,,
Alternanthera angustifolia,ALTERNANTHERA,angustifolia,,annual ,herb,,,,s,linear,May-40,1-Jul,,,,,all year,all year,,,
Alternanthera denticulata,ALTERNANTHERA,denticulata,,annual ,herb,,,,s,linear,Oct-35,1-Feb,,,,,allyear,all year,,,
Alternanthera nodiflora,ALTERNANTHERA,nodiflora,,annual ,herb,,,,s,linear,20-70,2-Jun,,,,,allyear,all year,,,
Amaranthus rhombeus,AMARANTHUS,rhombeus,,annual ,herb,,0.45,,s,ovate,May-38,Mar-20,lenticular,1-1.3,,,apr-aug,apr-aug,,,
Amaranthus undulatus,AMARANTHUS,undulatus,,annual ,herb,,1,,s,ovate,May-45,Apr-30,lenticular,0.6-1.3,,,jan-sep,jan-sep,,,
Cyathula prostrata,CYATHULA,prostrata,,perennial,herb,,0.5,,s,rhomboidal,13-50,Aug-65,,,,,jan-mar,jan-mar,,,
Gomphrena atrorubra,GOMPHRENA,atrorubra,,annual ,herb,,0.6,,s,lanceolate,20-60,1-Apr,compressed obovoid,1.5,,,feb-may,feb-may,,,
Gomphrena canescens,GOMPHRENA,canescens,,annual ,herb,,0.9,,s,lanceolate,20-110,1-May,compressed obovoid,2,,,feb-sep,feb-sep,,,
Gomphrena connata,GOMPHRENA,connata,,annual ,herb,,0.3,,s,lanceolate,Oct-50,1-Mar,compressed obovoid,1.4,,,feb-may,feb-may,,,
Gomphrena diffusa subsp diffusa,GOMPHRENA,diffusa,subsp diffusa,perennial,herb,,,,s,lanceolate,Aug-45,1-Jun,broadly obovoid,1.1,,,feb-aug,feb-aug,,,
Gomphrena flaccida,GOMPHRENA,flaccida,,annual ,herb,,0.9,,s,lanceolate,20-120,1-Dec,compressed-ellipsoid,2.2,,,feb-aug,feb-aug,,,
Gomphrena floribunda,GOMPHRENA,floribunda,,annual ,herb,,0.25,,s,lanceolate,Jul-18,2-Apr,compressed-obovoid,1.4,,,feb-may,feb-may,,,
Gomphrena involucrata,GOMPHRENA,involucrata,,annual ,herb,,0.3,,s,lanceolate,22-55,2-May,compressed-obovoid,1.6,,,mar-jul,mar-jul,,,
Gomphrena lacinulata,GOMPHRENA,lacinulata,,annual ,herb,,0.9,,s,lanceolate,20-60,3-May,compressed-ellipsoid,2.2,,,mar-may,mar-may,,,
Gomphrena magentitepala,GOMPHRENA,magentitepala,,annual ,herb,,0.6,,s,lanceolate,Oct-35,1.5-5,compressed-ellipsoid,2,,,feb-jun,feb-jun,,,
Gomphrena parviflora,GOMPHRENA,parviflora,,annual ,herb,,,,s,linear,Oct-45,1-Mar,compressed-obovoid,1.4,,,jan-jun,jan-jun,,,
Gomphrena rosula,GOMPHRENA,rosula,,perennial,herb,,0.6,,s,linear,20-110,2-May,compressed-obovoid,1.7-2,,,jan-jun,jan-jun,,,
Omegandra kanisii,OMEGANDRA,kanisii,,perennial,herb,,0.8,,s,elliptic,0.5-2.5,0.3-0.7,,0.8-1,0.6,,jun-sep,jun-sep,,,
Ptilotus corymbosus,PTILOTUS,corymbosus,,annual ,herb,,0.5,,s,linear,20-50,1-Jun,,,,,jan-jul,jan-jul,,,
Ptilotus distans,PTILOTUS,distans,,perennial,herb,,1,,s,linear,20-90,0.7-2,,,,,all year,all year,,,
Ptilotus fusiformis,PTILOTUS,fusiformis,,perennial,herb,,0.6,,s,linear,Dec-60,0.5-1.5,,,,,jan-sep,jan-sep,,,
Pupalia micrantha,PUPALIA,micrantha,,,herb,,,,s,ovate,22-90,Dec-40,,,,,jan-apr,jan-apr,,,
Desmos wardianus,DESMOS,wardianus,,perennial,vine/shrub,,,,s,oblanceolate,03-100,Oct-30,,7,5,,,mar-oct,,,
Meiogyne cylindrocarpa,MEIOGYNE,cylindrocarpa,,perennial,tree/shrub,,10,,s,ovate,02-100,8.5-40,,,,,,,,,
Miliusa brahei,MILIUSA,brahei,,perennial,tree,,15,,s,ovate,45-140,15-50,,7-Sep,5-Jul,,sep-nov,sep-feb,,,
Miliusa traceyi,MILIUSA,traceyi,,perennial,tree,,12,,s,ovate,40-130,20-65,,,,,sep-dec,oct-jan,,,
Mitrella tiwiensis,MITRELLA,tiwiensis,,perennial,liana,,,,s,elliptic,40-210,20-40,discoidal,8,6,,dec,,,,
Polyalthia australis,POLYALTHIA,australis,,perennial,tree,,25,,s,ovate,45-250,20-90,,17,10,,nov-may,oct-dec,,,
Polyalthia nitidissima,POLYALTHIA,nitidissima,,perennial,tree/shrub,,10,,s,ovate,30-145,Oct-50,,6-Jul,5-Jun,,all year,all year,,,
Uvaria glabra,UVARIA,glabra,,perennial,liana,,,,s,elliptic,30-180,20-60,,9,6.5,4.6,dec-jul,all year,,,
Uvaria holtzei,UVARIA,holtzei,,perennial,liana,,,,s,elliptic,45-230,25-91,discoidal,,,,oct-jan,jan-june,,,
Uvaria rupestre,UVARIA,rupestre,,perennial,shrub,,4,,s,elliptic,24-127,16-64,,11,7,,nov-apr,jan-may,,,
Xylopia monosperma,XYLOPIA,monosperma,,perennial,tree,,10,,s,elliptic,60-120,20-40,,,,,jun-sep,jul-nov,,,
Sesuvium portulacastrum ,SESUVIUM,portulacastrum ,,perennial,herb,,0.3,,s,linear-oblanceolate,25-75,3-May,subtriangular,1.5,1.5,1.5,all year,all year,,,
Trianthema rhynchocalyptra,TRIANTHEMA,rhynchocalyptra,,perennial,herb,,,,s,elliptic,Mar-20,1-Oct,pea shape,1.5,1.5,1.5,jan-aug,jan-aug,,,
Aristolochia holtzei,ARISTOLOCHIA,holtzei,,perennial,herb,,0.5,,s,linear,40-150,,triangular,4,,,apr-dec,jun-apr,,,
Aristolochia pubera,ARISTOLOCHIA,pubera,,perennial,herb,,,,s,obovate,,,triangular,4,,,dec-may,feb-jul,,,
Batis argillicola,BATIS,argillicola,,perennial,shrub,,0.7,,s,obovoid,Mar-15,1-2.5,lanceolate,5-Jun,1.2,,jun-oct,dec-feb,,,
Cochlospermum fraseri,COCHLOSPERMUM,fraseri,,perennial,tree,,7,,s,orbicular,22-190,25-210,,5-Aug,3.5-5,,apr-oct,jun-mar,,,
Cochlospermum gillivrayi,COCHLOSPERMUM,gillivrayi,,perennial,tree,,7,,s,obovate,40-150,50-170,,8,3-Apr,,jul-sep,nov,,,
Cochlospermum gregorii,COCHLOSPERMUM,gregorii,,perennial,tree,,7,,s,orbicular,50-160,70-160,,6-Aug,3-Apr,,jul-aug,nov-dec,,,
Cochlospermum sp. Arnhem Land,COCHLOSPERMUM,sp. Arnhem Land,,perennial,tree,,9,,s,oblate,50-149,73-178,,6.5-7,5.5.-6,,jun-sep,sep-dec,,,
Adansonia gregorii,ADANSONIA,gregorii,,perennial,tree,,15,,c,elliptic,50-160,Jun-50,reniform,10-Nov,7.5-9,,oct-jan,dec-jan,,,
Bombax ceiba var. leiocarpum,BOMBAX,ceiba,var. leiocarpum,perennial,tree,d,20,,c,elliptic,60-230,35-80,ovoid,5-5.5,4,4,jul-sep,oct-dec,,,
Camptostemon schultzii,CAMPTOSTEMON,schultzii,,perennial,shrub,e,20,,s,elliptic,35-145,Oct-50,ovate,10,,,aug-nov,dec-apr,,,
Byblis aquatica,BYBLIS,aquatica,,annual ,herb,e,,,s,terete,30-65,,,1-1.2,0.8,0.8,dec-jun,dec-jun,,,
Byblis liniflora,BYBLIS,liniflora,,annual ,herb,e,,,s,terete,20-80,,,0.6-0.8,,,jan-jul,jan-jul,,,
Capparis jacobsii,CAPPARIS,jacobsii,,perennial,shrub,e,8,,s,elliptic,20-110,Oct-75,,,,,mar-nov,oct-nov,,,
Capparis lasiantha,CAPPARIS,lasiantha,,perennial,shrub,e,4,,s,elliptic,25-95,Jul-30,,,,,jul-nov,oct-jan,,,
Capparis quiniflora,CAPPARIS,quiniflora,,perennial,shrub,e,10,,s,ovate,40-105,20-70,,6,,,all year,all year,,,
Capparis sepiaria,CAPPARIS,sepiaria,,perennial,shrub,e,3,,s,elliptic,30-110,15-55,,5-Jun,,,sep-feb,sep-feb,,,
Capparis umbonata,CAPPARIS,umbonata,,perennial,shrub,e,7,,s,ovate,50-190,Apr-40,,6-Aug,,,all year,all year,,,
Cleome bundeica,CLEOME,bundeica,,annual ,herb,e,0.3,,c,ovate,May-24,2-Oct,suborbicular,,1.4-1.5,,dec-jan,dec-jan,,,
Cleome cleomoides,CLEOME,cleomoides,,perennial,herb,e,1,,c,elliptic,15-70,Mar-15,reniform,2,1.5,1.5,jan-jul,jan-jul,,,
Cleome insolata,CLEOME,insolata,,annual ,herb,e,0.4,,c,linear,Jun-17,0.25-0.5,comma shaped,1.7-1.9,2.3-2.5,,mar-apr,mar-apr,elaiasome,,
Cleome limmenensis,CLEOME,limmenensis,,perennial,shrub,e,0.5,,c,obovate,May-20,1.5-6.7,suborbicular,1.5-1.7,1.2-1.45,,nov-may,nov-may,elaiasome,,
