sort,Species,Site,WP-TLP (MPa),WP-full turgor (MPa),e(MPa),Yleafmin,s.e. Yleafmin,DYleaf,s.e. Dyleaf,Yleafmax,s.e. Yleafmax,gs min,s.e. gs min,gs max,s.e. gs max,DYP100,s.e. DYP100,Demax,s.e. Demax,KL-NO Ks,s.e. KL-NO Ks,conduit diam,s.e. conduit diam,max % embolism,s.e. max % embolism,ln HV,s.e. ln HV,KS,s.e. KS,density,s.e. density,SLA,s.e. SLA,D13C,s.e. D13C,stem:root,s.e. stem:root,locality,latitude,longitude,soil
1,Allocasuarina campestris,heath,0.185410334,0.833333333,-8.296969327,-7,0.02,5.9333,0.0133,-0.5667,0.0333,0.6602,3.7283,59.6122,16.7159,0.061,-0.3493,-0.0074,2.6752,1.0719,2.1293,0.0203,0.2299,39.3206,5.1229,-6.3168,-0.1099,1.0719,0.3,1.0073,0.0211,1.6601,0.0795,-27.1633,0.174,0.9991,0.0072,Corrigin Nature Reserve,-32.31667,117.8667,coarse sand of 0.1- to 0.2-m depth over laterite
2,Casuarina humilis,heath,-0.544072948,-0.651515152,1.066667037,-5.6333,0.0882,4.1167,0.0593,-0.55,0.0289,1.0304,4.1436,39.9507,12.9003,0.6018,-0.3834,6.7401,1.1532,0.8785,6.7941,0.0289,0.234,50,9.0706,-5.2895,-0.0853,0.8785,0.2965,1.1834,0.0055,1.3556,0.0969,-26.8067,0.1012,0.3089,0.0646,Corrigin Nature Reserve,-32.31667,117.8667,coarse sand of 0.1- to 0.2-m depth over laterite
3,Dryandra vestita,heath,-1.796352584,-0.545454545,-3.660605691,-3.8167,0.1528,2.1333,0.0646,-0.4667,0.0882,10.7612,1.1018,127.0406,5.9593,1.6948,-0.4344,1.3857,1.7325,0.5159,12.0035,0.0201,0.3689,24.241,5.2981,-4.4837,-0.0998,0.5159,0.0844,0.7065,0.024,2.5854,0.0751,-24.9033,0.1312,1.4522,0.471,Corrigin Nature Reserve,-32.31667,117.8667,coarse sand of 0.1- to 0.2-m depth over laterite
4,Dryandra cirsioides,heath,-1.006079027,0.5,-5.660605691,-4.1833,0.2848,2.7167,0.2681,-0.5167,0.0167,1.3635,8.2779,97.1452,12.3547,0.5945,-0.246,1.7364,0.8282,0.4689,20.1642,0.0219,0.1245,52.3075,12.2082,-4.674,-0.1294,0.4689,0.083,0.8296,0.0427,2.4696,0.0752,-24.4933,0.025,1.1047,0.075,Corrigin Nature Reserve,-32.31667,117.8667,coarse sand of 0.1- to 0.2-m depth over laterite
5,Isopogon gardneri,heath,-1.224924012,-1.106060606,3.975757946,-5.1,0.1453,5.3,0.1286,-0.3667,0.0167,0.9865,7.7581,42.6184,16.6943,0.7372,-0.2255,6.3506,0.4538,0.6495,0.9587,0.0182,0.635,36.915,16.5814,-6.8639,-0.0928,0.6495,0.047,0.9196,0.0226,1.5323,0.1199,-26.6467,0.0273,0.7735,0.0053,Corrigin Nature Reserve,-32.31667,117.8667,coarse sand of 0.1- to 0.2-m depth over laterite
6,Isopogon axillaris,heath,-1.52887538,-0.681818182,0.4303034,-3.85,0.441,3.0167,0.4243,-0.4167,0.0167,2.0695,0.4158,66.1172,21.9621,-0.2133,-0.3487,-7.7012,2.3869,0.5084,9.8846,0.0188,0.2325,40.5368,12.8532,-4.967,-0.0739,0.5084,0.0927,0.8084,0.0033,1.3727,0.0973,-26.11,0.0739,1.0208,0.069,Corrigin Nature Reserve,-32.31667,117.8667,coarse sand of 0.1- to 0.2-m depth over laterite
7,Beaufortia micrantha var. puberula,heath,-1.11550152,-1.181818182,11.33939431,-5.8,0.1764,3.7167,0.1323,-0.8167,0.0441,0.83,1.8323,70.0615,9.2583,0.0319,-0.3216,10.6656,1.7193,1.4397,4.6115,0.0192,0.1102,47.4685,6.7173,-5.4754,-0.0744,1.4397,0.4251,0.8038,0.0653,1.7153,0.1421,-26.4767,0.0717,0.4376,0.0928,Corrigin Nature Reserve,-32.31667,117.8667,coarse sand of 0.1- to 0.2-m depth over laterite
8,Melaleuca scabra,heath,0.088145897,0.409090909,-7.115151145,-6.7,0.4177,3.6833,0.301,-1.0833,0.1167,1.7807,0.1229,114.8757,0.0791,0.7109,-0.4496,1.9129,1.9645,1.1064,3.4363,0.0248,0.0236,43.3712,2.2341,-5.9386,-0.1157,1.1064,0.3884,0.8627,0.0631,1.9258,0.3934,-27.1867,0.1024,5.8318,1.5569,Corrigin Nature Reserve,-32.31667,117.8667,coarse sand of 0.1- to 0.2-m depth over laterite
9,Petrophile glauca,heath,-1.346504559,-0.606060606,-2.842423873,-6.3167,0.2887,5.2833,0.2553,-0.5167,0.0333,1.7102,0.0586,157.0907,6.3065,0.5304,-0.3127,1.0014,1.3747,0.6049,0.8552,0.0167,0.1589,30.7494,6.6978,-6.5237,-0.1206,0.6049,0.0656,0.8888,0.0114,0.9765,0.2216,-26.44,0.1386,2.2929,0.2713,Corrigin Nature Reserve,-32.31667,117.8667,coarse sand of 0.1- to 0.2-m depth over laterite
10,Hakea subsulcata,heath,-1.905775076,-1.393939394,6.884848855,-4.75,0.3712,3.3833,0.3423,-0.55,0.0289,0.5147,4.375,28.3814,0.7757,1.1527,-0.2951,-3.6179,2.9042,0.7281,1.9587,0.0202,0.1742,16.9594,1.4196,-5.6905,-0.1042,0.7281,0.2194,0.8748,0.0237,1.3598,0.0369,-24.81,0.063,1.4591,0.0761,Corrigin Nature Reserve,-32.31667,117.8667,coarse sand of 0.1- to 0.2-m depth over laterite
