species,herbarium voucher,native to,voucher location,lat,long,alt,leaf type,stomatal distribution,habitat,woodiness,habit,Guard cell length,Total vein density (mm/mm2),leaf mass per unit area gm-2,total stomatal density (mm-2),adaxial stomatal density (mm-2),abaxial stomatal density (mm-2),dense hairs covering the stomata,tightly revolute leaves (1=linear leaves with revolute margins appressed to either midrib or other margin,deep longitudinal grooves etc (n=none;g=grooves;(g) grooves but stomata not restricted to grooves),Banksia-type pits,hakea-type pits,telopea-type papillae,lamina thickness (microns),epidermal width (microns),palisade width (microns),epidermal cell density,stomatal index,leaf area (cm2),adult leaf type,juvenile leaf type,leaf form,adaxial hypodermis,adaxial cuticle thickness (microns),ad papillae5,ad trichomes,ab hypo,ab cut thick,bundle sheath extensions,lignified margins,sclereids at vein endings,sclereids protruding from bundle sheaths,bundle sheaths 1= large parenchyma-like cells; 3=bundles sheaths surrounded by sclereids; 4= bundles embedded in a lignified core,crystals in mesophyll,hypodermal structures (0=no specialised structure; 1 = lignified adaxial hypodermis; 2 = lignified abaxial hypodermis; 3 = hypodermis of extension of bundle sheath extensions; 4=Orites milliganii upper type; 5 = Orites milliganii lower type; 6 = ideosclereids extending under adaxial hypodermis),compound midribs,ideosclereids (0=absent; 1=ordinary; 2= branched; 3=asterosclereids; 4=osteosclereids;5=dense clusters of sclereids),clade,group,veg type,"stomatal distribution (amphistomatic, hypostomatic or unevenly amphistomatic [=""functionally hypostomatic"")",site_name,leaf_lamina_division,leaf_compoundness,leaf_margin,leaf_shape
Xylomelum scottianum,NA,"Cape York, Qld",NA,NA,NA,NA,"simple, entire",amphistomatic,dry open forest,woody,perennial,33.88,NA,NA,NA,NA,NA,n,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"simple, entire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,amphi,"dry open forest in Cape York, Qld",entire,simple,entire,NA
Persoonia nutans,NA,central NSW,NA,NA,NA,NA,"simple, entire",uneven amphistomatic,dry sclerophyll,woody,perennial,58,NA,NA,NA,NA,NA,n,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"simple, entire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,uneven amphi,dry sclerophyll in central NSW,entire,simple,entire,NA
Hakea microcarpa,NA,"eAust, Tas",NA,NA,NA,NA,terete and/or flat,amphistomatic,"subalpine bog, woodlands",woody,perennial,42.47,NA,628.1,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,0.981,terete and/or flat,NA,terete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A1,microcarpa,open,terete,"subalpine bog, woodlands in eAust, Tas",NA,NA,NA,terete flat
Hakea gibbosa,NA,eNSW,NA,NA,NA,NA,entire,amphistomatic,"dry sclerophyll, heath",woody,perennial,46.39,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,entire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A1,sericea,open,terete,"dry sclerophyll, heath in eNSW",entire,simple,entire,NA
Grevillea aspleniifolia,NA,eNSW,NA,NA,NA,NA,"simple, coarsely toothed",hypostomatic,woodlands,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"simple, coarsely toothed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,woodlands in eNSW,coarsely_toothed,simple,toothed,NA
Grevillea buxifolia,NA,eNSW,NA,NA,NA,NA,"simple, entire",hypostomatic,open woodlands,woody,perennial,35.4,NA,NA,NA,NA,NA,y,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"simple, entire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,open woodlands in eNSW,entire,simple,entire,NA
Grevillea capitellata,NA,eNSW,NA,NA,NA,NA,"simple, entire",hypostomatic,swampy heathlands,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"simple, entire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,swampy heathlands in eNSW,entire,simple,entire,NA
Grevillea linearifolia,NA,eNSW,NA,NA,NA,NA,"simple, entire",hypostomatic,open woodlands,woody,perennial,36.86,NA,NA,NA,NA,NA,y,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"simple, entire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,open woodlands in eNSW,entire,simple,entire,NA
Lambertia formosa,HO528992,eNSW,"Wentworth Falls, Blue Mountains",-33.698555,150.367545,NA,"simple, entire",hypostomatic,woodland to mallee,woody,perennial,36.14,NA,262.6835506,NA,233.7905032,793.4707986,n,n,n,0,0,0,368,NA,NA,22.7375568,NA,1.89,"simple, entire",NA,hypostomatic,0,15,0,0,0,2,0,0,0,0,3,0,0,1,2,NA,NA,open,hypo,woodland to mallee in eNSW,entire,simple,entire,NA
Grevillea caleyi,NA,eNSW,NA,NA,NA,NA,"simple, pinnatisect or pinnatipartite",hypostomatic,"woodlands, heathlands",woody,perennial,29.91,NA,NA,NA,NA,NA,y,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"simple, pinnatisect or pinnatipartite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"woodlands, heathlands in eNSW",pinnatisect pinnatipartite,simple compound,lobed,NA
