species,SLA(mm2/mg),Height (cm),Leaf Size (mm2),Seed mass (mg),"GrowthForm 1=tree; 2=shrub; 3=subshrub; 4=forb; 5=grass; 8=fern; 10=climber; 11=orchid, epiphyte.","Seed Dispersal syndrome 1=unassisted; 2=ant (elaiosome); 3=vertebrate ingestion (fleshy); 4=adhesion (hooks etc); 5=wind (wing, pappus); 6=ballistic+ant; 7=ba llistic; 8=vertebrate."
Acianthus sp.,,,,0.0,4,1
Billardiera scandens,7.65,,83,2.3,10,3
Cassytha glabella,7.26,,,6.8,10,3
Cassytha pubescens,6.49,,,11.5,10,3
Cissus hypoglauca,13.22,,282,38.1,10,3
Dendrobium tetragonum,,,333,0.0,11,1
Marsdenia flavescens,38.44,,1200,,10,5
Palmeria scandens,20.98,,1930,,10,3
Pandorea pandorana,28.62,,2625,5.2,10,5
Sarcopetalum harveyanum,14.36,,1875,10.9,10,3
Schoenus sp.A,19.75,,,2.3,4,2
Smilax australis,9.55,,750,29.8,10,3
Smilax glyciphylla,18.97,,333,36.9,10,3
Stephania japonica,26.10,,8000,18.6,10,3
Corybas pruinosus,,5,491,0.0,4,1
Dichondra repens,19.75,5,79,1.5,4,1
Viola hederacea,27.27,6,64,0.6,4,2
Drosera spathulata,8.51,10,53,0.0,4,1
Logania pusilla,,10,19,0.3,3,1
Pratia purpurescens,35.81,12,102,0.2,4,1
Lomandra cylindrica,2.47,15,375,13.1,4,2
Poranthera microphylla,7.51,15,0.8,0.1,4,6
Glossodia minor,83.84,16,120,0.0,4,1
Caladenia aurantiaca,,17,500,0.0,4,1
Arthropodium milleflorum,13.91,20,600,0.8,4,1
Carex breviculmis,17.98,20,167,0.6,4,1
Comesperma sphaerocarpum,12.92,20,,1.8,3,2
Desmodium rhytidophyllum,,20,640,1.8,4,4
Hydrocotyle acutiloba,52.91,20,10,0.3,4,1
Lomandra filiformis,7.53,20,400,5.5,4,2
Lomandra glauca,6.38,20,175,5.2,4,2
Micrantheum ericoides,10.25,20,5.3,3.3,3,2
Oplismenus aemula,23.39,20,67,0.9,5,1
Pomax umbellata,25.87,20,40,1.1,4,1
Schelhammera undulata,25.44,20,163,5.1,4,2
Scutellaria mollis,,20,33,0.8,4,0
Stylidium lineare,7.95,20,23,0.1,4,1
Zieria pilosa,6.89,20,17,6.6,2,6
Drosera peltata,7.14,25,16,0.0,4,1
Hibbertia aspera,6.91,25,75,2.5,3,2
Pterostylis pedunculata,57.87,27,,0.0,4,1
Acianthus exsertus,,30,800,0.0,4,1
Actinotus minor,9.60,30,12,0.8,4,2
Aneilema acuminatum,16.09,30,403,1.1,4,1
Caesia parviflora,4.72,30,700,2.4,4,2
Caesia vittata,7.46,30,1600,1.4,4,2
Caladenia catenata,71.74,30,500,0.0,4,1
Galium binifolium,75.71,30,19,0.5,4,1
Galium propinquum,52.14,30,8.8,0.4,4,4
Gompholobium glabratum,7.28,30,4.7,2.7,2,2
Goodenia bellidifolia,3.63,30,675,0.6,4,2
Lomandra multiflora,1.77,30,1150,7.8,4,2
Mirbelia rubiifolia,5.27,30,83,2.9,3,1
Mitrasacme polymorpha,9.67,30,4.7,0.0,4,1
Patersonia glabrata,2.80,30,700,6.3,4,2
Poranthera ericifolia,12.12,30,5.4,0.4,2,6
Pseuderanthemum variabile,18.67,30,533,3.1,4,1
Pterostylis cfdaintreana,,30,,0.0,4,1
Schoenus ericetorum,5.12,30,,0.6,4,1
Schoenus imberbis,4.16,30,,1.2,4,1
Solanum pungetium,33.44,30,853,0.9,3,3
Tricoryne simplex,17.89,30,6000,,4,0
Tricostularia pauciflora,4.20,30,,1.7,4,2
Xanthosia tridentata,10.49,30,,1.4,4,2
Burchardia umbellata,11.31,35,100,2.1,4,0
Gahnia aspera,1.13,40,4267,27.6,4,1
Lagenifera stipitata,12.01,40,3000,0.4,4,1
Lomandra longifolia,5.56,40,6133,11.3,4,2
Patersonia sericea,3.36,40,900,1.5,4,2
Pterostylis cf nutans,40.33,40,,0.0,4,1
Ptilanthelium deusteum,2.70,40,200,,4,0
Tetratheca ericifolia,7.96,40,67,2.0,3,2
Thysanotus juncifolius,3.10,40,,1.0,4,2
Thysanotus tuberosus,9.03,40,1500,2.1,4,2
Sowerbaea juncea,5.29,45,233,,4,1
Bossiaea ensata,3.90,50,,17.2,2,2
Caleana major,24.66,50,427,0.0,4,1
Conospermum ellipticum,5.65,50,80,2.1,3,1
Conospermum ericifolium,4.52,50,6.7,2.3,3,1
Conospermum longifolium,5.52,50,400,4.7,3,1
Cyathochaeta diandra,2.78,50,500,5.0,4,1
Darwinia grandiflora,8.03,50,6.5,4.4,2,1
Dianella cerulea,4.23,50,1867,6.8,4,3
Gonocarpus teucrioides,10.33,50,21,1.1,4,1
Hemigenia purpurea,6.14,50,8.8,1.0,3,2
Hibbertia empetrifolia,8.37,50,75,3.8,3,2
Hibbertia serpyllifolia,6.94,50,2.7,1.5,3,2
Hybanthus monopetalus,10.07,50,47,1.2,4,2
Hybanthus vernonii,10.78,50,33,3.5,4,2
Lepidosperma sp.,8.63,50,,9.3,4,2
Leucopogon amplexicaulis,7.09,50,114,4.9,3,0
Leucopogon appressus,6.56,50,13,0.6,3,2
Leucopogon juniperinus,7.57,50,3.8,7.2,3,0
Lomandra confertifolia,1.74,50,229,17.5,4,2
Lomandra gracilis,2.95,50,600,14.6,4,2
Lomandra obliqua,7.36,50,60,3.9,4,2
Orchidaceae sp.,,50,,0.0,4,1
Oxalis chnoodes,,50,,0.3,4,7
Oxalis exilis,2.19,50,23,0.3,4,7
Phyllanthus thymoides,6.79,50,12,1.5,2,7
Pimelea latifolia,,50,51,4.5,2,2
Platysace stephensonii,10.72,50,180,0.4,3,2
Prasophyllum sp.,,50,,0.0,4,1
Pterostylis sp.,,50,,0.0,4,1
Restio dimorphus,15.89,50,,0.6,4,2
Restio fastigiatus,,50,,0.4,4,2
Rubus hillii,17.11,50,4270,0.8,3,3
Rubus parvifolius,24.33,50,,0.3,3,3
Scaevola ramosissima,7.28,50,82,21.1,4,2
Senecio bipinnatisectus,,50,,0.2,4,5
Senecio minimus,15.56,50,1000,0.2,4,5
Sigesbeckia orientalis,34.00,50,403,1.1,4,1
Stipa rudis,,50,,7.8,5,1
Tetrarrhena juncea,15.19,50,,3.8,5,1
Thelymitra ixioides,29.65,50,,0.0,4,1
Thelymitra sp.,,50,,0.0,4,1
Vernonia cinerea,12.03,50,333,0.3,4,5
Wahlenbergia sp.,,50,,0.0,4,1
Blandfordia nobilis,3.77,60,2000,2.8,4,1
Calochilus campestris,30.97,60,2940,0.0,4,1
Crowea saligna,4.62,60,4.8,11.0,3,6
Cryptandra amara,8.98,60,2.0,0.5,3,2
Cryptandra ericoides,,60,2.4,0.4,3,2
Cyperus tetraphyllus,12.00,60,1067,0.2,4,1
Dampiera stricta,5.96,60,133,5.7,3,2
Echinopogon caespitosus,,60,360,0.7,5,1
Gymnostachys anceps,4.30,60,20000,228.6,4,3
Hibbertia riparia,6.80,60,10,1.4,2,2
Leucopogon esquamatus,8.63,60,30,6.4,2,2
Poa compressa,,60,200,0.3,5,1
Stackhousia viminea,5.94,60,20,2.6,4,1
Xanthosia pilosa,7.79,60,,1.5,2,2
Xyris gracilis,6.85,60,300,0.1,4,0
Zieria laevigata,5.57,60,60,3.1,2,6
Geranium homeanum,18.84,70,417,1.7,4,1
Tetratheca shiresii,5.45,70,,6.2,3,2
Caustis flexuosa,8.45,80,,10.0,4,1
Cryptostylis subulata,14.00,80,375,0.0,4,1
Entolasia stricta,3.16,80,200,1.6,5,1
Imperata cylindrica,10.65,80,3250,,5,5
Leucopogon microphyllus,8.17,80,1.0,0.6,2,2
Dipodium cf punctatum,23.13,90,,0.0,4,1
Anisopogon avenaceus,3.09,100,100,54.4,5,1
Baeckea brevifolia,2.99,100,0.3,0.1,2,1
Baeckea diosmifolia,5.77,100,2.0,0.0,2,1
