Number,Species,Date,Site_name,Latitude,Longitude,Anet,Cond,Ci,Cc,VpdL,Tleaf,CO2amb,Ci.Ca,Vcmax,Jmax,Rd,Amax,N_in_mg.g,P_in_mg.g,Pi_in_mg.g,LMA_g.m2,Anet_mass,Vcmax_mass,Jmax_mass,Amax_mass
1,Eucalyptus_saligna,Thr Nov 18 2010,Hawkesbury Forest Experiment,33° 36.671' S, 150° 44.447' E,24.4,0.424,250,192,1.11,28.12,371,0.67,120.1,185.4,-1.45,38.6,23.78,1.23,0.29,136.5,178.8,879.9,1358.2,282.8
2,Eucalyptus_saligna,Sat Nov 20 2010,Hawkesbury Forest Experiment,33° 36.671' S, 150° 44.447' E,25.1,0.434,258,212,1.21,27.96,381,0.68,124.1,184.7,-0.79,37.2,20.11,0.74,0.175,161.1,155.8,770.3,1146.5,230.9
3,Eucalyptus_saligna,Sat Nov 20 2010,Hawkesbury Forest Experiment,33° 36.671' S, 150° 44.447' E,22.2,0.307,241,181,1.39,28.03,385,0.63,147.2,222.6,2.72,40.8,20.07,2.07,0.59,143.9,154.3,1022.9,1546.9,283.5
4,Eucalyptus_dunnii,Thr Dec 23 2010,Hawkesbury Forest Experiment,33° 36.671' S, 150° 44.447' E,26.2,0.456,281,235,1.25,28.44,393,0.72,136.8,182.5,0.27,37.6,18.85,1.29,0.302,131.9,198.6,1037.1,1383.6,285.1
5,Eucalyptus_dunnii,Thr Dec 23 2010,Hawkesbury Forest Experiment,33° 36.671' S, 150° 44.447' E,26,0.507,280,239,1.47,29.37,382,0.73,139.7,178.9,-0.25,33.6,16.67,1.16,0.221,139.2,186.8,1003.6,1285.2,241.4
6,Eucalyptus_dunnii,Mon Jan 31 2011,Hawkesbury Forest Experiment,33° 36.671' S, 150° 44.447' E,16.2,0.213,240,207,1.5,29.96,385,0.62,122,164.1,0.75,32,19.46,1.12,0.171,130.8,123.9,932.7,1254.6,244.6
7,Eucalyptus_dunnii,Thr Mar 24 2011,Hawkesbury Forest Experiment,33° 36.671' S, 150° 44.447' E,24.2,0.348,236,194,1.23,28.05,377,0.63,155.2,195.6,0.78,36.7,21.87,1.13,0.287,135.8,178.2,1142.9,1440.4,270.3
8,Liquidambar_styraciflua,Mon Jan 17 2011,Hawkesbury campus,33° 36.671' S, 150° 44.447' E,22.2,0.407,262,218,1.22,28.13,377,0.69,123.1,175.8,0.42,35.2,19.77,3.06,1.392,112,198.2,1099.1,1569.6,314.3
9,Liquidambar_styraciflua,Thr Jan 20 2011,Hawkesbury campus,33° 36.671' S, 150° 44.447' E,19,0.261,247,186,1.32,28.15,388,0.64,109.5,178.7,0.2,35.3,18.15,1.48,0.526,114.6,165.8,955.5,1559.3,308
10,Liquidambar_styraciflua,Mon Mar 11 2013,Hawkesbury campus,33° 36.671' S, 150° 44.447' E,20.4,0.403,287,246,1.34,27.03,395,0.73,89,136.8,0.44,28.4,13.7,1.57,0.869,114.9,177.5,774.6,1190.6,247.2
11,Liquidambar_styraciflua,Tue Mar 12 2013,Hawkesbury campus,33° 36.671' S, 150° 44.447' E,12.7,0.16,243,170,1.27,27.24,389,0.62,74.4,156.1,1.23,31,19.339,1.21,0.588,106.1,119.7,701.2,1471.3,292.2
12,Banksia_attenuata,Thr Nov 10 2011,Lesueur National Park,30° 11.032' S,115°09.3265' E,15,0.206,249,186,1.17,24.97,386,0.65,63.8,99,0.03,21.3,9.176,0.41,0.17,235.7,63.6,270.7,420,90.4
